candidate ,office,district,party ,county ,precinct,votes,
Andrew Yang,President,,Democrat,Carroll,Calvary,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Calvary,0,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Calvary,0,
Mike Espy,U.S. Senate,,Democrat,Carroll,Calvary,1,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Calvary,0,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Calvary,1,
Joseph R. Biden,President,,Democrat,Carroll,Carrollton,26,
Michael R. Bloomberg,President,,Democrat,Carroll,Carrollton,2,
Pete Buttigieg,President,,Democrat,Carroll,Carrollton,0,
Tulsi Gabbard,President,,Democrat,Carroll,Carrollton,1,
Amy Klobuchar,President,,Democrat,Carroll,Carrollton,0,
Deval Patrick,President,,Democrat,Carroll,Carrollton,0,
Bernie Sanders,President,,Democrat,Carroll,Carrollton,6,
Tom Steyer,President,,Democrat,Carroll,Carrollton,0,
Elizabeth Warren,President,,Democrat,Carroll,Carrollton,0,
Andrew Yang,President,,Democrat,Carroll,Carrollton,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Carrollton,3,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Carrollton,4,
Mike Espy,U.S. Senate,,Democrat,Carroll,Carrollton,28,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Carrollton,8,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Carrollton,26,
Joseph R. Biden,President,,Democrat,Carroll,East Vaiden,99,
Michael R. Bloomberg,President,,Democrat,Carroll,East Vaiden,8,
Pete Buttigieg,President,,Democrat,Carroll,East Vaiden,0,
Tulsi Gabbard,President,,Democrat,Carroll,East Vaiden,0,
Amy Klobuchar,President,,Democrat,Carroll,East Vaiden,0,
Deval Patrick,President,,Democrat,Carroll,East Vaiden,0,
Bernie Sanders,President,,Democrat,Carroll,East Vaiden,19,
Tom Steyer,President,,Democrat,Carroll,East Vaiden,1,
Elizabeth Warren,President,,Democrat,Carroll,East Vaiden,1,
Andrew Yang,President,,Democrat,Carroll,East Vaiden,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,East Vaiden,4,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,East Vaiden,5,
Mike Espy,U.S. Senate,,Democrat,Carroll,East Vaiden,113,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,East Vaiden,10,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,East Vaiden,116,
Joseph R. Biden,President,,Democrat,Carroll,Fire Tower,216,
Michael R. Bloomberg,President,,Democrat,Carroll,Fire Tower,10,
Pete Buttigieg,President,,Democrat,Carroll,Fire Tower,1,
Tulsi Gabbard,President,,Democrat,Carroll,Fire Tower,1,
Amy Klobuchar,President,,Democrat,Carroll,Fire Tower,0,
Deval Patrick,President,,Democrat,Carroll,Fire Tower,0,
Bernie Sanders,President,,Democrat,Carroll,Fire Tower,21,
Tom Steyer,President,,Democrat,Carroll,Fire Tower,0,
Elizabeth Warren,President,,Democrat,Carroll,Fire Tower,1,
Andrew Yang,President,,Democrat,Carroll,Fire Tower,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Fire Tower,2,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Fire Tower,2,
Mike Espy,U.S. Senate,,Democrat,Carroll,Fire Tower,242,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Fire Tower,0,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Fire Tower,243,
Joseph R. Biden,President,,Democrat,Carroll,Gravel Hill,21,
Michael R. Bloomberg,President,,Democrat,Carroll,Gravel Hill,0,
Pete Buttigieg,President,,Democrat,Carroll,Gravel Hill,0,
Tulsi Gabbard,President,,Democrat,Carroll,Gravel Hill,0,
Amy Klobuchar,President,,Democrat,Carroll,Gravel Hill,0,
Deval Patrick,President,,Democrat,Carroll,Gravel Hill,0,
Bernie Sanders,President,,Democrat,Carroll,Gravel Hill,11,
Tom Steyer,President,,Democrat,Carroll,Gravel Hill,0,
Elizabeth Warren,President,,Democrat,Carroll,Gravel Hill,0,
Andrew Yang,President,,Democrat,Carroll,Gravel Hill,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Gravel Hill,2,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Gravel Hill,1,
Mike Espy,U.S. Senate,,Democrat,Carroll,Gravel Hill,28,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Gravel Hill,3,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Gravel Hill,28,
Joseph R. Biden,President,,Democrat,Carroll,Jefferson,6,
Michael R. Bloomberg,President,,Democrat,Carroll,Jefferson,2,
Pete Buttigieg,President,,Democrat,Carroll,Jefferson,0,
Tulsi Gabbard,President,,Democrat,Carroll,Jefferson,0,
Amy Klobuchar,President,,Democrat,Carroll,Jefferson,0,
Deval Patrick,President,,Democrat,Carroll,Jefferson,0,
Bernie Sanders,President,,Democrat,Carroll,Jefferson,3,
Tom Steyer,President,,Democrat,Carroll,Jefferson,0,
Elizabeth Warren,President,,Democrat,Carroll,Jefferson,0,
Andrew Yang,President,,Democrat,Carroll,Jefferson,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Jefferson,2,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Jefferson,1,
Mike Espy,U.S. Senate,,Democrat,Carroll,Jefferson,8,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Jefferson,2,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Jefferson,7,
Joseph R. Biden,President,,Democrat,Carroll,McCarley,85,
Michael R. Bloomberg,President,,Democrat,Carroll,McCarley,6,
Pete Buttigieg,President,,Democrat,Carroll,McCarley,0,
Tulsi Gabbard,President,,Democrat,Carroll,McCarley,1,
Amy Klobuchar,President,,Democrat,Carroll,McCarley,0,
Deval Patrick,President,,Democrat,Carroll,McCarley,0,
Bernie Sanders,President,,Democrat,Carroll,McCarley,16,
Tom Steyer,President,,Democrat,Carroll,McCarley,0,
Elizabeth Warren,President,,Democrat,Carroll,McCarley,0,
Andrew Yang,President,,Democrat,Carroll,McCarley,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,McCarley,7,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,McCarley,3,
Mike Espy,U.S. Senate,,Democrat,Carroll,McCarley,96,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,McCarley,7,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,McCarley,101,
Joseph R. Biden,President,,Democrat,Carroll,North Carrollton,38,
Michael R. Bloomberg,President,,Democrat,Carroll,North Carrollton,0,
Pete Buttigieg,President,,Democrat,Carroll,North Carrollton,0,
Tulsi Gabbard,President,,Democrat,Carroll,North Carrollton,0,
Amy Klobuchar,President,,Democrat,Carroll,North Carrollton,0,
Deval Patrick,President,,Democrat,Carroll,North Carrollton,0,
Bernie Sanders,President,,Democrat,Carroll,North Carrollton,6,
Tom Steyer,President,,Democrat,Carroll,North Carrollton,0,
Elizabeth Warren,President,,Democrat,Carroll,North Carrollton,0,
Andrew Yang,President,,Democrat,Carroll,North Carrollton,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,North Carrollton,4,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,North Carrollton,2,
Mike Espy,U.S. Senate,,Democrat,Carroll,North Carrollton,37,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,North Carrollton,6,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,North Carrollton,39,
Joseph R. Biden,President,,Democrat,Carroll,Rays Shop,27,
Michael R. Bloomberg,President,,Democrat,Carroll,Rays Shop,1,
Pete Buttigieg,President,,Democrat,Carroll,Rays Shop,0,
Tulsi Gabbard,President,,Democrat,Carroll,Rays Shop,2,
Amy Klobuchar,President,,Democrat,Carroll,Rays Shop,0,
Deval Patrick,President,,Democrat,Carroll,Rays Shop,0,
Bernie Sanders,President,,Democrat,Carroll,Rays Shop,2,
Tom Steyer,President,,Democrat,Carroll,Rays Shop,0,
Elizabeth Warren,President,,Democrat,Carroll,Rays Shop,1,
Andrew Yang,President,,Democrat,Carroll,Rays Shop,2,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Rays Shop,1,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Rays Shop,6,
Mike Espy,U.S. Senate,,Democrat,Carroll,Rays Shop,27,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Rays Shop,5,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Rays Shop,31,
Joseph R. Biden,President,,Democrat,Carroll,Salem,73,
Michael R. Bloomberg,President,,Democrat,Carroll,Salem,7,
Pete Buttigieg,President,,Democrat,Carroll,Salem,0,
Tulsi Gabbard,President,,Democrat,Carroll,Salem,0,
Amy Klobuchar,President,,Democrat,Carroll,Salem,0,
Deval Patrick,President,,Democrat,Carroll,Salem,0,
Bernie Sanders,President,,Democrat,Carroll,Salem,7,
Tom Steyer,President,,Democrat,Carroll,Salem,1,
Elizabeth Warren,President,,Democrat,Carroll,Salem,0,
Andrew Yang,President,,Democrat,Carroll,Salem,0,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,Salem,0,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,Salem,2,
Mike Espy,U.S. Senate,,Democrat,Carroll,Salem,83,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,Salem,5,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,Salem,81,
Joseph R. Biden,President,,Democrat,Carroll,West Carroll,17,
Michael R. Bloomberg,President,,Democrat,Carroll,West Carroll,0,
Pete Buttigieg,President,,Democrat,Carroll,West Carroll,0,
Tulsi Gabbard,President,,Democrat,Carroll,West Carroll,1,
Amy Klobuchar,President,,Democrat,Carroll,West Carroll,1,
Deval Patrick,President,,Democrat,Carroll,West Carroll,0,
Bernie Sanders,President,,Democrat,Carroll,West Carroll,16,
Tom Steyer,President,,Democrat,Carroll,West Carroll,0,
Elizabeth Warren,President,,Democrat,Carroll,West Carroll,0,
Andrew Yang,President,,Democrat,Carroll,West Carroll,1,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,West Carroll,17,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,West Carroll,3,
Mike Espy,U.S. Senate,,Democrat,Carroll,West Carroll,15,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,West Carroll,22,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,West Carroll,14,
Joseph R. Biden,President,,Democrat,Carroll,West Vaiden,66,
Michael R. Bloomberg,President,,Democrat,Carroll,West Vaiden,7,
Pete Buttigieg,President,,Democrat,Carroll,West Vaiden,1,
Tulsi Gabbard,President,,Democrat,Carroll,West Vaiden,0,
Amy Klobuchar,President,,Democrat,Carroll,West Vaiden,0,
Deval Patrick,President,,Democrat,Carroll,West Vaiden,1,
Bernie Sanders,President,,Democrat,Carroll,West Vaiden,11,
Tom Steyer,President,,Democrat,Carroll,West Vaiden,0,
Elizabeth Warren,President,,Democrat,Carroll,West Vaiden,0,
Andrew Yang,President,,Democrat,Carroll,West Vaiden,1,
Tobey Bernard Bartee,U.S. Senate,,Democrat,Carroll,West Vaiden,2,
Jensen Bohren,U.S. Senate,,Democrat,Carroll,West Vaiden,2,
Mike Espy,U.S. Senate,,Democrat,Carroll,West Vaiden,80,
Sonia Rathburn,U.S. House,2,Democrat,Carroll,West Vaiden,5,
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,West Vaiden,78,
Roque 'Rocky' De La Fuente,President,,Republican,430 School,Carroll,1,
Donald J. Trump,President,,Republican,430 School,Carroll,27,
Bill Weid ,President,,Republican,430 School,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,430 School,Carroll,26,
Thomas L. Carey,U.S. House,2,Republican,430 School,Carroll,5,
Brain Flowers,U.S. House,2,Republican,430 School,Carroll,8,
B.C. Hammond,U.S. House,2,Republican,430 School,Carroll,12,
Roque 'Rocky' De La Fuente,President,,Republican,Black Hawk,Carroll,0,
Donald J. Trump,President,,Republican,Black Hawk,Carroll,64,
Bill Weid ,President,,Republican,Black Hawk,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,Black Hawk,Carroll,61,
Thomas L. Carey,U.S. House,2,Republican,Black Hawk,Carroll,24,
Brain Flowers,U.S. House,2,Republican,Black Hawk,Carroll,19,
B.C. Hammond,U.S. House,2,Republican,Black Hawk,Carroll,13,
Roque 'Rocky' De La Fuente,President,,Republican,Calvary,Carroll,0,
Donald J. Trump,President,,Republican,Calvary,Carroll,47,
Bill Weid ,President,,Republican,Calvary,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,Calvary,Carroll,41,
Thomas L. Carey,U.S. House,2,Republican,Calvary,Carroll,11,
Brain Flowers,U.S. House,2,Republican,Calvary,Carroll,19,
B.C. Hammond,U.S. House,2,Republican,Calvary,Carroll,10,
Roque 'Rocky' De La Fuente,President,,Republican,Carrollton,Carroll,0,
Donald J. Trump,President,,Republican,Carrollton,Carroll,71,
Bill Weid ,President,,Republican,Carrollton,Carroll,2,
Cindy Hyde-Smith,U.S. Senate,,Republican,Carrollton,Carroll,67,
Thomas L. Carey,U.S. House,2,Republican,Carrollton,Carroll,15,
Brain Flowers,U.S. House,2,Republican,Carrollton,Carroll,23,
B.C. Hammond,U.S. House,2,Republican,Carrollton,Carroll,26,
Roque 'Rocky' De La Fuente,President,,Republican,East Vaiden,Carroll,0,
Donald J. Trump,President,,Republican,East Vaiden,Carroll,109,
Bill Weid ,President,,Republican,East Vaiden,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,East Vaiden,Carroll,105,
Thomas L. Carey,U.S. House,2,Republican,East Vaiden,Carroll,30,
Brain Flowers,U.S. House,2,Republican,East Vaiden,Carroll,27,
B.C. Hammond,U.S. House,2,Republican,East Vaiden,Carroll,32,
Roque 'Rocky' De La Fuente,President,,Republican,Fire Tower,Carroll,0,
Donald J. Trump,President,,Republican,Fire Tower,Carroll,47,
Bill Weid ,President,,Republican,Fire Tower,Carroll,1,
Cindy Hyde-Smith,U.S. Senate,,Republican,Fire Tower,Carroll,47,
Thomas L. Carey,U.S. House,2,Republican,Fire Tower,Carroll,25,
Brain Flowers,U.S. House,2,Republican,Fire Tower,Carroll,11,
B.C. Hammond,U.S. House,2,Republican,Fire Tower,Carroll,7,
Roque 'Rocky' De La Fuente,President,,Republican,Gravel Hill,Carroll,0,
Donald J. Trump,President,,Republican,Gravel Hill,Carroll,99,
Bill Weid ,President,,Republican,Gravel Hill,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,Gravel Hill,Carroll,94,
Thomas L. Carey,U.S. House,2,Republican,Gravel Hill,Carroll,44,
Brain Flowers,U.S. House,2,Republican,Gravel Hill,Carroll,25,
B.C. Hammond,U.S. House,2,Republican,Gravel Hill,Carroll,16,
Roque 'Rocky' De La Fuente,President,,Republican,Jefferson,Carroll,0,
Donald J. Trump,President,,Republican,Jefferson,Carroll,57,
Bill Weid ,President,,Republican,Jefferson,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,Jefferson,Carroll,53,
Thomas L. Carey,U.S. House,2,Republican,Jefferson,Carroll,13,
Brain Flowers,U.S. House,2,Republican,Jefferson,Carroll,11,
B.C. Hammond,U.S. House,2,Republican,Jefferson,Carroll,25,
Roque 'Rocky' De La Fuente,President,,Republican,McCarley,Carroll,0,
Donald J. Trump,President,,Republican,McCarley,Carroll,72,
Bill Weid ,President,,Republican,McCarley,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,McCarley,Carroll,68,
Thomas L. Carey,U.S. House,2,Republican,McCarley,Carroll,26,
Brain Flowers,U.S. House,2,Republican,McCarley,Carroll,16,
B.C. Hammond,U.S. House,2,Republican,McCarley,Carroll,12,
Roque 'Rocky' De La Fuente,President,,Republican,North Carrollton,Carroll,0,
Donald J. Trump,President,,Republican,North Carrollton,Carroll,83,
Bill Weid ,President,,Republican,North Carrollton,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,North Carrollton,Carroll,78,
Thomas L. Carey,U.S. House,2,Republican,North Carrollton,Carroll,34,
Brain Flowers,U.S. House,2,Republican,North Carrollton,Carroll,20,
B.C. Hammond,U.S. House,2,Republican,North Carrollton,Carroll,20,
Roque 'Rocky' De La Fuente,President,,Republican,Royal Shop,Carroll,0,
Donald J. Trump,President,,Republican,Royal Shop,Carroll,234,
Bill Weid ,President,,Republican,Royal Shop,Carroll,2,
Cindy Hyde-Smith,U.S. Senate,,Republican,Royal Shop,Carroll,232,
Thomas L. Carey,U.S. House,2,Republican,Royal Shop,Carroll,85,
Brain Flowers,U.S. House,2,Republican,Royal Shop,Carroll,74,
B.C. Hammond,U.S. House,2,Republican,Royal Shop,Carroll,57,
Roque 'Rocky' De La Fuente,President,,Republican,Salem,Carroll,0,
Donald J. Trump,President,,Republican,Salem,Carroll,17,
Bill Weid ,President,,Republican,Salem,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,Salem,Carroll,15,
Thomas L. Carey,U.S. House,2,Republican,Salem,Carroll,6,
Brain Flowers,U.S. House,2,Republican,Salem,Carroll,4,
B.C. Hammond,U.S. House,2,Republican,Salem,Carroll,7,
Roque 'Rocky' De La Fuente,President,,Republican,West Carroll,Carroll,0,
Donald J. Trump,President,,Republican,West Carroll,Carroll,84,
Bill Weid ,President,,Republican,West Carroll,Carroll,0,
Cindy Hyde-Smith,U.S. Senate,,Republican,West Carroll,Carroll,83,
Thomas L. Carey,U.S. House,2,Republican,West Carroll,Carroll,36,
Brain Flowers,U.S. House,2,Republican,West Carroll,Carroll,28,
B.C. Hammond,U.S. House,2,Republican,West Carroll,Carroll,14,
Roque 'Rocky' De La Fuente,President,,Republican,West Vaiden,Carroll,0,
Donald J. Trump,President,,Republican,West Vaiden,Carroll,65,
Bill Weid ,President,,Republican,West Vaiden,Carroll,1,
Cindy Hyde-Smith,U.S. Senate,,Republican,West Vaiden,Carroll,66,
Thomas L. Carey,U.S. House,2,Republican,West Vaiden,Carroll,26,
Brain Flowers,U.S. House,2,Republican,West Vaiden,Carroll,22,
B.C. Hammond,U.S. House,2,Republican,West Vaiden,Carroll,13,
