candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Desoto Central,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Desoto Central,1604,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Desoto Central,498,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Desoto Central,23,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Desoto Central,54,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Elmone,563,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Elmone,1129,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Elmone,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Elmone,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Elmone,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Elmone,31,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Elmone,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Elmone,1120,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Elmone,486,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Elmone,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Elmone,51,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Eudora,210,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Eudora,900,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Eudora,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Eudora,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Eudora,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Eudora,29,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Eudora,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Eudora,873,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Eudora,173,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Eudora,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Eudora,43,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Fairhaven,690,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Fairhaven,914,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Fairhaven,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Fairhaven,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Fairhaven,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Fairhaven,29,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Fairhaven,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Fairhaven,948,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Fairhaven,614,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Fairhaven,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Fairhaven,35,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Greenbrook North,1033,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Greenbrook North,1104,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Greenbrook North,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Greenbrook North,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Greenbrook North,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Greenbrook North,37,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Greenbrook North,20,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Greenbrook North,1104,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Greenbrook North,931,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Greenbrook North,32,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Greenbrook North,64,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Greenbrook South,864,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Greenbrook South,2028,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Greenbrook South,19,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Greenbrook South,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Greenbrook South,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Greenbrook South,64,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Greenbrook South,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Greenbrook South,2017,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Greenbrook South,769,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Greenbrook South,35,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Greenbrook South,76,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Hacks Cross Road,650,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Hacks Cross Road,1059,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Hacks Cross Road,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Hacks Cross Road,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Hacks Cross Road,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Hacks Cross Road,56,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Hacks Cross Road,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Hacks Cross Road,1044,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Hacks Cross Road,558,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Hacks Cross Road,38,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Hacks Cross Road,72,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Hernando Central,392,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Hernando Central,1626,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Hernando Central,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Hernando Central,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Hernando Central,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Hernando Central,53,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Hernando Central,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Hernando Central,1635,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Hernando Central,335,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Hernando Central,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Hernando Central,56,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Hernando East,562,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Hernando East,2864,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Hernando East,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Hernando East,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Hernando East,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Hernando East,65,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Hernando East,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Hernando East,2881,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Hernando East,456,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Hernando East,41,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Hernando East,82,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Hernando West,654,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Hernando West,1917,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Hernando West,14,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Hernando West,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Hernando West,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Hernando West,79,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Hernando West,13,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Hernando West,1972,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Hernando West,561,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Hernando West,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Hernando West,78,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake Central,464,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake Central,557,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake Central,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake Central,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake Central,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake Central,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake Central,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake Central,561,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake Central,427,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake Central,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake Central,30,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake East,672,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake East,438,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Horn Lake East,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Horn Lake East,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Horn Lake East,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Horn Lake East,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Horn Lake East,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Horn Lake East,429,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Horn Lake East,611,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Horn Lake East,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Horn Lake East,30,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Horn Lake High School,478,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Horn Lake High School,1118,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
