candidate,office,district,party,county,precinct,votes,winner,page,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Derma # 5,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Derma # 5,3,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Derma # 5,0,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Derma # 5,380,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Derma # 5,73,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Derma # 5,4,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Derma # 5,3,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Northeast Calhoun,92,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Northeast Calhoun,634,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Northeast Calhoun,3,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Northeast Calhoun,0,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Northeast Calhoun,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Northeast Calhoun,6,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Northeast Calhoun,3,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Northeast Calhoun,624,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Northeast Calhoun,89,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Northeast Calhoun,7,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Northeast Calhoun,6,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Pittsboro # 1,425,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Pittsboro # 1,86,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Pittsboro # 1,1,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Pittsboro # 1,0,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Pittsboro # 1,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Pittsboro # 1,8,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Pittsboro # 1,4,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Pittsboro # 1,145,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Pittsboro # 1,352,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Pittsboro # 1,10,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Pittsboro # 1,6,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Pittsboro # 2,142,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Pittsboro # 2,420,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Pittsboro # 2,3,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Pittsboro # 2,0,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Pittsboro # 2,5,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Pittsboro # 2,2,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Pittsboro # 2,0,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Pittsboro # 2,430,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Pittsboro # 2,115,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Pittsboro # 2,7,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Pittsboro # 2,6,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,Vardaman,210,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,Vardaman,463,,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,Vardaman,5,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,Vardaman,1,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,Vardaman,0,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,Vardaman,7,,2,,,,,,
Jill Stein,President,,Green,Calhoun,Vardaman,1,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,Vardaman,498,,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,Vardaman,158,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,Vardaman,5,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,Vardaman,9,,2,,,,,,
Hillary Clinton,President,,Democrat,Calhoun,,1910,,2,,,,,,
Donald J. Trump,President,,Republican,Calhoun,,4390,TRUE,2,,,,,,
Darrell Castle,President,,Constitution,Calhoun,,26,,2,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Calhoun,,5,,2,,,,,,
Jim Hedges,President,,Prohibition,Calhoun,,5,,2,,,,,,
Gary Johnson,President,,Libertarian,Calhoun,,49,,2,,,,,,
Jill Stein,President,,Green,Calhoun,,11,,2,,,,,,
Trent Kelly,U.S.House,1,Republican,Calhoun,,4616,TRUE,2,,,,,,
Jacob Owens,U.S.House,1,Democrat,Calhoun,,1534,,2,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Calhoun,,67,,2,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Calhoun,,70,,2,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
