page,county,precinct,office,district,party,candidate,votes,winner
2,Amite,Ariel,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Ariel,President,,Democrat,Martin O'Mailey,0,
2,Amite,Ariel,President,,Democrat,Bernie Sanders,12,
2,Amite,Ariel,President,,Democrat,Willie Wilson,0,
2,Amite,Ariel,U.S. House,3,Republican,Jimmy Giles,4,
2,Amite,Ariel,U.S. House,3,Republican,Gregg Harper,25,
2,Amite,Ariel,U.S. House,3,Democrat,Dennis C. Quinn,84,
2,Amite,Ariel,U.S. House,3,Democrat,Nathan Stewart,27,
2,Amite,Berwick,President,,Republican,Jeb Bush,0,
2,Amite,Berwick,President,,Republican,Ben Carson,0,
2,Amite,Berwick,President,,Republican,Chris Christie,0,
2,Amite,Berwick,President,,Republican,Ted Cruz,19,
2,Amite,Berwick,President,,Republican,Carly Florina,0,
2,Amite,Berwick,President,,Republican,Lindsey Graham,0,
2,Amite,Berwick,President,,Republican,Mike Huckabee,0,
2,Amite,Berwick,President,,Republican,John R. Kaisch,0,
2,Amite,Berwick,President,,Republican,George Pataki,0,
2,Amite,Berwick,President,,Republican,Rand Paul,0,
2,Amite,Berwick,President,,Republican,Marco Rubio,0,
2,Amite,Berwick,President,,Republican,Rick Santorum,0,
2,Amite,Berwick,President,,Republican,Donald J. Trump,28,
2,Amite,Berwick,President,,Democrat,Hillary Clinton,127,
2,Amite,Berwick,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Berwick,President,,Democrat,Martin O'Mailey,2,
2,Amite,Berwick,President,,Democrat,Bernie Sanders,4,
2,Amite,Berwick,President,,Democrat,Willie Wilson,0,
2,Amite,Berwick,U.S. House,3,Republican,Jimmy Giles,5,
2,Amite,Berwick,U.S. House,3,Republican,Gregg Harper,39,
2,Amite,Berwick,U.S. House,3,Democrat,Dennis C. Quinn,69,
2,Amite,Berwick,U.S. House,3,Democrat,Nathan Stewart,48,
2,Amite,Crosby,President,,Republican,Jeb Bush,0,
2,Amite,Crosby,President,,Republican,Ben Carson,0,
2,Amite,Crosby,President,,Republican,Chris Christie,0,
2,Amite,Crosby,President,,Republican,Ted Cruz,20,
2,Amite,Crosby,President,,Republican,Carly Florina,0,
2,Amite,Crosby,President,,Republican,Lindsey Graham,0,
2,Amite,Crosby,President,,Republican,Mike Huckabee,0,
2,Amite,Crosby,President,,Republican,John R. Kaisch,1,
2,Amite,Crosby,President,,Republican,George Pataki,0,
2,Amite,Crosby,President,,Republican,Rand Paul,0,
2,Amite,Crosby,President,,Republican,Marco Rubio,2,
2,Amite,Crosby,President,,Republican,Rick Santorum,0,
2,Amite,Crosby,President,,Republican,Donald J. Trump,39,
2,Amite,Crosby,President,,Democrat,Hillary Clinton,58,
2,Amite,Crosby,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Crosby,President,,Democrat,Martin O'Mailey,0,
2,Amite,Crosby,President,,Democrat,Bernie Sanders,4,
2,Amite,Crosby,President,,Democrat,Willie Wilson,2,
2,Amite,Crosby,U.S. House,3,Republican,Jimmy Giles,6,
2,Amite,Crosby,U.S. House,3,Republican,Gregg Harper,51,
2,Amite,Crosby,U.S. House,3,Democrat,Dennis C. Quinn,41,
2,Amite,Crosby,U.S. House,3,Democrat,Nathan Stewart,12,
2,Amite,East Centerville,President,,Republican,Jeb Bush,0,
2,Amite,East Centerville,President,,Republican,Ben Carson,0,
2,Amite,East Centerville,President,,Republican,Chris Christie,0,
2,Amite,East Centerville,President,,Republican,Ted Cruz,49,
2,Amite,East Centerville,President,,Republican,Carly Florina,0,
2,Amite,East Centerville,President,,Republican,Lindsey Graham,0,
2,Amite,East Centerville,President,,Republican,Mike Huckabee,0,
2,Amite,East Centerville,President,,Republican,John R. Kaisch,3,
2,Amite,East Centerville,President,,Republican,George Pataki,0,
2,Amite,East Centerville,President,,Republican,Rand Paul,0,
2,Amite,East Centerville,President,,Republican,Marco Rubio,8,
2,Amite,East Centerville,President,,Republican,Rick Santorum,0,
2,Amite,East Centerville,President,,Republican,Donald J. Trump,51,
2,Amite,East Centerville,President,,Democrat,Hillary Clinton,59,
2,Amite,East Centerville,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,East Centerville,President,,Democrat,Martin O'Mailey,0,
2,Amite,East Centerville,President,,Democrat,Bernie Sanders,6,
2,Amite,East Centerville,President,,Democrat,Willie Wilson,0,
2,Amite,East Centerville,U.S. House,3,Republican,Jimmy Giles,10,
2,Amite,East Centerville,U.S. House,3,Republican,Gregg Harper,89,
2,Amite,East Centerville,U.S. House,3,Democrat,Dennis C. Quinn,30,
2,Amite,East Centerville,U.S. House,3,Democrat,Nathan Stewart,29,
2,Amite,East Fork,President,,Republican,Jeb Bush,5,
2,Amite,East Fork,President,,Republican,Ben Carson,1,
2,Amite,East Fork,President,,Republican,Chris Christie,0,
2,Amite,East Fork,President,,Republican,Ted Cruz,61,
2,Amite,East Fork,President,,Republican,Carly Florina,0,
2,Amite,East Fork,President,,Republican,Lindsey Graham,0,
2,Amite,East Fork,President,,Republican,Mike Huckabee,0,
2,Amite,East Fork,President,,Republican,John R. Kaisch,9,
2,Amite,East Fork,President,,Republican,George Pataki,0,
2,Amite,East Fork,President,,Republican,Rand Paul,0,
2,Amite,East Fork,President,,Republican,Marco Rubio,5,
2,Amite,East Fork,President,,Republican,Rick Santorum,0,
2,Amite,East Fork,President,,Republican,Donald J. Trump,102,
2,Amite,East Fork,President,,Democrat,Hillary Clinton,28,
2,Amite,East Fork,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,East Fork,President,,Democrat,Martin O'Mailey,0,
2,Amite,East Fork,President,,Democrat,Bernie Sanders,12,
2,Amite,East Fork,President,,Democrat,Willie Wilson,0,
2,Amite,East Fork,U.S. House,3,Republican,Jimmy Giles,18,
2,Amite,East Fork,U.S. House,3,Republican,Gregg Harper,161,
2,Amite,East Fork,U.S. House,3,Democrat,Dennis C. Quinn,25,
2,Amite,East Fork,U.S. House,3,Democrat,Nathan Stewart,6,
2,Amite,East Gloster,President,,Republican,Jeb Bush,2,
2,Amite,East Gloster,President,,Republican,Ben Carson,1,
2,Amite,East Gloster,President,,Republican,Chris Christie,0,
2,Amite,East Gloster,President,,Republican,Ted Cruz,34,
2,Amite,East Gloster,President,,Republican,Carly Florina,0,
2,Amite,East Gloster,President,,Republican,Lindsey Graham,0,
2,Amite,East Gloster,President,,Republican,Mike Huckabee,0,
2,Amite,East Gloster,President,,Republican,John R. Kaisch,8,
2,Amite,East Gloster,President,,Republican,George Pataki,0,
2,Amite,East Gloster,President,,Republican,Rand Paul,0,
2,Amite,East Gloster,President,,Republican,Marco Rubio,5,
2,Amite,East Gloster,President,,Republican,Rick Santorum,0,
2,Amite,East Gloster,President,,Republican,Donald J. Trump,60,
2,Amite,East Gloster,President,,Democrat,Hillary Clinton,36,
2,Amite,East Gloster,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,East Gloster,President,,Democrat,Martin O'Mailey,0,
2,Amite,East Gloster,President,,Democrat,Bernie Sanders,3,
2,Amite,East Gloster,President,,Democrat,Willie Wilson,1,
2,Amite,East Gloster,U.S. House,3,Republican,Jimmy Giles,16,
2,Amite,East Gloster,U.S. House,3,Republican,Gregg Harper,90,
2,Amite,East Gloster,U.S. House,3,Democrat,Dennis C. Quinn,19,
2,Amite,East Gloster,U.S. House,3,Democrat,Nathan Stewart,12,
2,Amite,East Liberty,President,,Republican,Jeb Bush,0,
2,Amite,East Liberty,President,,Republican,Ben Carson,0,
2,Amite,East Liberty,President,,Republican,Chris Christie,0,
2,Amite,East Liberty,President,,Republican,Ted Cruz,60,
2,Amite,East Liberty,President,,Republican,Carly Florina,0,
2,Amite,East Liberty,President,,Republican,Lindsey Graham,0,
2,Amite,East Liberty,President,,Republican,Mike Huckabee,0,
2,Amite,East Liberty,President,,Republican,John R. Kaisch,3,
2,Amite,East Liberty,President,,Republican,George Pataki,0,
2,Amite,East Liberty,President,,Republican,Rand Paul,0,
2,Amite,East Liberty,President,,Republican,Marco Rubio,5,
2,Amite,East Liberty,President,,Republican,Rick Santorum,0,
2,Amite,East Liberty,President,,Republican,Donald J. Trump,40,
2,Amite,East Liberty,President,,Democrat,Hillary Clinton,32,
2,Amite,East Liberty,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,East Liberty,President,,Democrat,Martin O'Mailey,2,
2,Amite,East Liberty,President,,Democrat,Bernie Sanders,5,
2,Amite,East Liberty,President,,Democrat,Willie Wilson,0,
2,Amite,East Liberty,U.S. House,3,Republican,Jimmy Giles,12,
2,Amite,East Liberty,U.S. House,3,Republican,Gregg Harper,91,
2,Amite,East Liberty,U.S. House,3,Democrat,Dennis C. Quinn,18,
2,Amite,East Liberty,U.S. House,3,Democrat,Nathan Stewart,16,
2,Amite,Gloster,President,,Republican,Jeb Bush,1,
2,Amite,Gloster,President,,Republican,Ben Carson,0,
2,Amite,Gloster,President,,Republican,Chris Christie,0,
2,Amite,Gloster,President,,Republican,Ted Cruz,16,
2,Amite,Gloster,President,,Republican,Carly Florina,0,
2,Amite,Gloster,President,,Republican,Lindsey Graham,0,
2,Amite,Gloster,President,,Republican,Mike Huckabee,0,
2,Amite,Gloster,President,,Republican,John R. Kaisch,0,
2,Amite,Gloster,President,,Republican,George Pataki,0,
2,Amite,Gloster,President,,Republican,Rand Paul,0,
2,Amite,Gloster,President,,Republican,Marco Rubio,4,
2,Amite,Gloster,President,,Republican,Rick Santorum,0,
2,Amite,Gloster,President,,Republican,Donald J. Trump,26,
2,Amite,Gloster,President,,Democrat,Hillary Clinton,240,
2,Amite,Gloster,President,,Democrat,"Roque ""Rocky"" De Le Fuente",2,
2,Amite,Gloster,President,,Democrat,Martin O'Mailey,0,
2,Amite,Gloster,President,,Democrat,Bernie Sanders,12,
2,Amite,Gloster,President,,Democrat,Willie Wilson,1,
2,Amite,Gloster,U.S. House,3,Republican,Jimmy Giles,7,
2,Amite,Gloster,U.S. House,3,Republican,Gregg Harper,38,
2,Amite,Gloster,U.S. House,3,Democrat,Dennis C. Quinn,131,
2,Amite,Gloster,U.S. House,3,Democrat,Nathan Stewart,76,
2,Amite,Homochitto,President,,Republican,Jeb Bush,0,
2,Amite,Homochitto,President,,Republican,Ben Carson,0,
2,Amite,Homochitto,President,,Republican,Chris Christie,0,
2,Amite,Homochitto,President,,Republican,Ted Cruz,16,
2,Amite,Homochitto,President,,Republican,Carly Florina,0,
2,Amite,Homochitto,President,,Republican,Lindsey Graham,0,
2,Amite,Homochitto,President,,Republican,Mike Huckabee,1,
2,Amite,Homochitto,President,,Republican,John R. Kaisch,3,
2,Amite,Homochitto,President,,Republican,George Pataki,0,
2,Amite,Homochitto,President,,Republican,Rand Paul,0,
2,Amite,Homochitto,President,,Republican,Marco Rubio,0,
2,Amite,Homochitto,President,,Republican,Rick Santorum,0,
2,Amite,Homochitto,President,,Republican,Donald J. Trump,26,
2,Amite,Homochitto,President,,Democrat,Hillary Clinton,2,
2,Amite,Homochitto,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Homochitto,President,,Democrat,Martin O'Mailey,0,
2,Amite,Homochitto,President,,Democrat,Bernie Sanders,2,
2,Amite,Homochitto,President,,Democrat,Willie Wilson,1,
2,Amite,Homochitto,U.S. House,3,Republican,Jimmy Giles,7,
2,Amite,Homochitto,U.S. House,3,Republican,Gregg Harper,36,
2,Amite,Homochitto,U.S. House,3,Democrat,Dennis C. Quinn,3,
2,Amite,Homochitto,U.S. House,3,Democrat,Nathan Stewart,2,
2,Amite,Liberty,President,,Republican,Jeb Bush,1,
2,Amite,Liberty,President,,Republican,Ben Carson,5,
2,Amite,Liberty,President,,Republican,Chris Christie,0,
2,Amite,Liberty,President,,Republican,Ted Cruz,91,
2,Amite,Liberty,President,,Republican,Carly Florina,0,
2,Amite,Liberty,President,,Republican,Lindsey Graham,0,
2,Amite,Liberty,President,,Republican,Mike Huckabee,1,
2,Amite,Liberty,President,,Republican,John R. Kaisch,24,
2,Amite,Liberty,President,,Republican,George Pataki,0,
2,Amite,Liberty,President,,Republican,Rand Paul,2,
2,Amite,Liberty,President,,Republican,Marco Rubio,7,
2,Amite,Liberty,President,,Republican,Rick Santorum,0,
2,Amite,Liberty,President,,Republican,Donald J. Trump,111,
2,Amite,Liberty,President,,Democrat,Hillary Clinton,59,
2,Amite,Liberty,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
2,Amite,Liberty,President,,Democrat,Martin O'Mailey,0,
2,Amite,Liberty,President,,Democrat,Bernie Sanders,14,
2,Amite,Liberty,President,,Democrat,Willie Wilson,2,
2,Amite,Liberty,U.S. House,3,Republican,Jimmy Giles,22,
2,Amite,Liberty,U.S. House,3,Republican,Gregg Harper,208,
2,Amite,Liberty,U.S. House,3,Democrat,Dennis C. Quinn,40,
2,Amite,Liberty,U.S. House,3,Democrat,Nathan Stewart,31,
3,Amite,New Zion,President,,Republican,Jeb Bush,2,
3,Amite,New Zion,President,,Republican,Ben Carson,2,
3,Amite,New Zion,President,,Republican,Chris Christie,1,
3,Amite,New Zion,President,,Republican,Ted Cruz,76,
3,Amite,New Zion,President,,Republican,Carly Florina,0,
3,Amite,New Zion,President,,Republican,Lindsey Graham,0,
3,Amite,New Zion,President,,Republican,Mike Huckabee,1,
3,Amite,New Zion,President,,Republican,John R. Kaisch,9,
3,Amite,New Zion,President,,Republican,George Pataki,0,
3,Amite,New Zion,President,,Republican,Rand Paul,0,
3,Amite,New Zion,President,,Republican,Marco Rubio,6,
3,Amite,New Zion,President,,Republican,Rick Santorum,0,
3,Amite,New Zion,President,,Republican,Donald J. Trump,70,
3,Amite,New Zion,President,,Democrat,Hillary Clinton,26,
3,Amite,New Zion,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,New Zion,President,,Democrat,Martin O'Mailey,0,
3,Amite,New Zion,President,,Democrat,Bernie Sanders,4,
3,Amite,New Zion,President,,Democrat,Willie Wilson,0,
3,Amite,New Zion,U.S. House,3,Republican,Jimmy Giles,16,
3,Amite,New Zion,U.S. House,3,Republican,Gregg Harper,143,
3,Amite,New Zion,U.S. House,3,Democrat,Dennis C. Quinn,17,
3,Amite,New Zion,U.S. House,3,Democrat,Nathan Stewart,11,
3,Amite,Onell,President,,Republican,Jeb Bush,0,
3,Amite,Onell,President,,Republican,Ben Carson,0,
3,Amite,Onell,President,,Republican,Chris Christie,0,
3,Amite,Onell,President,,Republican,Ted Cruz,46,
3,Amite,Onell,President,,Republican,Carly Florina,0,
3,Amite,Onell,President,,Republican,Lindsey Graham,0,
3,Amite,Onell,President,,Republican,Mike Huckabee,0,
3,Amite,Onell,President,,Republican,John R. Kaisch,6,
3,Amite,Onell,President,,Republican,George Pataki,0,
3,Amite,Onell,President,,Republican,Rand Paul,0,
3,Amite,Onell,President,,Republican,Marco Rubio,4,
3,Amite,Onell,President,,Republican,Rick Santorum,1,
3,Amite,Onell,President,,Republican,Donald J. Trump,72,
3,Amite,Onell,President,,Democrat,Hillary Clinton,2,
3,Amite,Onell,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Onell,President,,Democrat,Martin O'Mailey,0,
3,Amite,Onell,President,,Democrat,Bernie Sanders,4,
3,Amite,Onell,President,,Democrat,Willie Wilson,0,
3,Amite,Onell,U.S. House,3,Republican,Jimmy Giles,23,
3,Amite,Onell,U.S. House,3,Republican,Gregg Harper,97,
3,Amite,Onell,U.S. House,3,Democrat,Dennis C. Quinn,4,
3,Amite,Onell,U.S. House,3,Democrat,Nathan Stewart,2,
3,Amite,Riceville,President,,Republican,Jeb Bush,0,
3,Amite,Riceville,President,,Republican,Ben Carson,2,
3,Amite,Riceville,President,,Republican,Chris Christie,0,
3,Amite,Riceville,President,,Republican,Ted Cruz,41,
3,Amite,Riceville,President,,Republican,Carly Florina,0,
3,Amite,Riceville,President,,Republican,Lindsey Graham,0,
3,Amite,Riceville,President,,Republican,Mike Huckabee,0,
3,Amite,Riceville,President,,Republican,John R. Kaisch,12,
3,Amite,Riceville,President,,Republican,George Pataki,0,
3,Amite,Riceville,President,,Republican,Rand Paul,0,
3,Amite,Riceville,President,,Republican,Marco Rubio,5,
3,Amite,Riceville,President,,Republican,Rick Santorum,0,
3,Amite,Riceville,President,,Republican,Donald J. Trump,53,
3,Amite,Riceville,President,,Democrat,Hillary Clinton,60,
3,Amite,Riceville,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Riceville,President,,Democrat,Martin O'Mailey,0,
3,Amite,Riceville,President,,Democrat,Bernie Sanders,5,
3,Amite,Riceville,President,,Democrat,Willie Wilson,1,
3,Amite,Riceville,U.S. House,3,Republican,Jimmy Giles,13,
3,Amite,Riceville,U.S. House,3,Republican,Gregg Harper,98,
3,Amite,Riceville,U.S. House,3,Democrat,Dennis C. Quinn,45,
3,Amite,Riceville,U.S. House,3,Democrat,Nathan Stewart,15,
3,Amite,Smithdale,President,,Republican,Jeb Bush,1,
3,Amite,Smithdale,President,,Republican,Ben Carson,1,
3,Amite,Smithdale,President,,Republican,Chris Christie,0,
3,Amite,Smithdale,President,,Republican,Ted Cruz,53,
3,Amite,Smithdale,President,,Republican,Carly Florina,0,
3,Amite,Smithdale,President,,Republican,Lindsey Graham,0,
3,Amite,Smithdale,President,,Republican,Mike Huckabee,0,
3,Amite,Smithdale,President,,Republican,John R. Kaisch,7,
3,Amite,Smithdale,President,,Republican,George Pataki,0,
3,Amite,Smithdale,President,,Republican,Rand Paul,0,
3,Amite,Smithdale,President,,Republican,Marco Rubio,1,
3,Amite,Smithdale,President,,Republican,Rick Santorum,0,
3,Amite,Smithdale,President,,Republican,Donald J. Trump,73,
3,Amite,Smithdale,President,,Democrat,Hillary Clinton,60,
3,Amite,Smithdale,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Smithdale,President,,Democrat,Martin O'Mailey,0,
3,Amite,Smithdale,President,,Democrat,Bernie Sanders,15,
3,Amite,Smithdale,President,,Democrat,Willie Wilson,1,
3,Amite,Smithdale,U.S. House,3,Republican,Jimmy Giles,12,
3,Amite,Smithdale,U.S. House,3,Republican,Gregg Harper,120,
3,Amite,Smithdale,U.S. House,3,Democrat,Dennis C. Quinn,23,
3,Amite,Smithdale,U.S. House,3,Democrat,Nathan Stewart,28,
3,Amite,South Liberty,President,,Republican,Jeb Bush,0,
3,Amite,South Liberty,President,,Republican,Ben Carson,0,
3,Amite,South Liberty,President,,Republican,Chris Christie,0,
3,Amite,South Liberty,President,,Republican,Ted Cruz,15,
3,Amite,South Liberty,President,,Republican,Carly Florina,0,
3,Amite,South Liberty,President,,Republican,Lindsey Graham,0,
3,Amite,South Liberty,President,,Republican,Mike Huckabee,0,
3,Amite,South Liberty,President,,Republican,John R. Kaisch,1,
3,Amite,South Liberty,President,,Republican,George Pataki,0,
3,Amite,South Liberty,President,,Republican,Rand Paul,0,
3,Amite,South Liberty,President,,Republican,Marco Rubio,1,
3,Amite,South Liberty,President,,Republican,Rick Santorum,0,
3,Amite,South Liberty,President,,Republican,Donald J. Trump,32,
3,Amite,South Liberty,President,,Democrat,Hillary Clinton,94,
3,Amite,South Liberty,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,South Liberty,President,,Democrat,Martin O'Mailey,0,
3,Amite,South Liberty,President,,Democrat,Bernie Sanders,9,
3,Amite,South Liberty,President,,Democrat,Willie Wilson,0,
3,Amite,South Liberty,U.S. House,3,Republican,Jimmy Giles,6,
3,Amite,South Liberty,U.S. House,3,Republican,Gregg Harper,41,
3,Amite,South Liberty,U.S. House,3,Democrat,Dennis C. Quinn,56,
3,Amite,South Liberty,U.S. House,3,Democrat,Nathan Stewart,26,
3,Amite,TangIpahoa,President,,Republican,Jeb Bush,0,
3,Amite,TangIpahoa,President,,Republican,Ben Carson,0,
3,Amite,TangIpahoa,President,,Republican,Chris Christie,0,
3,Amite,TangIpahoa,President,,Republican,Ted Cruz,81,
3,Amite,TangIpahoa,President,,Republican,Carly Florina,0,
3,Amite,TangIpahoa,President,,Republican,Lindsey Graham,1,
3,Amite,TangIpahoa,President,,Republican,Mike Huckabee,0,
3,Amite,TangIpahoa,President,,Republican,John R. Kaisch,25,
3,Amite,TangIpahoa,President,,Republican,George Pataki,0,
3,Amite,TangIpahoa,President,,Republican,Rand Paul,1,
3,Amite,TangIpahoa,President,,Republican,Marco Rubio,11,
3,Amite,TangIpahoa,President,,Republican,Rick Santorum,0,
3,Amite,TangIpahoa,President,,Republican,Donald J. Trump,121,
3,Amite,TangIpahoa,President,,Democrat,Hillary Clinton,21,
3,Amite,TangIpahoa,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,TangIpahoa,President,,Democrat,Martin O'Mailey,1,
3,Amite,TangIpahoa,President,,Democrat,Bernie Sanders,2,
3,Amite,TangIpahoa,President,,Democrat,Willie Wilson,1,
3,Amite,TangIpahoa,U.S. House,3,Republican,Jimmy Giles,28,
3,Amite,TangIpahoa,U.S. House,3,Republican,Gregg Harper,201,
3,Amite,TangIpahoa,U.S. House,3,Democrat,Dennis C. Quinn,17,
3,Amite,TangIpahoa,U.S. House,3,Democrat,Nathan Stewart,7,
3,Amite,Tickfaw,President,,Republican,Jeb Bush,0,
3,Amite,Tickfaw,President,,Republican,Ben Carson,0,
3,Amite,Tickfaw,President,,Republican,Chris Christie,0,
3,Amite,Tickfaw,President,,Republican,Ted Cruz,16,
3,Amite,Tickfaw,President,,Republican,Carly Florina,0,
3,Amite,Tickfaw,President,,Republican,Lindsey Graham,0,
3,Amite,Tickfaw,President,,Republican,Mike Huckabee,0,
3,Amite,Tickfaw,President,,Republican,John R. Kaisch,2,
3,Amite,Tickfaw,President,,Republican,George Pataki,0,
3,Amite,Tickfaw,President,,Republican,Rand Paul,0,
3,Amite,Tickfaw,President,,Republican,Marco Rubio,2,
3,Amite,Tickfaw,President,,Republican,Rick Santorum,0,
3,Amite,Tickfaw,President,,Republican,Donald J. Trump,38,
3,Amite,Tickfaw,President,,Democrat,Hillary Clinton,64,
3,Amite,Tickfaw,President,,Democrat,"Roque ""Rocky"" De Le Fuente",1,
3,Amite,Tickfaw,President,,Democrat,Martin O'Mailey,0,
3,Amite,Tickfaw,President,,Democrat,Bernie Sanders,4,
3,Amite,Tickfaw,President,,Democrat,Willie Wilson,1,
3,Amite,Tickfaw,U.S. House,3,Republican,Jimmy Giles,14,
3,Amite,Tickfaw,U.S. House,3,Republican,Gregg Harper,42,
3,Amite,Tickfaw,U.S. House,3,Democrat,Dennis C. Quinn,43,
3,Amite,Tickfaw,U.S. House,3,Democrat,Nathan Stewart,13,
3,Amite,Vance Park,President,,Republican,Jeb Bush,5,
3,Amite,Vance Park,President,,Republican,Ben Carson,1,
3,Amite,Vance Park,President,,Republican,Chris Christie,0,
3,Amite,Vance Park,President,,Republican,Ted Cruz,27,
3,Amite,Vance Park,President,,Republican,Carly Florina,0,
3,Amite,Vance Park,President,,Republican,Lindsey Graham,0,
3,Amite,Vance Park,President,,Republican,Mike Huckabee,0,
3,Amite,Vance Park,President,,Republican,John R. Kaisch,0,
3,Amite,Vance Park,President,,Republican,George Pataki,0,
3,Amite,Vance Park,President,,Republican,Rand Paul,0,
3,Amite,Vance Park,President,,Republican,Marco Rubio,7,
3,Amite,Vance Park,President,,Republican,Rick Santorum,0,
3,Amite,Vance Park,President,,Republican,Donald J. Trump,35,
3,Amite,Vance Park,President,,Democrat,Hillary Clinton,14,
3,Amite,Vance Park,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Vance Park,President,,Democrat,Martin O'Mailey,0,
3,Amite,Vance Park,President,,Democrat,Bernie Sanders,3,
3,Amite,Vance Park,President,,Democrat,Willie Wilson,0,
3,Amite,Vance Park,U.S. House,3,Republican,Jimmy Giles,6,
3,Amite,Vance Park,U.S. House,3,Republican,Gregg Harper,67,
3,Amite,Vance Park,U.S. House,3,Democrat,Dennis C. Quinn,10,
3,Amite,Vance Park,U.S. House,3,Democrat,Nathan Stewart,5,
3,Amite,Walls,President,,Republican,Jeb Bush,0,
3,Amite,Walls,President,,Republican,Ben Carson,2,
3,Amite,Walls,President,,Republican,Chris Christie,1,
3,Amite,Walls,President,,Republican,Ted Cruz,52,
3,Amite,Walls,President,,Republican,Carly Florina,1,
3,Amite,Walls,President,,Republican,Lindsey Graham,0,
3,Amite,Walls,President,,Republican,Mike Huckabee,1,
3,Amite,Walls,President,,Republican,John R. Kaisch,15,
3,Amite,Walls,President,,Republican,George Pataki,0,
3,Amite,Walls,President,,Republican,Rand Paul,0,
3,Amite,Walls,President,,Republican,Marco Rubio,5,
3,Amite,Walls,President,,Republican,Rick Santorum,0,
3,Amite,Walls,President,,Republican,Donald J. Trump,107,
3,Amite,Walls,President,,Democrat,Hillary Clinton,81,
3,Amite,Walls,President,,Democrat,"Roque ""Rocky"" De Le Fuente",0,
3,Amite,Walls,President,,Democrat,Martin O'Mailey,0,
3,Amite,Walls,President,,Democrat,Bernie Sanders,2,
3,Amite,Walls,President,,Democrat,Willie Wilson,2,
3,Amite,Walls,U.S. House,3,Republican,Jimmy Giles,26,
3,Amite,Walls,U.S. House,3,Republican,Gregg Harper,149,
3,Amite,Walls,U.S. House,3,Democrat,Dennis C. Quinn,52,
3,Amite,Walls,U.S. House,3,Democrat,Nathan Stewart,17,
3,Amite,Zion Hill,President,,Republican,Jeb Bush,0,
