candidate,office,district,party,county,precinct,votes,winner,page
Gary Johnson,President,,Libertarian,Covington,Okahay,3,,2
Jill Stein,President,,Green,Covington,Okahay,1,,2
Gregg Harper,U.S. House,3,Republican,Covington,Okahay,131,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Okahay,422,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Okahay,10,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Okahay,3,,2
Hillary Clinton,President,,Democrat,Covington,Richmond,37,,2
Donald J. Trump,President,,Republican,Covington,Richmond,634,,2
Darrell Castle,President,,Constitution,Covington,Richmond,1,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Richmond,2,,2
Jim Hedges,President,,Prohibition,Covington,Richmond,0,,2
Gary Johnson,President,,Libertarian,Covington,Richmond,8,,2
Jill Stein,President,,Green,Covington,Richmond,0,,2
Gregg Harper,U.S. House,3,Republican,Covington,Richmond,600,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Richmond,39,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Richmond,25,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Richmond,5,,2
Hillary Clinton,President,,Democrat,Covington,Rock Hill,15,,2
Donald J. Trump,President,,Republican,Covington,Rock Hill,109,,2
Darrell Castle,President,,Constitution,Covington,Rock Hill,0,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Rock Hill,0,,2
Jim Hedges,President,,Prohibition,Covington,Rock Hill,1,,2
Gary Johnson,President,,Libertarian,Covington,Rock Hill,4,,2
Jill Stein,President,,Green,Covington,Rock Hill,0,,2
Gregg Harper,U.S. House,3,Republican,Covington,Rock Hill,106,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Rock Hill,9,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Rock Hill,9,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Rock Hill,1,,2
Hillary Clinton,President,,Democrat,Covington,Sanford,63,,2
Donald J. Trump,President,,Republican,Covington,Sanford,692,,2
Darrell Castle,President,,Constitution,Covington,Sanford,2,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Sanford,0,,2
Jim Hedges,President,,Prohibition,Covington,Sanford,0,,2
Gary Johnson,President,,Libertarian,Covington,Sanford,6,,2
Jill Stein,President,,Green,Covington,Sanford,1,,2
Gregg Harper,U.S. House,3,Republican,Covington,Sanford,653,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Sanford,58,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Sanford,31,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Sanford,1,,2
Hillary Clinton,President,,Democrat,Covington,Seminary,160,,2
Donald J. Trump,President,,Republican,Covington,Seminary,1285,,2
Darrell Castle,President,,Constitution,Covington,Seminary,4,,2
Rocky' Roque De La Fuente,President,,American Delta,Covington,Seminary,0,,2
Jim Hedges,President,,Prohibition,Covington,Seminary,0,,2
Gary Johnson,President,,Libertarian,Covington,Seminary,8,,2
Jill Stein,President,,Green,Covington,Seminary,1,,2
Gregg Harper,U.S. House,3,Republican,Covington,Seminary,1240,,2
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Seminary,140,,2
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Seminary,52,,2
Lajena Sheets,U.S. House,3,Reform,Covington,Seminary,6,,2
Hillary Clinton,President,,Democrat,Covington,South Collins,44,,3
Donald J. Trump,President,,Republican,Covington,South Collins,278,,3
Darrell Castle,President,,Constitution,Covington,South Collins,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,South Collins,0,,3
Jim Hedges,President,,Prohibition,Covington,South Collins,0,,3
Gary Johnson,President,,Libertarian,Covington,South Collins,5,,3
Jill Stein,President,,Green,Covington,South Collins,0,,3
Gregg Harper,U.S. House,3,Republican,Covington,South Collins,272,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,South Collins,34,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,South Collins,15,,3
Lajena Sheets,U.S. House,3,Reform,Covington,South Collins,2,,3
Hillary Clinton,President,,Democrat,Covington,Station Creek,273,,3
Donald J. Trump,President,,Republican,Covington,Station Creek,108,,3
Darrell Castle,President,,Constitution,Covington,Station Creek,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,Station Creek,0,,3
Jim Hedges,President,,Prohibition,Covington,Station Creek,0,,3
Gary Johnson,President,,Libertarian,Covington,Station Creek,1,,3
Jill Stein,President,,Green,Covington,Station Creek,0,,3
Gregg Harper,U.S. House,3,Republican,Covington,Station Creek,126,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Station Creek,225,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Station Creek,8,,3
Lajena Sheets,U.S. House,3,Reform,Covington,Station Creek,2,,3
Hillary Clinton,President,,Democrat,Covington,Strahan,33,,3
Donald J. Trump,President,,Republican,Covington,Strahan,95,,3
Darrell Castle,President,,Constitution,Covington,Strahan,1,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,Strahan,0,,3
Jim Hedges,President,,Prohibition,Covington,Strahan,0,,3
Gary Johnson,President,,Libertarian,Covington,Strahan,1,,3
Jill Stein,President,,Green,Covington,Strahan,0,,3
Gregg Harper,U.S. House,3,Republican,Covington,Strahan,98,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Strahan,23,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Strahan,2,,3
Lajena Sheets,U.S. House,3,Reform,Covington,Strahan,2,,3
Hillary Clinton,President,,Democrat,Covington,West Collins,10,,3
Donald J. Trump,President,,Republican,Covington,West Collins,84,,3
Darrell Castle,President,,Constitution,Covington,West Collins,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,West Collins,0,,3
Jim Hedges,President,,Prohibition,Covington,West Collins,0,,3
Gary Johnson,President,,Libertarian,Covington,West Collins,3,,3
Jill Stein,President,,Green,Covington,West Collins,0,,3
Gregg Harper,U.S. House,3,Republican,Covington,West Collins,85,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,West Collins,4,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,West Collins,4,,3
Lajena Sheets,U.S. House,3,Reform,Covington,West Collins,1,,3
Hillary Clinton,President,,Democrat,Covington,Williamsburg,54,,3
Donald J. Trump,President,,Republican,Covington,Williamsburg,215,,3
Darrell Castle,President,,Constitution,Covington,Williamsburg,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,Williamsburg,0,,3
Jim Hedges,President,,Prohibition,Covington,Williamsburg,0,,3
Gary Johnson,President,,Libertarian,Covington,Williamsburg,3,,3
Jill Stein,President,,Green,Covington,Williamsburg,1,,3
Gregg Harper,U.S. House,3,Republican,Covington,Williamsburg,228,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Williamsburg,31,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Williamsburg,8,,3
Lajena Sheets,U.S. House,3,Reform,Covington,Williamsburg,3,,3
Hillary Clinton,President,,Democrat,Covington,Yawn,71,,3
Donald J. Trump,President,,Republican,Covington,Yawn,198,,3
Darrell Castle,President,,Constitution,Covington,Yawn,0,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,Yawn,0,,3
Jim Hedges,President,,Prohibition,Covington,Yawn,0,,3
Gary Johnson,President,,Libertarian,Covington,Yawn,1,,3
Jill Stein,President,,Green,Covington,Yawn,2,,3
Gregg Harper,U.S. House,3,Republican,Covington,Yawn,184,,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,Yawn,66,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,Yawn,16,,3
Lajena Sheets,U.S. House,3,Reform,Covington,Yawn,0,,3
Hillary Clinton,President,,Democrat,Covington,,3276,,3
Donald J. Trump,President,,Republican,Covington,,5435,TRUE,3
Darrell Castle,President,,Constitution,Covington,,20,,3
Rocky' Roque De La Fuente,President,,American Delta,Covington,,4,,3
Jim Hedges,President,,Prohibition,Covington,,3,,3
Gary Johnson,President,,Libertarian,Covington,,61,,3
Jill Stein,President,,Green,Covington,,12,,3
Gregg Harper,U.S. House,3,Republican,Covington,,5503,TRUE,3
Dennis C. Quinn,U.S. House,3,Democrat,Covington,,2740,,3
Roger I. Gerrard,U.S. House,3,Veterans,Covington,,282,,3
Lajena Sheets,U.S. House,3,Reform,Covington,,63,,3
