104000,10000,county,precinct,office,district,candidate,party,votes
140005,15001,Attala,Ethel,State Treasurer,,Lynn Fitch,Republican,147
140005,15002,Attala,Ethel,State Treasurer,,Viola V. McFarland,Reform,17
140005,16001,Attala,Ethel,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,46
140005,16002,Attala,Ethel,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,136
140005,16003,Attala,Ethel,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,1
140005,18014,Attala,Ethel,State Senate,14,Lydia Graves Chassaniol,Republican,109
140005,18014,Attala,Ethel,State Senate,14,Georgio Proctor,Democrat,56
140005,18014,Attala,Ethel,State Senate,14,Donny Ryals,Independent,15
140005,18035,Attala,Ethel,State House,35,Joey Hood,Republican,16
140005,18035,Attala,Ethel,State House,35,Patrick Warner,Democrat,11
140005,18048,Attala,Ethel,State House,48,Jill Butler,Democrat,50
140005,18048,Attala,Ethel,State House,48,Jason White,Republican,106
104006,10001,Attala,Hesterville,Governor,,Phil Bryant,Republican,102
104006,10002,Attala,Hesterville,Governor,,Robert Gray,Democrat,12
104006,10003,Attala,Hesterville,Governor,,Shawn O'Hara,Reform,2
104006,11001,Attala,Hesterville,Lieutenant Governor,,Tim Johnson,Democrat,55
104006,11002,Attala,Hesterville,Lieutenant Governor,,Tate Reeves,Republican,58
104006,11003,Attala,Hesterville,Lieutenant Governor,,Ron Williams,Libertarian,2
104006,11004,Attala,Hesterville,Lieutenant Governor,,Rosa B. Williams,Reform,0
104006,12001,Attala,Hesterville,Secretary of State,,Charles E. Graham,Democrat,19
104006,12002,Attala,Hesterville,Secretary of State,,Delbert Hosemann,Republican,87
104006,12003,Attala,Hesterville,Secretary of State,,Randy Walker,Reform,6
104006,13001,Attala,Hesterville,Attorney General,,Jim Hood,Democrat,61
104006,13002,Attala,Hesterville,Attorney General,,Mike Hurst,Republican,55
104006,14001,Attala,Hesterville,State Auditor,,Stacey E. Pickering,Democrat,97
104006,14002,Attala,Hesterville,State Auditor,,Joceyln Pepper Pritchett,Republican,15
104006,14003,Attala,Hesterville,State Auditor,,Lajena Walley,Reform,1
104006,15001,Attala,Hesterville,State Treasurer,,Lynn Fitch,Republican,101
104006,15002,Attala,Hesterville,State Treasurer,,Viola V. McFarland,Reform,9
104006,16001,Attala,Hesterville,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,18
104006,16002,Attala,Hesterville,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,91
104006,16003,Attala,Hesterville,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,3
104006,18014,Attala,Hesterville,State Senate,14,Lydia Graves Chassaniol,Republican,81
104006,18014,Attala,Hesterville,State Senate,14,Georgio Proctor,Democrat,21
104006,18014,Attala,Hesterville,State Senate,14,Donny Ryals,Independent,7
104006,19048,Attala,Hesterville,State House,48,Jill Butler,Democrat,22
104006,19048,Attala,Hesterville,State House,48,Jason White,Republican,91
104007,10001,Attala,Liberty Chapel,Governor,,Phil Bryant,Republican,112
104007,10002,Attala,Liberty Chapel,Governor,,Robert Gray,Democrat,31
104007,10003,Attala,Liberty Chapel,Governor,,Shawn O'Hara,Reform,1
104007,11001,Attala,Liberty Chapel,Lieutenant Governor,,Tim Johnson,Democrat,67
104007,11002,Attala,Liberty Chapel,Lieutenant Governor,,Tate Reeves,Republican,74
104007,11003,Attala,Liberty Chapel,Lieutenant Governor,,Ron Williams,Libertarian,1
104007,11004,Attala,Liberty Chapel,Lieutenant Governor,,Rosa B. Williams,Reform,0
104007,12001,Attala,Liberty Chapel,Secretary of State,,Charles E. Graham,Democrat,31
104007,12002,Attala,Liberty Chapel,Secretary of State,,Delbert Hosemann,Republican,111
104007,12003,Attala,Liberty Chapel,Secretary of State,,Randy Walker,Reform,0
104007,13001,Attala,Liberty Chapel,Attorney General,,Jim Hood,Democrat,68
104007,13002,Attala,Liberty Chapel,Attorney General,,Mike Hurst,Republican,72
104007,14001,Attala,Liberty Chapel,State Auditor,,Stacey E. Pickering,Democrat,106
104007,14002,Attala,Liberty Chapel,State Auditor,,Joceyln Pepper Pritchett,Republican,32
104007,14003,Attala,Liberty Chapel,State Auditor,,Lajena Walley,Reform,2
104007,15001,Attala,Liberty Chapel,State Treasurer,,Lynn Fitch,Republican,117
104007,15002,Attala,Liberty Chapel,State Treasurer,,Viola V. McFarland,Reform,12
104007,16001,Attala,Liberty Chapel,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,31
104007,16002,Attala,Liberty Chapel,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,108
104007,16003,Attala,Liberty Chapel,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,2
104007,18014,Attala,Liberty Chapel,State Senate,14,Lydia Graves Chassaniol,Republican,97
104007,18014,Attala,Liberty Chapel,State Senate,14,Georgio Proctor,Democrat,31
104007,18014,Attala,Liberty Chapel,State Senate,14,Donny Ryals,Independent,9
104007,19048,Attala,Liberty Chapel,State House,48,Jill Butler,Democrat,38
104007,19048,Attala,Liberty Chapel,State House,48,Jason White,Republican,103
104008,10001,Attala,Mcadams,Governor,,Phil Bryant,Republican,96
104008,10002,Attala,Mcadams,Governor,,Robert Gray,Democrat,69
104008,10003,Attala,Mcadams,Governor,,Shawn O'Hara,Reform,1
104008,11001,Attala,Mcadams,Lieutenant Governor,,Tim Johnson,Democrat,91
104008,11002,Attala,Mcadams,Lieutenant Governor,,Tate Reeves,Republican,69
104008,11003,Attala,Mcadams,Lieutenant Governor,,Ron Williams,Libertarian,3
104008,11004,Attala,Mcadams,Lieutenant Governor,,Rosa B. Williams,Reform,2
104008,12001,Attala,Mcadams,Secretary of State,,Charles E. Graham,Democrat,77
104008,12002,Attala,Mcadams,Secretary of State,,Delbert Hosemann,Republican,82
104008,12003,Attala,Mcadams,Secretary of State,,Randy Walker,Reform,5
104008,13001,Attala,Mcadams,Attorney General,,Jim Hood,Democrat,112
104008,13002,Attala,Mcadams,Attorney General,,Mike Hurst,Republican,51
104008,14001,Attala,Mcadams,State Auditor,,Stacey E. Pickering,Democrat,93
104008,14002,Attala,Mcadams,State Auditor,,Joceyln Pepper Pritchett,Republican,68
104008,14003,Attala,Mcadams,State Auditor,,Lajena Walley,Reform,2
104008,15001,Attala,Mcadams,State Treasurer,,Lynn Fitch,Republican,121
104008,15002,Attala,Mcadams,State Treasurer,,Viola V. McFarland,Reform,14
104008,16001,Attala,Mcadams,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,77
104008,16002,Attala,Mcadams,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,83
104008,16003,Attala,Mcadams,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,4
104008,18021,Attala,Mcadams,State Senate,21,Barbara Blackmon,Democrat,140
104008,19047,Attala,Mcadams,State House,47,Bryant W. Clark,Democrat,142
104009,10001,Attala,Mccool,Governor,,Phil Bryant,Republican,105
104009,10002,Attala,Mccool,Governor,,Robert Gray,Democrat,48
104009,10003,Attala,Mccool,Governor,,Shawn O'Hara,Reform,1
104009,11001,Attala,Mccool,Lieutenant Governor,,Tim Johnson,Democrat,79
104009,11002,Attala,Mccool,Lieutenant Governor,,Tate Reeves,Republican,73
104009,11003,Attala,Mccool,Lieutenant Governor,,Ron Williams,Libertarian,1
104009,11004,Attala,Mccool,Lieutenant Governor,,Rosa B. Williams,Reform,3
104009,12001,Attala,Mccool,Secretary of State,,Charles E. Graham,Democrat,58
104009,12002,Attala,Mccool,Secretary of State,,Delbert Hosemann,Republican,97
104009,12003,Attala,Mccool,Secretary of State,,Randy Walker,Reform,3
104009,13001,Attala,Mccool,Attorney General,,Jim Hood,Democrat,98
104009,13002,Attala,Mccool,Attorney General,,Mike Hurst,Republican,61
104009,14001,Attala,Mccool,State Auditor,,Stacey E. Pickering,Democrat,105
104009,14002,Attala,Mccool,State Auditor,,Joceyln Pepper Pritchett,Republican,50
104009,14003,Attala,Mccool,State Auditor,,Lajena Walley,Reform,2
104009,15001,Attala,Mccool,State Treasurer,,Lynn Fitch,Republican,114
104009,15002,Attala,Mccool,State Treasurer,,Viola V. McFarland,Reform,27
104009,16001,Attala,Mccool,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,57
104009,16002,Attala,Mccool,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,99
104009,16003,Attala,Mccool,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,3
104009,18014,Attala,Mccool,State Senate,14,Lydia Graves Chassaniol,Republican,86
104009,18014,Attala,Mccool,State Senate,14,Georgio Proctor,Democrat,51
104009,18014,Attala,Mccool,State Senate,14,Donny Ryals,Independent,8
104009,19035,Attala,Mccool,State House,35,Joey Hood,Republican,78
104009,19035,Attala,Mccool,State House,35,Patrick Warner,Democrat,78
104010,10001,Attala,Newport,Governor,,Phil Bryant,Republican,106
104010,10002,Attala,Newport,Governor,,Robert Gray,Democrat,58
104010,10003,Attala,Newport,Governor,,Shawn O'Hara,Reform,2
104010,11001,Attala,Newport,Lieutenant Governor,,Tim Johnson,Democrat,89
104010,11002,Attala,Newport,Lieutenant Governor,,Tate Reeves,Republican,74
104010,11003,Attala,Newport,Lieutenant Governor,,Ron Williams,Libertarian,1
104010,11004,Attala,Newport,Lieutenant Governor,,Rosa B. Williams,Reform,1
104010,12001,Attala,Newport,Secretary of State,,Charles E. Graham,Democrat,67
104010,12002,Attala,Newport,Secretary of State,,Delbert Hosemann,Republican,90
104010,12003,Attala,Newport,Secretary of State,,Randy Walker,Reform,7
104010,13001,Attala,Newport,Attorney General,,Jim Hood,Democrat,104
104010,13002,Attala,Newport,Attorney General,,Mike Hurst,Republican,61
104010,14001,Attala,Newport,State Auditor,,Stacey E. Pickering,Democrat,98
104010,14002,Attala,Newport,State Auditor,,Joceyln Pepper Pritchett,Republican,60
104010,14003,Attala,Newport,State Auditor,,Lajena Walley,Reform,0
104010,15001,Attala,Newport,State Treasurer,,Lynn Fitch,Republican,115
104010,15002,Attala,Newport,State Treasurer,,Viola V. McFarland,Reform,27
104010,16001,Attala,Newport,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,63
104010,16002,Attala,Newport,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,101
104010,16003,Attala,Newport,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0
104010,18021,Attala,Newport,State Senate,21,Barbara Blackmon,Democrat,131
104010,19027,Attala,Newport,State House,27,Ricky Dewayne Gill,Republican,80
104010,19027,Attala,Newport,State House,27,Kenneth Walker,Democrat,74
104011,10001,Attala,North Central,Governor,,Phil Bryant,Republican,151
104011,10002,Attala,North Central,Governor,,Robert Gray,Democrat,17
104011,10003,Attala,North Central,Governor,,Shawn O'Hara,Reform,1
104011,11001,Attala,North Central,Lieutenant Governor,,Tim Johnson,Democrat,78
104011,11002,Attala,North Central,Lieutenant Governor,,Tate Reeves,Republican,85
104011,11003,Attala,North Central,Lieutenant Governor,,Ron Williams,Libertarian,3
104011,11004,Attala,North Central,Lieutenant Governor,,Rosa B. Williams,Reform,1
104011,12001,Attala,North Central,Secretary of State,,Charles E. Graham,Democrat,14
104011,12002,Attala,North Central,Secretary of State,,Delbert Hosemann,Republican,150
104011,12003,Attala,North Central,Secretary of State,,Randy Walker,Reform,3
104011,13001,Attala,North Central,Attorney General,,Jim Hood,Democrat,93
104011,13002,Attala,North Central,Attorney General,,Mike Hurst,Republican,73
104011,14001,Attala,North Central,State Auditor,,Stacey E. Pickering,Democrat,151
104011,14002,Attala,North Central,State Auditor,,Joceyln Pepper Pritchett,Republican,15
104011,14003,Attala,North Central,State Auditor,,Lajena Walley,Reform,0
104011,15001,Attala,North Central,State Treasurer,,Lynn Fitch,Republican,155
104011,15002,Attala,North Central,State Treasurer,,Viola V. McFarland,Reform,8
104011,16001,Attala,North Central,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,17
104011,16002,Attala,North Central,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,147
104011,16003,Attala,North Central,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0
104011,18021,Attala,North Central,State Senate,21,Barbara Blackmon,Democrat,122
104011,19048,Attala,North Central,State House,48,Jill Butler,Democrat,28
104011,19048,Attala,North Central,State House,48,Jason White,Republican,141
104012,10001,Attala,North East,Governor,,Phil Bryant,Republican,198
104012,10002,Attala,North East,Governor,,Robert Gray,Democrat,317
104012,10003,Attala,North East,Governor,,Shawn O'Hara,Reform,4
104012,11001,Attala,North East,Lieutenant Governor,,Tim Johnson,Democrat,397
104012,11002,Attala,North East,Lieutenant Governor,,Tate Reeves,Republican,107
104012,11003,Attala,North East,Lieutenant Governor,,Ron Williams,Libertarian,17
104012,11004,Attala,North East,Lieutenant Governor,,Rosa B. Williams,Reform,5
104012,12001,Attala,North East,Secretary of State,,Charles E. Graham,Democrat,332
104012,12002,Attala,North East,Secretary of State,,Delbert Hosemann,Republican,173
104012,12003,Attala,North East,Secretary of State,,Randy Walker,Reform,16
104012,13001,Attala,North East,Attorney General,,Jim Hood,Democrat,429
104012,13002,Attala,North East,Attorney General,,Mike Hurst,Republican,90
104012,14001,Attala,North East,State Auditor,,Stacey E. Pickering,Democrat,183
104012,14002,Attala,North East,State Auditor,,Joceyln Pepper Pritchett,Republican,327
104012,14003,Attala,North East,State Auditor,,Lajena Walley,Reform,3
104012,15001,Attala,North East,State Treasurer,,Lynn Fitch,Republican,264
104012,15002,Attala,North East,State Treasurer,,Viola V. McFarland,Reform,146
104012,16001,Attala,North East,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,339
104012,16002,Attala,North East,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,172
104012,16003,Attala,North East,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,4
104012,18021,Attala,North East,State Senate,21,Barbara Blackmon,Democrat,464
104012,18027,Attala,North East,State House,27,Ricky Dewayne Gill,Republican,88
104012,18027,Attala,North East,State House,27,Kenneth Walker,Democrat,306
104012,19048,Attala,North East,State House,48,Jill Butler,Democrat,65
104012,19048,Attala,North East,State House,48,Jason White,Republican,57
104013,10001,Attala,North West,Governor,,Phil Bryant,Republican,169
104013,10002,Attala,North West,Governor,,Robert Gray,Democrat,99
104013,10003,Attala,North West,Governor,,Shawn O'Hara,Reform,3
104013,11001,Attala,North West,Lieutenant Governor,,Tim Johnson,Democrat,163
104013,11002,Attala,North West,Lieutenant Governor,,Tate Reeves,Republican,102
104013,11003,Attala,North West,Lieutenant Governor,,Ron Williams,Libertarian,4
104013,11004,Attala,North West,Lieutenant Governor,,Rosa B. Williams,Reform,1
104013,12001,Attala,North West,Secretary of State,,Charles E. Graham,Democrat,97
104013,12002,Attala,North West,Secretary of State,,Delbert Hosemann,Republican,158
104013,12003,Attala,North West,Secretary of State,,Randy Walker,Reform,13
104013,13001,Attala,North West,Attorney General,,Jim Hood,Democrat,157
104013,13002,Attala,North West,Attorney General,,Mike Hurst,Republican,114
104013,14001,Attala,North West,State Auditor,,Stacey E. Pickering,Democrat,164
104013,14002,Attala,North West,State Auditor,,Joceyln Pepper Pritchett,Republican,102
104013,14003,Attala,North West,State Auditor,,Lajena Walley,Reform,3
104013,15001,Attala,North West,State Treasurer,,Lynn Fitch,Republican,188
104013,15002,Attala,North West,State Treasurer,,Viola V. McFarland,Reform,65
104013,16001,Attala,North West,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,103
104013,16002,Attala,North West,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,166
104013,16003,Attala,North West,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,2
104013,18021,Attala,North West,State Senate,21,Barbara Blackmon,Democrat,210
104013,18027,Attala,North West,State House,27,Ricky Dewayne Gill,Republican,77
104013,18027,Attala,North West,State House,27,Kenneth Walker,Democrat,87
104013,19048,Attala,North West,State House,48,Jill Butler,Democrat,39
104013,19048,Attala,North West,State House,48,Jason White,Republican,64
104014,10001,Attala,Possumneck,Governor,,Phil Bryant,Republican,112
104014,10002,Attala,Possumneck,Governor,,Robert Gray,Democrat,44
104014,10003,Attala,Possumneck,Governor,,Shawn O'Hara,Reform,1
104014,11001,Attala,Possumneck,Lieutenant Governor,,Tim Johnson,Democrat,75
104014,11002,Attala,Possumneck,Lieutenant Governor,,Tate Reeves,Republican,74
104014,11003,Attala,Possumneck,Lieutenant Governor,,Ron Williams,Libertarian,2
104014,11004,Attala,Possumneck,Lieutenant Governor,,Rosa B. Williams,Reform,1
104014,12001,Attala,Possumneck,Secretary of State,,Charles E. Graham,Democrat,52
104014,12002,Attala,Possumneck,Secretary of State,,Delbert Hosemann,Republican,98
104014,12003,Attala,Possumneck,Secretary of State,,Randy Walker,Reform,4
104014,13001,Attala,Possumneck,Attorney General,,Jim Hood,Democrat,96
104014,13002,Attala,Possumneck,Attorney General,,Mike Hurst,Republican,59
104014,14001,Attala,Possumneck,State Auditor,,Stacey E. Pickering,Democrat,105
104014,14002,Attala,Possumneck,State Auditor,,Joceyln Pepper Pritchett,Republican,44
104014,14003,Attala,Possumneck,State Auditor,,Lajena Walley,Reform,1
104014,15001,Attala,Possumneck,State Treasurer,,Lynn Fitch,Republican,128
104014,15002,Attala,Possumneck,State Treasurer,,Viola V. McFarland,Reform,19
104014,16001,Attala,Possumneck,Commissioner of Agriculture & Commerce,,Addie Lee Green,Democrat,47
104014,16002,Attala,Possumneck,Commissioner of Agriculture & Commerce,,Cindy Hyde-Smith,Republican,105
104014,16003,Attala,Possumneck,Commissioner of Agriculture & Commerce,,Cathy L. Toole,Reform,0
104014,18021,Attala,Possumneck,State Senate,21,Barbara Blackmon,Democrat,112
104014,19048,Attala,Possumneck,State House,48,Jill Butler,Democrat,55
104014,19048,Attala,Possumneck,State House,48,Jason White,Republican,102
104015,10001,Attala,Providence,Governor,,Phil Bryant,Republican,156
104015,10002,Attala,Providence,Governor,,Robert Gray,Democrat,14
104015,10003,Attala,Providence,Governor,,Shawn O'Hara,Reform,2
104015,11001,Attala,Providence,Lieutenant Governor,,Tim Johnson,Democrat,59
104015,11002,Attala,Providence,Lieutenant Governor,,Tate Reeves,Republican,109
104015,11003,Attala,Providence,Lieutenant Governor,,Ron Williams,Libertarian,2
104015,11004,Attala,Providence,Lieutenant Governor,,Rosa B. Williams,Reform,0
