candidate,office,district,party,county,votes
Hester Jackson-McCray,State House,40,D,Adams,
Francis J. Miller,State House,40,D,Adams,
Eugene Crosby,State House,42,D,Adams,
Reecy Lathan Dickson,State House,42,D,Adams,
Carl L. Mickens,State House,42,D,Adams,
Clark Adams,State House,45,D,Adams,
Michael Ted Evans,State House,45,D,Adams,
Oscar Denton,State House,55,D,Adams,
Chris Green,State House,55,D,Adams,
Arrick Rice,State House,55,D,Adams,
Deborah Butler Dixon,State House,63,D,Adams,
Machelle Shelby Kyles,State House,63,D,Adams,
Christopher M. Bell,State House,65,D,Adams,
Arqullas Coleman,State House,65,D,Adams,
James Covington,State House,65,D,Adams,
Jarvis Dortch,State House,66,D,Adams,
Brad A. Oberhousen,State House,66,D,Adams,
Credell Calhoun,State House,68,D,Adams,
Kenneth Shearrill,State House,68,D,Adams,
Alyce Griffin Clarke,State House,69,D,Adams,
Plavise Patty Patterson,State House,69,D,Adams,
Samuel Lee Begley,State House,70,D,Adams,
Tammy Cotton,State House,70,D,Adams,
Kathy Sykes,State House,70,D,Adams,
Kimberly L. Campbell,State House,72,D,Adams,
Corinthian Sanders,State House,72,D,Adams,
Allen Burks,State House,85,D,Adams,
Maurice Hudson,State House,85,D,Adams,
America Chuck Middleton,State House,85,D,Adams,
Tasha Dillon,State House,98,D,Adams,
David W. Myers,State House,98,D,Adams,
Jeramey D. Anderson,State House,110,D,Adams,
Mitch Ellerby,State House,110,D,Adams,
Hunter Dawkins,State House,121,D,Adams,
Brian Pearse,State House,121,D,Adams,
Robert Gray,Governor,,D,Alcorn,3822
Valerie Adream Smartt Short,Governor,,D,Alcorn,797
Vicki Slater,Governor,,D,Alcorn,1626
Jelani Barr,Lt. Governor,,D,Alcorn,974
Tim Johnson,Lt. Governor,,D,Alcorn,5213
Steve Hale,State Senate,10,D,Alcorn,
Bill Stone,State Senate,10,D,Alcorn,
Clara/Claire Dawkins-Davis,State Senate,11,D,Alcorn,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Alcorn,
Robert L. Jackson,State Senate,11,D,Alcorn,
Barbara Blackmon,State Senate,21,D,Alcorn,
Kenneth Wayne Jones,State Senate,21,D,Alcorn,
John Horhn,State Senate,26,D,Alcorn,
Stephen Thompson,State Senate,26,D,Alcorn,
David Blount,State Senate,29,D,Alcorn,
Eclecius L. Franklin,State Senate,29,D,Alcorn,
Kathryn Michell Orey Perry,State Senate,29,D,Alcorn,
Keith K. Jackson,State Senate,32,D,Alcorn,
"Sampson Jackson, II",State Senate,32,D,Alcorn,
Juan Barnett,State Senate,34,D,Alcorn,
Trey Chinn,State Senate,34,D,Alcorn,
Deborah Shelby Woullard,State Senate,34,D,Alcorn,
Albert Butler,State Senate,36,D,Alcorn,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Alcorn,
Jeffery Coach Harness,State Senate,36,D,Alcorn,
Etta Batteaste-Taplin,State Senate,37,D,Alcorn,
Bob M. Dearing,State Senate,37,D,Alcorn,
Angela Baker Brooks,State Senate,38,D,Alcorn,
Albert Eubanks,State Senate,38,D,Alcorn,
Gregory Harris,State Senate,38,D,Alcorn,
"Daryl L. Porter, Jr.",State Senate,38,D,Alcorn,
Tammy Felder Witherspoon,State Senate,38,D,Alcorn,
Deborah Dawkins,State Senate,48,D,Alcorn,
"Joseph B. Piernas, Sr.",State Senate,48,D,Alcorn,
Lauren Childers,State House,3,D,Alcorn,444
Jimmy Wayne Russell,State House,3,D,Alcorn,254
John Faulkner,State House,5,D,Alcorn,
Jacqueline Simon,State House,5,D,Alcorn,
Cedric Burnett,State House,9,D,Alcorn,
Marilyn L. Young,State House,9,D,Alcorn,
Michael Cathey,State House,11,D,Alcorn,
Lataisha M. Jackson,State House,11,D,Alcorn,
Jim Newman,State House,17,D,Alcorn,
Charles Penson,State House,17,D,Alcorn,
Sanford Johnson,State House,26,D,Alcorn,
Orlando W. Paden,State House,26,D,Alcorn,
Leroy Lacy,State House,27,D,Alcorn,
"Bulus E. Leflore, Jr.",State House,27,D,Alcorn,
Kenneth Walker,State House,27,D,Alcorn,
Robert E. Huddleston,State House,30,D,Alcorn,
Zack Huffman,State House,30,D,Alcorn,
Tracey Rosebud,State House,30,D,Alcorn,
Lester Williams,State House,30,D,Alcorn,
Charles Modley,State House,31,D,Alcorn,
Sara Richardson Thomas,State House,31,D,Alcorn,
Reta Holden,State House,34,D,Alcorn,
Kevin Horan,State House,34,D,Alcorn,
Jimmy Davidson,State House,36,D,Alcorn,
Karl Malinski Gibbs,State House,36,D,Alcorn,
"Edward N. Houston, Jr.",State House,36,D,Alcorn,
Hester Jackson-McCray,State House,40,D,Alcorn,
Francis J. Miller,State House,40,D,Alcorn,
Eugene Crosby,State House,42,D,Alcorn,
Reecy Lathan Dickson,State House,42,D,Alcorn,
Carl L. Mickens,State House,42,D,Alcorn,
Clark Adams,State House,45,D,Alcorn,
Michael Ted Evans,State House,45,D,Alcorn,
Oscar Denton,State House,55,D,Alcorn,
Chris Green,State House,55,D,Alcorn,
Arrick Rice,State House,55,D,Alcorn,
Deborah Butler Dixon,State House,63,D,Alcorn,
Machelle Shelby Kyles,State House,63,D,Alcorn,
Christopher M. Bell,State House,65,D,Alcorn,
Arqullas Coleman,State House,65,D,Alcorn,
James Covington,State House,65,D,Alcorn,
Jarvis Dortch,State House,66,D,Alcorn,
Brad A. Oberhousen,State House,66,D,Alcorn,
Credell Calhoun,State House,68,D,Alcorn,
Kenneth Shearrill,State House,68,D,Alcorn,
Alyce Griffin Clarke,State House,69,D,Alcorn,
Plavise Patty Patterson,State House,69,D,Alcorn,
Samuel Lee Begley,State House,70,D,Alcorn,
Tammy Cotton,State House,70,D,Alcorn,
Kathy Sykes,State House,70,D,Alcorn,
Kimberly L. Campbell,State House,72,D,Alcorn,
Corinthian Sanders,State House,72,D,Alcorn,
Allen Burks,State House,85,D,Alcorn,
Maurice Hudson,State House,85,D,Alcorn,
America Chuck Middleton,State House,85,D,Alcorn,
Tasha Dillon,State House,98,D,Alcorn,
David W. Myers,State House,98,D,Alcorn,
Jeramey D. Anderson,State House,110,D,Alcorn,
Mitch Ellerby,State House,110,D,Alcorn,
Hunter Dawkins,State House,121,D,Alcorn,
Brian Pearse,State House,121,D,Alcorn,
Robert Gray,Governor,,D,Amite,1541
Valerie Adream Smartt Short,Governor,,D,Amite,892
Vicki Slater,Governor,,D,Amite,918
Jelani Barr,Lt. Governor,,D,Amite,936
Tim Johnson,Lt. Governor,,D,Amite,2292
Steve Hale,State Senate,10,D,Amite,
Bill Stone,State Senate,10,D,Amite,
Clara/Claire Dawkins-Davis,State Senate,11,D,Amite,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Amite,
Robert L. Jackson,State Senate,11,D,Amite,
Barbara Blackmon,State Senate,21,D,Amite,
Kenneth Wayne Jones,State Senate,21,D,Amite,
John Horhn,State Senate,26,D,Amite,
Stephen Thompson,State Senate,26,D,Amite,
David Blount,State Senate,29,D,Amite,
Eclecius L. Franklin,State Senate,29,D,Amite,
Kathryn Michell Orey Perry,State Senate,29,D,Amite,
Keith K. Jackson,State Senate,32,D,Amite,
"Sampson Jackson, II",State Senate,32,D,Amite,
Juan Barnett,State Senate,34,D,Amite,
Trey Chinn,State Senate,34,D,Amite,
Deborah Shelby Woullard,State Senate,34,D,Amite,
Albert Butler,State Senate,36,D,Amite,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Amite,
Jeffery Coach Harness,State Senate,36,D,Amite,
Etta Batteaste-Taplin,State Senate,37,D,Amite,2422
Bob M. Dearing,State Senate,37,D,Amite,4064
Angela Baker Brooks,State Senate,38,D,Amite,1472
Albert Eubanks,State Senate,38,D,Amite,37
Gregory Harris,State Senate,38,D,Amite,118
"Daryl L. Porter, Jr.",State Senate,38,D,Amite,126
Tammy Felder Witherspoon,State Senate,38,D,Amite,312
Deborah Dawkins,State Senate,48,D,Amite,312
"Joseph B. Piernas, Sr.",State Senate,48,D,Amite,
Lauren Childers,State House,3,D,Amite,
Jimmy Wayne Russell,State House,3,D,Amite,
John Faulkner,State House,5,D,Amite,
Jacqueline Simon,State House,5,D,Amite,
Cedric Burnett,State House,9,D,Amite,
Marilyn L. Young,State House,9,D,Amite,
Michael Cathey,State House,11,D,Amite,
Lataisha M. Jackson,State House,11,D,Amite,
Jim Newman,State House,17,D,Amite,
Charles Penson,State House,17,D,Amite,
Sanford Johnson,State House,26,D,Amite,
Orlando W. Paden,State House,26,D,Amite,
Leroy Lacy,State House,27,D,Amite,
"Bulus E. Leflore, Jr.",State House,27,D,Amite,
Kenneth Walker,State House,27,D,Amite,
Robert E. Huddleston,State House,30,D,Amite,
Zack Huffman,State House,30,D,Amite,
Tracey Rosebud,State House,30,D,Amite,
Lester Williams,State House,30,D,Amite,
Charles Modley,State House,31,D,Amite,
Sara Richardson Thomas,State House,31,D,Amite,
Reta Holden,State House,34,D,Amite,
Kevin Horan,State House,34,D,Amite,
Jimmy Davidson,State House,36,D,Amite,
Karl Malinski Gibbs,State House,36,D,Amite,
"Edward N. Houston, Jr.",State House,36,D,Amite,
Hester Jackson-McCray,State House,40,D,Amite,
Francis J. Miller,State House,40,D,Amite,
Eugene Crosby,State House,42,D,Amite,
Reecy Lathan Dickson,State House,42,D,Amite,
Carl L. Mickens,State House,42,D,Amite,
Clark Adams,State House,45,D,Amite,
Michael Ted Evans,State House,45,D,Amite,
Oscar Denton,State House,55,D,Amite,
Chris Green,State House,55,D,Amite,
Arrick Rice,State House,55,D,Amite,
Deborah Butler Dixon,State House,63,D,Amite,
Machelle Shelby Kyles,State House,63,D,Amite,
Christopher M. Bell,State House,65,D,Amite,
Arqullas Coleman,State House,65,D,Amite,
James Covington,State House,65,D,Amite,
Jarvis Dortch,State House,66,D,Amite,
Brad A. Oberhousen,State House,66,D,Amite,
Credell Calhoun,State House,68,D,Amite,
Kenneth Shearrill,State House,68,D,Amite,
Alyce Griffin Clarke,State House,69,D,Amite,
Plavise Patty Patterson,State House,69,D,Amite,
Samuel Lee Begley,State House,70,D,Amite,
Tammy Cotton,State House,70,D,Amite,
Kathy Sykes,State House,70,D,Amite,
Kimberly L. Campbell,State House,72,D,Amite,
Corinthian Sanders,State House,72,D,Amite,
Allen Burks,State House,85,D,Amite,
Maurice Hudson,State House,85,D,Amite,
America Chuck Middleton,State House,85,D,Amite,
Tasha Dillon,State House,98,D,Amite,
David W. Myers,State House,98,D,Amite,
Jeramey D. Anderson,State House,110,D,Amite,
Mitch Ellerby,State House,110,D,Amite,
Hunter Dawkins,State House,121,D,Amite,
Brian Pearse,State House,121,D,Amite,
Robert Gray,Governor,,D,Attala,2171
Valerie Adream Smartt Short,Governor,,D,Attala,501
Vicki Slater,Governor,,D,Attala,1508
Jelani Barr,Lt. Governor,,D,Attala,539
Tim Johnson,Lt. Governor,,D,Attala,4189
Steve Hale,State Senate,10,D,Attala,
Bill Stone,State Senate,10,D,Attala,
Clara/Claire Dawkins-Davis,State Senate,11,D,Attala,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Attala,
Robert L. Jackson,State Senate,11,D,Attala,
Barbara Blackmon,State Senate,21,D,Attala,1625
Kenneth Wayne Jones,State Senate,21,D,Attala,1338
John Horhn,State Senate,26,D,Attala,
Stephen Thompson,State Senate,26,D,Attala,
David Blount,State Senate,29,D,Attala,
Eclecius L. Franklin,State Senate,29,D,Attala,
Kathryn Michell Orey Perry,State Senate,29,D,Attala,
Keith K. Jackson,State Senate,32,D,Attala,
"Sampson Jackson, II",State Senate,32,D,Attala,
Juan Barnett,State Senate,34,D,Attala,
Trey Chinn,State Senate,34,D,Attala,
Deborah Shelby Woullard,State Senate,34,D,Attala,
Albert Butler,State Senate,36,D,Attala,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Attala,
Jeffery Coach Harness,State Senate,36,D,Attala,
Etta Batteaste-Taplin,State Senate,37,D,Attala,
Bob M. Dearing,State Senate,37,D,Attala,
Angela Baker Brooks,State Senate,38,D,Attala,
Albert Eubanks,State Senate,38,D,Attala,
Gregory Harris,State Senate,38,D,Attala,
"Daryl L. Porter, Jr.",State Senate,38,D,Attala,
Tammy Felder Witherspoon,State Senate,38,D,Attala,
Deborah Dawkins,State Senate,48,D,Attala,
"Joseph B. Piernas, Sr.",State Senate,48,D,Attala,
Lauren Childers,State House,3,D,Attala,
Jimmy Wayne Russell,State House,3,D,Attala,
John Faulkner,State House,5,D,Attala,
Jacqueline Simon,State House,5,D,Attala,
Cedric Burnett,State House,9,D,Attala,
Marilyn L. Young,State House,9,D,Attala,
Michael Cathey,State House,11,D,Attala,
Lataisha M. Jackson,State House,11,D,Attala,
Jim Newman,State House,17,D,Attala,
Charles Penson,State House,17,D,Attala,
Sanford Johnson,State House,26,D,Attala,
Orlando W. Paden,State House,26,D,Attala,
Leroy Lacy,State House,27,D,Attala,274
"Bulus E. Leflore, Jr.",State House,27,D,Attala,264
Kenneth Walker,State House,27,D,Attala,450
Robert E. Huddleston,State House,30,D,Attala,
Zack Huffman,State House,30,D,Attala,
Tracey Rosebud,State House,30,D,Attala,
Lester Williams,State House,30,D,Attala,
Charles Modley,State House,31,D,Attala,
Sara Richardson Thomas,State House,31,D,Attala,
Reta Holden,State House,34,D,Attala,
Kevin Horan,State House,34,D,Attala,
Jimmy Davidson,State House,36,D,Attala,
Karl Malinski Gibbs,State House,36,D,Attala,
"Edward N. Houston, Jr.",State House,36,D,Attala,
Hester Jackson-McCray,State House,40,D,Attala,
Francis J. Miller,State House,40,D,Attala,
Eugene Crosby,State House,42,D,Attala,
Reecy Lathan Dickson,State House,42,D,Attala,
Carl L. Mickens,State House,42,D,Attala,
Clark Adams,State House,45,D,Attala,
Michael Ted Evans,State House,45,D,Attala,
Oscar Denton,State House,55,D,Attala,
Chris Green,State House,55,D,Attala,
Arrick Rice,State House,55,D,Attala,
Deborah Butler Dixon,State House,63,D,Attala,
Machelle Shelby Kyles,State House,63,D,Attala,
Christopher M. Bell,State House,65,D,Attala,
Arqullas Coleman,State House,65,D,Attala,
James Covington,State House,65,D,Attala,
Jarvis Dortch,State House,66,D,Attala,
Brad A. Oberhousen,State House,66,D,Attala,
Credell Calhoun,State House,68,D,Attala,
Kenneth Shearrill,State House,68,D,Attala,
Alyce Griffin Clarke,State House,69,D,Attala,
Plavise Patty Patterson,State House,69,D,Attala,
Samuel Lee Begley,State House,70,D,Attala,
Tammy Cotton,State House,70,D,Attala,
Kathy Sykes,State House,70,D,Attala,
Kimberly L. Campbell,State House,72,D,Attala,
Corinthian Sanders,State House,72,D,Attala,
Allen Burks,State House,85,D,Attala,
Maurice Hudson,State House,85,D,Attala,
America Chuck Middleton,State House,85,D,Attala,
Tasha Dillon,State House,98,D,Attala,
David W. Myers,State House,98,D,Attala,
Jeramey D. Anderson,State House,110,D,Attala,
Mitch Ellerby,State House,110,D,Attala,
Hunter Dawkins,State House,121,D,Attala,
Brian Pearse,State House,121,D,Attala,
Robert Gray,Governor,,D,Benton,1776
Valerie Adream Smartt Short,Governor,,D,Benton,274
Vicki Slater,Governor,,D,Benton,763
Jelani Barr,Lt. Governor,,D,Benton,502
Tim Johnson,Lt. Governor,,D,Benton,2170
Steve Hale,State Senate,10,D,Benton,
Bill Stone,State Senate,10,D,Benton,
Clara/Claire Dawkins-Davis,State Senate,11,D,Benton,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Benton,
Robert L. Jackson,State Senate,11,D,Benton,
Barbara Blackmon,State Senate,21,D,Benton,
Kenneth Wayne Jones,State Senate,21,D,Benton,
John Horhn,State Senate,26,D,Benton,
Stephen Thompson,State Senate,26,D,Benton,
David Blount,State Senate,29,D,Benton,
Eclecius L. Franklin,State Senate,29,D,Benton,
Kathryn Michell Orey Perry,State Senate,29,D,Benton,
Keith K. Jackson,State Senate,32,D,Benton,
"Sampson Jackson, II",State Senate,32,D,Benton,
Juan Barnett,State Senate,34,D,Benton,
Trey Chinn,State Senate,34,D,Benton,
Deborah Shelby Woullard,State Senate,34,D,Benton,
Albert Butler,State Senate,36,D,Benton,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Benton,
Jeffery Coach Harness,State Senate,36,D,Benton,
Etta Batteaste-Taplin,State Senate,37,D,Benton,
Bob M. Dearing,State Senate,37,D,Benton,
Angela Baker Brooks,State Senate,38,D,Benton,
Albert Eubanks,State Senate,38,D,Benton,
Gregory Harris,State Senate,38,D,Benton,
"Daryl L. Porter, Jr.",State Senate,38,D,Benton,
Tammy Felder Witherspoon,State Senate,38,D,Benton,
Deborah Dawkins,State Senate,48,D,Benton,
"Joseph B. Piernas, Sr.",State Senate,48,D,Benton,
Lauren Childers,State House,3,D,Benton,
Jimmy Wayne Russell,State House,3,D,Benton,
John Faulkner,State House,5,D,Benton,552
Jacqueline Simon,State House,5,D,Benton,200
Cedric Burnett,State House,9,D,Benton,
Marilyn L. Young,State House,9,D,Benton,
Michael Cathey,State House,11,D,Benton,
Lataisha M. Jackson,State House,11,D,Benton,
Jim Newman,State House,17,D,Benton,
Charles Penson,State House,17,D,Benton,
Sanford Johnson,State House,26,D,Benton,
Orlando W. Paden,State House,26,D,Benton,
Leroy Lacy,State House,27,D,Benton,
"Bulus E. Leflore, Jr.",State House,27,D,Benton,
Kenneth Walker,State House,27,D,Benton,
Robert E. Huddleston,State House,30,D,Benton,
Zack Huffman,State House,30,D,Benton,
Tracey Rosebud,State House,30,D,Benton,
Lester Williams,State House,30,D,Benton,
Charles Modley,State House,31,D,Benton,
Sara Richardson Thomas,State House,31,D,Benton,
Reta Holden,State House,34,D,Benton,
Kevin Horan,State House,34,D,Benton,
Jimmy Davidson,State House,36,D,Benton,
Karl Malinski Gibbs,State House,36,D,Benton,
"Edward N. Houston, Jr.",State House,36,D,Benton,
Hester Jackson-McCray,State House,40,D,Benton,
Francis J. Miller,State House,40,D,Benton,
Eugene Crosby,State House,42,D,Benton,
Reecy Lathan Dickson,State House,42,D,Benton,
Carl L. Mickens,State House,42,D,Benton,
Clark Adams,State House,45,D,Benton,
Michael Ted Evans,State House,45,D,Benton,
Oscar Denton,State House,55,D,Benton,
Chris Green,State House,55,D,Benton,
Arrick Rice,State House,55,D,Benton,
Deborah Butler Dixon,State House,63,D,Benton,
Machelle Shelby Kyles,State House,63,D,Benton,
Christopher M. Bell,State House,65,D,Benton,
Arqullas Coleman,State House,65,D,Benton,
James Covington,State House,65,D,Benton,
Jarvis Dortch,State House,66,D,Benton,
Brad A. Oberhousen,State House,66,D,Benton,
Credell Calhoun,State House,68,D,Benton,
Kenneth Shearrill,State House,68,D,Benton,
Alyce Griffin Clarke,State House,69,D,Benton,
Plavise Patty Patterson,State House,69,D,Benton,
Samuel Lee Begley,State House,70,D,Benton,
Tammy Cotton,State House,70,D,Benton,
Kathy Sykes,State House,70,D,Benton,
Kimberly L. Campbell,State House,72,D,Benton,
Corinthian Sanders,State House,72,D,Benton,
Allen Burks,State House,85,D,Benton,
Maurice Hudson,State House,85,D,Benton,
America Chuck Middleton,State House,85,D,Benton,
Tasha Dillon,State House,98,D,Benton,
David W. Myers,State House,98,D,Benton,
Jeramey D. Anderson,State House,110,D,Benton,
Mitch Ellerby,State House,110,D,Benton,
Hunter Dawkins,State House,121,D,Benton,
Brian Pearse,State House,121,D,Benton,
Robert Gray,Governor,,D,Bolivar,3902
Valerie Adream Smartt Short,Governor,,D,Bolivar,1340
Vicki Slater,Governor,,D,Bolivar,1588
Jelani Barr,Lt. Governor,,D,Bolivar,1415
Tim Johnson,Lt. Governor,,D,Bolivar,5043
Steve Hale,State Senate,10,D,Bolivar,
Bill Stone,State Senate,10,D,Bolivar,
Clara/Claire Dawkins-Davis,State Senate,11,D,Bolivar,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Bolivar,
Robert L. Jackson,State Senate,11,D,Bolivar,
Barbara Blackmon,State Senate,21,D,Bolivar,
Kenneth Wayne Jones,State Senate,21,D,Bolivar,
John Horhn,State Senate,26,D,Bolivar,
Stephen Thompson,State Senate,26,D,Bolivar,
David Blount,State Senate,29,D,Bolivar,
Eclecius L. Franklin,State Senate,29,D,Bolivar,
Kathryn Michell Orey Perry,State Senate,29,D,Bolivar,
Keith K. Jackson,State Senate,32,D,Bolivar,
"Sampson Jackson, II",State Senate,32,D,Bolivar,
Juan Barnett,State Senate,34,D,Bolivar,
Trey Chinn,State Senate,34,D,Bolivar,
Deborah Shelby Woullard,State Senate,34,D,Bolivar,
Albert Butler,State Senate,36,D,Bolivar,
"Elvis E. Colenburg, Sr.",State Senate,36,D,Bolivar,
Jeffery Coach Harness,State Senate,36,D,Bolivar,
Etta Batteaste-Taplin,State Senate,37,D,Bolivar,
Bob M. Dearing,State Senate,37,D,Bolivar,
Angela Baker Brooks,State Senate,38,D,Bolivar,
Albert Eubanks,State Senate,38,D,Bolivar,
Gregory Harris,State Senate,38,D,Bolivar,
"Daryl L. Porter, Jr.",State Senate,38,D,Bolivar,
Tammy Felder Witherspoon,State Senate,38,D,Bolivar,
Deborah Dawkins,State Senate,48,D,Bolivar,
"Joseph B. Piernas, Sr.",State Senate,48,D,Bolivar,
Lauren Childers,State House,3,D,Bolivar,
Jimmy Wayne Russell,State House,3,D,Bolivar,
John Faulkner,State House,5,D,Bolivar,
Jacqueline Simon,State House,5,D,Bolivar,
Cedric Burnett,State House,9,D,Bolivar,
Marilyn L. Young,State House,9,D,Bolivar,
Michael Cathey,State House,11,D,Bolivar,
Lataisha M. Jackson,State House,11,D,Bolivar,
Jim Newman,State House,17,D,Bolivar,
Charles Penson,State House,17,D,Bolivar,
Sanford Johnson,State House,26,D,Bolivar,77
Orlando W. Paden,State House,26,D,Bolivar,66
Leroy Lacy,State House,27,D,Bolivar,
"Bulus E. Leflore, Jr.",State House,27,D,Bolivar,
Kenneth Walker,State House,27,D,Bolivar,
Robert E. Huddleston,State House,30,D,Bolivar,482
Zack Huffman,State House,30,D,Bolivar,508
Tracey Rosebud,State House,30,D,Bolivar,275
Lester Williams,State House,30,D,Bolivar,327
Charles Modley,State House,31,D,Bolivar,105
Sara Richardson Thomas,State House,31,D,Bolivar,155
Reta Holden,State House,34,D,Bolivar,
Kevin Horan,State House,34,D,Bolivar,
Jimmy Davidson,State House,36,D,Bolivar,
Karl Malinski Gibbs,State House,36,D,Bolivar,
"Edward N. Houston, Jr.",State House,36,D,Bolivar,
Hester Jackson-McCray,State House,40,D,Bolivar,
Francis J. Miller,State House,40,D,Bolivar,
Eugene Crosby,State House,42,D,Bolivar,
Reecy Lathan Dickson,State House,42,D,Bolivar,
Carl L. Mickens,State House,42,D,Bolivar,
Clark Adams,State House,45,D,Bolivar,
Michael Ted Evans,State House,45,D,Bolivar,
Oscar Denton,State House,55,D,Bolivar,
Chris Green,State House,55,D,Bolivar,
Arrick Rice,State House,55,D,Bolivar,
Deborah Butler Dixon,State House,63,D,Bolivar,
Machelle Shelby Kyles,State House,63,D,Bolivar,
Christopher M. Bell,State House,65,D,Bolivar,
Arqullas Coleman,State House,65,D,Bolivar,
James Covington,State House,65,D,Bolivar,
Jarvis Dortch,State House,66,D,Bolivar,
Brad A. Oberhousen,State House,66,D,Bolivar,
Credell Calhoun,State House,68,D,Bolivar,
Kenneth Shearrill,State House,68,D,Bolivar,
Alyce Griffin Clarke,State House,69,D,Bolivar,
Plavise Patty Patterson,State House,69,D,Bolivar,
Samuel Lee Begley,State House,70,D,Bolivar,
Tammy Cotton,State House,70,D,Bolivar,
Kathy Sykes,State House,70,D,Bolivar,
Kimberly L. Campbell,State House,72,D,Bolivar,
Corinthian Sanders,State House,72,D,Bolivar,
Allen Burks,State House,85,D,Bolivar,
Maurice Hudson,State House,85,D,Bolivar,
America Chuck Middleton,State House,85,D,Bolivar,
Tasha Dillon,State House,98,D,Bolivar,
David W. Myers,State House,98,D,Bolivar,
Jeramey D. Anderson,State House,110,D,Bolivar,
Mitch Ellerby,State House,110,D,Bolivar,
Hunter Dawkins,State House,121,D,Bolivar,
Brian Pearse,State House,121,D,Bolivar,
Robert Gray,Governor,,D,Calhoun,1234
Valerie Adream Smartt Short,Governor,,D,Calhoun,268
Vicki Slater,Governor,,D,Calhoun,618
Jelani Barr,Lt. Governor,,D,Calhoun,365
Tim Johnson,Lt. Governor,,D,Calhoun,1644
Steve Hale,State Senate,10,D,Calhoun,
Bill Stone,State Senate,10,D,Calhoun,
Clara/Claire Dawkins-Davis,State Senate,11,D,Calhoun,
"James Jimmy S. Edwards, Jr.",State Senate,11,D,Calhoun,
Robert L. Jackson,State Senate,11,D,Calhoun,
Barbara Blackmon,State Senate,21,D,Calhoun,
Kenneth Wayne Jones,State Senate,21,D,Calhoun,
John Horhn,State Senate,26,D,Calhoun,
Stephen Thompson,State Senate,26,D,Calhoun,
David Blount,State Senate,29,D,Calhoun,
Eclecius L. Franklin,State Senate,29,D,Calhoun,
Kathryn Michell Orey Perry,State Senate,29,D,Calhoun,
