candidate,office,district,party,county,precinct,votes,winner
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,Darling,12,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,District 3 North,144,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,District 3 North,213,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,District 3 North,13,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,District 3 North,7,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,District 3 South,147,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,District 3 South,177,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,District 3 South,9,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,District 3 South,8,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,Lambert,188,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,Lambert,69,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,Lambert,12,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,Lambert,18,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,North West Marks,271,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,North West Marks,128,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,North West Marks,15,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,North West Marks,20,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,Sledge,226,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,Sledge,52,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,Sledge,22,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,Sledge,28,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,South West Marks,157,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,South West Marks,83,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,South West Marks,11,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,South West Marks,16,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,West Lambert,174,
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,West Lambert,78,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,West Lambert,9,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,West Lambert,11,
Tim Johnson,Lieutenant Governor,,Democrat,Quitman,,,1482,1
Tate Reeves,Lieutenant Governor,,Republican,Quitman,,,1041,
Ron Williams,Lieutenant Governor,,Libertarian,Quitman,,,104,
Rosa B. Williams,Lieutenant Governor,,Reform,Quitman,,,137,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,Crenshaw,65,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,Crenshaw,4,
Randy Walker,Secretary of State,,Reform,Quitman,,Crenshaw,7,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,Crowder,50,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,Crowder,150,
Randy Walker,Secretary of State,,Reform,Quitman,,Crowder,27,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,Darling,100,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,Darling,34,
Randy Walker,Secretary of State,,Reform,Quitman,,Darling,7,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,District 3 North,154,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,District 3 North,185,
Randy Walker,Secretary of State,,Reform,Quitman,,District 3 North,20,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,District 3 South,158,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,District 3 South,155,
Randy Walker,Secretary of State,,Reform,Quitman,,District 3 South,19,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,Lambert,196,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,Lambert,62,
Randy Walker,Secretary of State,,Reform,Quitman,,Lambert,18,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,North West Marks,298,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,North West Marks,105,
Randy Walker,Secretary of State,,Reform,Quitman,,North West Marks,22,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,Sledge,259,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,Sledge,45,
Randy Walker,Secretary of State,,Reform,Quitman,,Sledge,22,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,South West Marks,179,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,South West Marks,65,
Randy Walker,Secretary of State,,Reform,Quitman,,South West Marks,16,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,West Lambert,185,
Delbert Hosemann,Secretary of State,,Republican,Quitman,,West Lambert,72,
Randy Walker,Secretary of State,,Reform,Quitman,,West Lambert,15,
Charles E. Graham,Secretary of State,,Democrat ,Quitman,,,1644,1
Delbert Hosemann,Secretary of State,,Republican,Quitman,,,877,
Randy Walker,Secretary of State,,Reform,Quitman,,,173,
Jim Hood,Attorney General,,Democrat,Quitman,,Crenshaw,67,
Mike Hurst,Attorney General,,Republican,Quitman,,Crenshaw,12,
Jim Hood,Attorney General,,Democrat,Quitman,,Crowder,109,
Mike Hurst,Attorney General,,Republican,Quitman,,Crowder,117,
Jim Hood,Attorney General,,Democrat,Quitman,,Darling,112,
Mike Hurst,Attorney General,,Republican,Quitman,,Darling,30,
Jim Hood,Attorney General,,Democrat,Quitman,,District 3 North,240,
Mike Hurst,Attorney General,,Republican,Quitman,,District 3 North,137,
Jim Hood,Attorney General,,Democrat,Quitman,,District 3 South,227,
Mike Hurst,Attorney General,,Republican,Quitman,,District 3 South,117,
Jim Hood,Attorney General,,Democrat,Quitman,,Lambert,233,
Mike Hurst,Attorney General,,Republican,Quitman,,Lambert,45,
Jim Hood,Attorney General,,Democrat,Quitman,,North West Marks,369,
Mike Hurst,Attorney General,,Republican,Quitman,,North West Marks,75,
Jim Hood,Attorney General,,Democrat,Quitman,,Sledge,272,
Mike Hurst,Attorney General,,Republican,Quitman,,Sledge,50,
Jim Hood,Attorney General,,Democrat,Quitman,,South West Marks,214,
Mike Hurst,Attorney General,,Republican,Quitman,,South West Marks,53,
Jim Hood,Attorney General,,Democrat,Quitman,,West Lambert,226,
Mike Hurst,Attorney General,,Republican,Quitman,,West Lambert,55,
Jim Hood,Attorney General,,Democrat,Quitman,,,2069,1
Mike Hurst,Attorney General,,Republican,Quitman,,,691,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,Crenshaw,13,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,Crenshaw,60,
Lajena Walley,State Auditor,,Reform,Quitman,,Crenshaw,4,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,Crowder,188,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,Crowder,34,
Lajena Walley,State Auditor,,Reform,Quitman,,Crowder,2,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,Darling,48,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,Darling,86,
Lajena Walley,State Auditor,,Reform,Quitman,,Darling,6,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,District 3 North,220,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,District 3 North,142,
Lajena Walley,State Auditor,,Reform,Quitman,,District 3 North,6,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,District 3 South,200,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,District 3 South,137,
Lajena Walley,State Auditor,,Reform,Quitman,,District 3 South,2,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,Lambert,77,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,Lambert,189,
Lajena Walley,State Auditor,,Reform,Quitman,,Lambert,11,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,North West Marks,137,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,North West Marks,291,
Lajena Walley,State Auditor,,Reform,Quitman,,North West Marks,7,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,Sledge,73,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,Sledge,242,
Lajena Walley,State Auditor,,Reform,Quitman,,Sledge,6,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,South West Marks,81,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,South West Marks,168,
Lajena Walley,State Auditor,,Reform,Quitman,,South West Marks,11,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,West Lambert,80,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,West Lambert,176,
Lajena Walley,State Auditor,,Reform,Quitman,,West Lambert,13,
Stacey E. Pickering,State Auditor,,Republican,Quitman,,,1117,
Jocelyn 'Joce' Pepper Pritchett,State Auditor,,Democrat,Quitman,,,1525,1
Lajena Walley,State Auditor,,Reform,Quitman,,,68,
Lynn Fitch,State Treasurer,,Republican,Quitman,,Crenshaw,24,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,Crenshaw,35,
Lynn Fitch,State Treasurer,,Republican,Quitman,,Crowder,196,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,Crowder,22,
Lynn Fitch,State Treasurer,,Republican,Quitman,,Darling,76,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,Darling,44,
Lynn Fitch,State Treasurer,,Republican,Quitman,,District 3 North,252,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,District 3 North,70,
Lynn Fitch,State Treasurer,,Republican,Quitman,,District 3 South,231,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,District 3 South,68,
Lynn Fitch,State Treasurer,,Republican,Quitman,,Lambert,130,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,Lambert,98,
Lynn Fitch,State Treasurer,,Republican,Quitman,,North West Marks,204,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,North West Marks,142,
Lynn Fitch,State Treasurer,,Republican,Quitman,,Sledge,140,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,Sledge,133,
Lynn Fitch,State Treasurer,,Republican,Quitman,,South West Marks,122,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,South West Marks,88,
Lynn Fitch,State Treasurer,,Republican,Quitman,,West Lambert,125,
Viola V. McFarland,State Treasurer,,Reform,Quitman,,West Lambert,98,
Lynn Fitch,State Treasurer,,Republican,Quitman,,,1500,1
Viola V. McFarland,State Treasurer,,Reform,Quitman,,,798,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,Crenshaw,65,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,Crenshaw,10,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,Crenshaw,3,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,Crowder,42,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,Crowder,173,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,Crowder,11,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,Darling,88,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,Darling,44,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,Darling,5,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,District 3 North,145,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,District 3 North,204,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,District 3 North,10,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,District 3 South,151,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,District 3 South,165,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,District 3 South,11,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,Lambert,186,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,Lambert,73,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,Lambert,12,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,North West Marks,284,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,North West Marks,129,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,North West Marks,17,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,Sledge,257,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,Sledge,55,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,Sledge,16,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,South West Marks,176,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,South West Marks,71,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,South West Marks,6,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,West Lambert,178,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,West Lambert,79,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,West Lambert,10,
Addie Lee Green,Commissioner of Agriculture & Commerce,,Democrat,Quitman,,,1572,1
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,Republican,Quitman,,,1003,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Quitman,,,101,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,Crenshaw,46,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,Crowder,212,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,Darling,106,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,District 3 North,284,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,District 3 South,259,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,Lambert,192,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,North West Marks,285,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,Sledge,235,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,South West Marks,160,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,West Lambert,182,
Mike Chaney,Commissioner of Insurance,,Republican,Quitman,,,1961,1
Robert L. Jackson,State Senate,11,Democrat,Quitman,,Crenshaw,77,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,Crowder,131,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,Darling,122,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,District 3 North,234,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,District 3 South,236,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,Lambert,248,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,North West Marks,351,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,Sledge,291,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,South West Marks,209,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,West Lambert,229,
Robert L. Jackson,State Senate,11,Democrat,Quitman,,,2128,1
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,Crenshaw,78,
Christopher Thomas,State House,9,Republican,Quitman,,Crenshaw,9,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,Crowder,51,
Christopher Thomas,State House,9,Republican,Quitman,,Crowder,166,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,Darling,107,
Christopher Thomas,State House,9,Republican,Quitman,,Darling,34,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,District 3 North,221,
Christopher Thomas,State House,9,Republican,Quitman,,District 3 North,154,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,District 3 South,190,
Christopher Thomas,State House,9,Republican,Quitman,,District 3 South,147,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,Lambert,224,
Christopher Thomas,State House,9,Republican,Quitman,,Lambert,55,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,North West Marks,365,
Christopher Thomas,State House,9,Republican,Quitman,,North West Marks,96,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,Sledge,295,
Christopher Thomas,State House,9,Republican,Quitman,,Sledge,43,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,South West Marks,212,
Christopher Thomas,State House,9,Republican,Quitman,,South West Marks,76,
Cedric 'Bam Bam' Burnett,State House,9,Democrat,Quitman,,,1743,1
Christopher Thomas,State House,9,Republican,Quitman,,,780,
Robert E. Huddleston,State House,30,Democrat,Quitman,,West Lambert,232,
Robert E. Huddleston,State House,30,Democrat,Quitman,,,232,1
