county ,precinct,office,district,party,candidate ,votes,winner
Perry,Beaumont Senior Citizens 5120,Public Service Commissioner,,Democrat,Tom Blanton ,56,
Perry,Beaumont Senior Citizens 5120,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",82,
Perry,Beaumont Senior Citizens 5120,Public Service Commissioner,,Reform,Lonny Kenneth Spence,3,
Perry,Beaumont Senior Citizens 5120,Secretary of State ,,Democrat,Charles E. Graham,40,
Perry,Beaumont Senior Citizens 5120,Secretary of State ,,Republican,Delbert Hoseman,103,
Perry,Beaumont Senior Citizens 5120,Secretary of State ,,Reform,Randy Walker,2,
Perry,Beaumont Senior Citizens 5120,State Auditor,,Republican,Stacey E. Pickering,106,
Perry,Beaumont Senior Citizens 5120,State Auditor,,Democrat,Jocelyn Pepper Pritchett,35,
Perry,Beaumont Senior Citizens 5120,State Auditor,,Reform,Lajena Wallay,5,
Perry,Beaumont Senior Citizens 5120,State House,105,Democrat,Dennis Cochran,93,
Perry,Beaumont Senior Citizens 5120,State House,105,Republican,Roun McNeal,50,
Perry,Beaumont Senior Citizens 5120,State Senate,45,Republican,Billy Hudson ,116,
Perry,Beaumont Senior Citizens 5120,State Senate,45,Reform,Eli Jackson ,21,
Perry,Beaumont Senior Citizens 5120,State Treasurer,,Republican,Lynn Fitch,116,
Perry,Beaumont Senior Citizens 5120,State Treasurer,,Reform,Viola V. McFarland,25,
Perry,Beaumont Senior Citizens 5120,Transportation Commissioner,,Reform,Sheranda Atkinson ,5,
Perry,Beaumont Senior Citizens 5120,Transportation Commissioner,,Republican,Tom King ,104,
Perry,Beaumont Senior Citizens 5120,Transportation Commissioner,,Democrat,Chad Toney ,35,
Perry,Courthouse 5110,Attorney General,,Democrat,Jim Hood,82,
Perry,Courthouse 5110,Attorney General,,Republican,Mike Hurst,139,
Perry,Courthouse 5110,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,179,
Perry,Courthouse 5110,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,24,
Perry,Courthouse 5110,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Perry,Courthouse 5110,Commissioner of Insurance,,Republican,Mike Chaney,202,
Perry,Courthouse 5110,District Attorney,12,Republican,Patricia Burchell,195,
Perry,Courthouse 5110,Governor,,Republican,Phil Bryant,200,
Perry,Courthouse 5110,Governor,,Reform,Shawn O'Hara,4,
Perry,Courthouse 5110,Governor ,,Democrat,Robert Gray,21,
Perry,Courthouse 5110,Lieutenant Governor,,Democrat,Tim Johnson,24,
Perry,Courthouse 5110,Lieutenant Governor,,Republican,Tate Reeves,175,
Perry,Courthouse 5110,Lieutenant Governor,,Libertarian,Ron Williams,17,
Perry,Courthouse 5110,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Perry,Courthouse 5110,Public Service Commissioner,,Democrat,Tom Blanton ,48,
Perry,Courthouse 5110,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",160,
Perry,Courthouse 5110,Public Service Commissioner,,Reform,Lonny Kenneth Spence,5,
Perry,Courthouse 5110,Secretary of State ,,Democrat,Charles E. Graham,23,
Perry,Courthouse 5110,Secretary of State ,,Republican,Delbert Hoseman,177,
Perry,Courthouse 5110,Secretary of State ,,Reform,Randy Walker,16,
Perry,Courthouse 5110,State Auditor,,Republican,Stacey E. Pickering,191,
Perry,Courthouse 5110,State Auditor,,Democrat,Jocelyn Pepper Pritchett,16,
Perry,Courthouse 5110,State Auditor,,Reform,Lajena Wallay,10,
Perry,Courthouse 5110,State House,105,Democrat,Dennis Cochran,109,
Perry,Courthouse 5110,State House,105,Republican,Roun McNeal,113,
Perry,Courthouse 5110,State Senate,45,Republican,Billy Hudson ,199,
Perry,Courthouse 5110,State Senate,45,Reform,Eli Jackson ,19,
Perry,Courthouse 5110,State Treasurer,,Republican,Lynn Fitch,201,
Perry,Courthouse 5110,State Treasurer,,Reform,Viola V. McFarland,16,
Perry,Courthouse 5110,Transportation Commissioner,,Reform,Sheranda Atkinson ,7,
Perry,Courthouse 5110,Transportation Commissioner,,Republican,Tom King ,192,
Perry,Courthouse 5110,Transportation Commissioner,,Democrat,Chad Toney ,15,
Perry,Deep Creek 5150,Attorney General,,Democrat,Jim Hood,27,
Perry,Deep Creek 5150,Attorney General,,Republican,Mike Hurst,27,
Perry,Deep Creek 5150,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,42,
Perry,Deep Creek 5150,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,11,
Perry,Deep Creek 5150,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Perry,Deep Creek 5150,Commissioner of Insurance,,Republican,Mike Chaney,49,
Perry,Deep Creek 5150,District Attorney,12,Republican,Patricia Burchell,43,
Perry,Deep Creek 5150,Governor,,Republican,Phil Bryant,47,
Perry,Deep Creek 5150,Governor,,Reform,Shawn O'Hara,0,
Perry,Deep Creek 5150,Governor ,,Democrat,Robert Gray,11,
Perry,Deep Creek 5150,Lieutenant Governor,,Democrat,Tim Johnson,11,
Perry,Deep Creek 5150,Lieutenant Governor,,Republican,Tate Reeves,41,
Perry,Deep Creek 5150,Lieutenant Governor,,Libertarian,Ron Williams,1,
Perry,Deep Creek 5150,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Perry,Deep Creek 5150,Public Service Commissioner,,Democrat,Tom Blanton ,13,
Perry,Deep Creek 5150,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",41,
Perry,Deep Creek 5150,Public Service Commissioner,,Reform,Lonny Kenneth Spence,1,
Perry,Deep Creek 5150,Secretary of State ,,Democrat,Charles E. Graham,11,
Perry,Deep Creek 5150,Secretary of State ,,Republican,Delbert Hoseman,40,
Perry,Deep Creek 5150,Secretary of State ,,Reform,Randy Walker,5,
Perry,Deep Creek 5150,State Auditor,,Republican,Stacey E. Pickering,42,
Perry,Deep Creek 5150,State Auditor,,Democrat,Jocelyn Pepper Pritchett,11,
Perry,Deep Creek 5150,State Auditor,,Reform,Lajena Wallay,1,
Perry,Deep Creek 5150,State House,105,Democrat,Dennis Cochran,31,
Perry,Deep Creek 5150,State House,105,Republican,Roun McNeal,24,
Perry,Deep Creek 5150,State Senate,45,Republican,Billy Hudson ,46,
Perry,Deep Creek 5150,State Senate,45,Reform,Eli Jackson ,4,
Perry,Deep Creek 5150,State Treasurer,,Republican,Lynn Fitch,46,
Perry,Deep Creek 5150,State Treasurer,,Reform,Viola V. McFarland,8,
Perry,Deep Creek 5150,Transportation Commissioner,,Reform,Sheranda Atkinson ,2,
Perry,Deep Creek 5150,Transportation Commissioner,,Republican,Tom King ,39,
Perry,Deep Creek 5150,Transportation Commissioner,,Democrat,Chad Toney ,16,
Perry,Hintonville 4090,Attorney General,,Democrat,Jim Hood,107,
Perry,Hintonville 4090,Attorney General,,Republican,Mike Hurst,83,
Perry,Hintonville 4090,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,126,
Perry,Hintonville 4090,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,57,
Perry,Hintonville 4090,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,Hintonville 4090,Commissioner of Insurance,,Republican,Mike Chaney,172,
Perry,Hintonville 4090,District Attorney,12,Republican,Patricia Burchell,165,
Perry,Hintonville 4090,Governor,,Republican,Phil Bryant,139,
Perry,Hintonville 4090,Governor,,Reform,Shawn O'Hara,2,
Perry,Hintonville 4090,Governor ,,Democrat,Robert Gray,51,
Perry,Hintonville 4090,Lieutenant Governor,,Democrat,Tim Johnson,50,
Perry,Hintonville 4090,Lieutenant Governor,,Republican,Tate Reeves,124,
Perry,Hintonville 4090,Lieutenant Governor,,Libertarian,Ron Williams,9,
Perry,Hintonville 4090,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Perry,Hintonville 4090,Public Service Commissioner,,Democrat,Tom Blanton ,77,
Perry,Hintonville 4090,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",105,
Perry,Hintonville 4090,Public Service Commissioner,,Reform,Lonny Kenneth Spence,6,
Perry,Hintonville 4090,Secretary of State ,,Democrat,Charles E. Graham,55,
Perry,Hintonville 4090,Secretary of State ,,Republican,Delbert Hoseman,130,
Perry,Hintonville 4090,Secretary of State ,,Reform,Randy Walker,1,
Perry,Hintonville 4090,State Auditor,,Republican,Stacey E. Pickering,130,
Perry,Hintonville 4090,State Auditor,,Democrat,Jocelyn Pepper Pritchett,53,
Perry,Hintonville 4090,State Auditor,,Reform,Lajena Wallay,4,
Perry,Hintonville 4090,State House,105,Democrat,Dennis Cochran,97,
Perry,Hintonville 4090,State House,105,Republican,Roun McNeal,92,
Perry,Hintonville 4090,State Senate,45,Republican,Billy Hudson ,153,
Perry,Hintonville 4090,State Senate,45,Reform,Eli Jackson ,28,
Perry,Hintonville 4090,State Treasurer,,Republican,Lynn Fitch,144,
Perry,Hintonville 4090,State Treasurer,,Reform,Viola V. McFarland,37,
Perry,Hintonville 4090,Transportation Commissioner,,Reform,Sheranda Atkinson ,5,
Perry,Hintonville 4090,Transportation Commissioner,,Republican,Tom King ,126,
Perry,Hintonville 4090,Transportation Commissioner,,Democrat,Chad Toney ,57,
Perry,Indian Springs 1010,Attorney General,,Democrat,Jim Hood,137,
Perry,Indian Springs 1010,Attorney General,,Republican,Mike Hurst,69,
Perry,Indian Springs 1010,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,116,
Perry,Indian Springs 1010,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,86,
Perry,Indian Springs 1010,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Perry,Indian Springs 1010,Commissioner of Insurance,,Republican,Mike Chaney,160,
Perry,Indian Springs 1010,District Attorney,12,Republican,Patricia Burchell,158,
Perry,Indian Springs 1010,Governor,,Republican,Phil Bryant,137,
Perry,Indian Springs 1010,Governor,,Reform,Shawn O'Hara,5,
Perry,Indian Springs 1010,Governor ,,Democrat,Robert Gray,65,
Perry,Indian Springs 1010,Lieutenant Governor,,Democrat,Tim Johnson,73,
Perry,Indian Springs 1010,Lieutenant Governor,,Republican,Tate Reeves,119,
Perry,Indian Springs 1010,Lieutenant Governor,,Libertarian,Ron Williams,5,
Perry,Indian Springs 1010,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Perry,Indian Springs 1010,Public Service Commissioner,,Democrat,Tom Blanton ,104,
Perry,Indian Springs 1010,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",96,
Perry,Indian Springs 1010,Public Service Commissioner,,Reform,Lonny Kenneth Spence,3,
Perry,Indian Springs 1010,Secretary of State ,,Democrat,Charles E. Graham,81,
Perry,Indian Springs 1010,Secretary of State ,,Republican,Delbert Hoseman,116,
Perry,Indian Springs 1010,Secretary of State ,,Reform,Randy Walker,5,
Perry,Indian Springs 1010,State Auditor,,Republican,Stacey E. Pickering,126,
Perry,Indian Springs 1010,State Auditor,,Democrat,Jocelyn Pepper Pritchett,71,
Perry,Indian Springs 1010,State Auditor,,Reform,Lajena Wallay,4,
Perry,Indian Springs 1010,State House,105,Democrat,Dennis Cochran,125,
Perry,Indian Springs 1010,State House,105,Republican,Roun McNeal,79,
Perry,Indian Springs 1010,State Senate,45,Republican,Billy Hudson ,146,
Perry,Indian Springs 1010,State Senate,45,Reform,Eli Jackson ,35,
Perry,Indian Springs 1010,State Treasurer,,Republican,Lynn Fitch,147,
Perry,Indian Springs 1010,State Treasurer,,Reform,Viola V. McFarland,42,
Perry,Indian Springs 1010,Transportation Commissioner,,Reform,Sheranda Atkinson ,5,
Perry,Indian Springs 1010,Transportation Commissioner,,Republican,Tom King ,119,
Perry,Indian Springs 1010,Transportation Commissioner,,Democrat,Chad Toney ,78,
Perry,Janice 5140,Attorney General,,Democrat,Jim Hood,137,
Perry,Janice 5140,Attorney General,,Republican,Mike Hurst,210,
Perry,Janice 5140,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,278,
Perry,Janice 5140,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,60,
Perry,Janice 5140,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,Janice 5140,Commissioner of Insurance,,Republican,Mike Chaney,319,
Perry,Janice 5140,District Attorney,12,Republican,Patricia Burchell,311,
Perry,Janice 5140,Governor,,Republican,Phil Bryant,306,
Perry,Janice 5140,Governor,,Reform,Shawn O'Hara,7,
Perry,Janice 5140,Governor ,,Democrat,Robert Gray,38,
Perry,Janice 5140,Lieutenant Governor,,Democrat,Tim Johnson,45,
Perry,Janice 5140,Lieutenant Governor,,Republican,Tate Reeves,286,
Perry,Janice 5140,Lieutenant Governor,,Libertarian,Ron Williams,11,
Perry,Janice 5140,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Perry,Janice 5140,Public Service Commissioner,,Democrat,Tom Blanton ,71,
Perry,Janice 5140,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",263,
Perry,Janice 5140,Public Service Commissioner,,Reform,Lonny Kenneth Spence,5,
Perry,Janice 5140,Secretary of State ,,Democrat,Charles E. Graham,51,
Perry,Janice 5140,Secretary of State ,,Republican,Delbert Hoseman,286,
Perry,Janice 5140,Secretary of State ,,Reform,Randy Walker,9,
Perry,Janice 5140,State Auditor,,Republican,Stacey E. Pickering,296,
Perry,Janice 5140,State Auditor,,Democrat,Jocelyn Pepper Pritchett,46,
Perry,Janice 5140,State Auditor,,Reform,Lajena Wallay,3,
Perry,Janice 5140,State House,105,Democrat,Dennis Cochran,149,
Perry,Janice 5140,State House,105,Republican,Roun McNeal,191,
Perry,Janice 5140,State Senate,45,Republican,Billy Hudson ,309,
Perry,Janice 5140,State Senate,45,Reform,Eli Jackson ,30,
Perry,Janice 5140,State Treasurer,,Republican,Lynn Fitch,302,
Perry,Janice 5140,State Treasurer,,Reform,Viola V. McFarland,35,
Perry,Janice 5140,Transportation Commissioner,,Reform,Sheranda Atkinson ,8,
Perry,Janice 5140,Transportation Commissioner,,Republican,Tom King ,296,
Perry,Janice 5140,Transportation Commissioner,,Democrat,Chad Toney ,41,
Perry,Miracle Temple COGIC 1040,Attorney General,,Democrat,Jim Hood,78,
Perry,Miracle Temple COGIC 1040,Attorney General,,Republican,Mike Hurst,17,
Perry,Miracle Temple COGIC 1040,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,25,
Perry,Miracle Temple COGIC 1040,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,67,
Perry,Miracle Temple COGIC 1040,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Perry,Miracle Temple COGIC 1040,Commissioner of Insurance,,Republican,Mike Chaney,67,
Perry,Miracle Temple COGIC 1040,District Attorney,12,Republican,Patricia Burchell,63,
Perry,Miracle Temple COGIC 1040,Governor,,Republican,Phil Bryant,42,
Perry,Miracle Temple COGIC 1040,Governor,,Reform,Shawn O'Hara,1,
Perry,Miracle Temple COGIC 1040,Governor ,,Democrat,Robert Gray,55,
Perry,Miracle Temple COGIC 1040,Lieutenant Governor,,Democrat,Tim Johnson,61,
Perry,Miracle Temple COGIC 1040,Lieutenant Governor,,Republican,Tate Reeves,26,
Perry,Miracle Temple COGIC 1040,Lieutenant Governor,,Libertarian,Ron Williams,3,
Perry,Miracle Temple COGIC 1040,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Perry,Miracle Temple COGIC 1040,Public Service Commissioner,,Democrat,Tom Blanton ,69,
Perry,Miracle Temple COGIC 1040,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",18,
Perry,Miracle Temple COGIC 1040,Public Service Commissioner,,Reform,Lonny Kenneth Spence,6,
Perry,Miracle Temple COGIC 1040,Secretary of State ,,Democrat,Charles E. Graham,68,
Perry,Miracle Temple COGIC 1040,Secretary of State ,,Republican,Delbert Hoseman,22,
Perry,Miracle Temple COGIC 1040,Secretary of State ,,Reform,Randy Walker,6,
Perry,Miracle Temple COGIC 1040,State Auditor,,Republican,Stacey E. Pickering,33,
Perry,Miracle Temple COGIC 1040,State Auditor,,Democrat,Jocelyn Pepper Pritchett,56,
Perry,Miracle Temple COGIC 1040,State Auditor,,Reform,Lajena Wallay,4,
Perry,Miracle Temple COGIC 1040,State House,105,Democrat,Dennis Cochran,72,
Perry,Miracle Temple COGIC 1040,State House,105,Republican,Roun McNeal,20,
Perry,Miracle Temple COGIC 1040,State Senate,45,Republican,Billy Hudson ,42,
Perry,Miracle Temple COGIC 1040,State Senate,45,Reform,Eli Jackson ,32,
Perry,Miracle Temple COGIC 1040,State Treasurer,,Republican,Lynn Fitch,48,
Perry,Miracle Temple COGIC 1040,State Treasurer,,Reform,Viola V. McFarland,30,
Perry,Miracle Temple COGIC 1040,Transportation Commissioner,,Reform,Sheranda Atkinson ,9,
Perry,Miracle Temple COGIC 1040,Transportation Commissioner,,Republican,Tom King ,20,
Perry,Miracle Temple COGIC 1040,Transportation Commissioner,,Democrat,Chad Toney ,62,
Perry,New Augusta Community Center,Attorney General,,Democrat,Jim Hood,96,
Perry,New Augusta Community Center,Attorney General,,Republican,Mike Hurst,44,
Perry,New Augusta Community Center,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,70,
Perry,New Augusta Community Center,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,61,
Perry,New Augusta Community Center,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,New Augusta Community Center,Commissioner of Insurance,,Republican,Mike Chaney,120,
Perry,New Augusta Community Center,District Attorney,12,Republican,Patricia Burchell,116,
Perry,New Augusta Community Center,Governor,,Republican,Phil Bryant,95,
Perry,New Augusta Community Center,Governor,,Reform,Shawn O'Hara,1,
Perry,New Augusta Community Center,Governor ,,Democrat,Robert Gray,42,
Perry,New Augusta Community Center,Lieutenant Governor,,Democrat,Tim Johnson,48,
Perry,New Augusta Community Center,Lieutenant Governor,,Republican,Tate Reeves,84,
Perry,New Augusta Community Center,Lieutenant Governor,,Libertarian,Ron Williams,4,
Perry,New Augusta Community Center,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Perry,New Augusta Community Center,Public Service Commissioner,,Democrat,Tom Blanton ,80,
Perry,New Augusta Community Center,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",54,
Perry,New Augusta Community Center,Public Service Commissioner,,Reform,Lonny Kenneth Spence,4,
Perry,New Augusta Community Center,Secretary of State ,,Democrat,Charles E. Graham,55,
Perry,New Augusta Community Center,Secretary of State ,,Republican,Delbert Hoseman,76,
Perry,New Augusta Community Center,Secretary of State ,,Reform,Randy Walker,7,
Perry,New Augusta Community Center,State Auditor,,Republican,Stacey E. Pickering,90,
Perry,New Augusta Community Center,State Auditor,,Democrat,Jocelyn Pepper Pritchett,44,
Perry,New Augusta Community Center,State Auditor,,Reform,Lajena Wallay,3,
Perry,New Augusta Community Center,State House,105,Democrat,Dennis Cochran,99,
Perry,New Augusta Community Center,State House,105,Republican,Roun McNeal,37,
Perry,New Augusta Community Center,State Senate,45,Republican,Billy Hudson ,98,
Perry,New Augusta Community Center,State Senate,45,Reform,Eli Jackson ,24,
Perry,New Augusta Community Center,State Treasurer,,Republican,Lynn Fitch,106,
Perry,New Augusta Community Center,State Treasurer,,Reform,Viola V. McFarland,26,
Perry,New Augusta Community Center,Transportation Commissioner,,Reform,Sheranda Atkinson ,7,
Perry,New Augusta Community Center,Transportation Commissioner,,Republican,Tom King ,71,
Perry,New Augusta Community Center,Transportation Commissioner,,Democrat,Chad Toney ,59,
Perry,Prospect 2050,Attorney General,,Democrat,Jim Hood,79,
Perry,Prospect 2050,Attorney General,,Republican,Mike Hurst,89,
Perry,Prospect 2050,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,134,
Perry,Prospect 2050,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,21,
Perry,Prospect 2050,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Perry,Prospect 2050,Commissioner of Insurance,,Republican,Mike Chaney,154,
Perry,Prospect 2050,District Attorney,12,Republican,Patricia Burchell,143,
Perry,Prospect 2050,Governor,,Republican,Phil Bryant,156,
Perry,Prospect 2050,Governor,,Reform,Shawn O'Hara,3,
Perry,Prospect 2050,Governor ,,Democrat,Robert Gray,10,
Perry,Prospect 2050,Lieutenant Governor,,Democrat,Tim Johnson,20,
Perry,Prospect 2050,Lieutenant Governor,,Republican,Tate Reeves,140,
Perry,Prospect 2050,Lieutenant Governor,,Libertarian,Ron Williams,5,
Perry,Prospect 2050,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Perry,Prospect 2050,Public Service Commissioner,,Democrat,Tom Blanton ,31,
Perry,Prospect 2050,Public Service Commissioner,,Republican,"Samuel E. ""sam"" Britton ",118,
Perry,Prospect 2050,Public Service Commissioner,,Reform,Lonny Kenneth Spence,8,
Perry,Prospect 2050,Secretary of State ,,Democrat,Charles E. Graham,19,
Perry,Prospect 2050,Secretary of State ,,Republican,Delbert Hoseman,136,
Perry,Prospect 2050,Secretary of State ,,Reform,Randy Walker,8,
Perry,Prospect 2050,State Auditor,,Republican,Stacey E. Pickering,146,
Perry,Prospect 2050,State Auditor,,Democrat,Jocelyn Pepper Pritchett,10,
