county,precinct,office,district,party,candidate,votes,winner
Prentiss,Cross Roads,State Auditor,,Democrat,Jocelyn Pepper Pritchett,84,
Prentiss,Cross Roads,State Auditor,,Reform,Lajena Wallay,6,
Prentiss,Cross Roads,State Treasurer,,Republican,Lynn Fitch,292,
Prentiss,Cross Roads,State Treasurer,,Reform,Viola V. McFarland,52,
Prentiss,Cross Roads,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,147,
Prentiss,Cross Roads,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,197,
Prentiss,Cross Roads,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,9,
Prentiss,Cross Roads,Commissioner of Insurance,,Republican,Mike Chaney,330,
Prentiss,Cross Roads,Public Service Commissioner,,Republican,Mike Maynard,101,
Prentiss,Cross Roads,Public Service Commissioner,,Democrat,Brandon Presley,265,
Prentiss,Cross Roads,Transportation Commissioner,,Republican,Mike Tagert,258,
Prentiss,Cross Roads,Transportation Commissioner,,Democrat,Danny Woods,104,
Prentiss,Cross Roads,District Attorney,1,Democrat,Arch Bullard,199,
Prentiss,Cross Roads,District Attorney,1,Republican,John Weedle,168,
Prentiss,Cross Roads,State Senate,5,Democrat,"J.P. Wilemon, Jr.",338,
Prentiss,Cross Roads,State House,3,Republican,William Tracy Arnold,154,
Prentiss,Cross Roads,State House,3,Democrat,Lauren Childers,226,
Prentiss,East Booneville,Governor,,Republican,Phil Bryant,376,
Prentiss,East Booneville,Governor,,Democrat,Robert Gray,90,
Prentiss,East Booneville,Governor,,Reform,Shawn O'Hara,3,
Prentiss,East Booneville,Lieutenant Governor,,Democrat,Tim Johnson,119,
Prentiss,East Booneville,Lieutenant Governor,,Republican,Tate Reeves,323,
Prentiss,East Booneville,Lieutenant Governor,,libertarian,Ron Williams,9,
Prentiss,East Booneville,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Prentiss,East Booneville,Secretary of State,,Democrat,Charles E. Graham,103,
Prentiss,East Booneville,Secretary of State,,Republican,Delbert Hoseman,333,
Prentiss,East Booneville,Secretary of State,,Reform,Randy Walker,24,
Prentiss,East Booneville,Attorney General,,Democrat,Jim Hood,280,
Prentiss,East Booneville,Attorney General,,Republican,Mike Hurst,184,
Prentiss,East Booneville,State Auditor,,Republican,Stacey E. Pickering,345,
Prentiss,East Booneville,State Auditor,,Democrat,Jocelyn Pepper Pritchett,103,
Prentiss,East Booneville,State Auditor,,Reform,Lajena Wallay,7,
Prentiss,East Booneville,State Treasurer,,Republican,Lynn Fitch,366,
Prentiss,East Booneville,State Treasurer,,Reform,Viola V. McFarland,60,
Prentiss,East Booneville,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,147,
Prentiss,East Booneville,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,288,
Prentiss,East Booneville,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,16,
Prentiss,East Booneville,Commissioner of Insurance,,Republican,Mike Chaney,408,
Prentiss,East Booneville,Public Service Commissioner,,Republican,Mike Maynard,129,
Prentiss,East Booneville,Public Service Commissioner,,Democrat,Brandon Presley,339,
Prentiss,East Booneville,Transportation Commissioner,,Republican,Mike Tagert,334,
Prentiss,East Booneville,Transportation Commissioner,,Democrat,Danny Woods,122,
Prentiss,East Booneville,District Attorney,1,Democrat,Arch Bullard,242,
Prentiss,East Booneville,District Attorney,1,Republican,John Weedle,220,
Prentiss,East Booneville,State Senate,5,Democrat,"J.P. Wilemon, Jr.",424,
Prentiss,East Booneville,State House,3,Republican,William Tracy Arnold,260,
Prentiss,East Booneville,State House,3,Democrat,Lauren Childers,210,
Prentiss,Hills Chapel - New Hope,Governor,,Republican,Phil Bryant,491,
Prentiss,Hills Chapel - New Hope,Governor,,Democrat,Robert Gray,65,
Prentiss,Hills Chapel - New Hope,Governor,,Reform,Shawn O'Hara,2,
Prentiss,Hills Chapel - New Hope,Lieutenant Governor,,Democrat,Tim Johnson,81,
Prentiss,Hills Chapel - New Hope,Lieutenant Governor,,Republican,Tate Reeves,454,
Prentiss,Hills Chapel - New Hope,Lieutenant Governor,,libertarian,Ron Williams,4,
Prentiss,Hills Chapel - New Hope,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Prentiss,Hills Chapel - New Hope,Secretary of State,,Democrat,Charles E. Graham,84,
Prentiss,Hills Chapel - New Hope,Secretary of State,,Republican,Delbert Hoseman,448,
Prentiss,Hills Chapel - New Hope,Secretary of State,,Reform,Randy Walker,14,
Prentiss,Hills Chapel - New Hope,Attorney General,,Democrat,Jim Hood,266,
Prentiss,Hills Chapel - New Hope,Attorney General,,Republican,Mike Hurst,284,
Prentiss,Hills Chapel - New Hope,State Auditor,,Republican,Stacey E. Pickering,472,
Prentiss,Hills Chapel - New Hope,State Auditor,,Democrat,Jocelyn Pepper Pritchett,62,
Prentiss,Hills Chapel - New Hope,State Auditor,,Reform,Lajena Wallay,14,
Prentiss,Hills Chapel - New Hope,State Treasurer,,Republican,Lynn Fitch,454,
Prentiss,Hills Chapel - New Hope,State Treasurer,,Reform,Viola V. McFarland,60,
Prentiss,Hills Chapel - New Hope,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,128,
Prentiss,Hills Chapel - New Hope,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,392,
Prentiss,Hills Chapel - New Hope,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,14,
Prentiss,Hills Chapel - New Hope,Commissioner of Insurance,,Republican,Mike Chaney,498,
Prentiss,Hills Chapel - New Hope,Public Service Commissioner,,Republican,Mike Maynard,180,
Prentiss,Hills Chapel - New Hope,Public Service Commissioner,,Democrat,Brandon Presley,373,
Prentiss,Hills Chapel - New Hope,Transportation Commissioner,,Republican,Mike Tagert,433,
Prentiss,Hills Chapel - New Hope,Transportation Commissioner,,Democrat,Danny Woods,110,
Prentiss,Hills Chapel - New Hope,District Attorney,1,Democrat,Arch Bullard,265,
Prentiss,Hills Chapel - New Hope,District Attorney,1,Republican,John Weedle,292,
Prentiss,Hills Chapel - New Hope,State Senate,5,Democrat,"J.P. Wilemon, Jr.",483,
Prentiss,Hills Chapel - New Hope,State House,3,Republican,William Tracy Arnold,381,
Prentiss,Hills Chapel - New Hope,State House,3,Democrat,Lauren Childers,175,
Prentiss,Ingram,Governor,,Republican,Phil Bryant,115,
Prentiss,Ingram,Governor,,Democrat,Robert Gray,17,
Prentiss,Ingram,Governor,,Reform,Shawn O'Hara,1,
Prentiss,Ingram,Lieutenant Governor,,Democrat,Tim Johnson,22,
Prentiss,Ingram,Lieutenant Governor,,Republican,Tate Reeves,105,
Prentiss,Ingram,Lieutenant Governor,,libertarian,Ron Williams,2,
Prentiss,Ingram,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Prentiss,Ingram,Secretary of State,,Democrat,Charles E. Graham,17,
Prentiss,Ingram,Secretary of State,,Republican,Delbert Hoseman,114,
Prentiss,Ingram,Secretary of State,,Reform,Randy Walker,0,
Prentiss,Ingram,Attorney General,,Democrat,Jim Hood,53,
Prentiss,Ingram,Attorney General,,Republican,Mike Hurst,77,
Prentiss,Ingram,State Auditor,,Republican,Stacey E. Pickering,116,
Prentiss,Ingram,State Auditor,,Democrat,Jocelyn Pepper Pritchett,9,
Prentiss,Ingram,State Auditor,,Reform,Lajena Wallay,1,
Prentiss,Ingram,State Treasurer,,Republican,Lynn Fitch,115,
Prentiss,Ingram,State Treasurer,,Reform,Viola V. McFarland,8,
Prentiss,Ingram,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,23,
Prentiss,Ingram,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,100,
Prentiss,Ingram,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,3,
Prentiss,Ingram,Commissioner of Insurance,,Republican,Mike Chaney,114,
Prentiss,Ingram,Public Service Commissioner,,Republican,Mike Maynard,51,
Prentiss,Ingram,Public Service Commissioner,,Democrat,Brandon Presley,82,
Prentiss,Ingram,Transportation Commissioner,,Republican,Mike Tagert,114,
Prentiss,Ingram,Transportation Commissioner,,Democrat,Danny Woods,16,
Prentiss,Ingram,District Attorney,1,Democrat,Arch Bullard,31,
Prentiss,Ingram,District Attorney,1,Republican,John Weedle,98,
Prentiss,Ingram,State Senate,5,Democrat,"J.P. Wilemon, Jr.",105,
Prentiss,Ingram,State House,3,Republican,William Tracy Arnold,11,
Prentiss,Ingram,State House,3,Democrat,Lauren Childers,2,
Prentiss,Ingram,State House,18,Republican,Jerry R. Turner,108,
Prentiss,Marietta,Governor,,Republican,Phil Bryant,317,
Prentiss,Marietta,Governor,,Democrat,Robert Gray,95,
Prentiss,Marietta,Governor,,Reform,Shawn O'Hara,1,
Prentiss,Marietta,Lieutenant Governor,,Democrat,Tim Johnson,117,
Prentiss,Marietta,Lieutenant Governor,,Republican,Tate Reeves,274,
Prentiss,Marietta,Lieutenant Governor,,libertarian,Ron Williams,8,
Prentiss,Marietta,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Prentiss,Marietta,Secretary of State,,Democrat,Charles E. Graham,99,
Prentiss,Marietta,Secretary of State,,Republican,Delbert Hoseman,286,
Prentiss,Marietta,Secretary of State,,Reform,Randy Walker,13,
Prentiss,Marietta,Attorney General,,Democrat,Jim Hood,245,
Prentiss,Marietta,Attorney General,,Republican,Mike Hurst,160,
Prentiss,Marietta,State Auditor,,Republican,Stacey E. Pickering,295,
Prentiss,Marietta,State Auditor,,Democrat,Jocelyn Pepper Pritchett,97,
Prentiss,Marietta,State Auditor,,Reform,Lajena Wallay,3,
Prentiss,Marietta,State Treasurer,,Republican,Lynn Fitch,322,
Prentiss,Marietta,State Treasurer,,Reform,Viola V. McFarland,47,
Prentiss,Marietta,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,141,
Prentiss,Marietta,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,234,
Prentiss,Marietta,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
Prentiss,Marietta,Commissioner of Insurance,,Republican,Mike Chaney,347,
Prentiss,Marietta,Public Service Commissioner,,Republican,Mike Maynard,100,
Prentiss,Marietta,Public Service Commissioner,,Democrat,Brandon Presley,314,
Prentiss,Marietta,Transportation Commissioner,,Republican,Mike Tagert,283,
Prentiss,Marietta,Transportation Commissioner,,Democrat,Danny Woods,116,
Prentiss,Marietta,District Attorney,1,Democrat,Arch Bullard,237,
Prentiss,Marietta,District Attorney,1,Republican,John Weedle,162,
Prentiss,Marietta,State Senate,5,Democrat,"J.P. Wilemon, Jr.",371,
Prentiss,Marietta,State House,3,Republican,William Tracy Arnold,237,
Prentiss,Marietta,State House,3,Democrat,Lauren Childers,178,
Prentiss,New Site,Governor,,Republican,Phil Bryant,289,
Prentiss,New Site,Governor,,Democrat,Robert Gray,62,
Prentiss,New Site,Governor,,Reform,Shawn O'Hara,3,
Prentiss,New Site,Lieutenant Governor,,Democrat,Tim Johnson,76,
Prentiss,New Site,Lieutenant Governor,,Republican,Tate Reeves,258,
Prentiss,New Site,Lieutenant Governor,,libertarian,Ron Williams,8,
Prentiss,New Site,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Prentiss,New Site,Secretary of State,,Democrat,Charles E. Graham,67,
Prentiss,New Site,Secretary of State,,Republican,Delbert Hoseman,264,
Prentiss,New Site,Secretary of State,,Reform,Randy Walker,12,
Prentiss,New Site,Attorney General,,Democrat,Jim Hood,159,
Prentiss,New Site,Attorney General,,Republican,Mike Hurst,188,
Prentiss,New Site,State Auditor,,Republican,Stacey E. Pickering,265,
Prentiss,New Site,State Auditor,,Democrat,Jocelyn Pepper Pritchett,68,
Prentiss,New Site,State Auditor,,Reform,Lajena Wallay,11,
Prentiss,New Site,State Treasurer,,Republican,Lynn Fitch,295,
Prentiss,New Site,State Treasurer,,Reform,Viola V. McFarland,40,
Prentiss,New Site,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,95,
Prentiss,New Site,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,235,
Prentiss,New Site,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,11,
Prentiss,New Site,Commissioner of Insurance,,Republican,Mike Chaney,314,
Prentiss,New Site,Public Service Commissioner,,Republican,Mike Maynard,122,
Prentiss,New Site,Public Service Commissioner,,Democrat,Brandon Presley,229,
Prentiss,New Site,Transportation Commissioner,,Republican,Mike Tagert,261,
Prentiss,New Site,Transportation Commissioner,,Democrat,Danny Woods,85,
Prentiss,New Site,District Attorney,1,Democrat,Arch Bullard,141,
Prentiss,New Site,District Attorney,1,Republican,John Weedle,209,
Prentiss,New Site,State Senate,5,Democrat,"J.P. Wilemon, Jr.",297,
Prentiss,New Site,State House,3,Republican,William Tracy Arnold,208,
Prentiss,New Site,State House,3,Democrat,Lauren Childers,147,
Prentiss,North Booneville/Sunflower,Governor,,Republican,Phil Bryant,176,
Prentiss,North Booneville/Sunflower,Governor,,Democrat,Robert Gray,172,
Prentiss,North Booneville/Sunflower,Governor,,Reform,Shawn O'Hara,3,
Prentiss,North Booneville/Sunflower,Lieutenant Governor,,Democrat,Tim Johnson,186,
Prentiss,North Booneville/Sunflower,Lieutenant Governor,,Republican,Tate Reeves,142,
Prentiss,North Booneville/Sunflower,Lieutenant Governor,,libertarian,Ron Williams,8,
Prentiss,North Booneville/Sunflower,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Prentiss,North Booneville/Sunflower,Secretary of State,,Democrat,Charles E. Graham,193,
Prentiss,North Booneville/Sunflower,Secretary of State,,Republican,Delbert Hoseman,136,
Prentiss,North Booneville/Sunflower,Secretary of State,,Reform,Randy Walker,9,
Prentiss,North Booneville/Sunflower,Attorney General,,Democrat,Jim Hood,269,
Prentiss,North Booneville/Sunflower,Attorney General,,Republican,Mike Hurst,81,
Prentiss,North Booneville/Sunflower,State Auditor,,Republican,Stacey E. Pickering,141,
Prentiss,North Booneville/Sunflower,State Auditor,,Democrat,Jocelyn Pepper Pritchett,188,
Prentiss,North Booneville/Sunflower,State Auditor,,Reform,Lajena Wallay,6,
Prentiss,North Booneville/Sunflower,State Treasurer,,Republican,Lynn Fitch,195,
Prentiss,North Booneville/Sunflower,State Treasurer,,Reform,Viola V. McFarland,92,
Prentiss,North Booneville/Sunflower,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,213,
Prentiss,North Booneville/Sunflower,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,113,
Prentiss,North Booneville/Sunflower,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Prentiss,North Booneville/Sunflower,Commissioner of Insurance,,Republican,Mike Chaney,239,
Prentiss,North Booneville/Sunflower,Public Service Commissioner,,Republican,Mike Maynard,59,
Prentiss,North Booneville/Sunflower,Public Service Commissioner,,Democrat,Brandon Presley,288,
Prentiss,North Booneville/Sunflower,Transportation Commissioner,,Republican,Mike Tagert,127,
Prentiss,North Booneville/Sunflower,Transportation Commissioner,,Democrat,Danny Woods,210,
Prentiss,North Booneville/Sunflower,District Attorney,1,Democrat,Arch Bullard,265,
Prentiss,North Booneville/Sunflower,District Attorney,1,Republican,John Weedle,80,
Prentiss,North Booneville/Sunflower,State Senate,5,Democrat,"J.P. Wilemon, Jr.",319,
Prentiss,North Booneville/Sunflower,State House,3,Republican,William Tracy Arnold,124,
Prentiss,North Booneville/Sunflower,State House,3,Democrat,Lauren Childers,232,
Prentiss,Thrasher,Governor,,Republican,Phil Bryant,208,
Prentiss,Thrasher,Governor,,Democrat,Robert Gray,73,
Prentiss,Thrasher,Governor,,Reform,Shawn O'Hara,3,
Prentiss,Thrasher,Lieutenant Governor,,Democrat,Tim Johnson,94,
Prentiss,Thrasher,Lieutenant Governor,,Republican,Tate Reeves,183,
Prentiss,Thrasher,Lieutenant Governor,,libertarian,Ron Williams,4,
Prentiss,Thrasher,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Prentiss,Thrasher,Secretary of State,,Democrat,Charles E. Graham,89,
Prentiss,Thrasher,Secretary of State,,Republican,Delbert Hoseman,186,
Prentiss,Thrasher,Secretary of State,,Reform,Randy Walker,9,
Prentiss,Thrasher,Attorney General,,Democrat,Jim Hood,173,
Prentiss,Thrasher,Attorney General,,Republican,Mike Hurst,110,
Prentiss,Thrasher,State Auditor,,Republican,Stacey E. Pickering,190,
Prentiss,Thrasher,State Auditor,,Democrat,Jocelyn Pepper Pritchett,87,
Prentiss,Thrasher,State Auditor,,Reform,Lajena Wallay,3,
Prentiss,Thrasher,State Treasurer,,Republican,Lynn Fitch,210,
Prentiss,Thrasher,State Treasurer,,Reform,Viola V. McFarland,40,
Prentiss,Thrasher,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,98,
Prentiss,Thrasher,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,175,
Prentiss,Thrasher,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Prentiss,Thrasher,Commissioner of Insurance,,Republican,Mike Chaney,245,
Prentiss,Thrasher,Public Service Commissioner,,Republican,Mike Maynard,69,
Prentiss,Thrasher,Public Service Commissioner,,Democrat,Brandon Presley,215,
Prentiss,Thrasher,Transportation Commissioner,,Republican,Mike Tagert,181,
Prentiss,Thrasher,Transportation Commissioner,,Democrat,Danny Woods,98,
Prentiss,Thrasher,District Attorney,1,Democrat,Arch Bullard,160,
