county,office,district,party,candidate,votes,winner
Calhoun,U.S. House,1,Republican,Greg Pirkle,77,
Calhoun,U.S. House,1,Republican,Henry Ross,110,
Calhoun,U.S. House,1,Republican,Daniel Sparks,10,
Calhoun,U.S. House,1,Republican,Mike Tagert,223,
Calhoun,U.S. House,1,Republican,Quentin Whitwell,41,
Calhoun,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",333,
Calhoun,U.S. House,1,,,1907,
Chickasaw,U.S. House,1,Republican,Boyce Adams,110,
Chickasaw,U.S. House,1,Republican,Sam Adcock,104,
Chickasaw,U.S. House,1,Republican,Nancy Adams Collins,117,
Chickasaw,U.S. House,1,Republican,Edward Troy Holliday,52,
Chickasaw,U.S. House,1,Republican,Starner Jones,118,
Chickasaw,U.S. House,1,Republican,Trent Kelly,595,
Chickasaw,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",97,
Chickasaw,U.S. House,1,Republican,Greg Pirkle,182,
Chickasaw,U.S. House,1,Republican,Henry Ross,96,
Chickasaw,U.S. House,1,Republican,Daniel Sparks,24,
Chickasaw,U.S. House,1,Republican,Mike Tagert,223,
Chickasaw,U.S. House,1,Republican,Quentin Whitwell,20,
Chickasaw,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1134,
Chickasaw,U.S. House,1,,,2872,
Choctaw,U.S. House,1,Republican,Boyce Adams,75,
Choctaw,U.S. House,1,Republican,Sam Adcock,87,
Choctaw,U.S. House,1,Republican,Nancy Adams Collins,62,
Choctaw,U.S. House,1,Republican,Edward Troy Holliday,33,
Choctaw,U.S. House,1,Republican,Starner Jones,73,
Choctaw,U.S. House,1,Republican,Trent Kelly,242,
Choctaw,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",37,
Choctaw,U.S. House,1,Republican,Greg Pirkle,24,
Choctaw,U.S. House,1,Republican,Henry Ross,230,
Choctaw,U.S. House,1,Republican,Daniel Sparks,21,
Choctaw,U.S. House,1,Republican,Mike Tagert,276,
Choctaw,U.S. House,1,Republican,Quentin Whitwell,3,
Choctaw,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",207,
Choctaw,U.S. House,1,,,1295,
Clay,U.S. House,1,Republican,Boyce Adams,268,
Clay,U.S. House,1,Republican,Sam Adcock,161,
Clay,U.S. House,1,Republican,Nancy Adams Collins,142,
Clay,U.S. House,1,Republican,Edward Troy Holliday,37,
Clay,U.S. House,1,Republican,Starner Jones,94,
Clay,U.S. House,1,Republican,Trent Kelly,290,
Clay,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",103,
Clay,U.S. House,1,Republican,Greg Pirkle,96,
Clay,U.S. House,1,Republican,Henry Ross,159,
Clay,U.S. House,1,Republican,Daniel Sparks,12,
Clay,U.S. House,1,Republican,Mike Tagert,748,
Clay,U.S. House,1,Republican,Quentin Whitwell,24,
Clay,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1399,
Clay,U.S. House,1,,,3533,
Desoto,U.S. House,1,Republican,Boyce Adams,559,
Desoto,U.S. House,1,Republican,Sam Adcock,326,
Desoto,U.S. House,1,Republican,Nancy Adams Collins,636,
Desoto,U.S. House,1,Republican,Edward Troy Holliday,579,
Desoto,U.S. House,1,Republican,Starner Jones,1682,
Desoto,U.S. House,1,Republican,Trent Kelly,343,
Desoto,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",226,
Desoto,U.S. House,1,Republican,Greg Pirkle,579,
Desoto,U.S. House,1,Republican,Henry Ross,1291,
Desoto,U.S. House,1,Republican,Daniel Sparks,482,
Desoto,U.S. House,1,Republican,Mike Tagert,2763,
Desoto,U.S. House,1,Republican,Quentin Whitwell,1064,
Desoto,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1086,
Desoto,U.S. House,1,,,11616,
Itawamba,U.S. House,1,Republican,Boyce Adams,66,
Itawamba,U.S. House,1,Republican,Sam Adcock,158,
Itawamba,U.S. House,1,Republican,Nancy Adams Collins,110,
Itawamba,U.S. House,1,Republican,Edward Troy Holliday,88,
Itawamba,U.S. House,1,Republican,Starner Jones,119,
Itawamba,U.S. House,1,Republican,Trent Kelly,615,
Itawamba,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",2575,
Itawamba,U.S. House,1,Republican,Greg Pirkle,146,
Itawamba,U.S. House,1,Republican,Henry Ross,61,
Itawamba,U.S. House,1,Republican,Daniel Sparks,184,
Itawamba,U.S. House,1,Republican,Mike Tagert,195,
Itawamba,U.S. House,1,Republican,Quentin Whitwell,18,
Itawamba,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",95,
Itawamba,U.S. House,1,,,4430,
Lafayette,U.S. House,1,Republican,Boyce Adams,57,
Lafayette,U.S. House,1,Republican,Sam Adcock,99,
Lafayette,U.S. House,1,Republican,Nancy Adams Collins,151,
Lafayette,U.S. House,1,Republican,Edward Troy Holliday,107,
Lafayette,U.S. House,1,Republican,Starner Jones,491,
Lafayette,U.S. House,1,Republican,Trent Kelly,367,
Lafayette,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",385,
Lafayette,U.S. House,1,Republican,Greg Pirkle,169,
Lafayette,U.S. House,1,Republican,Henry Ross,151,
Lafayette,U.S. House,1,Republican,Daniel Sparks,200,
Lafayette,U.S. House,1,Republican,Mike Tagert,603,
Lafayette,U.S. House,1,Republican,Quentin Whitwell,868,
Lafayette,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1646,
Lafayette,U.S. House,1,,,5294,
Lee,U.S. House,1,Republican,Boyce Adams,175,
Lee,U.S. House,1,Republican,Sam Adcock,333,
Lee,U.S. House,1,Republican,Nancy Adams Collins,993,
Lee,U.S. House,1,Republican,Edward Troy Holliday,700,
Lee,U.S. House,1,Republican,Starner Jones,350,
Lee,U.S. House,1,Republican,Trent Kelly,4466,
Lee,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",569,
Lee,U.S. House,1,Republican,Greg Pirkle,2028,
Lee,U.S. House,1,Republican,Henry Ross,157,
Lee,U.S. House,1,Republican,Daniel Sparks,111,
Lee,U.S. House,1,Republican,Mike Tagert,715,
Lee,U.S. House,1,Republican,Quentin Whitwell,65,
Lee,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1890,
Lee,U.S. House,1,,,12552,
Lowndes,U.S. House,1,Republican,Boyce Adams,1681,
Lowndes,U.S. House,1,Republican,Sam Adcock,1341,
Lowndes,U.S. House,1,Republican,Nancy Adams Collins,313,
Lowndes,U.S. House,1,Republican,Edward Troy Holliday,121,
Lowndes,U.S. House,1,Republican,Starner Jones,263,
Lowndes,U.S. House,1,Republican,Trent Kelly,734,
Lowndes,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",182,
Lowndes,U.S. House,1,Republican,Greg Pirkle,214,
Lowndes,U.S. House,1,Republican,Henry Ross,213,
Lowndes,U.S. House,1,Republican,Daniel Sparks,23,
Lowndes,U.S. House,1,Republican,Mike Tagert,1348,
Lowndes,U.S. House,1,Republican,Quentin Whitwell,36,
Lowndes,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1639,
Lowndes,U.S. House,1,,,8108,
Marshall,U.S. House,1,Republican,Boyce Adams,57,
Marshall,U.S. House,1,Republican,Sam Adcock,52,
Marshall,U.S. House,1,Republican,Nancy Adams Collins,159,
Marshall,U.S. House,1,Republican,Edward Troy Holliday,74,
Marshall,U.S. House,1,Republican,Starner Jones,403,
Marshall,U.S. House,1,Republican,Trent Kelly,90,
Marshall,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",167,
Marshall,U.S. House,1,Republican,Greg Pirkle,108,
Marshall,U.S. House,1,Republican,Henry Ross,186,
Marshall,U.S. House,1,Republican,Daniel Sparks,26,
Marshall,U.S. House,1,Republican,Mike Tagert,378,
Marshall,U.S. House,1,Republican,Quentin Whitwell,285,
Marshall,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1357,
Marshall,U.S. House,1,,,3342,
Monroe,U.S. House,1,Republican,Boyce Adams,181,
Monroe,U.S. House,1,Republican,Sam Adcock,291,
Monroe,U.S. House,1,Republican,Nancy Adams Collins,177,
Monroe,U.S. House,1,Republican,Edward Troy Holliday,61,
Monroe,U.S. House,1,Republican,Starner Jones,206,
Monroe,U.S. House,1,Republican,Trent Kelly,1163,
Monroe,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",978,
Monroe,U.S. House,1,Republican,Greg Pirkle,227,
Monroe,U.S. House,1,Republican,Henry Ross,63,
Monroe,U.S. House,1,Republican,Daniel Sparks,35,
Monroe,U.S. House,1,Republican,Mike Tagert,554,
Monroe,U.S. House,1,Republican,Quentin Whitwell,20,
Monroe,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",1252,
Monroe,U.S. House,1,,,5208,
Oktibbeha,U.S. House,1,Republican,Boyce Adams,9,
Oktibbeha,U.S. House,1,Republican,Sam Adcock,12,
Oktibbeha,U.S. House,1,Republican,Nancy Adams Collins,13,
Oktibbeha,U.S. House,1,Republican,Edward Troy Holliday,25,
Oktibbeha,U.S. House,1,Republican,Starner Jones,24,
Oktibbeha,U.S. House,1,Republican,Trent Kelly,55,
Oktibbeha,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",2,
Oktibbeha,U.S. House,1,Republican,Greg Pirkle,10,
Oktibbeha,U.S. House,1,Republican,Henry Ross,16,
Oktibbeha,U.S. House,1,Republican,Daniel Sparks,2,
Oktibbeha,U.S. House,1,Republican,Mike Tagert,137,
Oktibbeha,U.S. House,1,Republican,Quentin Whitwell,1,
Oktibbeha,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",85,
Oktibbeha,U.S. House,1,,,391,
Pontotoc,U.S. House,1,Republican,Boyce Adams,110,
Pontotoc,U.S. House,1,Republican,Sam Adcock,200,
Pontotoc,U.S. House,1,Republican,Nancy Adams Collins,173,
Pontotoc,U.S. House,1,Republican,Edward Troy Holliday,174,
Pontotoc,U.S. House,1,Republican,Starner Jones,895,
Pontotoc,U.S. House,1,Republican,Trent Kelly,1211,
Pontotoc,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",320,
Pontotoc,U.S. House,1,Republican,Greg Pirkle,459,
Pontotoc,U.S. House,1,Republican,Henry Ross,111,
Pontotoc,U.S. House,1,Republican,Daniel Sparks,32,
Pontotoc,U.S. House,1,Republican,Mike Tagert,355,
Pontotoc,U.S. House,1,Republican,Quentin Whitwell,35,
Pontotoc,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",875,
Pontotoc,U.S. House,1,,,4950,
Prentiss,U.S. House,1,Republican,Boyce Adams,56,
Prentiss,U.S. House,1,Republican,Sam Adcock,122,
Prentiss,U.S. House,1,Republican,Nancy Adams Collins,97,
Prentiss,U.S. House,1,Republican,Edward Troy Holliday,241,
Prentiss,U.S. House,1,Republican,Starner Jones,165,
Prentiss,U.S. House,1,Republican,Trent Kelly,855,
Prentiss,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",183,
Prentiss,U.S. House,1,Republican,Greg Pirkle,181,
Prentiss,U.S. House,1,Republican,Henry Ross,62,
Prentiss,U.S. House,1,Republican,Daniel Sparks,201,
Prentiss,U.S. House,1,Republican,Mike Tagert,304,
Prentiss,U.S. House,1,Republican,Quentin Whitwell,23,
Prentiss,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",272,
Prentiss,U.S. House,1,,,2762,
Tate,U.S. House,1,Republican,Boyce Adams,48,
Tate,U.S. House,1,Republican,Sam Adcock,42,
Tate,U.S. House,1,Republican,Nancy Adams Collins,119,
Tate,U.S. House,1,Republican,Edward Troy Holliday,112,
Tate,U.S. House,1,Republican,Starner Jones,494,
Tate,U.S. House,1,Republican,Trent Kelly,79,
Tate,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",50,
Tate,U.S. House,1,Republican,Greg Pirkle,93,
Tate,U.S. House,1,Republican,Henry Ross,252,
Tate,U.S. House,1,Republican,Daniel Sparks,58,
Tate,U.S. House,1,Republican,Mike Tagert,388,
Tate,U.S. House,1,Republican,Quentin Whitwell,312,
Tate,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",349,
Tate,U.S. House,1,,,2396,
Tippah,U.S. House,1,Republican,Boyce Adams,67,
Tippah,U.S. House,1,Republican,Sam Adcock,48,
Tippah,U.S. House,1,Republican,Nancy Adams Collins,84,
Tippah,U.S. House,1,Republican,Edward Troy Holliday,903,
Tippah,U.S. House,1,Republican,Starner Jones,266,
Tippah,U.S. House,1,Republican,Trent Kelly,236,
Tippah,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",119,
Tippah,U.S. House,1,Republican,Greg Pirkle,206,
Tippah,U.S. House,1,Republican,Henry Ross,52,
Tippah,U.S. House,1,Republican,Daniel Sparks,38,
Tippah,U.S. House,1,Republican,Mike Tagert,208,
Tippah,U.S. House,1,Republican,Quentin Whitwell,69,
Tippah,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",150,
Tippah,U.S. House,1,,,2446,
Tishomingo,U.S. House,1,Republican,Boyce Adams,61,
Tishomingo,U.S. House,1,Republican,Sam Adcock,94,
Tishomingo,U.S. House,1,Republican,Nancy Adams Collins,113,
Tishomingo,U.S. House,1,Republican,Edward Troy Holliday,59,
Tishomingo,U.S. House,1,Republican,Starner Jones,141,
Tishomingo,U.S. House,1,Republican,Trent Kelly,388,
Tishomingo,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",326,
Tishomingo,U.S. House,1,Republican,Greg Pirkle,101,
Tishomingo,U.S. House,1,Republican,Henry Ross,40,
Tishomingo,U.S. House,1,Republican,Daniel Sparks,1122,
Tishomingo,U.S. House,1,Republican,Mike Tagert,176,
Tishomingo,U.S. House,1,Republican,Quentin Whitwell,20,
Tishomingo,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",69,
Tishomingo,U.S. House,1,,,2710,
Union,U.S. House,1,Republican,Boyce Adams,64,
Union,U.S. House,1,Republican,Sam Adcock,140,
Union,U.S. House,1,Republican,Nancy Adams Collins,123,
Union,U.S. House,1,Republican,Edward Troy Holliday,163,
Union,U.S. House,1,Republican,Starner Jones,224,
Union,U.S. House,1,Republican,Trent Kelly,707,
Union,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",120,
Union,U.S. House,1,Republican,Greg Pirkle,1771,
Union,U.S. House,1,Republican,Henry Ross,75,
Union,U.S. House,1,Republican,Daniel Sparks,37,
Union,U.S. House,1,Republican,Mike Tagert,263,
Union,U.S. House,1,Republican,Quentin Whitwell,31,
Union,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",343,
Union,U.S. House,1,,,4061,
Webster,U.S. House,1,Republican,Boyce Adams,60,
Webster,U.S. House,1,Republican,Sam Adcock,88,
Webster,U.S. House,1,Republican,Nancy Adams Collins,67,
Webster,U.S. House,1,Republican,Edward Troy Holliday,49,
Webster,U.S. House,1,Republican,Starner Jones,70,
Webster,U.S. House,1,Republican,Trent Kelly,488,
Webster,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",37,
Webster,U.S. House,1,Republican,Greg Pirkle,42,
Webster,U.S. House,1,Republican,Henry Ross,574,
Webster,U.S. House,1,Republican,Daniel Sparks,14,
Webster,U.S. House,1,Republican,Mike Tagert,280,
Webster,U.S. House,1,Republican,Quentin Whitwell,12,
Webster,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",70,
Webster,U.S. House,1,,,1851,
Winston,U.S. House,1,Republican,Boyce Adams,189,
Winston,U.S. House,1,Republican,Sam Adcock,103,
Winston,U.S. House,1,Republican,Nancy Adams Collins,59,
Winston,U.S. House,1,Republican,Edward Troy Holliday,124,
Winston,U.S. House,1,Republican,Starner Jones,111,
Winston,U.S. House,1,Republican,Trent Kelly,424,
Winston,U.S. House,1,Republican,"Michael P. ""Chip"" Mills, Jr.",84,
Winston,U.S. House,1,Republican,Greg Pirkle,62,
Winston,U.S. House,1,Republican,Henry Ross,110,
Winston,U.S. House,1,Republican,Daniel Sparks,16,
Winston,U.S. House,1,Republican,Mike Tagert,346,
Winston,U.S. House,1,Republican,Quentin Whitwell,9,
Winston,U.S. House,1,Democrat,"Walter Howard Zinn, Jr.",671,
Winston,U.S. House,1,,,2308,
