county,precinct,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Secretary of State,,Republican,Delbert Hosemann,222,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Secretary of State,,Reform,Randy Walker,20,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Attorney General,,Democrat,Jim Hood,137,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Attorney General,,Republican,Mike Hurst,171,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Auditor,,Republican,Stacey E. Pickering,226,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,27,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Auditor,,Reform,Lajena Walley,14,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Governor,,Republican,Phil Bryant,137,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Governor,,Democrat,Robert Gray,14,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Governor,,Reform,Shawn O'Harra,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Lieutenant Governor,,Democrat,Tim Johnson,14,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Lieutenant Governor,,Republican,Tate Reeves,124,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Lieutenant Governor,,Libertarian,Ron Williams,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Lieutenant Governor,,Reform,Rosa B. Williams,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Secretary of State,,Democrat,Charles E. Grahm,20,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Secretary of State,,Republican,Delbert Hosemann,123,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Secretary of State,,Reform,Randy Walker,7,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Attorney General,,Democrat,Jim Hood,64,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Attorney General,,Republican,Mike Hurst,89,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Auditor,,Republican,Stacey E. Pickering,126,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,19,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Auditor,,Reform,Lajena Walley,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Governor,,Republican,Phil Bryant,160,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Governor,,Democrat,Robert Gray,18,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Governor,,Reform,Shawn O'Harra,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Lieutenant Governor,,Democrat,Tim Johnson,29,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Lieutenant Governor,,Republican,Tate Reeves,140,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Lieutenant Governor,,Libertarian,Ron Williams,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Lieutenant Governor,,Reform,Rosa B. Williams,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Secretary of State,,Democrat,Charles E. Grahm,38,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Secretary of State,,Republican,Delbert Hosemann,131,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Secretary of State,,Reform,Randy Walker,4,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Attorney General,,Democrat,Jim Hood,76,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Attorney General,,Republican,Mike Hurst,98,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Auditor,,Republican,Stacey E. Pickering,143,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,27,,,,,,,,,,,,,,,,,,,
Tishomingo,Dennis,Auditor,,Reform,Lajena Walley,3,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Governor,,Republican,Phil Bryant,765,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Governor,,Democrat,Robert Gray,204,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Governor,,Reform,Shawn O'Harra,17,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Lieutenant Governor,,Democrat,Tim Johnson,260,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Lieutenant Governor,,Republican,Tate Reeves,649,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Lieutenant Governor,,Libertarian,Ron Williams,37,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Lieutenant Governor,,Reform,Rosa B. Williams,20,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Secretary of State,,Democrat,Charles E. Grahm,252,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Secretary of State,,Republican,Delbert Hosemann,658,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Secretary of State,,Reform,Randy Walker,57,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Attorney General,,Democrat,Jim Hood,489,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Attorney General,,Republican,Mike Hurst,484,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Auditor,,Republican,Stacey E. Pickering,713,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,222,,,,,,,,,,,,,,,,,,,
Tishomingo,East Iuka,Auditor,,Reform,Lajena Walley,29,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Governor,,Republican,Phil Bryant,329,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Governor,,Democrat,Robert Gray,43,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Governor,,Reform,Shawn O'Harra,3,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Lieutenant Governor,,Democrat,Tim Johnson,56,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Lieutenant Governor,,Republican,Tate Reeves,295,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Lieutenant Governor,,Libertarian,Ron Williams,9,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Lieutenant Governor,,Reform,Rosa B. Williams,7,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Secretary of State,,Democrat,Charles E. Grahm,41,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Secretary of State,,Republican,Delbert Hosemann,316,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Secretary of State,,Reform,Randy Walker,7,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Attorney General,,Democrat,Jim Hood,156,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Attorney General,,Republican,Mike Hurst,218,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Auditor,,Republican,Stacey E. Pickering,323,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,35,,,,,,,,,,,,,,,,,,,
Tishomingo,Golden,Auditor,,Reform,Lajena Walley,5,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Governor,,Republican,Phil Bryant,69,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Governor,,Democrat,Robert Gray,11,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Governor,,Reform,Shawn O'Harra,0,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Lieutenant Governor,,Democrat,Tim Johnson,17,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Lieutenant Governor,,Republican,Tate Reeves,58,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Lieutenant Governor,,Libertarian,Ron Williams,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Lieutenant Governor,,Reform,Rosa B. Williams,1,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Secretary of State,,Democrat,Charles E. Grahm,15,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Secretary of State,,Republican,Delbert Hosemann,61,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Secretary of State,,Reform,Randy Walker,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Attorney General,,Democrat,Jim Hood,37,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Attorney General,,Republican,Mike Hurst,42,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Auditor,,Republican,Stacey E. Pickering,58,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,18,,,,,,,,,,,,,,,,,,,
Tishomingo,Hubbard Salem,Auditor,,Reform,Lajena Walley,1,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Governor,,Republican,Phil Bryant,178,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Governor,,Democrat,Robert Gray,22,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Governor,,Reform,Shawn O'Harra,5,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Lieutenant Governor,,Democrat,Tim Johnson,29,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Lieutenant Governor,,Republican,Tate Reeves,168,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Lieutenant Governor,,Libertarian,Ron Williams,4,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Lieutenant Governor,,Reform,Rosa B. Williams,4,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Secretary of State,,Democrat,Charles E. Grahm,31,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Secretary of State,,Republican,Delbert Hosemann,167,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Secretary of State,,Reform,Randy Walker,6,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Attorney General,,Democrat,Jim Hood,92,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Attorney General,,Republican,Mike Hurst,112,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Auditor,,Republican,Stacey E. Pickering,168,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,26,,,,,,,,,,,,,,,,,,,
Tishomingo,North Belmont,Auditor,,Reform,Lajena Walley,7,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Governor,,Republican,Phil Bryant,325,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Governor,,Democrat,Robert Gray,71,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Governor,,Reform,Shawn O'Harra,13,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Lieutenant Governor,,Democrat,Tim Johnson,111,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Lieutenant Governor,,Republican,Tate Reeves,272,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Lieutenant Governor,,Libertarian,Ron Williams,12,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Lieutenant Governor,,Reform,Rosa B. Williams,8,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Secretary of State,,Democrat,Charles E. Grahm,116,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Secretary of State,,Republican,Delbert Hosemann,260,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Secretary of State,,Reform,Randy Walker,23,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Attorney General,,Democrat,Jim Hood,195,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Attorney General,,Republican,Mike Hurst,208,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Auditor,,Republican,Stacey E. Pickering,306,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,88,,,,,,,,,,,,,,,,,,,
Tishomingo,North Burnsville,Auditor,,Reform,Lajena Walley,5,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Governor,,Republican,Phil Bryant,160,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Governor,,Democrat,Robert Gray,30,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Governor,,Reform,Shawn O'Harra,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Lieutenant Governor,,Democrat,Tim Johnson,44,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Lieutenant Governor,,Republican,Tate Reeves,137,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Lieutenant Governor,,Libertarian,Ron Williams,5,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Lieutenant Governor,,Reform,Rosa B. Williams,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Secretary of State,,Democrat,Charles E. Grahm,45,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Secretary of State,,Republican,Delbert Hosemann,139,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Secretary of State,,Reform,Randy Walker,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Attorney General,,Democrat,Jim Hood,102,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Attorney General,,Republican,Mike Hurst,90,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Auditor,,Republican,Stacey E. Pickering,147,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,36,,,,,,,,,,,,,,,,,,,
Tishomingo,Paden,Auditor,,Reform,Lajena Walley,3,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Governor,,Republican,Phil Bryant,296,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Governor,,Democrat,Robert Gray,76,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Governor,,Reform,Shawn O'Harra,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Lieutenant Governor,,Democrat,Tim Johnson,44,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Lieutenant Governor,,Republican,Tate Reeves,137,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Lieutenant Governor,,Libertarian,Ron Williams,5,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Lieutenant Governor,,Reform,Rosa B. Williams,2,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Secretary of State,,Democrat,Charles E. Grahm,45,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Secretary of State,,Republican,Delbert Hosemann,139,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Secretary of State,,Reform,Randy Walker,6,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Attorney General,,Democrat,Jim Hood,102,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Attorney General,,Republican,Mike Hurst,90,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Auditor,,Republican,Stacey E. Pickering,147,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,36,,,,,,,,,,,,,,,,,,,
Tishomingo,Springhill,Auditor,,Reform,Lajena Walley,3,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Governor,,Republican,Phil Bryant,692,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Governor,,Democrat,Robert Gray,193,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Governor,,Reform,Shawn O'Harra,16,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Lieutenant Governor,,Democrat,Tim Johnson,257,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Lieutenant Governor,,Republican,Tate Reeves,582,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Lieutenant Governor,,Libertarian,Ron Williams,24,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Lieutenant Governor,,Reform,Rosa B. Williams,14,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Secretary of State,,Democrat,Charles E. Grahm,247,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Secretary of State,,Republican,Delbert Hosemann,598,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Secretary of State,,Reform,Randy Walker,41,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Attorney General,,Democrat,Jim Hood,508,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Attorney General,,Republican,Mike Hurst,379,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Auditor,,Republican,Stacey E. Pickering,617,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Auditor,,Democrat,Jocelyn 'Joyce' Pepper Pritchett,229,,,,,,,,,,,,,,,,,,,
Tishomingo,Tishomingo,Auditor,,Reform,Lajena Walley,23,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,State Treasurer,,Republican,Lynn Fitch,1060,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,State Treasurer,,Reform,Viola V. McFarland,193,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,413,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,819,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,57,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,Commissioner of Insurance,,Republican,Mike Chaney,1198,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,State Senate,5,Democrat,J.P. Wilemon Jr.,1185,,,,,,,,,,,,,,,,,,,
Tishomingo,Iuka,State House,1,Republican,Lester E. 'Bubba' Carpenter,832,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,State Treasurer,,Republican,Lynn Fitch,507,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,State Treasurer,,Reform,Viola V. McFarland,65,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,114,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,430,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,25,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,Commissioner of Insurance,,Republican,Mike Chaney,553,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,State Senate,5,Democrat,J.P. Wilemon Jr.,577,,,,,,,,,,,,,,,,,,,
Tishomingo,Belmont,State House,1,Republican,Lester E. 'Bubba' Carpenter,X,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,State Treasurer,,Republican,Lynn Fitch,503,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,State Treasurer,,Reform,Viola V. McFarland,67,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,162,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,394,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,19,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,Commissioner of Insurance,,Republican,Mike Chaney,554,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,State Senate,5,Democrat,J.P. Wilemon Jr.,531,,,,,,,,,,,,,,,,,,,
Tishomingo,Burnsville,State House,1,Republican,Lester E. 'Bubba' Carpenter,407,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,State Treasurer,,Republican,Lynn Fitch,246,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,State Treasurer,,Reform,Viola V. McFarland,49,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,80,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,195,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,22,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,Commissioner of Insurance,,Republican,Mike Chaney,277,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,State Senate,5,Democrat,J.P. Wilemon Jr.,252,,,,,,,,,,,,,,,,,,,
Tishomingo,Coles Mill,State House,1,Republican,Lester E. 'Bubba' Carpenter,202,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,State Treasurer,,Republican,Lynn Fitch,130,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,State Treasurer,,Reform,Viola V. McFarland,15,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,30,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,110,,,,,,,,,,,,,,,,,,,
Tishomingo,Cotton Springs,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,,,,,,,,,,,,,,,,,,,
