county,precinct,office,district,party,candidate,votes,winner
Warren,Beechwood,Lieutenant Governor,,Republican,Tate Reeves,686,
Warren,Beechwood,Lieutenant Governor,,Libertarian,Ron Williams,12,
Warren,Beechwood,Lieutenant Governor,,Reform,Rosa B. Williams,6,
Warren,Beechwood,Secretary of State,,Democrat,Charles E. Graham,98,
Warren,Beechwood,Secretary of State,,Republican,Delbert Hosemann,736,
Warren,Beechwood,Secretary of State,,Reform,Randy Walker,12,
Warren,Beechwood,Attorney General,,Democrat,Jim Hood,365,
Warren,Beechwood,Attorney General,,Republican,Mike Hurst,478,
Warren,Beechwood,State Auditor,,Republican,Stacey E. Pickering,717,
Warren,Beechwood,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",117,
Warren,Beechwood,State Auditor,,Reform,Lajena Walley,6,
Warren,Beechwood,State Treasurer,,Republican,Lynn Fitch,748,
Warren,Beechwood,State Treasurer,,Reform,Viola V. McFarland,76,
Warren,Beechwood,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,122,
Warren,Beechwood,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,700,
Warren,Beechwood,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,14,
Warren,Beechwood,Commissioner of Insurance,,Republican,Mike Chaney,797,
Warren,Beechwood,State Senate,23,Republican,Briggs Hopson,808,
Warren,Beechwood,State House of Rep,54,Republican,Alex Monsour,765,
Warren,Bovina,Governor,,Republican,Phil Bryant,509,
Warren,Bovina,Governor,,Democrat,Robert Gray,105,
Warren,Bovina,Governor,,Reform,Shawn O'Hara,7,
Warren,Bovina,Lieutenant Governor,,Democrat,Tim Johnson,121,
Warren,Bovina,Lieutenant Governor,,Republican,Tate Reeves,487,
Warren,Bovina,Lieutenant Governor,,Libertarian,Ron Williams,8,
Warren,Bovina,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Warren,Bovina,Secretary of State,,Democrat,Charles E. Graham,97,
Warren,Bovina,Secretary of State,,Republican,Delbert Hosemann,507,
Warren,Bovina,Secretary of State,,Reform,Randy Walker,13,
Warren,Bovina,Attorney General,,Democrat,Jim Hood,244,
Warren,Bovina,Attorney General,,Republican,Mike Hurst,374,
Warren,Bovina,State Auditor,,Republican,Stacey E. Pickering,503,
Warren,Bovina,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",107,
Warren,Bovina,State Auditor,,Reform,Lajena Walley,6,
Warren,Bovina,State Treasurer,,Republican,Lynn Fitch,524,
Warren,Bovina,State Treasurer,,Reform,Viola V. McFarland,62,
Warren,Bovina,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,104,
Warren,Bovina,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,499,
Warren,Bovina,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Warren,Bovina,Commissioner of Insurance,,Republican,Mike Chaney,578,
Warren,Bovina,State Senate,23,Republican,Briggs Hopson,574,
Warren,Bovina,State House of Rep,54,Republican,Alex Monsour,556,
Warren,Bovina,State House of Rep,85,Democrat,"America ""Chuck"" Middleton",0,
Warren,Brunswick,Governor,,Republican,Phil Bryant,128,
Warren,Brunswick,Governor,,Democrat,Robert Gray,9,
Warren,Brunswick,Governor,,Reform,Shawn O'Hara,0,
Warren,Brunswick,Lieutenant Governor,,Democrat,Tim Johnson,11,
Warren,Brunswick,Lieutenant Governor,,Republican,Tate Reeves,126,
Warren,Brunswick,Lieutenant Governor,,Libertarian,Ron Williams,0,
Warren,Brunswick,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Warren,Brunswick,Secretary of State,,Democrat,Charles E. Graham,12,
Warren,Brunswick,Secretary of State,,Republican,Delbert Hosemann,123,
Warren,Brunswick,Secretary of State,,Reform,Randy Walker,0,
Warren,Brunswick,Attorney General,,Democrat,Jim Hood,39,
Warren,Brunswick,Attorney General,,Republican,Mike Hurst,97,
Warren,Brunswick,State Auditor,,Republican,Stacey E. Pickering,127,
Warren,Brunswick,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",7,
Warren,Brunswick,State Auditor,,Reform,Lajena Walley,1,
Warren,Brunswick,State Treasurer,,Republican,Lynn Fitch,127,
Warren,Brunswick,State Treasurer,,Reform,Viola V. McFarland,4,
Warren,Brunswick,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,11,
Warren,Brunswick,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,121,
Warren,Brunswick,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Warren,Brunswick,Commissioner of Insurance,,Republican,Mike Chaney,132,
Warren,Brunswick,State Senate,23,Republican,Briggs Hopson,131,
Warren,Brunswick,State House of Rep,55,Democrat,Oscar Denton,96,
Warren,Cedar Grove,Governor,,Republican,Phil Bryant,205,
Warren,Cedar Grove,Governor,,Democrat,Robert Gray,415,
Warren,Cedar Grove,Governor,,Reform,Shawn O'Hara,10,
Warren,Cedar Grove,Lieutenant Governor,,Democrat,Tim Johnson,425,
Warren,Cedar Grove,Lieutenant Governor,,Republican,Tate Reeves,185,
Warren,Cedar Grove,Lieutenant Governor,,Libertarian,Ron Williams,5,
Warren,Cedar Grove,Lieutenant Governor,,Reform,Rosa B. Williams,13,
Warren,Cedar Grove,Secretary of State,,Democrat,Charles E. Graham,421,
Warren,Cedar Grove,Secretary of State,,Republican,Delbert Hosemann,196,
Warren,Cedar Grove,Secretary of State,,Reform,Randy Walker,12,
Warren,Cedar Grove,Attorney General,,Democrat,Jim Hood,528,
Warren,Cedar Grove,Attorney General,,Republican,Mike Hurst,102,
Warren,Cedar Grove,State Auditor,,Republican,Stacey E. Pickering,203,
Warren,Cedar Grove,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",416,
Warren,Cedar Grove,State Auditor,,Reform,Lajena Walley,8,
Warren,Cedar Grove,State Treasurer,,Republican,Lynn Fitch,279,
Warren,Cedar Grove,State Treasurer,,Reform,Viola V. McFarland,273,
Warren,Cedar Grove,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,449,
Warren,Cedar Grove,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,170,
Warren,Cedar Grove,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Warren,Cedar Grove,Commissioner of Insurance,,Republican,Mike Chaney,457,
Warren,Cedar Grove,State Senate,23,Republican,Briggs Hopson,449,
Warren,Cedar Grove,State House of Rep,54,Republican,Alex Monsour,105,
Warren,Cedar Grove,State House of Rep,55,Democrat,Oscar Denton,448,
Warren,Culkin,Governor,,Republican,Phil Bryant,1747,
Warren,Culkin,Governor,,Democrat,Robert Gray,344,
Warren,Culkin,Governor,,Reform,Shawn O'Hara,25,
Warren,Culkin,Lieutenant Governor,,Democrat,Tim Johnson,376,
Warren,Culkin,Lieutenant Governor,,Republican,Tate Reeves,1677,
Warren,Culkin,Lieutenant Governor,,Libertarian,Ron Williams,35,
Warren,Culkin,Lieutenant Governor,,Reform,Rosa B. Williams,11,
Warren,Culkin,Secretary of State,,Democrat,Charles E. Graham,319,
Warren,Culkin,Secretary of State,,Republican,Delbert Hosemann,1764,
Warren,Culkin,Secretary of State,,Reform,Randy Walker,26,
Warren,Culkin,Attorney General,,Democrat,Jim Hood,917,
Warren,Culkin,Attorney General,,Republican,Mike Hurst,1199,
Warren,Culkin,State Auditor,,Republican,Stacey E. Pickering,1726,
Warren,Culkin,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",350,
Warren,Culkin,State Auditor,,Reform,Lajena Walley,12,
Warren,Culkin,State Treasurer,,Republican,Lynn Fitch,1811,
Warren,Culkin,State Treasurer,,Reform,Viola V. McFarland,213,
Warren,Culkin,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,369,
Warren,Culkin,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,1680,
Warren,Culkin,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,19,
Warren,Culkin,Commissioner of Insurance,,Republican,Mike Chaney,1964,
Warren,Culkin,State Senate,23,Republican,Briggs Hopson,1948,
Warren,Culkin,State House of Rep,54,Republican,Alex Monsour,1902,
Warren,Culkin,State House of Rep,55,Democrat,Oscar Denton,0,
Warren,Elks Lodge,Governor,,Republican,Phil Bryant,457,
Warren,Elks Lodge,Governor,,Democrat,Robert Gray,233,
Warren,Elks Lodge,Governor,,Reform,Shawn O'Hara,5,
Warren,Elks Lodge,Lieutenant Governor,,Democrat,Tim Johnson,249,
Warren,Elks Lodge,Lieutenant Governor,,Republican,Tate Reeves,417,
Warren,Elks Lodge,Lieutenant Governor,,Libertarian,Ron Williams,13,
Warren,Elks Lodge,Lieutenant Governor,,Reform,Rosa B. Williams,11,
Warren,Elks Lodge,Secretary of State,,Democrat,Charles E. Graham,228,
Warren,Elks Lodge,Secretary of State,,Republican,Delbert Hosemann,452,
Warren,Elks Lodge,Secretary of State,,Reform,Randy Walker,11,
Warren,Elks Lodge,Attorney General,,Democrat,Jim Hood,425,
Warren,Elks Lodge,Attorney General,,Republican,Mike Hurst,266,
Warren,Elks Lodge,State Auditor,,Republican,Stacey E. Pickering,446,
Warren,Elks Lodge,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",245,
Warren,Elks Lodge,State Auditor,,Reform,Lajena Walley,1,
Warren,Elks Lodge,State Treasurer,,Republican,Lynn Fitch,505,
Warren,Elks Lodge,State Treasurer,,Reform,Viola V. McFarland,147,
Warren,Elks Lodge,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,255,
Warren,Elks Lodge,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,422,
Warren,Elks Lodge,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,11,
Warren,Elks Lodge,Commissioner of Insurance,,Republican,Mike Chaney,599,
Warren,Elks Lodge,State Senate,23,Republican,Briggs Hopson,589,
Warren,Elks Lodge,State House of Rep,55,Democrat,Oscar Denton,564,
Warren,Goodrum,Governor,,Republican,Phil Bryant,389,
Warren,Goodrum,Governor,,Democrat,Robert Gray,97,
Warren,Goodrum,Governor,,Reform,Shawn O'Hara,7,
Warren,Goodrum,Lieutenant Governor,,Democrat,Tim Johnson,114,
Warren,Goodrum,Lieutenant Governor,,Republican,Tate Reeves,364,
Warren,Goodrum,Lieutenant Governor,,Libertarian,Ron Williams,5,
Warren,Goodrum,Lieutenant Governor,,Reform,Rosa B. Williams,4,
Warren,Goodrum,Secretary of State,,Democrat,Charles E. Graham,101,
Warren,Goodrum,Secretary of State,,Republican,Delbert Hosemann,384,
Warren,Goodrum,Secretary of State,,Reform,Randy Walker,5,
Warren,Goodrum,Attorney General,,Democrat,Jim Hood,261,
Warren,Goodrum,Attorney General,,Republican,Mike Hurst,231,
Warren,Goodrum,State Auditor,,Republican,Stacey E. Pickering,382,
Warren,Goodrum,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",103,
Warren,Goodrum,State Auditor,,Reform,Lajena Walley,3,
Warren,Goodrum,State Treasurer,,Republican,Lynn Fitch,394,
Warren,Goodrum,State Treasurer,,Reform,Viola V. McFarland,82,
Warren,Goodrum,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,118,
Warren,Goodrum,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,352,
Warren,Goodrum,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
Warren,Goodrum,Commissioner of Insurance,,Republican,Mike Chaney,450,
Warren,Goodrum,State Senate,23,Republican,Briggs Hopson,455,
Warren,Goodrum,State House of Rep,54,Republican,Alex Monsour,0,
Warren,Goodrum,State House of Rep,85,Democrat,"America ""Chuck"" Middleton",370,
Warren,Jett,Governor,,Republican,Phil Bryant,313,
Warren,Jett,Governor,,Democrat,Robert Gray,270,
Warren,Jett,Governor,,Reform,Shawn O'Hara,7,
Warren,Jett,Lieutenant Governor,,Democrat,Tim Johnson,289,
Warren,Jett,Lieutenant Governor,,Republican,Tate Reeves,277,
Warren,Jett,Lieutenant Governor,,Libertarian,Ron Williams,6,
Warren,Jett,Lieutenant Governor,,Reform,Rosa B. Williams,17,
Warren,Jett,Secretary of State,,Democrat,Charles E. Graham,271,
Warren,Jett,Secretary of State,,Republican,Delbert Hosemann,308,
Warren,Jett,Secretary of State,,Reform,Randy Walker,11,
Warren,Jett,Attorney General,,Democrat,Jim Hood,407,
Warren,Jett,Attorney General,,Republican,Mike Hurst,176,
Warren,Jett,State Auditor,,Republican,Stacey E. Pickering,302,
Warren,Jett,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",276,
Warren,Jett,State Auditor,,Reform,Lajena Walley,9,
Warren,Jett,State Treasurer,,Republican,Lynn Fitch,345,
Warren,Jett,State Treasurer,,Reform,Viola V. McFarland,176,
Warren,Jett,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,290,
Warren,Jett,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,286,
Warren,Jett,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,9,
Warren,Jett,Commissioner of Insurance,,Republican,Mike Chaney,472,
Warren,Jett,State Senate,23,Republican,Briggs Hopson,468,
Warren,Jett,State House of Rep,54,Republican,Alex Monsour,0,
Warren,Jett,State House of Rep,55,Democrat,Oscar Denton,491,
Warren,Kings,Governor,,Republican,Phil Bryant,225,
Warren,Kings,Governor,,Democrat,Robert Gray,213,
Warren,Kings,Governor,,Reform,Shawn O'Hara,4,
Warren,Kings,Lieutenant Governor,,Democrat,Tim Johnson,221,
Warren,Kings,Lieutenant Governor,,Republican,Tate Reeves,198,
Warren,Kings,Lieutenant Governor,,Libertarian,Ron Williams,6,
Warren,Kings,Lieutenant Governor,,Reform,Rosa B. Williams,12,
Warren,Kings,Secretary of State,,Democrat,Charles E. Graham,219,
Warren,Kings,Secretary of State,,Republican,Delbert Hosemann,206,
Warren,Kings,Secretary of State,,Reform,Randy Walker,14,
Warren,Kings,Attorney General,,Democrat,Jim Hood,321,
Warren,Kings,Attorney General,,Republican,Mike Hurst,116,
Warren,Kings,State Auditor,,Republican,Stacey E. Pickering,213,
Warren,Kings,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",218,
Warren,Kings,State Auditor,,Reform,Lajena Walley,4,
Warren,Kings,State Treasurer,,Republican,Lynn Fitch,249,
Warren,Kings,State Treasurer,,Reform,Viola V. McFarland,140,
Warren,Kings,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,239,
Warren,Kings,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,181,
Warren,Kings,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,10,
Warren,Kings,Commissioner of Insurance,,Republican,Mike Chaney,344,
Warren,Kings,State Senate,23,Republican,Briggs Hopson,337,
Warren,Kings,State House of Rep,54,Republican,Alex Monsour,124,
Warren,Kings,State House of Rep,55,Democrat,Oscar Denton,275,
Warren,Moose Lodge,Governor,,Republican,Phil Bryant,529,
Warren,Moose Lodge,Governor,,Democrat,Robert Gray,118,
Warren,Moose Lodge,Governor,,Reform,Shawn O'Hara,9,
Warren,Moose Lodge,Lieutenant Governor,,Democrat,Tim Johnson,142,
Warren,Moose Lodge,Lieutenant Governor,,Republican,Tate Reeves,492,
Warren,Moose Lodge,Lieutenant Governor,,Libertarian,Ron Williams,13,
Warren,Moose Lodge,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Warren,Moose Lodge,Secretary of State,,Democrat,Charles E. Graham,119,
Warren,Moose Lodge,Secretary of State,,Republican,Delbert Hosemann,524,
Warren,Moose Lodge,Secretary of State,,Reform,Randy Walker,10,
Warren,Moose Lodge,Attorney General,,Democrat,Jim Hood,304,
Warren,Moose Lodge,Attorney General,,Republican,Mike Hurst,354,
Warren,Moose Lodge,State Auditor,,Republican,Stacey E. Pickering,516,
Warren,Moose Lodge,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",127,
Warren,Moose Lodge,State Auditor,,Reform,Lajena Walley,5,
Warren,Moose Lodge,State Treasurer,,Republican,Lynn Fitch,542,
Warren,Moose Lodge,State Treasurer,,Reform,Viola V. McFarland,84,
Warren,Moose Lodge,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,135,
Warren,Moose Lodge,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,498,
Warren,Moose Lodge,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,11,
Warren,Moose Lodge,Commissioner of Insurance,,Republican,Mike Chaney,606,
Warren,Moose Lodge,State Senate,23,Republican,Briggs Hopson,600,
Warren,Moose Lodge,State House of Rep,54,Republican,Alex Monsour,0,
Warren,Moose Lodge,State House of Rep,85,Democrat,"America ""Chuck"" Middleton",482,
Warren,No. 7 Fire Station,Governor,,Republican,Phil Bryant,189,
Warren,No. 7 Fire Station,Governor,,Democrat,Robert Gray,302,
Warren,No. 7 Fire Station,Governor,,Reform,Shawn O'Hara,7,
Warren,No. 7 Fire Station,Lieutenant Governor,,Democrat,Tim Johnson,312,
Warren,No. 7 Fire Station,Lieutenant Governor,,Republican,Tate Reeves,164,
Warren,No. 7 Fire Station,Lieutenant Governor,,Libertarian,Ron Williams,7,
Warren,No. 7 Fire Station,Lieutenant Governor,,Reform,Rosa B. Williams,12,
Warren,No. 7 Fire Station,Secretary of State,,Democrat,Charles E. Graham,287,
Warren,No. 7 Fire Station,Secretary of State,,Republican,Delbert Hosemann,195,
Warren,No. 7 Fire Station,Secretary of State,,Reform,Randy Walker,14,
Warren,No. 7 Fire Station,Attorney General,,Democrat,Jim Hood,399,
Warren,No. 7 Fire Station,Attorney General,,Republican,Mike Hurst,101,
Warren,No. 7 Fire Station,State Auditor,,Republican,Stacey E. Pickering,187,
Warren,No. 7 Fire Station,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",303,
Warren,No. 7 Fire Station,State Auditor,,Reform,Lajena Walley,5,
Warren,No. 7 Fire Station,State Treasurer,,Republican,Lynn Fitch,250,
Warren,No. 7 Fire Station,State Treasurer,,Reform,Viola V. McFarland,196,
Warren,No. 7 Fire Station,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,323,
Warren,No. 7 Fire Station,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,169,
Warren,No. 7 Fire Station,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Warren,No. 7 Fire Station,Commissioner of Insurance,,Republican,Mike Chaney,396,
Warren,No. 7 Fire Station,State Senate,23,Republican,Briggs Hopson,377,
Warren,No. 7 Fire Station,State House of Rep,55,Democrat,Oscar Denton,458,
Warren,Oak Ridge,Governor,,Republican,Phil Bryant,77,
Warren,Oak Ridge,Governor,,Democrat,Robert Gray,15,
Warren,Oak Ridge,Governor,,Reform,Shawn O'Hara,0,
Warren,Oak Ridge,Lieutenant Governor,,Democrat,Tim Johnson,14,
Warren,Oak Ridge,Lieutenant Governor,,Republican,Tate Reeves,72,
Warren,Oak Ridge,Lieutenant Governor,,Libertarian,Ron Williams,4,
Warren,Oak Ridge,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Warren,Oak Ridge,Secretary of State,,Democrat,Charles E. Graham,13,
Warren,Oak Ridge,Secretary of State,,Republican,Delbert Hosemann,78,
Warren,Oak Ridge,Secretary of State,,Reform,Randy Walker,0,
Warren,Oak Ridge,Attorney General,,Democrat,Jim Hood,32,
Warren,Oak Ridge,Attorney General,,Republican,Mike Hurst,59,
Warren,Oak Ridge,State Auditor,,Republican,Stacey E. Pickering,73,
Warren,Oak Ridge,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",16,
Warren,Oak Ridge,State Auditor,,Reform,Lajena Walley,0,
Warren,Oak Ridge,State Treasurer,,Republican,Lynn Fitch,77,
Warren,Oak Ridge,State Treasurer,,Reform,Viola V. McFarland,11,
Warren,Oak Ridge,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,15,
Warren,Oak Ridge,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,73,
Warren,Oak Ridge,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Warren,Oak Ridge,Commissioner of Insurance,,Republican,Mike Chaney,83,
Warren,Oak Ridge,State Senate,23,Republican,Briggs Hopson,79,
Warren,Oak Ridge,State House of Rep,54,Republican,Alex Monsour,80,
Warren,Plumbers & Pipefitters,Governor,,Republican,Phil Bryant,417,
Warren,Plumbers & Pipefitters,Governor,,Democrat,Robert Gray,131,
Warren,Plumbers & Pipefitters,Governor,,Reform,Shawn O'Hara,4,
Warren,Plumbers & Pipefitters,Lieutenant Governor,,Democrat,Tim Johnson,147,
Warren,Plumbers & Pipefitters,Lieutenant Governor,,Republican,Tate Reeves,388,
Warren,Plumbers & Pipefitters,Lieutenant Governor,,Libertarian,Ron Williams,9,
Warren,Plumbers & Pipefitters,Lieutenant Governor,,Reform,Rosa B. Williams,7,
Warren,Plumbers & Pipefitters,Secretary of State,,Democrat,Charles E. Graham,134,
Warren,Plumbers & Pipefitters,Secretary of State,,Republican,Delbert Hosemann,405,
Warren,Plumbers & Pipefitters,Secretary of State,,Reform,Randy Walker,12,
Warren,Plumbers & Pipefitters,Attorney General,,Democrat,Jim Hood,309,
Warren,Plumbers & Pipefitters,Attorney General,,Republican,Mike Hurst,239,
Warren,Plumbers & Pipefitters,State Auditor,,Republican,Stacey E. Pickering,406,
Warren,Plumbers & Pipefitters,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",135,
Warren,Plumbers & Pipefitters,State Auditor,,Reform,Lajena Walley,2,
Warren,Plumbers & Pipefitters,State Treasurer,,Republican,Lynn Fitch,437,
Warren,Plumbers & Pipefitters,State Treasurer,,Reform,Viola V. McFarland,82,
Warren,Plumbers & Pipefitters,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,152,
Warren,Plumbers & Pipefitters,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,382,
Warren,Plumbers & Pipefitters,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Warren,Plumbers & Pipefitters,Commissioner of Insurance,,Republican,Mike Chaney,501,
Warren,Plumbers & Pipefitters,State Senate,23,Republican,Briggs Hopson,501,
Warren,Plumbers & Pipefitters,State House of Rep,54,Republican,Alex Monsour,477,
Warren,Redwood,Governor,,Republican,Phil Bryant,95,
Warren,Redwood,Governor,,Democrat,Robert Gray,11,
Warren,Redwood,Governor,,Reform,Shawn O'Hara,0,
