page,candidate,office,district,party,county,precinct,votes,winner,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,Summerville,0,,,,
2,Mike Chaney,Commissioner of Insurance,,R,Noxubee,TOTAL ,45,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Brooksville,x,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Brooksville,x,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Cliftonville,x,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Cliftonville,x,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,District 3 Central ,2,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,District 3 Central ,6,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Earl Nash Gym ,3,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Earl Nash Gym ,5,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Mashulaville,8,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Mashulaville,2,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Prairie Point,0,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Prairie Point,1,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Shuqualak ,4,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Shuqualak ,2,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,Summerville,0,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,Summerville,0,,,,
2,Gilman DeWayne Warren ,State Senate ,32,R,Noxubee,TOTAL ,17,,,,
2,Don Wiggins ,State Senate ,32,R,Noxubee,TOTAL ,16,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Brooksville,317,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Brooksville,127,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Brooksville,104,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Cliftonville,121,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Cliftonville,67,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Cliftonville,52,,,,
2,Robert Gray ,Governor ,,D,Noxubee,District 3 Central ,298,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,District 3 Central ,194,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,District 3 Central ,105,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Earl Nash Gym ,352,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Earl Nash Gym ,163,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Earl Nash Gym ,123,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Mashulaville,102,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Mashulaville,35,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Mashulaville,41,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Prairie Point,173,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Prairie Point,88,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Prairie Point,71,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Shuqualak ,203,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Shuqualak ,100,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Shuqualak ,92,,,,
2,Robert Gray ,Governor ,,D,Noxubee,Summerville,52,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,Summerville,8,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,Summerville,5,,,,
2,Robert Gray ,Governor ,,D,Noxubee,TOTAL ,1618,,,,
2,Valerie Adream Smartt Short,Governor ,,D,Noxubee,TOTAL ,782,,,,
2,Vicki Slater ,Governor ,,D,Noxubee,TOTAL ,594,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Brooksville,129,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Brooksville,400,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Cliftonville,47,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Cliftonville,174,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,District 3 Central ,146,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,District 3 Central ,427,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Earl Nash Gym ,151,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Earl Nash Gym ,465,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Mashulaville,37,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Mashulaville,131,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Prairie Point,69,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Prairie Point,247,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Shuqualak ,78,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Shuqualak ,276,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,Summerville,13,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,Summerville,48,,,,
2,Jelani Barr ,Lieutenant Governor ,,D,Noxubee,TOTAL ,670,,,,
2,Tim Johnson ,Lieutenant Governor ,,D,Noxubee,TOTAL ,2168,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Brooksville,469,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Cliftonville,180,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,District 3 Central ,502,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Earl Nash Gym ,539,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Mashulaville,151,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Prairie Point,261,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Shuqualak ,319,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,Summerville,56,,,,
2,Charles E. Graham ,Secretary of State,,D,Noxubee,TOTAL ,2477,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Brooksville,548,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Cliftonville,221,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,District 3 Central ,575,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Earl Nash Gym ,637,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Mashulaville,177,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Prairie Point,305,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Shuqualak ,367,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,Summerville,76,,,,
2,Jim Hood,Attorney General ,,D,Noxubee,TOTAL ,2906,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Brooksville,468,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Cliftonville,181,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,District 3 Central ,499,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Earl Nash Gym ,527,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Mashulaville,153,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Prairie Point,248,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Shuqualak ,320,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,Summerville,58,,,,
2,Jocelyn Pepper Pritchett ,State Auditor,,D,Noxubee,TOTAL ,2454,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Brooksville,465,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Cliftonville,185,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,District 3 Central ,501,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Earl Nash Gym ,537,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Mashulaville,154,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Prairie Point,262,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Shuqualak ,327,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,Summerville,59,,,,
2,Addie Lee Green ,Commissioner of Agriculture & Commerce,,D,Noxubee,TOTAL ,2491,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Brooksville,515,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Cliftonville,208,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,District 3 Central ,525,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Earl Nash Gym ,82,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Mashulaville,x,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Prairie Point,164,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Shuqualak ,0,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,Summerville,x,,,,
3,Angela Turner,State Senate ,16,D,Noxubee,TOTAL ,1494,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Brooksville,x,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Brooksville,x,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Cliftonville,x,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Cliftonville,x,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,District 3 Central ,1,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,District 3 Central ,2,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Earl Nash Gym ,208,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Earl Nash Gym ,431,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Mashulaville,79,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Mashulaville,121,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Prairie Point,52,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Prairie Point,66,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Shuqualak ,130,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Shuqualak ,348,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,Summerville,34,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,Summerville,51,,,,
3,Keith K. Jackson ,State Senate ,32,D,Noxubee,TOTAL ,504,,,,
3,"Sampson Jackson, II",State Senate ,32,D,Noxubee,TOTAL ,1019,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Brooksville,58,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Brooksville,207,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Brooksville,512,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Cliftonville,17,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Cliftonville,125,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Cliftonville,191,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,District 3 Central ,51,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,District 3 Central ,287,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,District 3 Central ,595,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Earl Nash Gym ,103,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Earl Nash Gym ,261,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Earl Nash Gym ,627,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Mashulaville,52,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Mashulaville,69,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Mashulaville,141,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Prairie Point,40,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Prairie Point,134,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Prairie Point,266,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Shuqualak ,114,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Shuqualak ,193,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Shuqualak ,245,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,Summerville,26,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,Summerville,27,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,Summerville,42,,,,
3,Eugene Crosby ,State House ,42,D,Noxubee,TOTAL ,491,,,,
3,Reecy Lathan Dickson ,State House ,42,D,Noxubee,TOTAL ,1303,,,,
3,Carl L. Mickans ,State House ,42,D,Noxubee,TOTAL ,2621,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
