candidate,office,district,party,county,precinct,votes
Don Blankenship,President,,AC,Hinds,Clinton 7,2
Brian Carroll,President,,AS,Hinds,Clinton 7,3
Phil Collins,President,,IND,Hinds,Clinton 7,1
Howie Hawkins,President,,G,Hinds,Clinton 7,0
Jo Jorgensen,President,,L,Hinds,Clinton 7,19
Brock Pierce,President,,IND,Hinds,Clinton 7,1
Kanye West,President,,IND,Hinds,Clinton 7,6
Mike Espy,U.S. Senate,,D,Hinds,Clinton 7,716
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Clinton 7,792
Jimmy L Edwards,U.S. Senate,,L,Hinds,Clinton 7,39
Brian Flowers,U.S. House,2,R,Hinds,Clinton 7,845
Bennie G Thompson,U.S. House,2,D,Hinds,Clinton 7,700
Joseph R. Biden,President,,D,Hinds,Cynthia,360
Donald J. Trump,President,,R,Hinds,Cynthia,46
Don Blankenship,President,,AC,Hinds,Cynthia,1
Brian Carroll,President,,AS,Hinds,Cynthia,0
Phil Collins,President,,IND,Hinds,Cynthia,1
Howie Hawkins,President,,G,Hinds,Cynthia,1
Jo Jorgensen,President,,L,Hinds,Cynthia,0
Brock Pierce,President,,IND,Hinds,Cynthia,0
Kanye West,President,,IND,Hinds,Cynthia,2
Mike Espy,U.S. Senate,,D,Hinds,Cynthia,372
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Cynthia,41
Jimmy L Edwards,U.S. Senate,,L,Hinds,Cynthia,0
Brian Flowers,U.S. House,2,R,Hinds,Cynthia,46
Bennie G Thompson,U.S. House,2,D,Hinds,Cynthia,366
Joseph R. Biden,President,,D,Hinds,Dry Grove,288
Donald J. Trump,President,,R,Hinds,Dry Grove,498
Don Blankenship,President,,AC,Hinds,Dry Grove,0
Brian Carroll,President,,AS,Hinds,Dry Grove,0
Phil Collins,President,,IND,Hinds,Dry Grove,0
Howie Hawkins,President,,G,Hinds,Dry Grove,1
Jo Jorgensen,President,,L,Hinds,Dry Grove,4
Brock Pierce,President,,IND,Hinds,Dry Grove,1
Kanye West,President,,IND,Hinds,Dry Grove,2
Mike Espy,U.S. Senate,,D,Hinds,Dry Grove,294
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Dry Grove,481
Jimmy L Edwards,U.S. Senate,,L,Hinds,Dry Grove,15
Brian Flowers,U.S. House,2,R,Hinds,Dry Grove,497
Bennie G Thompson,U.S. House,2,D,Hinds,Dry Grove,293
Joseph R. Biden,President,,D,Hinds,Edwards,1154
Donald J. Trump,President,,R,Hinds,Edwards,395
Don Blankenship,President,,AC,Hinds,Edwards,4
Brian Carroll,President,,AS,Hinds,Edwards,2
Phil Collins,President,,IND,Hinds,Edwards,1
Howie Hawkins,President,,G,Hinds,Edwards,3
Jo Jorgensen,President,,L,Hinds,Edwards,3
Brock Pierce,President,,IND,Hinds,Edwards,0
Kanye West,President,,IND,Hinds,Edwards,3
Mike Espy,U.S. Senate,,D,Hinds,Edwards,1184
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Edwards,368
Jimmy L Edwards,U.S. Senate,,L,Hinds,Edwards,6
Brian Flowers,U.S. House,2,R,Hinds,Edwards,376
Bennie G Thompson,U.S. House,2,D,Hinds,Edwards,1194
Joseph R. Biden,President,,D,Hinds,Learned,182
Donald J. Trump,President,,R,Hinds,Learned,313
Don Blankenship,President,,AC,Hinds,Learned,1
Brian Carroll,President,,AS,Hinds,Learned,1
Phil Collins,President,,IND,Hinds,Learned,0
Howie Hawkins,President,,G,Hinds,Learned,0
Jo Jorgensen,President,,L,Hinds,Learned,2
Brock Pierce,President,,IND,Hinds,Learned,0
Kanye West,President,,IND,Hinds,Learned,1
Mike Espy,U.S. Senate,,D,Hinds,Learned,193
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Learned,304
Jimmy L Edwards,U.S. Senate,,L,Hinds,Learned,5
Brian Flowers,U.S. House,2,R,Hinds,Learned,309
Bennie G Thompson,U.S. House,2,D,Hinds,Learned,188
Joseph R. Biden,President,,D,Hinds,Old Byram,888
Donald J. Trump,President,,R,Hinds,Old Byram,642
Don Blankenship,President,,AC,Hinds,Old Byram,0
Brian Carroll,President,,AS,Hinds,Old Byram,0
Phil Collins,President,,IND,Hinds,Old Byram,0
Howie Hawkins,President,,G,Hinds,Old Byram,2
Jo Jorgensen,President,,L,Hinds,Old Byram,5
Brock Pierce,President,,IND,Hinds,Old Byram,3
Kanye West,President,,IND,Hinds,Old Byram,4
Mike Espy,U.S. Senate,,D,Hinds,Old Byram,915
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Old Byram,592
Jimmy L Edwards,U.S. Senate,,L,Hinds,Old Byram,30
Brian Flowers,U.S. House,2,R,Hinds,Old Byram,635
Bennie G Thompson,U.S. House,2,D,Hinds,Old Byram,904
Joseph R. Biden,President,,D,Hinds,Pinehaven,1158
Donald J. Trump,President,,R,Hinds,Pinehaven,1081
Don Blankenship,President,,AC,Hinds,Pinehaven,1
Brian Carroll,President,,AS,Hinds,Pinehaven,5
Phil Collins,President,,IND,Hinds,Pinehaven,5
Howie Hawkins,President,,G,Hinds,Pinehaven,1
