candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Early Grove,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Early Grove,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Early Grove,112,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Early Grove,107,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Early Grove,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Early Grove,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Hadsonville,212,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Hadsonville,163,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Hadsonville,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Hadsonville,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Hadsonville,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Hadsonville,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Hadsonville,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Hadsonville,161,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Hadsonville,159,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Hadsonville,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Hadsonville,12,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Mt Pleasant,264,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Mt Pleasant,604,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Mt Pleasant,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Mt Pleasant,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Mt Pleasant,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Mt Pleasant,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Mt Pleasant,7,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Mt Pleasant,563,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Mt Pleasant,221,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Mt Pleasant,18,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Mt Pleasant,20,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 North Cayce,218,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 North Cayce,219,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 North Cayce,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 North Cayce,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 North Cayce,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 North Cayce,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 North Cayce,1,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 North Cayce,207,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 North Cayce,177,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 North Cayce,11,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 North Cayce,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 North Holly Springs,544,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 North Holly Springs,145,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 North Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 North Holly Springs,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 North Holly Springs,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 North Holly Springs,8,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 North Holly Springs,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 North Holly Springs,172,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 North Holly Springs,448,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 North Holly Springs,20,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 North Holly Springs,18,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Slayden,212,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Slayden,290,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Slayden,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Slayden,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Slayden,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Slayden,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Slayden,2,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Slayden,275,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Slayden,156,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Slayden,9,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Slayden,12,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Barton,114,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Barton,678,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Barton,6,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Barton,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Barton,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Barton,11,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Barton,4,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Barton,621,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Barton,95,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Barton,12,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Barton,13,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,2 Byhalia,534,,2,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,2 Byhalia,810,,2,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,2 Byhalia,3,,2,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,2 Byhalia,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,2 Byhalia,0,,2,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,2 Byhalia,12,,2,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,2 Byhalia,7,,2,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,2 Byhalia,785,,2,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,2 Byhalia,435,,2,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,2 Byhalia,30,,2,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,2 Byhalia,32,,2,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,3 Cayce,259,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,3 Cayce,252,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,3 Cayce,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,3 Cayce,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,3 Cayce,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,3 Cayce,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,3 Cayce,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,3 Cayce,247,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,3 Cayce,203,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,3 Cayce,16,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,3 Cayce,18,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Chuahoma,391,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Chuahoma,67,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Chuahoma,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Chuahoma,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Chuahoma,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Chuahoma,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Chuahoma,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Chuahoma,78,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Chuahoma,344,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Chuahoma,10,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Chuahoma,5,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Laws Hill,105,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Laws Hill,94,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Laws Hill,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Laws Hill,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Laws Hill,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Laws Hill,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Laws Hill,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Laws Hill,91,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Laws Hill,87,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Laws Hill,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Laws Hill,4,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Marlanna,296,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Marlanna,202,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Marlanna,4,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Marlanna,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Marlanna,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Marlanna,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Marlanna,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Marlanna,199,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Marlanna,251,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Marlanna,8,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Marlanna,8,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Victoria,264,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Victoria,108,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Victoria,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Victoria,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Victoria,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Victoria,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Victoria,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Victoria,128,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Victoria,216,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Victoria,7,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Victoria,10,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Wall Hill,376,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Wall Hill,128,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Wall Hill,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Wall Hill,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Wall Hill,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Wall Hill,4,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Wall Hill,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Wall Hill,147,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Wall Hill,304,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Wall Hill,12,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Wall Hill,6,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Warsaw,288,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Warsaw,224,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Warsaw,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Warsaw,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Warsaw,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Warsaw,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Warsaw,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Warsaw,221,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Warsaw,243,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Warsaw,10,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Warsaw,9,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,4 Watson,188,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,4 Watson,206,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,4 Watson,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,4 Watson,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,4 Watson,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,4 Watson,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,4 Watson,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,4 Watson,206,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,4 Watson,159,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,4 Watson,7,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,4 Watson,11,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,5 Bethlehem,45,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,5 Bethlehem,257,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,5 Bethlehem,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,5 Bethlehem,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,5 Bethlehem,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,5 Bethlehem,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,5 Bethlehem,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,5 Bethlehem,253,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,5 Bethlehem,30,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,5 Bethlehem,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,5 Bethlehem,5,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,5 Comersville,6,,3,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Marshall,5 Comersville,111,,3,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,Marshall,5 Comersville,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,Marshall,5 Comersville,1,,3,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,Marshall,5 Comersville,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,Marshall,5 Comersville,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,Marshall,5 Comersville,0,,3,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,Marshall,5 Comersville,106,,3,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,Marshall,5 Comersville,4,,3,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,Marshall,5 Comersville,3,,3,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,Marshall,5 Comersville,2,,3,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Marshall,5 Potts Camp,333,,3,,,,,,,,,,,,,,,,,,,,,,,
