candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,11
Rand Paul,President,,Republican,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Armory,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Armory,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Armory,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Armory,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Armory,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Armory,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Armory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Armory,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Armory,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Armory,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Banner-Pineville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Banner-Pineville,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Banner-Pineville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Banner-Pineville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Banner-Pineville,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Banner-Pineville,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Banner-Pineville,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Banner-Pineville,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Banner-Pineville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Banner-Pineville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Banner-Pineville,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Banner-Pineville,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Banner-Pineville,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Bounds,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Bounds,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Bounds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Bounds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Bounds,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Bounds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Bounds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Bounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Bounds,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Bounds,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Bounds,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Cardsville,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Cardsville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Cardsville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Cardsville,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Cardsville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Cardsville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Cardsville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Cardsville,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Cardsville,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Cardsville,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Carolina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Carolina,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Carolina,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Carolina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Carolina,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Carolina,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Carolina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Carolina,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Carolina,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Carolina,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Carolina,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Centerville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Centerville,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Centerville,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Centerville,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Centerville,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Centerville,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Centerville,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Centerville,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Centerville,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Centerville,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Centerville,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Centerville,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Clay,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Clay,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Clay,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Clay,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Clay,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Clay,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Clay,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Clay,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Clay,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Clay,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Clay,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Clay,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Courthouse,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Courthouse,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Courthouse,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Courthouse,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Courthouse,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Courthouse,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Courthouse,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Courthouse,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Courthouse,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Courthouse,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Courthouse,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Courthouse,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Dorsey,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Dorsey,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Dorsey,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Dorsey,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Dorsey,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Dorsey,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Dorsey,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Dorsey,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Dorsey,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Dorsey,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Dorsey,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Dorsey,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Dorsey,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Dorsey,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Evergreen,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Evergreen,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Evergreen,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Evergreen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Evergreen,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Evergreen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Evergreen,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
