candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,,,,,,,,,,,2
Jeb Bush,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Carson 22,22,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Carson 22,5,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Carson 22,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Carson 22,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Carson 22,58,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Carson 22,28,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Carson 22,1,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Carson 22,1,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Carson 22,6,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Carson 22,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Carson 22,14,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Carson 22,68,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Carson 22,16,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Carson 22,13,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Clem 41,30,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Clem 41,2,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Clem 41,2,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Clem 41,24,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Clem 41,44,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Clem 41,1,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Clem 41,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Clem 41,12,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Clem 41,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Clem 41,6,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Clem 41,48,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Clem 41,33,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Clem 41,12,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Good Hope 33,2,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Good Hope 33,17,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Good Hope 33,2,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Good Hope 33,51,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Good Hope 33,42,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Good Hope 33,1,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Good Hope 33,3,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Good Hope 33,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Good Hope 33,9,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Good Hope 33,57,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Good Hope 33,23,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Good Hope 33,14,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Granby 11,1,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Granby 11,10,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Granby 11,2,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Granby 11,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Granby 11,10,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Granby 11,44,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Granby 11,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Granby 11,3,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Granby 11,1,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Granby 11,1,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Granby 11,22,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Granby 11,27,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Granby 11,13,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Green's Creek 23,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Green's Creek 23,52,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Green's Creek 23,3,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Green's Creek 23,5,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Green's Creek 23,56,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Green's Creek 23,48,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Green's Creek 23,4,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Green's Creek 23,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Green's Creek 23,14,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Green's Creek 23,98,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Green's Creek 23,24,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Green's Creek 23,20,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Gwinville 51,2,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Gwinville 51,1,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Gwinville 51,12,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Gwinville 51,51,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Gwinville 51,2,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Gwinville 51,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Gwinville 51,4,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Gwinville 51,10,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Gwinville 51,32,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Gwinville 51,15,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Hathom 24,1,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Hathom 24,14,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Hathom 24,8,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Hathom 24,3,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Hathom 24,53,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Hathom 24,31,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Hathom 24,4,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Hathom 24,0,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Hathom 24,14,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Hathom 24,62,,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Hathom 24,19,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Hathom 24,13,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Jefferson Davis,Hebron 52,2,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Hebron 52,7,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Hebron 52,2,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Hebron 52,2,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Hebron 52,0,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Hebron 52,26,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Hebron 52,27,,,,,,,,,,,,,,,,,,,,,,,,
