page,candidate,office,district,party,county,precinct,votes,winner,
3,Bennie L. Turner,State Senate ,16,D,Clay ,East-West Point,1033,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,North-West Point,932,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Pheba,332,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Pine Bluff,254,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Siloam,523,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,South-West Point,624,,
3,Bennie L. Turner,State Senate ,16,D,Clay ,Tibbee,222,,
4,Bennie L. Turner,State Senate ,16,D,Clay ,Union Star,358,,
4,Bennie L. Turner,State Senate ,16,D,Clay ,Vinton,291,,
4,Bennie L. Turner,State Senate ,16,D,Clay ,West-West Point,692,,
4,Bennie L. Turner,State Senate ,16,D,Clay ,TOTAL ,6607,,
3,Steve Whitten,State House,23,D,Clay ,Cairo,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Cairo,x,,
3,Steve Whitten,State House,23,D,Clay ,Caradine,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Caradine,x,,
3,Steve Whitten,State House,23,D,Clay ,Cedar Bluff,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Cedar Bluff,x,,
3,Steve Whitten,State House,23,D,Clay ,Central-West Point,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Central-West Point,x,,
3,Steve Whitten,State House,23,D,Clay ,East-West Point,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,East-West Point,x,,
3,Steve Whitten,State House,23,D,Clay ,North-West Point,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,North-West Point,x,,
3,Steve Whitten,State House,23,D,Clay ,Pheba,182,,
3,Charles Jim Beckett,State House,23,R,Clay ,Pheba,155,,
3,Steve Whitten,State House,23,D,Clay ,Pine Bluff,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Pine Bluff,x,,
3,Steve Whitten,State House,23,D,Clay ,Siloam,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Siloam,x,,
3,Steve Whitten,State House,23,D,Clay ,South-West Point,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,South-West Point,x,,
3,Steve Whitten,State House,23,D,Clay ,Tibbee,x,,
3,Charles Jim Beckett,State House,23,R,Clay ,Tibbee,x,,
4,Steve Whitten,State House,23,D,Clay ,Union Star,x,,
4,Charles Jim Beckett,State House,23,R,Clay ,Union Star,x,,
4,Steve Whitten,State House,23,D,Clay ,Vinton,x,,
4,Charles Jim Beckett,State House,23,R,Clay ,Vinton,x,,
4,Steve Whitten,State House,23,D,Clay ,West-West Point,x,,
4,Charles Jim Beckett,State House,23,R,Clay ,West-West Point,x,,
4,Steve Whitten,State House,23,D,Clay ,TOTAL ,182,,
4,Charles Jim Beckett,State House,23,R,Clay ,TOTAL ,155,,
3,David Gibbs,State House,36,D,Clay ,Cairo,236,,
3,David Gibbs,State House,36,D,Clay ,Caradine,423,,
3,David Gibbs,State House,36,D,Clay ,Cedar Bluff,x,,
3,David Gibbs,State House,36,D,Clay ,Central-West Point,279,,
3,David Gibbs,State House,36,D,Clay ,East-West Point,336,,
3,David Gibbs,State House,36,D,Clay ,North-West Point,930,,
3,David Gibbs,State House,36,D,Clay ,Pheba,x,,
3,David Gibbs,State House,36,D,Clay ,Pine Bluff,252,,
3,David Gibbs,State House,36,D,Clay ,Siloam,374,,
3,David Gibbs,State House,36,D,Clay ,South-West Point,x,,
3,David Gibbs,State House,36,D,Clay ,Tibbee,121,,
4,David Gibbs,State House,36,D,Clay ,Union Star,353,,
4,David Gibbs,State House,36,D,Clay ,Vinton,285,,
4,David Gibbs,State House,36,D,Clay ,West-West Point,686,,
4,David Gibbs,State House,36,D,Clay ,TOTAL ,4275,,
4,Gary A. Chism,State House,37,R,Clay ,Cairo,x,,
4,Gary A. Chism,State House,37,R,Clay ,Caradine,x,,
4,Gary A. Chism,State House,37,R,Clay ,Cedar Bluff,135,,
4,Gary A. Chism,State House,37,R,Clay ,Central-West Point,255,,
4,Gary A. Chism,State House,37,R,Clay ,East-West Point,636,,
4,Gary A. Chism,State House,37,R,Clay ,North-West Point,x,,
4,Gary A. Chism,State House,37,R,Clay ,Pheba,38,,
4,Gary A. Chism,State House,37,R,Clay ,Pine Bluff,x,,
4,Gary A. Chism,State House,37,R,Clay ,Siloam,152,,
4,Gary A. Chism,State House,37,R,Clay ,South-West Point,301,,
4,Gary A. Chism,State House,37,R,Clay ,Tibbee,93,,
5,Gary A. Chism,State House,37,R,Clay ,Union Star,x,,
5,Gary A. Chism,State House,37,R,Clay ,Vinton,x,,
5,Gary A. Chism,State House,37,R,Clay ,West-West Point,x,,
5,Gary A. Chism,State House,37,R,Clay ,TOTAL ,1610,,
4,Tyrone Ellis,State House,38,D,Clay ,Cairo,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Caradine,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Cedar Bluff,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Central-West Point,x,,
4,Tyrone Ellis,State House,38,D,Clay ,East-West Point,60,,
4,Tyrone Ellis,State House,38,D,Clay ,North-West Point,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Pheba,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Pine Bluff,x,,
4,Tyrone Ellis,State House,38,D,Clay ,Siloam,x,,
4,Tyrone Ellis,State House,38,D,Clay ,South-West Point,287,,
4,Tyrone Ellis,State House,38,D,Clay ,Tibbee,x,,
5,Tyrone Ellis,State House,38,D,Clay ,Union Star,x,,
5,Tyrone Ellis,State House,38,D,Clay ,Vinton,x,,
5,Tyrone Ellis,State House,38,D,Clay ,West-West Point,x,,
5,Tyrone Ellis,State House,38,D,Clay ,TOTAL ,347,,
