candidate,office,district,party,county,precinct,votes,winner,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 4 Walden Chapel,16,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 4 Walden Chapel,0,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 5 Cruger,75,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 5 Cruger,63,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 5 Cruger,5,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 5 Lexington,110,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 5 Lexington,134,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 5 Lexington,1,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,Beat 5 Tchula,436,,,
Thad Cochran,United States Senate,,Republican,Holmes,Beat 5 Tchula,134,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,Beat 5 Tchula,6,,,
Travis W. Childers,United States Senate,,Democrat,Holmes,TOTAL,3069,,,
Thad Cochran,United States Senate,,Republican,Holmes,TOTAL,1313,,,
Shawn O'Hara,United States Senate,,Reform,Holmes,TOTAL,40,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,1 Acona,280,,,
Troy Ray,U.S. House,2,Independent,Holmes,1 Acona,15,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,1 Acona,1,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,1 Durant St Anderson,129,,,
Troy Ray,U.S. House,2,Independent,Holmes,1 Durant St Anderson,10,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,1 Durant St Anderson,5,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,2 Lexington Sandhill,0,,,
Troy Ray,U.S. House,2,Independent,Holmes,2 Lexington Sandhill,0,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,2 Lexington Sandhill,0,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 1 Lexington,531,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 1 Lexington,44,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 1 Lexington,11,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 Durant,189,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 2 Durant,72,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 Durant,9,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 Sub Durant,210,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 2 Sub Durant,20,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 Sub Durant,7,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 2 West,169,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 2 West,73,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 2 West,2,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Coxburg,44,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 3 Coxburg,42,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Coxburg,11,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Ebenezer,138,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 3 Ebenezer,26,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Ebenezer,7,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Goodman,226,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 3 Goodman,25,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Goodman,6,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 3 Pickens,307,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 3 Pickens,32,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 3 Pickens,6,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Lexington,667,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 4 Lexington,51,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Lexington,8,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Thornton,139,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 4 Thornton,7,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Thornton,4,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 4 Walden Chapel,88,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 4 Walden Chapel,6,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 4 Walden Chapel,0,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Cruger,111,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 5 Cruger,39,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Cruger,4,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Lexington,144,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 5 Lexington,85,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Lexington,13,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,Beat 5 Tchula,549,,,
Troy Ray,U.S. House,2,Independent,Holmes,Beat 5 Tchula,35,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,Beat 5 Tchula,10,,,
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,TOTAL,3921,,,
Troy Ray,U.S. House,2,Independent,Holmes,TOTAL,582,,,
Shelley Shoemake,U.S. House,2,Reform,Holmes,TOTAL,104,,,
