county,precinct,candidate,office,district,party,votes,winner
Tallahatchie,Tutwiler,Travis W. Childers,United States Senate,,Democrat,207,
Tallahatchie,Tutwiler,Thad Cochran,United States Senate,,Republican,57,
Tallahatchie,Tutwiler,Shawn O'Hara,United States Senate,,Reform,4,
Tallahatchie,Webb Beat #4,Travis W. Childers,United States Senate,,Democrat,69,
Tallahatchie,Webb Beat #4,Thad Cochran,United States Senate,,Republican,26,
Tallahatchie,Webb Beat #4,Shawn O'Hara,United States Senate,,Reform,1,
Tallahatchie,Webb Beat #5,Travis W. Childers,United States Senate,,Democrat,169,
Tallahatchie,Webb Beat #5,Thad Cochran,United States Senate,,Republican,41,
Tallahatchie,Webb Beat #5,Shawn O'Hara,United States Senate,,Reform,0,
Tallahatchie,TOTAL,Travis W. Childers,United States Senate,,Democrat,1509,
Tallahatchie,TOTAL,Thad Cochran,United States Senate,,Republican,1340,
Tallahatchie,TOTAL,Shawn O'Hara,United States Senate,,Reform,43,
Tallahatchie,Blue Cane,Bennie G. Thompson,U.S. House,2,Democrat,129,
Tallahatchie,Blue Cane,Troy Ray,U.S. House,2,Independent,9,
Tallahatchie,Blue Cane,Shelley Shoemake,U.S. House,2,Reform,2,
Tallahatchie,Brazil,Bennie G. Thompson,U.S. House,2,Democrat,19,
Tallahatchie,Brazil,Troy Ray,U.S. House,2,Independent,0,
Tallahatchie,Brazil,Shelley Shoemake,U.S. House,2,Reform,1,
Tallahatchie,Cascilla,Bennie G. Thompson,U.S. House,2,Democrat,75,
Tallahatchie,Cascilla,Troy Ray,U.S. House,2,Independent,57,
Tallahatchie,Cascilla,Shelley Shoemake,U.S. House,2,Reform,11,
Tallahatchie,Charleston Beat #1,Bennie G. Thompson,U.S. House,2,Democrat,126,
Tallahatchie,Charleston Beat #1,Troy Ray,U.S. House,2,Independent,56,
Tallahatchie,Charleston Beat #1,Shelley Shoemake,U.S. House,2,Reform,11,
Tallahatchie,Charleston Beat #2,Bennie G. Thompson,U.S. House,2,Democrat,309,
Tallahatchie,Charleston Beat #2,Troy Ray,U.S. House,2,Independent,85,
Tallahatchie,Charleston Beat #2,Shelley Shoemake,U.S. House,2,Reform,22,
Tallahatchie,Charleston Beat #3,Bennie G. Thompson,U.S. House,2,Democrat,143,
Tallahatchie,Charleston Beat #3,Troy Ray,U.S. House,2,Independent,39,
Tallahatchie,Charleston Beat #3,Shelley Shoemake,U.S. House,2,Reform,5,
Tallahatchie,Enid,Bennie G. Thompson,U.S. House,2,Democrat,76,
Tallahatchie,Enid,Troy Ray,U.S. House,2,Independent,47,
Tallahatchie,Enid,Shelley Shoemake,U.S. House,2,Reform,5,
Tallahatchie,Glendora,Bennie G. Thompson,U.S. House,2,Democrat,161,
Tallahatchie,Glendora,Troy Ray,U.S. House,2,Independent,2,
Tallahatchie,Glendora,Shelley Shoemake,U.S. House,2,Reform,0,
Tallahatchie,Leverette,Bennie G. Thompson,U.S. House,2,Democrat,23,
Tallahatchie,Leverette,Troy Ray,U.S. House,2,Independent,17,
Tallahatchie,Leverette,Shelley Shoemake,U.S. House,2,Reform,1,
Tallahatchie,Murphreesboro,Bennie G. Thompson,U.S. House,2,Democrat,25,
Tallahatchie,Murphreesboro,Troy Ray,U.S. House,2,Independent,45,
Tallahatchie,Murphreesboro,Shelley Shoemake,U.S. House,2,Reform,8,
Tallahatchie,Paynes,Bennie G. Thompson,U.S. House,2,Democrat,18,
Tallahatchie,Paynes,Troy Ray,U.S. House,2,Independent,47,
Tallahatchie,Paynes,Shelley Shoemake,U.S. House,2,Reform,10,
Tallahatchie,Phillip,Bennie G. Thompson,U.S. House,2,Democrat,49,
Tallahatchie,Phillip,Troy Ray,U.S. House,2,Independent,18,
Tallahatchie,Phillip,Shelley Shoemake,U.S. House,2,Reform,2,
Tallahatchie,Rosebloom,Bennie G. Thompson,U.S. House,2,Democrat,23,
Tallahatchie,Rosebloom,Troy Ray,U.S. House,2,Independent,26,
Tallahatchie,Rosebloom,Shelley Shoemake,U.S. House,2,Reform,8,
Tallahatchie,Springhill,Bennie G. Thompson,U.S. House,2,Democrat,24,
Tallahatchie,Springhill,Troy Ray,U.S. House,2,Independent,50,
Tallahatchie,Springhill,Shelley Shoemake,U.S. House,2,Reform,4,
Tallahatchie,Sumner Beat #2,Bennie G. Thompson,U.S. House,2,Democrat,74,
Tallahatchie,Sumner Beat #2,Troy Ray,U.S. House,2,Independent,41,
Tallahatchie,Sumner Beat #2,Shelley Shoemake,U.S. House,2,Reform,18,
Tallahatchie,Sumner Beat #5,Bennie G. Thompson,U.S. House,2,Democrat,97,
Tallahatchie,Sumner Beat #5,Troy Ray,U.S. House,2,Independent,17,
Tallahatchie,Sumner Beat #5,Shelley Shoemake,U.S. House,2,Reform,2,
Tallahatchie,Teasdale,Bennie G. Thompson,U.S. House,2,Democrat,34,
Tallahatchie,Teasdale,Troy Ray,U.S. House,2,Independent,63,
Tallahatchie,Teasdale,Shelley Shoemake,U.S. House,2,Reform,14,
Tallahatchie,Tippo,Bennie G. Thompson,U.S. House,2,Democrat,53,
Tallahatchie,Tippo,Troy Ray,U.S. House,2,Independent,31,
Tallahatchie,Tippo,Shelley Shoemake,U.S. House,2,Reform,7,
Tallahatchie,Tutwiler,Bennie G. Thompson,U.S. House,2,Democrat,258,
Tallahatchie,Tutwiler,Troy Ray,U.S. House,2,Independent,13,
Tallahatchie,Tutwiler,Shelley Shoemake,U.S. House,2,Reform,7,
Tallahatchie,Webb Beat #4,Bennie G. Thompson,U.S. House,2,Democrat,86,
Tallahatchie,Webb Beat #4,Troy Ray,U.S. House,2,Independent,8,
Tallahatchie,Webb Beat #4,Shelley Shoemake,U.S. House,2,Reform,2,
Tallahatchie,Webb Beat #5,Bennie G. Thompson,U.S. House,2,Democrat,205,
Tallahatchie,Webb Beat #5,Troy Ray,U.S. House,2,Independent,15,
Tallahatchie,Webb Beat #5,Shelley Shoemake,U.S. House,2,Reform,4,
Tallahatchie,TOTAL,Bennie G. Thompson,U.S. House,2,Democrat,2007,
Tallahatchie,TOTAL,Troy Ray,U.S. House,2,Independent,686,
Tallahatchie,TOTAL,Shelley Shoemake,U.S. House,2,Reform,144,
