county,precinct,office,district,party,candidate,votes,winner
Union,Blue Springs,Secretary of State,,Republican,Delbert Hosemann,225,
Union,Blue Springs,Secretary of State,,Reform,Randy Walker,12,
Union,Blue Springs,Attorney General,,Democrat,Jim Hood,148,
Union,Blue Springs,Attorney General,,Republican,Mike Hurst,126,
Union,Blue Springs,State Auditor,,Republican,Stacey E. Pickering,235,
Union,Blue Springs,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",30,
Union,Blue Springs,State Auditor,,Reform,Lajena Walley,5,
Union,Blue Springs,State Treasurer,,Republican,Lynn Finch,236,
Union,Blue Springs,State Treasurer,,Reform,Viola V. McFarland,29,
Union,Blue Springs,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,59,
Union,Blue Springs,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,198,
Union,Blue Springs,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,7,
Union,Blue Springs,Commissioner of Insurance,,Republican,Mike Chaney,254,
Union,Blue Springs,State Senate,3,Republican,Nickey Browning,237,
Union,Blue Springs,State Senate,3,Democrat,Christopher Stark,31,
Union,Blue Springs,State House,14,Republican,Margaret Ellis Rogers,252,
Union,Blythe,Governor,,Republican,Phil Bryant,132,
Union,Blythe,Governor,,Democrat,Robert Gray,12,
Union,Blythe,Governor,,Reform,Shawn O'Hara,1,
Union,Blythe,Lieutenant Governor,,Democrat,Tim Johnson,19,
Union,Blythe,Lieutenant Governor,,Republican,Tate Reeves,119,
Union,Blythe,Lieutenant Governor,,Libertarian,Ron Williams,2,
Union,Blythe,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Union,Blythe,Secretary of State,,Democrat,Charles E. Graham,28,
Union,Blythe,Secretary of State,,Republican,Delbert Hosemann,97,
Union,Blythe,Secretary of State,,Reform,Randy Walker,17,
Union,Blythe,Attorney General,,Democrat,Jim Hood,71,
Union,Blythe,Attorney General,,Republican,Mike Hurst,72,
Union,Blythe,State Auditor,,Republican,Stacey E. Pickering,118,
Union,Blythe,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",18,
Union,Blythe,State Auditor,,Reform,Lajena Walley,5,
Union,Blythe,State Treasurer,,Republican,Lynn Finch,128,
Union,Blythe,State Treasurer,,Reform,Viola V. McFarland,13,
Union,Blythe,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,38,
Union,Blythe,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,98,
Union,Blythe,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,5,
Union,Blythe,Commissioner of Insurance,,Republican,Mike Chaney,128,
Union,Blythe,State Senate,3,Republican,Nickey Browning,122,
Union,Blythe,State Senate,3,Democrat,Christopher Stark,20,
Union,Blythe,State House,13,Democrat,Justin Cluck,29,
Union,Blythe,State House,13,Republican,Steve Massengill,117,
Union,Center,Governor,,Republican,Phil Bryant,210,
Union,Center,Governor,,Democrat,Robert Gray,11,
Union,Center,Governor,,Reform,Shawn O'Hara,0,
Union,Center,Lieutenant Governor,,Democrat,Tim Johnson,16,
Union,Center,Lieutenant Governor,,Republican,Tate Reeves,194,
Union,Center,Lieutenant Governor,,Libertarian,Ron Williams,2,
Union,Center,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Union,Center,Secretary of State,,Democrat,Charles E. Graham,15,
Union,Center,Secretary of State,,Republican,Delbert Hosemann,195,
Union,Center,Secretary of State,,Reform,Randy Walker,1,
Union,Center,Attorney General,,Democrat,Jim Hood,102,
Union,Center,Attorney General,,Republican,Mike Hurst,115,
Union,Center,State Auditor,,Republican,Stacey E. Pickering,207,
Union,Center,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",5,
Union,Center,State Auditor,,Reform,Lajena Walley,0,
Union,Center,State Treasurer,,Republican,Lynn Finch,202,
Union,Center,State Treasurer,,Reform,Viola V. McFarland,6,
Union,Center,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,19,
Union,Center,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,187,
Union,Center,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,2,
Union,Center,Commissioner of Insurance,,Republican,Mike Chaney,202,
Union,Center,State Senate,3,Republican,Nickey Browning,201,
Union,Center,State Senate,3,Democrat,Christopher Stark,16,
Union,Center,State House,14,Republican,Margaret Ellis Rogers,199,
Union,Central Maintenance,Governor,,Republican,Phil Bryant,500,
Union,Central Maintenance,Governor,,Democrat,Robert Gray,66,
Union,Central Maintenance,Governor,,Reform,Shawn O'Hara,5,
Union,Central Maintenance,Lieutenant Governor,,Democrat,Tim Johnson,83,
Union,Central Maintenance,Lieutenant Governor,,Republican,Tate Reeves,457,
Union,Central Maintenance,Lieutenant Governor,,Libertarian,Ron Williams,7,
Union,Central Maintenance,Lieutenant Governor,,Reform,Rosa B. Williams,7,
Union,Central Maintenance,Secretary of State,,Democrat,Charles E. Graham,87,
Union,Central Maintenance,Secretary of State,,Republican,Delbert Hosemann,446,
Union,Central Maintenance,Secretary of State,,Reform,Randy Walker,22,
Union,Central Maintenance,Attorney General,,Democrat,Jim Hood,259,
Union,Central Maintenance,Attorney General,,Republican,Mike Hurst,310,
Union,Central Maintenance,State Auditor,,Republican,Stacey E. Pickering,478,
Union,Central Maintenance,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",72,
Union,Central Maintenance,State Auditor,,Reform,Lajena Walley,3,
Union,Central Maintenance,State Treasurer,,Republican,Lynn Finch,506,
Union,Central Maintenance,State Treasurer,,Reform,Viola V. McFarland,34,
Union,Central Maintenance,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,119,
Union,Central Maintenance,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,401,
Union,Central Maintenance,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,17,
Union,Central Maintenance,Commissioner of Insurance,,Republican,Mike Chaney,527,
Union,Central Maintenance,State Senate,3,Republican,Nickey Browning,488,
Union,Central Maintenance,State Senate,3,Democrat,Christopher Stark,72,
Union,Central Maintenance,State House,14,Republican,Margaret Ellis Rogers,531,
Union,Courthouse,Governor,,Republican,Phil Bryant,383,
Union,Courthouse,Governor,,Democrat,Robert Gray,73,
Union,Courthouse,Governor,,Reform,Shawn O'Hara,7,
Union,Courthouse,Lieutenant Governor,,Democrat,Tim Johnson,93,
Union,Courthouse,Lieutenant Governor,,Republican,Tate Reeves,343,
Union,Courthouse,Lieutenant Governor,,Libertarian,Ron Williams,9,
Union,Courthouse,Lieutenant Governor,,Reform,Rosa B. Williams,6,
Union,Courthouse,Secretary of State,,Democrat,Charles E. Graham,78,
Union,Courthouse,Secretary of State,,Republican,Delbert Hosemann,366,
Union,Courthouse,Secretary of State,,Reform,Randy Walker,16,
Union,Courthouse,Attorney General,,Democrat,Jim Hood,214,
Union,Courthouse,Attorney General,,Republican,Mike Hurst,253,
Union,Courthouse,State Auditor,,Republican,Stacey E. Pickering,374,
Union,Courthouse,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",77,
Union,Courthouse,State Auditor,,Reform,Lajena Walley,5,
Union,Courthouse,State Treasurer,,Republican,Lynn Finch,403,
Union,Courthouse,State Treasurer,,Reform,Viola V. McFarland,38,
Union,Courthouse,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,107,
Union,Courthouse,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,327,
Union,Courthouse,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,17,
Union,Courthouse,Commissioner of Insurance,,Republican,Mike Chaney,433,
Union,Courthouse,State Senate,3,Republican,Nickey Browning,382,
Union,Courthouse,State Senate,3,Democrat,Christopher Stark,78,
Union,Courthouse,State House,14,Republican,Margaret Ellis Rogers,436,
Union,East Union,Governor,,Republican,Phil Bryant,365,
Union,East Union,Governor,,Democrat,Robert Gray,69,
Union,East Union,Governor,,Reform,Shawn O'Hara,4,
Union,East Union,Lieutenant Governor,,Democrat,Tim Johnson,93,
Union,East Union,Lieutenant Governor,,Republican,Tate Reeves,328,
Union,East Union,Lieutenant Governor,,Libertarian,Ron Williams,7,
Union,East Union,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Union,East Union,Secretary of State,,Democrat,Charles E. Graham,89,
Union,East Union,Secretary of State,,Republican,Delbert Hosemann,331,
Union,East Union,Secretary of State,,Reform,Randy Walker,14,
Union,East Union,Attorney General,,Democrat,Jim Hood,226,
Union,East Union,Attorney General,,Republican,Mike Hurst,213,
Union,East Union,State Auditor,,Republican,Stacey E. Pickering,343,
Union,East Union,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",80,
Union,East Union,State Auditor,,Reform,Lajena Walley,4,
Union,East Union,State Treasurer,,Republican,Lynn Finch,354,
Union,East Union,State Treasurer,,Reform,Viola V. McFarland,40,
Union,East Union,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,113,
Union,East Union,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,294,
Union,East Union,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,12,
Union,East Union,Commissioner of Insurance,,Republican,Mike Chaney,384,
Union,East Union,State Senate,3,Republican,Nickey Browning,350,
Union,East Union,State Senate,3,Democrat,Christopher Stark,83,
Union,East Union,State House,14,Republican,Margaret Ellis Rogers,374,
Union,Glenfield,Governor,,Republican,Phil Bryant,352,
Union,Glenfield,Governor,,Democrat,Robert Gray,63,
Union,Glenfield,Governor,,Reform,Shawn O'Hara,0,
Union,Glenfield,Lieutenant Governor,,Democrat,Tim Johnson,83,
Union,Glenfield,Lieutenant Governor,,Republican,Tate Reeves,322,
Union,Glenfield,Lieutenant Governor,,Libertarian,Ron Williams,4,
Union,Glenfield,Lieutenant Governor,,Reform,Rosa B. Williams,0,
Union,Glenfield,Secretary of State,,Democrat,Charles E. Graham,87,
Union,Glenfield,Secretary of State,,Republican,Delbert Hosemann,303,
Union,Glenfield,Secretary of State,,Reform,Randy Walker,16,
Union,Glenfield,Attorney General,,Democrat,Jim Hood,217,
Union,Glenfield,Attorney General,,Republican,Mike Hurst,196,
Union,Glenfield,State Auditor,,Republican,Stacey E. Pickering,338,
Union,Glenfield,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",64,
Union,Glenfield,State Auditor,,Reform,Lajena Walley,4,
Union,Glenfield,State Treasurer,,Republican,Lynn Finch,348,
Union,Glenfield,State Treasurer,,Reform,Viola V. McFarland,47,
Union,Glenfield,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,115,
Union,Glenfield,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,270,
Union,Glenfield,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,6,
Union,Glenfield,Commissioner of Insurance,,Republican,Mike Chaney,384,
Union,Glenfield,State Senate,3,Republican,Nickey Browning,335,
Union,Glenfield,State Senate,3,Democrat,Christopher Stark,73,
Union,Glenfield,State House,14,Republican,Margaret Ellis Rogers,386,
Union,Hillcrest Church,Governor,,Republican,Phil Bryant,257,
Union,Hillcrest Church,Governor,,Democrat,Robert Gray,85,
Union,Hillcrest Church,Governor,,Reform,Shawn O'Hara,4,
Union,Hillcrest Church,Lieutenant Governor,,Democrat,Tim Johnson,106,
Union,Hillcrest Church,Lieutenant Governor,,Republican,Tate Reeves,234,
Union,Hillcrest Church,Lieutenant Governor,,Libertarian,Ron Williams,4,
Union,Hillcrest Church,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Union,Hillcrest Church,Secretary of State,,Democrat,Charles E. Graham,99,
Union,Hillcrest Church,Secretary of State,,Republican,Delbert Hosemann,230,
Union,Hillcrest Church,Secretary of State,,Reform,Randy Walker,12,
Union,Hillcrest Church,Attorney General,,Democrat,Jim Hood,203,
Union,Hillcrest Church,Attorney General,,Republican,Mike Hurst,142,
Union,Hillcrest Church,State Auditor,,Republican,Stacey E. Pickering,251,
Union,Hillcrest Church,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",85,
Union,Hillcrest Church,State Auditor,,Reform,Lajena Walley,2,
Union,Hillcrest Church,State Treasurer,,Republican,Lynn Finch,264,
Union,Hillcrest Church,State Treasurer,,Reform,Viola V. McFarland,49,
Union,Hillcrest Church,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,115,
Union,Hillcrest Church,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,214,
Union,Hillcrest Church,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,6,
Union,Hillcrest Church,Commissioner of Insurance,,Republican,Mike Chaney,297,
Union,Hillcrest Church,State Senate,3,Republican,Nickey Browning,245,
Union,Hillcrest Church,State Senate,3,Democrat,Christopher Stark,94,
Union,Hillcrest Church,State House,14,Republican,Margaret Ellis Rogers,301,
Union,Ingomar,Governor,,Republican,Phil Bryant,405,
Union,Ingomar,Governor,,Democrat,Robert Gray,79,
Union,Ingomar,Governor,,Reform,Shawn O'Hara,6,
Union,Ingomar,Lieutenant Governor,,Democrat,Tim Johnson,103,
Union,Ingomar,Lieutenant Governor,,Republican,Tate Reeves,361,
Union,Ingomar,Lieutenant Governor,,Libertarian,Ron Williams,11,
Union,Ingomar,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Union,Ingomar,Secretary of State,,Democrat,Charles E. Graham,88,
Union,Ingomar,Secretary of State,,Republican,Delbert Hosemann,357,
Union,Ingomar,Secretary of State,,Reform,Randy Walker,30,
Union,Ingomar,Attorney General,,Democrat,Jim Hood,269,
Union,Ingomar,Attorney General,,Republican,Mike Hurst,225,
Union,Ingomar,State Auditor,,Republican,Stacey E. Pickering,395,
Union,Ingomar,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",76,
Union,Ingomar,State Auditor,,Reform,Lajena Walley,5,
Union,Ingomar,State Treasurer,,Republican,Lynn Finch,414,
Union,Ingomar,State Treasurer,,Reform,Viola V. McFarland,40,
Union,Ingomar,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,119,
Union,Ingomar,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,329,
Union,Ingomar,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,19,
Union,Ingomar,Commissioner of Insurance,,Republican,Mike Chaney,430,
Union,Ingomar,State Senate,3,Republican,Nickey Browning,396,
Union,Ingomar,State Senate,3,Democrat,Christopher Stark,85,
Union,Ingomar,State House,14,Republican,Margaret Ellis Rogers,432,
Union,Jericho,Governor,,Republican,Phil Bryant,195,
Union,Jericho,Governor,,Democrat,Robert Gray,16,
Union,Jericho,Governor,,Reform,Shawn O'Hara,2,
Union,Jericho,Lieutenant Governor,,Democrat,Tim Johnson,36,
Union,Jericho,Lieutenant Governor,,Republican,Tate Reeves,169,
Union,Jericho,Lieutenant Governor,,Libertarian,Ron Williams,1,
Union,Jericho,Lieutenant Governor,,Reform,Rosa B. Williams,1,
Union,Jericho,Secretary of State,,Democrat,Charles E. Graham,24,
Union,Jericho,Secretary of State,,Republican,Delbert Hosemann,183,
Union,Jericho,Secretary of State,,Reform,Randy Walker,3,
Union,Jericho,Attorney General,,Democrat,Jim Hood,111,
Union,Jericho,Attorney General,,Republican,Mike Hurst,98,
Union,Jericho,State Auditor,,Republican,Stacey E. Pickering,178,
Union,Jericho,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",27,
Union,Jericho,State Auditor,,Reform,Lajena Walley,1,
Union,Jericho,State Treasurer,,Republican,Lynn Finch,191,
Union,Jericho,State Treasurer,,Reform,Viola V. McFarland,14,
Union,Jericho,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,46,
Union,Jericho,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,154,
Union,Jericho,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,4,
Union,Jericho,Commissioner of Insurance,,Republican,Mike Chaney,202,
Union,Jericho,State Senate,3,Republican,Nickey Browning,175,
Union,Jericho,State Senate,3,Democrat,Christopher Stark,30,
Union,Jericho,State House,18,Republican,Jerry R. Turner,203,
Union,Keownville,Governor,,Republican,Phil Bryant,331,
Union,Keownville,Governor,,Democrat,Robert Gray,22,
Union,Keownville,Governor,,Reform,Shawn O'Hara,0,
Union,Keownville,Lieutenant Governor,,Democrat,Tim Johnson,42,
Union,Keownville,Lieutenant Governor,,Republican,Tate Reeves,298,
Union,Keownville,Lieutenant Governor,,Libertarian,Ron Williams,4,
Union,Keownville,Lieutenant Governor,,Reform,Rosa B. Williams,3,
Union,Keownville,Secretary of State,,Democrat,Charles E. Graham,45,
Union,Keownville,Secretary of State,,Republican,Delbert Hosemann,286,
Union,Keownville,Secretary of State,,Reform,Randy Walker,16,
Union,Keownville,Attorney General,,Democrat,Jim Hood,178,
Union,Keownville,Attorney General,,Republican,Mike Hurst,175,
Union,Keownville,State Auditor,,Republican,Stacey E. Pickering,316,
Union,Keownville,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",29,
Union,Keownville,State Auditor,,Reform,Lajena Walley,4,
Union,Keownville,State Treasurer,,Republican,Lynn Finch,324,
Union,Keownville,State Treasurer,,Reform,Viola V. McFarland,19,
Union,Keownville,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,64,
Union,Keownville,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,263,
Union,Keownville,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,9,
Union,Keownville,Commissioner of Insurance,,Republican,Mike Chaney,335,
Union,Keownville,State Senate,3,Republican,Nickey Browning,314,
Union,Keownville,State Senate,3,Democrat,Christopher Stark,33,
Union,Keownville,State House,14,Republican,Margaret Ellis Rogers,336,
Union,King's Chapel,Governor,,Republican,Phil Bryant,257,
Union,King's Chapel,Governor,,Democrat,Robert Gray,34,
Union,King's Chapel,Governor,,Reform,Shawn O'Hara,2,
Union,King's Chapel,Lieutenant Governor,,Democrat,Tim Johnson,43,
Union,King's Chapel,Lieutenant Governor,,Republican,Tate Reeves,238,
Union,King's Chapel,Lieutenant Governor,,Libertarian,Ron Williams,5,
Union,King's Chapel,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Union,King's Chapel,Secretary of State,,Democrat,Charles E. Graham,40,
Union,King's Chapel,Secretary of State,,Republican,Delbert Hosemann,228,
Union,King's Chapel,Secretary of State,,Reform,Randy Walker,16,
Union,King's Chapel,Attorney General,,Democrat,Jim Hood,147,
Union,King's Chapel,Attorney General,,Republican,Mike Hurst,140,
Union,King's Chapel,State Auditor,,Republican,Stacey E. Pickering,248,
Union,King's Chapel,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",36,
Union,King's Chapel,State Auditor,,Reform,Lajena Walley,0,
Union,King's Chapel,State Treasurer,,Republican,Lynn Finch,254,
Union,King's Chapel,State Treasurer,,Reform,Viola V. McFarland,25,
Union,King's Chapel,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,59,
Union,King's Chapel,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,206,
Union,King's Chapel,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Union,King's Chapel,Commissioner of Insurance,,Republican,Mike Chaney,267,
Union,King's Chapel,State Senate,3,Republican,Nickey Browning,236,
Union,King's Chapel,State Senate,3,Democrat,Christopher Stark,50,
Union,King's Chapel,State House,14,Republican,Margaret Ellis Rogers,264,
Union,Macedonia,Governor,,Republican,Phil Bryant,199,
Union,Macedonia,Governor,,Democrat,Robert Gray,10,
Union,Macedonia,Governor,,Reform,Shawn O'Hara,1,
Union,Macedonia,Lieutenant Governor,,Democrat,Tim Johnson,26,
Union,Macedonia,Lieutenant Governor,,Republican,Tate Reeves,168,
Union,Macedonia,Lieutenant Governor,,Libertarian,Ron Williams,3,
Union,Macedonia,Lieutenant Governor,,Reform,Rosa B. Williams,5,
Union,Macedonia,Secretary of State,,Democrat,Charles E. Graham,30,
Union,Macedonia,Secretary of State,,Republican,Delbert Hosemann,155,
Union,Macedonia,Secretary of State,,Reform,Randy Walker,14,
Union,Macedonia,Attorney General,,Democrat,Jim Hood,93,
Union,Macedonia,Attorney General,,Republican,Mike Hurst,115,
Union,Macedonia,State Auditor,,Republican,Stacey E. Pickering,180,
Union,Macedonia,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",17,
Union,Macedonia,State Auditor,,Reform,Lajena Walley,5,
Union,Macedonia,State Treasurer,,Republican,Lynn Finch,176,
Union,Macedonia,State Treasurer,,Reform,Viola V. McFarland,21,
Union,Macedonia,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,38,
Union,Macedonia,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,148,
Union,Macedonia,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,8,
Union,Macedonia,Commissioner of Insurance,,Republican,Mike Chaney,196,
Union,Macedonia,State Senate,3,Republican,Nickey Browning,171,
Union,Macedonia,State Senate,3,Democrat,Christopher Stark,28,
Union,Macedonia,State House,13,Democrat,Justin Cluck,28,
Union,Macedonia,State House,13,Republican,Steve Massengill,178,
Union,Myrtle,Governor,,Republican,Phil Bryant,549,
Union,Myrtle,Governor,,Democrat,Robert Gray,91,
Union,Myrtle,Governor,,Reform,Shawn O'Hara,11,
Union,Myrtle,Lieutenant Governor,,Democrat,Tim Johnson,140,
Union,Myrtle,Lieutenant Governor,,Republican,Tate Reeves,466,
Union,Myrtle,Lieutenant Governor,,Libertarian,Ron Williams,20,
Union,Myrtle,Lieutenant Governor,,Reform,Rosa B. Williams,7,
Union,Myrtle,Secretary of State,,Democrat,Charles E. Graham,124,
Union,Myrtle,Secretary of State,,Republican,Delbert Hosemann,469,
Union,Myrtle,Secretary of State,,Reform,Randy Walker,41,
Union,Myrtle,Attorney General,,Democrat,Jim Hood,342,
Union,Myrtle,Attorney General,,Republican,Mike Hurst,300,
Union,Myrtle,State Auditor,,Republican,Stacey E. Pickering,533,
Union,Myrtle,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",99,
Union,Myrtle,State Auditor,,Reform,Lajena Walley,4,
Union,Myrtle,State Treasurer,,Republican,Lynn Finch,558,
Union,Myrtle,State Treasurer,,Reform,Viola V. McFarland,58,
Union,Myrtle,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,169,
Union,Myrtle,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,426,
Union,Myrtle,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,19,
Union,Myrtle,Commissioner of Insurance,,Republican,Mike Chaney,608,
Union,Myrtle,State Senate,3,Republican,Nickey Browning,506,
Union,Myrtle,State Senate,3,Democrat,Christopher Stark,129,
Union,Myrtle,State House,14,Republican,Margaret Ellis Rogers,597,
Union,NE Community College,Governor,,Republican,Phil Bryant,569,
Union,NE Community College,Governor,,Democrat,Robert Gray,118,
Union,NE Community College,Governor,,Reform,Shawn O'Hara,7,
Union,NE Community College,Lieutenant Governor,,Democrat,Tim Johnson,147,
Union,NE Community College,Lieutenant Governor,,Republican,Tate Reeves,530,
Union,NE Community College,Lieutenant Governor,,Libertarian,Ron Williams,13,
Union,NE Community College,Lieutenant Governor,,Reform,Rosa B. Williams,6,
Union,NE Community College,Secretary of State,,Democrat,Charles E. Graham,155,
Union,NE Community College,Secretary of State,,Republican,Delbert Hosemann,518,
Union,NE Community College,Secretary of State,,Reform,Randy Walker,20,
Union,NE Community College,Attorney General,,Democrat,Jim Hood,357,
Union,NE Community College,Attorney General,,Republican,Mike Hurst,342,
Union,NE Community College,State Auditor,,Republican,Stacey E. Pickering,561,
Union,NE Community College,State Auditor,,Democrat,"Jocelyn ""Joce"" Pepper Pritchett",127,
Union,NE Community College,State Auditor,,Reform,Lajena Walley,5,
Union,NE Community College,State Treasurer,,Republican,Lynn Finch,596,
Union,NE Community College,State Treasurer,,Reform,Viola V. McFarland,65,
Union,NE Community College,Commissioner of Agriculture & Commerce,,Democrat,Addie Lee Green,170,
Union,NE Community College,Commissioner of Agriculture & Commerce,,Republican,Cindy Hyde-Smith,483,
Union,NE Community College,Commissioner of Agriculture & Commerce,,Reform,Cathy L. Toole,18,
Union,NE Community College,Commissioner of Insurance,,Republican,Mike Chaney,644,
Union,NE Community College,State Senate,3,Republican,Nickey Browning,563,
Union,NE Community College,State Senate,3,Democrat,Christopher Stark,127,
Union,NE Community College,State House,14,Republican,Margaret Ellis Rogers,645,
Union,Pinedale,Governor,,Republican,Phil Bryant,238,
Union,Pinedale,Governor,,Democrat,Robert Gray,19,
Union,Pinedale,Governor,,Reform,Shawn O'Hara,4,
Union,Pinedale,Lieutenant Governor,,Democrat,Tim Johnson,36,
Union,Pinedale,Lieutenant Governor,,Republican,Tate Reeves,208,
Union,Pinedale,Lieutenant Governor,,Libertarian,Ron Williams,5,
Union,Pinedale,Lieutenant Governor,,Reform,Rosa B. Williams,2,
Union,Pinedale,Secretary of State,,Democrat,Charles E. Graham,46,
Union,Pinedale,Secretary of State,,Republican,Delbert Hosemann,193,
Union,Pinedale,Secretary of State,,Reform,Randy Walker,13,
Union,Pinedale,Attorney General,,Democrat,Jim Hood,145,
Union,Pinedale,Attorney General,,Republican,Mike Hurst,113,
Union,Pinedale,State Auditor,,Republican,Stacey E. Pickering,222,
