candidate,office,district,party,county,votes
Duncan Hunter,President,,Republican,Bolivar,0
Alan Keyes,President,,Republican,Bolivar,0
Mitt Romney,President,,Republican,Bolivar,4
Tom Tancredo,President,,Republican,Bolivar,0
Fred Thompson,President,,Republican,Bolivar,6
Mike Huckabee,President,,Republican,Calhoun,132
John McCain,President,,Republican,Calhoun,653
Ron Paul,President,,Republican,Calhoun,22
Rudy Guiliani,President,,Republican,Calhoun,1
Duncan Hunter,President,,Republican,Calhoun,1
Alan Keyes,President,,Republican,Calhoun,7
Mitt Romney,President,,Republican,Calhoun,4
Tom Tancredo,President,,Republican,Calhoun,0
Fred Thompson,President,,Republican,Calhoun,5
Mike Huckabee,President,,Republican,Carroll,29
John McCain,President,,Republican,Carroll,230
Ron Paul,President,,Republican,Carroll,7
Rudy Guiliani,President,,Republican,Carroll,2
Duncan Hunter,President,,Republican,Carroll,0
Alan Keyes,President,,Republican,Carroll,2
Mitt Romney,President,,Republican,Carroll,1
Tom Tancredo,President,,Republican,Carroll,1
Fred Thompson,President,,Republican,Carroll,2
Mike Huckabee,President,,Republican,Chickasaw,89
John McCain,President,,Republican,Chickasaw,541
Ron Paul,President,,Republican,Chickasaw,14
Rudy Guiliani,President,,Republican,Chickasaw,3
Duncan Hunter,President,,Republican,Chickasaw,1
Alan Keyes,President,,Republican,Chickasaw,4
Mitt Romney,President,,Republican,Chickasaw,6
Tom Tancredo,President,,Republican,Chickasaw,0
Fred Thompson,President,,Republican,Chickasaw,11
Mike Huckabee,President,,Republican,Choctaw,92
John McCain,President,,Republican,Choctaw,455
Ron Paul,President,,Republican,Choctaw,11
Rudy Guiliani,President,,Republican,Choctaw,3
Duncan Hunter,President,,Republican,Choctaw,1
Alan Keyes,President,,Republican,Choctaw,4
Mitt Romney,President,,Republican,Choctaw,3
Tom Tancredo,President,,Republican,Choctaw,0
Fred Thompson,President,,Republican,Choctaw,7
Mike Huckabee,President,,Republican,Claiborne,7
John McCain,President,,Republican,Claiborne,34
Ron Paul,President,,Republican,Claiborne,1
Rudy Guiliani,President,,Republican,Claiborne,0
Duncan Hunter,President,,Republican,Claiborne,0
Alan Keyes,President,,Republican,Claiborne,0
Mitt Romney,President,,Republican,Claiborne,0
Tom Tancredo,President,,Republican,Claiborne,2
Fred Thompson,President,,Republican,Claiborne,0
Mike Huckabee,President,,Republican,Clarke,132
John McCain,President,,Republican,Clarke,869
Ron Paul,President,,Republican,Clarke,28
Rudy Guiliani,President,,Republican,Clarke,9
Duncan Hunter,President,,Republican,Clarke,1
Alan Keyes,President,,Republican,Clarke,5
Mitt Romney,President,,Republican,Clarke,6
Tom Tancredo,President,,Republican,Clarke,1
Fred Thompson,President,,Republican,Clarke,5
Mike Huckabee,President,,Republican,Clay,110
John McCain,President,,Republican,Clay,766
Ron Paul,President,,Republican,Clay,22
Rudy Guiliani,President,,Republican,Clay,2
Duncan Hunter,President,,Republican,Clay,3
Alan Keyes,President,,Republican,Clay,6
Mitt Romney,President,,Republican,Clay,9
Tom Tancredo,President,,Republican,Clay,2
Fred Thompson,President,,Republican,Clay,12
Mike Huckabee,President,,Republican,Coahoma,14
John McCain,President,,Republican,Coahoma,76
Ron Paul,President,,Republican,Coahoma,4
Rudy Guiliani,President,,Republican,Coahoma,1
Duncan Hunter,President,,Republican,Coahoma,0
Alan Keyes,President,,Republican,Coahoma,0
Mitt Romney,President,,Republican,Coahoma,1
Tom Tancredo,President,,Republican,Coahoma,0
Fred Thompson,President,,Republican,Coahoma,2
Mike Huckabee,President,,Republican,Copiah,95
John McCain,President,,Republican,Copiah,823
Ron Paul,President,,Republican,Copiah,27
Rudy Guiliani,President,,Republican,Copiah,4
Duncan Hunter,President,,Republican,Copiah,5
Alan Keyes,President,,Republican,Copiah,3
Mitt Romney,President,,Republican,Copiah,11
Tom Tancredo,President,,Republican,Copiah,0
Fred Thompson,President,,Republican,Copiah,9
Mike Huckabee,President,,Republican,Covington,93
John McCain,President,,Republican,Covington,636
Ron Paul,President,,Republican,Covington,41
Rudy Guiliani,President,,Republican,Covington,7
Duncan Hunter,President,,Republican,Covington,3
Alan Keyes,President,,Republican,Covington,2
Mitt Romney,President,,Republican,Covington,9
Tom Tancredo,President,,Republican,Covington,1
Fred Thompson,President,,Republican,Covington,9
Mike Huckabee,President,,Republican,DeSoto,2107
John McCain,President,,Republican,DeSoto,8489
Ron Paul,President,,Republican,DeSoto,562
Rudy Guiliani,President,,Republican,DeSoto,97
Duncan Hunter,President,,Republican,DeSoto,38
Alan Keyes,President,,Republican,DeSoto,55
Mitt Romney,President,,Republican,DeSoto,175
Tom Tancredo,President,,Republican,DeSoto,4
Fred Thompson,President,,Republican,DeSoto,232
Mike Huckabee,President,,Republican,Forrest,195
John McCain,President,,Republican,Forrest,1020
Ron Paul,President,,Republican,Forrest,117
Rudy Guiliani,President,,Republican,Forrest,12
Duncan Hunter,President,,Republican,Forrest,3
Alan Keyes,President,,Republican,Forrest,4
Mitt Romney,President,,Republican,Forrest,36
Tom Tancredo,President,,Republican,Forrest,3
Fred Thompson,President,,Republican,Forrest,33
Mike Huckabee,President,,Republican,Franklin,86
John McCain,President,,Republican,Franklin,535
Ron Paul,President,,Republican,Franklin,9
Rudy Guiliani,President,,Republican,Franklin,2
Duncan Hunter,President,,Republican,Franklin,0
Alan Keyes,President,,Republican,Franklin,4
Mitt Romney,President,,Republican,Franklin,2
Tom Tancredo,President,,Republican,Franklin,2
Fred Thompson,President,,Republican,Franklin,2
Mike Huckabee,President,,Republican,George,140
John McCain,President,,Republican,George,509
Ron Paul,President,,Republican,George,27
Rudy Guiliani,President,,Republican,George,7
Duncan Hunter,President,,Republican,George,0
Alan Keyes,President,,Republican,George,4
Mitt Romney,President,,Republican,George,6
Tom Tancredo,President,,Republican,George,0
Fred Thompson,President,,Republican,George,3
Mike Huckabee,President,,Republican,Greene,76
John McCain,President,,Republican,Greene,376
Ron Paul,President,,Republican,Greene,10
Rudy Guiliani,President,,Republican,Greene,1
Duncan Hunter,President,,Republican,Greene,2
Alan Keyes,President,,Republican,Greene,2
Mitt Romney,President,,Republican,Greene,12
Tom Tancredo,President,,Republican,Greene,0
Fred Thompson,President,,Republican,Greene,0
Mike Huckabee,President,,Republican,Grenada,114
John McCain,President,,Republican,Grenada,847
Ron Paul,President,,Republican,Grenada,20
Rudy Guiliani,President,,Republican,Grenada,7
Duncan Hunter,President,,Republican,Grenada,1
Alan Keyes,President,,Republican,Grenada,8
Mitt Romney,President,,Republican,Grenada,7
Tom Tancredo,President,,Republican,Grenada,1
Fred Thompson,President,,Republican,Grenada,6
Mike Huckabee,President,,Republican,Hancock,127
John McCain,President,,Republican,Hancock,702
Ron Paul,President,,Republican,Hancock,81
Rudy Guiliani,President,,Republican,Hancock,14
Duncan Hunter,President,,Republican,Hancock,2
Alan Keyes,President,,Republican,Hancock,9
Mitt Romney,President,,Republican,Hancock,20
Tom Tancredo,President,,Republican,Hancock,0
Fred Thompson,President,,Republican,Hancock,13
Mike Huckabee,President,,Republican,Harrison,509
John McCain,President,,Republican,Harrison,3035
Ron Paul,President,,Republican,Harrison,399
Rudy Guiliani,President,,Republican,Harrison,42
Duncan Hunter,President,,Republican,Harrison,24
Alan Keyes,President,,Republican,Harrison,33
Mitt Romney,President,,Republican,Harrison,150
Tom Tancredo,President,,Republican,Harrison,3
Fred Thompson,President,,Republican,Harrison,63
Mike Huckabee,President,,Republican,Hinds,806
John McCain,President,,Republican,Hinds,7286
Ron Paul,President,,Republican,Hinds,375
Rudy Guiliani,President,,Republican,Hinds,63
Duncan Hunter,President,,Republican,Hinds,22
Alan Keyes,President,,Republican,Hinds,54
Mitt Romney,President,,Republican,Hinds,197
Tom Tancredo,President,,Republican,Hinds,10
Fred Thompson,President,,Republican,Hinds,174
Mike Huckabee,President,,Republican,Holmes,17
John McCain,President,,Republican,Holmes,128
Ron Paul,President,,Republican,Holmes,4
Rudy Guiliani,President,,Republican,Holmes,0
Duncan Hunter,President,,Republican,Holmes,1
Alan Keyes,President,,Republican,Holmes,3
Mitt Romney,President,,Republican,Holmes,1
Tom Tancredo,President,,Republican,Holmes,0
Fred Thompson,President,,Republican,Holmes,2
Mike Huckabee,President,,Republican,Humphreys,8
John McCain,President,,Republican,Humphreys,58
Ron Paul,President,,Republican,Humphreys,0
Rudy Guiliani,President,,Republican,Humphreys,1
Duncan Hunter,President,,Republican,Humphreys,0
Alan Keyes,President,,Republican,Humphreys,0
Mitt Romney,President,,Republican,Humphreys,0
Tom Tancredo,President,,Republican,Humphreys,0
Fred Thompson,President,,Republican,Humphreys,3
Mike Huckabee,President,,Republican,Issaquena,2
John McCain,President,,Republican,Issaquena,25
Ron Paul,President,,Republican,Issaquena,1
Rudy Guiliani,President,,Republican,Issaquena,0
Duncan Hunter,President,,Republican,Issaquena,0
Alan Keyes,President,,Republican,Issaquena,0
Mitt Romney,President,,Republican,Issaquena,0
Tom Tancredo,President,,Republican,Issaquena,0
Fred Thompson,President,,Republican,Issaquena,1
Mike Huckabee,President,,Republican,Itawamba,214
John McCain,President,,Republican,Itawamba,947
Ron Paul,President,,Republican,Itawamba,19
Rudy Guiliani,President,,Republican,Itawamba,10
Duncan Hunter,President,,Republican,Itawamba,1
Alan Keyes,President,,Republican,Itawamba,7
Mitt Romney,President,,Republican,Itawamba,7
Tom Tancredo,President,,Republican,Itawamba,1
Fred Thompson,President,,Republican,Itawamba,19
Mike Huckabee,President,,Republican,Jackson,642
John McCain,President,,Republican,Jackson,3750
Ron Paul,President,,Republican,Jackson,418
Rudy Guiliani,President,,Republican,Jackson,53
Duncan Hunter,President,,Republican,Jackson,21
Alan Keyes,President,,Republican,Jackson,34
Mitt Romney,President,,Republican,Jackson,143
Tom Tancredo,President,,Republican,Jackson,4
Fred Thompson,President,,Republican,Jackson,70
Mike Huckabee,President,,Republican,Jasper,48
John McCain,President,,Republican,Jasper,381
Ron Paul,President,,Republican,Jasper,14
Rudy Guiliani,President,,Republican,Jasper,2
Duncan Hunter,President,,Republican,Jasper,0
Alan Keyes,President,,Republican,Jasper,5
Mitt Romney,President,,Republican,Jasper,6
Tom Tancredo,President,,Republican,Jasper,2
Fred Thompson,President,,Republican,Jasper,4
Mike Huckabee,President,,Republican,Jefferson,4
John McCain,President,,Republican,Jefferson,45
Ron Paul,President,,Republican,Jefferson,0
Rudy Guiliani,President,,Republican,Jefferson,0
Duncan Hunter,President,,Republican,Jefferson,0
Alan Keyes,President,,Republican,Jefferson,4
Mitt Romney,President,,Republican,Jefferson,7
Tom Tancredo,President,,Republican,Jefferson,1
Fred Thompson,President,,Republican,Jefferson,7
Mike Huckabee,President,,Republican,Jefferson Davis,73
John McCain,President,,Republican,Jefferson Davis,511
Ron Paul,President,,Republican,Jefferson Davis,13
Rudy Guiliani,President,,Republican,Jefferson Davis,7
Duncan Hunter,President,,Republican,Jefferson Davis,0
Alan Keyes,President,,Republican,Jefferson Davis,0
Mitt Romney,President,,Republican,Jefferson Davis,0
Tom Tancredo,President,,Republican,Jefferson Davis,0
Fred Thompson,President,,Republican,Jefferson Davis,0
Mike Huckabee,President,,Republican,Jones,199
John McCain,President,,Republican,Jones,1148
Ron Paul,President,,Republican,Jones,147
Rudy Guiliani,President,,Republican,Jones,14
Duncan Hunter,President,,Republican,Jones,17
Alan Keyes,President,,Republican,Jones,16
Mitt Romney,President,,Republican,Jones,33
Tom Tancredo,President,,Republican,Jones,17
Fred Thompson,President,,Republican,Jones,47
Mike Huckabee,President,,Republican,Kemper,68
John McCain,President,,Republican,Kemper,548
Ron Paul,President,,Republican,Kemper,13
Rudy Guiliani,President,,Republican,Kemper,3
Duncan Hunter,President,,Republican,Kemper,1
Alan Keyes,President,,Republican,Kemper,5
Mitt Romney,President,,Republican,Kemper,4
Tom Tancredo,President,,Republican,Kemper,0
Fred Thompson,President,,Republican,Kemper,5
Mike Huckabee,President,,Republican,Lafayette,301
John McCain,President,,Republican,Lafayette,1953
Ron Paul,President,,Republican,Lafayette,97
Rudy Guiliani,President,,Republican,Lafayette,14
Duncan Hunter,President,,Republican,Lafayette,0
Alan Keyes,President,,Republican,Lafayette,11
Mitt Romney,President,,Republican,Lafayette,31
Tom Tancredo,President,,Republican,Lafayette,3
Fred Thompson,President,,Republican,Lafayette,31
Mike Huckabee,President,,Republican,Lamar,195
John McCain,President,,Republican,Lamar,1023
Ron Paul,President,,Republican,Lamar,75
Rudy Guiliani,President,,Republican,Lamar,14
Duncan Hunter,President,,Republican,Lamar,2
Alan Keyes,President,,Republican,Lamar,8
Mitt Romney,President,,Republican,Lamar,39
Tom Tancredo,President,,Republican,Lamar,23
Fred Thompson,President,,Republican,Lamar,2
Mike Huckabee,President,,Republican,Lauderdale,815
John McCain,President,,Republican,Lauderdale,6242
Ron Paul,President,,Republican,Lauderdale,171
Rudy Guiliani,President,,Republican,Lauderdale,42
Duncan Hunter,President,,Republican,Lauderdale,20
Alan Keyes,President,,Republican,Lauderdale,38
Mitt Romney,President,,Republican,Lauderdale,84
Tom Tancredo,President,,Republican,Lauderdale,5
Fred Thompson,President,,Republican,Lauderdale,85
Mike Huckabee,President,,Republican,Lawrence,113
John McCain,President,,Republican,Lawrence,738
Ron Paul,President,,Republican,Lawrence,14
Rudy Guiliani,President,,Republican,Lawrence,1
Duncan Hunter,President,,Republican,Lawrence,3
Alan Keyes,President,,Republican,Lawrence,3
Mitt Romney,President,,Republican,Lawrence,7
Tom Tancredo,President,,Republican,Lawrence,0
Fred Thompson,President,,Republican,Lawrence,10
Mike Huckabee,President,,Republican,Leake,116
John McCain,President,,Republican,Leake,742
Ron Paul,President,,Republican,Leake,16
Rudy Guiliani,President,,Republican,Leake,5
Duncan Hunter,President,,Republican,Leake,4
Alan Keyes,President,,Republican,Leake,5
Mitt Romney,President,,Republican,Leake,7
Tom Tancredo,President,,Republican,Leake,0
Fred Thompson,President,,Republican,Leake,9
Mike Huckabee,President,,Republican,Lee,664
John McCain,President,,Republican,Lee,4464
Ron Paul,President,,Republican,Lee,142
Rudy Guiliani,President,,Republican,Lee,22
Duncan Hunter,President,,Republican,Lee,9
Alan Keyes,President,,Republican,Lee,37
Mitt Romney,President,,Republican,Lee,74
Tom Tancredo,President,,Republican,Lee,8
Fred Thompson,President,,Republican,Lee,77
Mike Huckabee,President,,Republican,Leflore,20
John McCain,President,,Republican,Leflore,252
Ron Paul,President,,Republican,Leflore,12
Rudy Guiliani,President,,Republican,Leflore,0
Duncan Hunter,President,,Republican,Leflore,0
Alan Keyes,President,,Republican,Leflore,0
Mitt Romney,President,,Republican,Leflore,3
Tom Tancredo,President,,Republican,Leflore,1
Fred Thompson,President,,Republican,Leflore,5
Mike Huckabee,President,,Republican,Lincoln,297
John McCain,President,,Republican,Lincoln,1945
Ron Paul,President,,Republican,Lincoln,47
Rudy Guiliani,President,,Republican,Lincoln,7
Duncan Hunter,President,,Republican,Lincoln,7
Alan Keyes,President,,Republican,Lincoln,9
Mitt Romney,President,,Republican,Lincoln,31
Tom Tancredo,President,,Republican,Lincoln,1
Fred Thompson,President,,Republican,Lincoln,25
Mike Huckabee,President,,Republican,Lowndes,502
John McCain,President,,Republican,Lowndes,3184
Ron Paul,President,,Republican,Lowndes,101
Rudy Guiliani,President,,Republican,Lowndes,26
Duncan Hunter,President,,Republican,Lowndes,9
Alan Keyes,President,,Republican,Lowndes,32
Mitt Romney,President,,Republican,Lowndes,39
Tom Tancredo,President,,Republican,Lowndes,7
Fred Thompson,President,,Republican,Lowndes,46
Mike Huckabee,President,,Republican,Madison,938
John McCain,President,,Republican,Madison,8208
Ron Paul,President,,Republican,Madison,372
Rudy Guiliani,President,,Republican,Madison,76
Duncan Hunter,President,,Republican,Madison,24
Alan Keyes,President,,Republican,Madison,64
Mitt Romney,President,,Republican,Madison,205
Tom Tancredo,President,,Republican,Madison,11
Fred Thompson,President,,Republican,Madison,187
Mike Huckabee,President,,Republican,Marion,112
John McCain,President,,Republican,Marion,650
Ron Paul,President,,Republican,Marion,18
Rudy Guiliani,President,,Republican,Marion,3
Duncan Hunter,President,,Republican,Marion,2
Alan Keyes,President,,Republican,Marion,2
Mitt Romney,President,,Republican,Marion,9
Tom Tancredo,President,,Republican,Marion,2
Fred Thompson,President,,Republican,Marion,20
Mike Huckabee,President,,Republican,Marshall,201
John McCain,President,,Republican,Marshall,882
Ron Paul,President,,Republican,Marshall,48
Rudy Guiliani,President,,Republican,Marshall,5
Duncan Hunter,President,,Republican,Marshall,2
Alan Keyes,President,,Republican,Marshall,14
Mitt Romney,President,,Republican,Marshall,13
Tom Tancredo,President,,Republican,Marshall,1
Fred Thompson,President,,Republican,Marshall,37
Mike Huckabee,President,,Republican,Monroe,261
John McCain,President,,Republican,Monroe,1382
Ron Paul,President,,Republican,Monroe,37
Rudy Guiliani,President,,Republican,Monroe,9
Duncan Hunter,President,,Republican,Monroe,7
Alan Keyes,President,,Republican,Monroe,13
Mitt Romney,President,,Republican,Monroe,18
Tom Tancredo,President,,Republican,Monroe,1
Fred Thompson,President,,Republican,Monroe,17
Mike Huckabee,President,,Republican,Montgomery,42
John McCain,President,,Republican,Montgomery,240
Ron Paul,President,,Republican,Montgomery,4
Rudy Guiliani,President,,Republican,Montgomery,3
Duncan Hunter,President,,Republican,Montgomery,0
Alan Keyes,President,,Republican,Montgomery,2
Mitt Romney,President,,Republican,Montgomery,1
Tom Tancredo,President,,Republican,Montgomery,0
Fred Thompson,President,,Republican,Montgomery,1
Mike Huckabee,President,,Republican,Neshoba,250
John McCain,President,,Republican,Neshoba,1896
Ron Paul,President,,Republican,Neshoba,33
Rudy Guiliani,President,,Republican,Neshoba,18
Duncan Hunter,President,,Republican,Neshoba,5
Alan Keyes,President,,Republican,Neshoba,9
Mitt Romney,President,,Republican,Neshoba,14
Tom Tancredo,President,,Republican,Neshoba,3
Fred Thompson,President,,Republican,Neshoba,36
Mike Huckabee,President,,Republican,Newton,247
John McCain,President,,Republican,Newton,1753
Ron Paul,President,,Republican,Newton,39
Rudy Guiliani,President,,Republican,Newton,10
Duncan Hunter,President,,Republican,Newton,8
Alan Keyes,President,,Republican,Newton,13
Mitt Romney,President,,Republican,Newton,14
Tom Tancredo,President,,Republican,Newton,0
Fred Thompson,President,,Republican,Newton,23
Mike Huckabee,President,,Republican,Noxubee,24
John McCain,President,,Republican,Noxubee,181
Ron Paul,President,,Republican,Noxubee,34
Rudy Guiliani,President,,Republican,Noxubee,9
Duncan Hunter,President,,Republican,Noxubee,16
Alan Keyes,President,,Republican,Noxubee,23
Mitt Romney,President,,Republican,Noxubee,37
Tom Tancredo,President,,Republican,Noxubee,40
Fred Thompson,President,,Republican,Noxubee,47
Mike Huckabee,President,,Republican,Oktibbeha,365
John McCain,President,,Republican,Oktibbeha,1844
Ron Paul,President,,Republican,Oktibbeha,86
Rudy Guiliani,President,,Republican,Oktibbeha,9
Duncan Hunter,President,,Republican,Oktibbeha,9
Alan Keyes,President,,Republican,Oktibbeha,16
Mitt Romney,President,,Republican,Oktibbeha,40
Tom Tancredo,President,,Republican,Oktibbeha,1
Fred Thompson,President,,Republican,Oktibbeha,32
Mike Huckabee,President,,Republican,Panola,164
John McCain,President,,Republican,Panola,1010
Ron Paul,President,,Republican,Panola,33
Rudy Guiliani,President,,Republican,Panola,8
Duncan Hunter,President,,Republican,Panola,2
Alan Keyes,President,,Republican,Panola,5
Mitt Romney,President,,Republican,Panola,7
Tom Tancredo,President,,Republican,Panola,2
Fred Thompson,President,,Republican,Panola,13
Mike Huckabee,President,,Republican,Pearl River,249
John McCain,President,,Republican,Pearl River,1252
Ron Paul,President,,Republican,Pearl River,152
Rudy Guiliani,President,,Republican,Pearl River,13
Duncan Hunter,President,,Republican,Pearl River,6
Alan Keyes,President,,Republican,Pearl River,12
Mitt Romney,President,,Republican,Pearl River,16
Tom Tancredo,President,,Republican,Pearl River,2
Fred Thompson,President,,Republican,Pearl River,19
Mike Huckabee,President,,Republican,Perry,28
John McCain,President,,Republican,Perry,164
Ron Paul,President,,Republican,Perry,4
Rudy Guiliani,President,,Republican,Perry,2
Duncan Hunter,President,,Republican,Perry,1
Alan Keyes,President,,Republican,Perry,2
Mitt Romney,President,,Republican,Perry,1
Tom Tancredo,President,,Republican,Perry,0
Fred Thompson,President,,Republican,Perry,5
Mike Huckabee,President,,Republican,Pike,285
John McCain,President,,Republican,Pike,1844
Ron Paul,President,,Republican,Pike,65
Rudy Guiliani,President,,Republican,Pike,14
Duncan Hunter,President,,Republican,Pike,7
Alan Keyes,President,,Republican,Pike,7
Mitt Romney,President,,Republican,Pike,5
Tom Tancredo,President,,Republican,Pike,2
Fred Thompson,President,,Republican,Pike,25
Mike Huckabee,President,,Republican,Pontotoc,355
John McCain,President,,Republican,Pontotoc,1404
Ron Paul,President,,Republican,Pontotoc,55
Rudy Guiliani,President,,Republican,Pontotoc,8
Duncan Hunter,President,,Republican,Pontotoc,5
Alan Keyes,President,,Republican,Pontotoc,12
Mitt Romney,President,,Republican,Pontotoc,22
Tom Tancredo,President,,Republican,Pontotoc,0
Fred Thompson,President,,Republican,Pontotoc,28
Mike Huckabee,President,,Republican,Prentiss,145
John McCain,President,,Republican,Prentiss,627
Ron Paul,President,,Republican,Prentiss,28
Rudy Guiliani,President,,Republican,Prentiss,3
Duncan Hunter,President,,Republican,Prentiss,5
Alan Keyes,President,,Republican,Prentiss,4
Mitt Romney,President,,Republican,Prentiss,21
Tom Tancredo,President,,Republican,Prentiss,1
Fred Thompson,President,,Republican,Prentiss,5
Mike Huckabee,President,,Republican,Quitman,13
John McCain,President,,Republican,Quitman,34
Ron Paul,President,,Republican,Quitman,0
Rudy Guiliani,President,,Republican,Quitman,0
Duncan Hunter,President,,Republican,Quitman,0
Alan Keyes,President,,Republican,Quitman,0
Mitt Romney,President,,Republican,Quitman,0
Tom Tancredo,President,,Republican,Quitman,0
Fred Thompson,President,,Republican,Quitman,0
Mike Huckabee,President,,Republican,Rankin,2096
John McCain,President,,Republican,Rankin,15377
Ron Paul,President,,Republican,Rankin,630
Rudy Guiliani,President,,Republican,Rankin,128
Duncan Hunter,President,,Republican,Rankin,56
Alan Keyes,President,,Republican,Rankin,95
Mitt Romney,President,,Republican,Rankin,347
Tom Tancredo,President,,Republican,Rankin,17
Fred Thompson,President,,Republican,Rankin,383
Mike Huckabee,President,,Republican,Scott,159
John McCain,President,,Republican,Scott,1376
Ron Paul,President,,Republican,Scott,20
Rudy Guiliani,President,,Republican,Scott,7
Duncan Hunter,President,,Republican,Scott,7
Alan Keyes,President,,Republican,Scott,8
Mitt Romney,President,,Republican,Scott,10
Tom Tancredo,President,,Republican,Scott,0
Fred Thompson,President,,Republican,Scott,20
Mike Huckabee,President,,Republican,Sharkey,7
John McCain,President,,Republican,Sharkey,62
Ron Paul,President,,Republican,Sharkey,3
Rudy Guiliani,President,,Republican,Sharkey,1
Duncan Hunter,President,,Republican,Sharkey,0
Alan Keyes,President,,Republican,Sharkey,0
Mitt Romney,President,,Republican,Sharkey,0
Tom Tancredo,President,,Republican,Sharkey,0
Fred Thompson,President,,Republican,Sharkey,0
Mike Huckabee,President,,Republican,Simpson,226
John McCain,President,,Republican,Simpson,1871
Ron Paul,President,,Republican,Simpson,74
Rudy Guiliani,President,,Republican,Simpson,8
Duncan Hunter,President,,Republican,Simpson,3
Alan Keyes,President,,Republican,Simpson,7
Mitt Romney,President,,Republican,Simpson,19
Tom Tancredo,President,,Republican,Simpson,2
Fred Thompson,President,,Republican,Simpson,33
Mike Huckabee,President,,Republican,Smith,153
John McCain,President,,Republican,Smith,1018
Ron Paul,President,,Republican,Smith,39
Rudy Guiliani,President,,Republican,Smith,6
Duncan Hunter,President,,Republican,Smith,5
Alan Keyes,President,,Republican,Smith,3
Mitt Romney,President,,Republican,Smith,7
Tom Tancredo,President,,Republican,Smith,1
Fred Thompson,President,,Republican,Smith,15
Mike Huckabee,President,,Republican,Stone,61
John McCain,President,,Republican,Stone,332
Ron Paul,President,,Republican,Stone,39
Rudy Guiliani,President,,Republican,Stone,14
Duncan Hunter,President,,Republican,Stone,2
Alan Keyes,President,,Republican,Stone,4
Mitt Romney,President,,Republican,Stone,9
Tom Tancredo,President,,Republican,Stone,2
Fred Thompson,President,,Republican,Stone,1
Mike Huckabee,President,,Republican,Sunflower,14
John McCain,President,,Republican,Sunflower,229
Ron Paul,President,,Republican,Sunflower,3
Rudy Guiliani,President,,Republican,Sunflower,1
Duncan Hunter,President,,Republican,Sunflower,0
Alan Keyes,President,,Republican,Sunflower,2
Mitt Romney,President,,Republican,Sunflower,0
Tom Tancredo,President,,Republican,Sunflower,0
Fred Thompson,President,,Republican,Sunflower,3
Mike Huckabee,President,,Republican,Tallahatchie,31
John McCain,President,,Republican,Tallahatchie,164
Ron Paul,President,,Republican,Tallahatchie,8
Rudy Guiliani,President,,Republican,Tallahatchie,1
Duncan Hunter,President,,Republican,Tallahatchie,0
Alan Keyes,President,,Republican,Tallahatchie,0
Mitt Romney,President,,Republican,Tallahatchie,2
Tom Tancredo,President,,Republican,Tallahatchie,0
Fred Thompson,President,,Republican,Tallahatchie,0
Mike Huckabee,President,,Republican,Tate,256
John McCain,President,,Republican,Tate,1188
Ron Paul,President,,Republican,Tate,54
Rudy Guiliani,President,,Republican,Tate,8
Duncan Hunter,President,,Republican,Tate,4
Alan Keyes,President,,Republican,Tate,17
Mitt Romney,President,,Republican,Tate,17
Tom Tancredo,President,,Republican,Tate,1
Fred Thompson,President,,Republican,Tate,22
Mike Huckabee,President,,Republican,Tippah,172
John McCain,President,,Republican,Tippah,777
Ron Paul,President,,Republican,Tippah,45
