candidate,office,district,party,county,precinct,votes,winner,
Hillary Clinton,President,,D,Coahoma,Friars Point,51,,
Chris Dodd,President,,D,Coahoma,Friars Point,0,,
John Edwards,President,,D,Coahoma,Friars Point,1,,
Mike Gravel,President,,D,Coahoma,Friars Point,1,,
Dennis Kucinich,President,,D,Coahoma,Friars Point,2,,
Barack Obama,President,,D,Coahoma,Friars Point,251,,
Bill Richardson,President,,D,Coahoma,Friars Point,1,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Friars Point,128,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Friars Point,104,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Friars Point,21,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Friars Point,274,,
Joseph Biden,President,,D,Coahoma,Farrell,0,,
Hillary Clinton,President,,D,Coahoma,Farrell,21,,
Chris Dodd,President,,D,Coahoma,Farrell,0,,
John Edwards,President,,D,Coahoma,Farrell,0,,
Mike Gravel,President,,D,Coahoma,Farrell,0,,
Dennis Kucinich,President,,D,Coahoma,Farrell,1,,
Barack Obama,President,,D,Coahoma,Farrell,75,,
Bill Richardson,President,,D,Coahoma,Farrell,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Farrell,39,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Farrell,48,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Farrell,9,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Farrell,87,,
Joseph Biden,President,,D,Coahoma,Sherard,0,,
Hillary Clinton,President,,D,Coahoma,Sherard,5,,
Chris Dodd,President,,D,Coahoma,Sherard,0,,
John Edwards,President,,D,Coahoma,Sherard,0,,
Mike Gravel,President,,D,Coahoma,Sherard,0,,
Dennis Kucinich,President,,D,Coahoma,Sherard,0,,
Barack Obama,President,,D,Coahoma,Sherard,12,,
Bill Richardson,President,,D,Coahoma,Sherard,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Sherard,10,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Sherard,5,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Sherard,4,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Sherard,13,,
Joseph Biden,President,,D,Coahoma,Clarksdale # 2,4,,
Hillary Clinton,President,,D,Coahoma,Clarksdale # 2,332,,
Chris Dodd,President,,D,Coahoma,Clarksdale # 2,4,,
John Edwards,President,,D,Coahoma,Clarksdale # 2,16,,
Mike Gravel,President,,D,Coahoma,Clarksdale # 2,1,,
Dennis Kucinich,President,,D,Coahoma,Clarksdale # 2,1,,
Barack Obama,President,,D,Coahoma,Clarksdale # 2,287,,
Bill Richardson,President,,D,Coahoma,Clarksdale # 2,7,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Clarksdale # 2,294,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Clarksdale # 2,205,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Clarksdale # 2,203,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Clarksdale # 2,376,,
Joseph Biden,President,,D,Coahoma,Jonestown,3,,
Hillary Clinton,President,,D,Coahoma,Jonestown,34,,
Chris Dodd,President,,D,Coahoma,Jonestown,2,,
John Edwards,President,,D,Coahoma,Jonestown,2,,
Mike Gravel,President,,D,Coahoma,Jonestown,2,,
Dennis Kucinich,President,,D,Coahoma,Jonestown,3,,
Barack Obama,President,,D,Coahoma,Jonestown,359,,
Bill Richardson,President,,D,Coahoma,Jonestown,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Jonestown,188,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Jonestown,145,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Jonestown,16,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Jonestown,378,,
Joseph Biden,President,,D,Coahoma,Dublin,1,,
Hillary Clinton,President,,D,Coahoma,Dublin,48,,
Chris Dodd,President,,D,Coahoma,Dublin,0,,
John Edwards,President,,D,Coahoma,Dublin,3,,
Mike Gravel,President,,D,Coahoma,Dublin,2,,
Dennis Kucinich,President,,D,Coahoma,Dublin,0,,
Barack Obama,President,,D,Coahoma,Dublin,32,,
Bill Richardson,President,,D,Coahoma,Dublin,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Dublin,30,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Dublin,23,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Dublin,32,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Dublin,39,,
Joseph Biden,President,,D,Coahoma,Clarksdale # 3,0,,
Hillary Clinton,President,,D,Coahoma,Clarksdale # 3,38,,
Chris Dodd,President,,D,Coahoma,Clarksdale # 3,0,,
John Edwards,President,,D,Coahoma,Clarksdale # 3,1,,
Mike Gravel,President,,D,Coahoma,Clarksdale # 3,1,,
Dennis Kucinich,President,,D,Coahoma,Clarksdale # 3,1,,
Barack Obama,President,,D,Coahoma,Clarksdale # 3,260,,
Bill Richardson,President,,D,Coahoma,Clarksdale # 3,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Clarksdale # 3,158,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Clarksdale # 3,68,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Clarksdale # 3,14,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Clarksdale # 3,264,,
Joseph Biden,President,,D,Coahoma,Sasse Street Fire Station,0,,
Hillary Clinton,President,,D,Coahoma,Sasse Street Fire Station,23,,
Chris Dodd,President,,D,Coahoma,Sasse Street Fire Station,0,,
John Edwards,President,,D,Coahoma,Sasse Street Fire Station,1,,
Mike Gravel,President,,D,Coahoma,Sasse Street Fire Station,1,,
Dennis Kucinich,President,,D,Coahoma,Sasse Street Fire Station,1,,
Barack Obama,President,,D,Coahoma,Sasse Street Fire Station,307,,
Bill Richardson,President,,D,Coahoma,Sasse Street Fire Station,1,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Sasse Street Fire Station,208,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Sasse Street Fire Station,57,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Sasse Street Fire Station,4,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Sasse Street Fire Station,328,,
Joseph Biden,President,,D,Coahoma,Cagle Crossing,1,,
Hillary Clinton,President,,D,Coahoma,Cagle Crossing,11,,
Chris Dodd,President,,D,Coahoma,Cagle Crossing,0,,
John Edwards,President,,D,Coahoma,Cagle Crossing,0,,
Mike Gravel,President,,D,Coahoma,Cagle Crossing,0,,
Dennis Kucinich,President,,D,Coahoma,Cagle Crossing,0,,
Barack Obama,President,,D,Coahoma,Cagle Crossing,10,,
Bill Richardson,President,,D,Coahoma,Cagle Crossing,0,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Cagle Crossing,9,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Cagle Crossing,9,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Cagle Crossing,5,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Cagle Crossing,11,,
Joseph Biden,President,,D,Coahoma,Clarksdale # 4,1,,
Hillary Clinton,President,,D,Coahoma,Clarksdale # 4,74,,
Chris Dodd,President,,D,Coahoma,Clarksdale # 4,0,,
John Edwards,President,,D,Coahoma,Clarksdale # 4,2,,
Mike Gravel,President,,D,Coahoma,Clarksdale # 4,1,,
Dennis Kucinich,President,,D,Coahoma,Clarksdale # 4,2,,
Barack Obama,President,,D,Coahoma,Clarksdale # 4,688,,
Bill Richardson,President,,D,Coahoma,Clarksdale # 4,3,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Clarksdale # 4,422,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Clarksdale # 4,195,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Clarksdale # 4,30,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Clarksdale # 4,719,,
Joseph Biden,President,,D,Coahoma,Clarksdale # 4 North,0,,
Hillary Clinton,President,,D,Coahoma,Clarksdale # 4 North,43,,
Chris Dodd,President,,D,Coahoma,Clarksdale # 4 North,0,,
John Edwards,President,,D,Coahoma,Clarksdale # 4 North,2,,
Mike Gravel,President,,D,Coahoma,Clarksdale # 4 North,0,,
Dennis Kucinich,President,,D,Coahoma,Clarksdale # 4 North,0,,
Barack Obama,President,,D,Coahoma,Clarksdale # 4 North,53,,
Bill Richardson,President,,D,Coahoma,Clarksdale # 4 North,2,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Clarksdale # 4 North,43,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Clarksdale # 4 North,22,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Clarksdale # 4 North,25,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Clarksdale # 4 North,62,,
Joseph Biden,President,,D,Coahoma,Rena Lara,0,,
Hillary Clinton,President,,D,Coahoma,Rena Lara,68,,
Chris Dodd,President,,D,Coahoma,Rena Lara,1,,
John Edwards,President,,D,Coahoma,Rena Lara,2,,
Mike Gravel,President,,D,Coahoma,Rena Lara,0,,
Dennis Kucinich,President,,D,Coahoma,Rena Lara,0,,
Barack Obama,President,,D,Coahoma,Rena Lara,19,,
Bill Richardson,President,,D,Coahoma,Rena Lara,1,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Rena Lara,33,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Rena Lara,27,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Rena Lara,31,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Rena Lara,42,,
Joseph Biden,President,,D,Coahoma,Bobo,0,,
Hillary Clinton,President,,D,Coahoma,Bobo,18,,
Chris Dodd,President,,D,Coahoma,Bobo,0,,
John Edwards,President,,D,Coahoma,Bobo,1,,
Mike Gravel,President,,D,Coahoma,Bobo,0,,
Dennis Kucinich,President,,D,Coahoma,Bobo,0,,
Barack Obama,President,,D,Coahoma,Bobo,37,,
Bill Richardson,President,,D,Coahoma,Bobo,2,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Bobo,30,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Bobo,16,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Bobo,11,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Bobo,46,,
Joseph Biden,President,,D,Coahoma,Roundaway,0,,
Hillary Clinton,President,,D,Coahoma,Roundaway,24,,
Chris Dodd,President,,D,Coahoma,Roundaway,0,,
John Edwards,President,,D,Coahoma,Roundaway,0,,
Mike Gravel,President,,D,Coahoma,Roundaway,0,,
Dennis Kucinich,President,,D,Coahoma,Roundaway,0,,
Barack Obama,President,,D,Coahoma,Roundaway,28,,
Bill Richardson,President,,D,Coahoma,Roundaway,4,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Roundaway,18,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Roundaway,15,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Roundaway,15,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Roundaway,29,,
Joseph Biden,President,,D,Coahoma,Clarksdale # 5,2,,
Hillary Clinton,President,,D,Coahoma,Clarksdale # 5,146,,
Chris Dodd,President,,D,Coahoma,Clarksdale # 5,2,,
John Edwards,President,,D,Coahoma,Clarksdale # 5,5,,
Mike Gravel,President,,D,Coahoma,Clarksdale # 5,3,,
Dennis Kucinich,President,,D,Coahoma,Clarksdale # 5,5,,
Barack Obama,President,,D,Coahoma,Clarksdale # 5,512,,
Bill Richardson,President,,D,Coahoma,Clarksdale # 5,6,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,Clarksdale # 5,323,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,Clarksdale # 5,173,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,Clarksdale # 5,94,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,Clarksdale # 5,538,,
Joseph Biden,President,,D,Coahoma,TOTAL,22,,
Hillary Clinton,President,,D,Coahoma,TOTAL,1388,,
Chris Dodd,President,,D,Coahoma,TOTAL,11,,
John Edwards,President,,D,Coahoma,TOTAL,61,,
Mike Gravel,President,,D,Coahoma,TOTAL,12,,
Dennis Kucinich,President,,D,Coahoma,TOTAL,21,,
Barack Obama,President,,D,Coahoma,TOTAL,3541,,
Bill Richardson,President,,D,Coahoma,TOTAL,32,,
Erik R. Fleming,U.S. Senate,,D,Coahoma,TOTAL,2439,,
Shawn O'Hara,U.S. Senate,,D,Coahoma,TOTAL,1392,,
Dorothy 'Dot' Benford,U.S. House,2,D,Coahoma,TOTAL,816,,
Bennie G. Thompson,U.S. House,2,D,Coahoma,TOTAL,3889,,
Rudy Giuliani,President,,R,Coahoma,Lula,0,,
Mike Huckabee,President,,R,Coahoma,Lula,0,,
Duncan Hunter,President,,R,Coahoma,Lula,0,,
Alan Keyes,President,,R,Coahoma,Lula,0,,
John McCain,President,,R,Coahoma,Lula,6,,
Ron Paul,President,,R,Coahoma,Lula,0,,
Mitt Romney,President,,R,Coahoma,Lula,0,,
Tom Tancredo,President,,R,Coahoma,Lula,0,,
Fred Thompson,President,,R,Coahoma,Lula,1,,
Thad Cochran,U.S. Senate,,R,Coahoma,Lula,7,,
Richard Cook,U.S. House,2,R,Coahoma,Lula,7,,
Rudy Giuliani,President,,R,Coahoma,Coahoma,0,,
Mike Huckabee,President,,R,Coahoma,Coahoma,3,,
Duncan Hunter,President,,R,Coahoma,Coahoma,0,,
Alan Keyes,President,,R,Coahoma,Coahoma,0,,
John McCain,President,,R,Coahoma,Coahoma,2,,
Ron Paul,President,,R,Coahoma,Coahoma,0,,
Mitt Romney,President,,R,Coahoma,Coahoma,0,,
Tom Tancredo,President,,R,Coahoma,Coahoma,0,,
Fred Thompson,President,,R,Coahoma,Coahoma,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Coahoma,5,,
Richard Cook,U.S. House,2,R,Coahoma,Coahoma,5,,
Rudy Giuliani,President,,R,Coahoma,Lyon,0,,
Mike Huckabee,President,,R,Coahoma,Lyon,5,,
Duncan Hunter,President,,R,Coahoma,Lyon,0,,
Alan Keyes,President,,R,Coahoma,Lyon,0,,
John McCain,President,,R,Coahoma,Lyon,30,,
Ron Paul,President,,R,Coahoma,Lyon,0,,
Mitt Romney,President,,R,Coahoma,Lyon,0,,
Tom Tancredo,President,,R,Coahoma,Lyon,0,,
Fred Thompson,President,,R,Coahoma,Lyon,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Lyon,31,,
Richard Cook,U.S. House,2,R,Coahoma,Lyon,25,,
Rudy Giuliani,President,,R,Coahoma,Clarksdale Courthouse,0,,
Mike Huckabee,President,,R,Coahoma,Clarksdale Courthouse,1,,
Duncan Hunter,President,,R,Coahoma,Clarksdale Courthouse,0,,
Alan Keyes,President,,R,Coahoma,Clarksdale Courthouse,0,,
John McCain,President,,R,Coahoma,Clarksdale Courthouse,7,,
Ron Paul,President,,R,Coahoma,Clarksdale Courthouse,2,,
Mitt Romney,President,,R,Coahoma,Clarksdale Courthouse,0,,
Tom Tancredo,President,,R,Coahoma,Clarksdale Courthouse,0,,
Fred Thompson,President,,R,Coahoma,Clarksdale Courthouse,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Clarksdale Courthouse,9,,
Richard Cook,U.S. House,2,R,Coahoma,Clarksdale Courthouse,8,,
Rudy Giuliani,President,,R,Coahoma,Friars Point,0,,
Mike Huckabee,President,,R,Coahoma,Friars Point,1,,
Duncan Hunter,President,,R,Coahoma,Friars Point,0,,
Alan Keyes,President,,R,Coahoma,Friars Point,0,,
John McCain,President,,R,Coahoma,Friars Point,0,,
Ron Paul,President,,R,Coahoma,Friars Point,0,,
Mitt Romney,President,,R,Coahoma,Friars Point,0,,
Tom Tancredo,President,,R,Coahoma,Friars Point,0,,
Fred Thompson,President,,R,Coahoma,Friars Point,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Friars Point,1,,
Richard Cook,U.S. House,2,R,Coahoma,Friars Point,1,,
Rudy Giuliani,President,,R,Coahoma,Farrell,0,,
Mike Huckabee,President,,R,Coahoma,Farrell,0,,
Duncan Hunter,President,,R,Coahoma,Farrell,0,,
Alan Keyes,President,,R,Coahoma,Farrell,0,,
John McCain,President,,R,Coahoma,Farrell,2,,
Ron Paul,President,,R,Coahoma,Farrell,0,,
Mitt Romney,President,,R,Coahoma,Farrell,0,,
Tom Tancredo,President,,R,Coahoma,Farrell,0,,
Fred Thompson,President,,R,Coahoma,Farrell,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Farrell,2,,
Richard Cook,U.S. House,2,R,Coahoma,Farrell,2,,
Rudy Giuliani,President,,R,Coahoma,Sherard,0,,
Mike Huckabee,President,,R,Coahoma,Sherard,0,,
Duncan Hunter,President,,R,Coahoma,Sherard,0,,
Alan Keyes,President,,R,Coahoma,Sherard,0,,
John McCain,President,,R,Coahoma,Sherard,0,,
Ron Paul,President,,R,Coahoma,Sherard,0,,
Mitt Romney,President,,R,Coahoma,Sherard,0,,
Tom Tancredo,President,,R,Coahoma,Sherard,0,,
Fred Thompson,President,,R,Coahoma,Sherard,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Sherard,0,,
Richard Cook,U.S. House,2,R,Coahoma,Sherard,0,,
Rudy Giuliani,President,,R,Coahoma,Clarksdale # 2,0,,
Mike Huckabee,President,,R,Coahoma,Clarksdale # 2,7,,
Duncan Hunter,President,,R,Coahoma,Clarksdale # 2,0,,
Alan Keyes,President,,R,Coahoma,Clarksdale # 2,0,,
John McCain,President,,R,Coahoma,Clarksdale # 2,26,,
Ron Paul,President,,R,Coahoma,Clarksdale # 2,0,,
Mitt Romney,President,,R,Coahoma,Clarksdale # 2,1,,
Tom Tancredo,President,,R,Coahoma,Clarksdale # 2,0,,
Fred Thompson,President,,R,Coahoma,Clarksdale # 2,1,,
Thad Cochran,U.S. Senate,,R,Coahoma,Clarksdale # 2,31,,
Richard Cook,U.S. House,2,R,Coahoma,Clarksdale # 2,28,,
Rudy Giuliani,President,,R,Coahoma,Jonestown,0,,
Mike Huckabee,President,,R,Coahoma,Jonestown,0,,
Duncan Hunter,President,,R,Coahoma,Jonestown,0,,
Alan Keyes,President,,R,Coahoma,Jonestown,0,,
John McCain,President,,R,Coahoma,Jonestown,0,,
Ron Paul,President,,R,Coahoma,Jonestown,0,,
Mitt Romney,President,,R,Coahoma,Jonestown,0,,
Tom Tancredo,President,,R,Coahoma,Jonestown,0,,
Fred Thompson,President,,R,Coahoma,Jonestown,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Jonestown,0,,
Richard Cook,U.S. House,2,R,Coahoma,Jonestown,0,,
Rudy Giuliani,President,,R,Coahoma,Dublin,0,,
Mike Huckabee,President,,R,Coahoma,Dublin,0,,
Duncan Hunter,President,,R,Coahoma,Dublin,0,,
Alan Keyes,President,,R,Coahoma,Dublin,0,,
John McCain,President,,R,Coahoma,Dublin,7,,
Ron Paul,President,,R,Coahoma,Dublin,0,,
Mitt Romney,President,,R,Coahoma,Dublin,0,,
Tom Tancredo,President,,R,Coahoma,Dublin,0,,
Fred Thompson,President,,R,Coahoma,Dublin,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Dublin,7,,
Richard Cook,U.S. House,2,R,Coahoma,Dublin,5,,
Rudy Giuliani,President,,R,Coahoma,Clarksdale # 3,0,,
Mike Huckabee,President,,R,Coahoma,Clarksdale # 3,1,,
Duncan Hunter,President,,R,Coahoma,Clarksdale # 3,0,,
Alan Keyes,President,,R,Coahoma,Clarksdale # 3,0,,
John McCain,President,,R,Coahoma,Clarksdale # 3,3,,
Ron Paul,President,,R,Coahoma,Clarksdale # 3,0,,
Mitt Romney,President,,R,Coahoma,Clarksdale # 3,0,,
Tom Tancredo,President,,R,Coahoma,Clarksdale # 3,0,,
Fred Thompson,President,,R,Coahoma,Clarksdale # 3,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Clarksdale # 3,4,,
Richard Cook,U.S. House,2,R,Coahoma,Clarksdale # 3,1,,
Rudy Giuliani,President,,R,Coahoma,Sasse Street Fire Station,0,,
Mike Huckabee,President,,R,Coahoma,Sasse Street Fire Station,0,,
Duncan Hunter,President,,R,Coahoma,Sasse Street Fire Station,0,,
Alan Keyes,President,,R,Coahoma,Sasse Street Fire Station,0,,
John McCain,President,,R,Coahoma,Sasse Street Fire Station,0,,
Ron Paul,President,,R,Coahoma,Sasse Street Fire Station,0,,
Mitt Romney,President,,R,Coahoma,Sasse Street Fire Station,0,,
Tom Tancredo,President,,R,Coahoma,Sasse Street Fire Station,0,,
Fred Thompson,President,,R,Coahoma,Sasse Street Fire Station,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Sasse Street Fire Station,0,,
Richard Cook,U.S. House,2,R,Coahoma,Sasse Street Fire Station,0,,
Rudy Giuliani,President,,R,Coahoma,Cagle Crossing,0,,
Mike Huckabee,President,,R,Coahoma,Cagle Crossing,1,,
Duncan Hunter,President,,R,Coahoma,Cagle Crossing,0,,
Alan Keyes,President,,R,Coahoma,Cagle Crossing,0,,
John McCain,President,,R,Coahoma,Cagle Crossing,4,,
Ron Paul,President,,R,Coahoma,Cagle Crossing,0,,
Mitt Romney,President,,R,Coahoma,Cagle Crossing,0,,
Tom Tancredo,President,,R,Coahoma,Cagle Crossing,0,,
Fred Thompson,President,,R,Coahoma,Cagle Crossing,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Cagle Crossing,4,,
Richard Cook,U.S. House,2,R,Coahoma,Cagle Crossing,5,,
Rudy Giuliani,President,,R,Coahoma,Clarksdale # 4,1,,
Mike Huckabee,President,,R,Coahoma,Clarksdale # 4,0,,
Duncan Hunter,President,,R,Coahoma,Clarksdale # 4,0,,
Alan Keyes,President,,R,Coahoma,Clarksdale # 4,0,,
John McCain,President,,R,Coahoma,Clarksdale # 4,1,,
Ron Paul,President,,R,Coahoma,Clarksdale # 4,0,,
Mitt Romney,President,,R,Coahoma,Clarksdale # 4,0,,
Tom Tancredo,President,,R,Coahoma,Clarksdale # 4,0,,
Fred Thompson,President,,R,Coahoma,Clarksdale # 4,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Clarksdale # 4,1,,
Richard Cook,U.S. House,2,R,Coahoma,Clarksdale # 4,1,,
Rudy Giuliani,President,,R,Coahoma,Clarksdale # 4 North,0,,
Mike Huckabee,President,,R,Coahoma,Clarksdale # 4 North,0,,
Duncan Hunter,President,,R,Coahoma,Clarksdale # 4 North,0,,
Alan Keyes,President,,R,Coahoma,Clarksdale # 4 North,0,,
John McCain,President,,R,Coahoma,Clarksdale # 4 North,6,,
Ron Paul,President,,R,Coahoma,Clarksdale # 4 North,0,,
Mitt Romney,President,,R,Coahoma,Clarksdale # 4 North,0,,
Tom Tancredo,President,,R,Coahoma,Clarksdale # 4 North,0,,
Fred Thompson,President,,R,Coahoma,Clarksdale # 4 North,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Clarksdale # 4 North,7,,
Richard Cook,U.S. House,2,R,Coahoma,Clarksdale # 4 North,5,,
Rudy Giuliani,President,,R,Coahoma,Rena Lara,0,,
Mike Huckabee,President,,R,Coahoma,Rena Lara,1,,
Duncan Hunter,President,,R,Coahoma,Rena Lara,0,,
Alan Keyes,President,,R,Coahoma,Rena Lara,0,,
John McCain,President,,R,Coahoma,Rena Lara,5,,
Ron Paul,President,,R,Coahoma,Rena Lara,0,,
Mitt Romney,President,,R,Coahoma,Rena Lara,0,,
Tom Tancredo,President,,R,Coahoma,Rena Lara,0,,
Fred Thompson,President,,R,Coahoma,Rena Lara,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Rena Lara,6,,
Richard Cook,U.S. House,2,R,Coahoma,Rena Lara,5,,
Rudy Giuliani,President,,R,Coahoma,Bobo,0,,
Mike Huckabee,President,,R,Coahoma,Bobo,0,,
Duncan Hunter,President,,R,Coahoma,Bobo,0,,
Alan Keyes,President,,R,Coahoma,Bobo,0,,
John McCain,President,,R,Coahoma,Bobo,2,,
Ron Paul,President,,R,Coahoma,Bobo,0,,
Mitt Romney,President,,R,Coahoma,Bobo,0,,
Tom Tancredo,President,,R,Coahoma,Bobo,0,,
Fred Thompson,President,,R,Coahoma,Bobo,0,,
Thad Cochran,U.S. Senate,,R,Coahoma,Bobo,2,,
