candidate,office,district,party,county,votes
Dennis Kucinich,President,,Democrat,Forrest,11
Dennis Kucinich,President,,Democrat,Franklin,2
Dennis Kucinich,President,,Democrat,George,4
Barack Obama,President,,Democrat,Adams,4714
Barack Obama,President,,Democrat,Alcorn,1061
Barack Obama,President,,Democrat,Amite,1754
Barack Obama,President,,Democrat,Attala,2050
Barack Obama,President,,Democrat,Benton,675
Barack Obama,President,,Democrat,Bolivar,5156
Barack Obama,President,,Democrat,Calhoun,1187
Barack Obama,President,,Democrat,Carroll,1085
Barack Obama,President,,Democrat,Chickasaw,2235
Barack Obama,President,,Democrat,Choctaw,780
Barack Obama,President,,Democrat,Claiborne,2262
Barack Obama,President,,Democrat,Clarke,1787
Barack Obama,President,,Democrat,Clay,3583
Barack Obama,President,,Democrat,Coahoma,3541
Barack Obama,President,,Democrat,Copiah,4030
Barack Obama,President,,Democrat,Covington,1952
Barack Obama,President,,Democrat,DeSoto,4604
Barack Obama,President,,Democrat,Forrest,5790
Barack Obama,President,,Democrat,Franklin,908
Barack Obama,President,,Democrat,George,501
Bill Richardson,President,,Democrat,Adams,9
Bill Richardson,President,,Democrat,Alcorn,15
Bill Richardson,President,,Democrat,Amite,31
Bill Richardson,President,,Democrat,Attala,17
Bill Richardson,President,,Democrat,Benton,6
Bill Richardson,President,,Democrat,Bolivar,12
Bill Richardson,President,,Democrat,Calhoun,22
Bill Richardson,President,,Democrat,Carroll,8
Bill Richardson,President,,Democrat,Chickasaw,16
Bill Richardson,President,,Democrat,Choctaw,11
Bill Richardson,President,,Democrat,Claiborne,17
Bill Richardson,President,,Democrat,Clarke,12
Bill Richardson,President,,Democrat,Clay,13
Bill Richardson,President,,Democrat,Coahoma,32
Bill Richardson,President,,Democrat,Copiah,19
Bill Richardson,President,,Democrat,Covington,7
Bill Richardson,President,,Democrat,DeSoto,10
Bill Richardson,President,,Democrat,Forrest,19
Bill Richardson,President,,Democrat,Franklin,6
Bill Richardson,President,,Democrat,George,18
Undecided,President,,Democrat,Adams,0
Undecided,President,,Democrat,Alcorn,0
Undecided,President,,Democrat,Amite,0
Undecided,President,,Democrat,Attala,0
Undecided,President,,Democrat,Benton,0
Undecided,President,,Democrat,Bolivar,0
Undecided,President,,Democrat,Calhoun,0
Undecided,President,,Democrat,Carroll,0
Undecided,President,,Democrat,Chickasaw,0
Undecided,President,,Democrat,Choctaw,0
Undecided,President,,Democrat,Claiborne,0
Undecided,President,,Democrat,Clarke,0
Undecided,President,,Democrat,Clay,0
Undecided,President,,Democrat,Coahoma,0
Undecided,President,,Democrat,Copiah,0
Undecided,President,,Democrat,Covington,0
Undecided,President,,Democrat,DeSoto,0
Undecided,President,,Democrat,Forrest,0
Undecided,President,,Democrat,Franklin,0
Undecided,President,,Democrat,George,5
Erik Fleming,U.S. Senate,,Democrat,Adams,3237
Erik Fleming,U.S. Senate,,Democrat,Alcorn,2645
Erik Fleming,U.S. Senate,,Democrat,Amite,1283
Erik Fleming,U.S. Senate,,Democrat,Attala,2327
Erik Fleming,U.S. Senate,,Democrat,Benton,709
Erik Fleming,U.S. Senate,,Democrat,Bolivar,2410
Erik Fleming,U.S. Senate,,Democrat,Calhoun,1641
Erik Fleming,U.S. Senate,,Democrat,Carroll,1100
Erik Fleming,U.S. Senate,,Democrat,Chickasaw,2331
Erik Fleming,U.S. Senate,,Democrat,Choctaw,810
Erik Fleming,U.S. Senate,,Democrat,Claiborne,1940
Erik Fleming,U.S. Senate,,Democrat,Clarke,1692
Erik Fleming,U.S. Senate,,Democrat,Clay,2453
Erik Fleming,U.S. Senate,,Democrat,Coahoma,2439
Erik Fleming,U.S. Senate,,Democrat,Copiah,3386
Erik Fleming,U.S. Senate,,Democrat,Covington,1600
Erik Fleming,U.S. Senate,,Democrat,DeSoto,5023
Erik Fleming,U.S. Senate,,Democrat,Forrest,4727
Erik Fleming,U.S. Senate,,Democrat,Franklin,942
Erik Fleming,U.S. Senate,,Democrat,George,1001
Shawn O'Hara,U.S. Senate,,Democrat,Adams,1531
Shawn O'Hara,U.S. Senate,,Democrat,Alcorn,1092
Shawn O'Hara,U.S. Senate,,Democrat,Amite,1052
Shawn O'Hara,U.S. Senate,,Democrat,Attala,804
Shawn O'Hara,U.S. Senate,,Democrat,Benton,538
Shawn O'Hara,U.S. Senate,,Democrat,Bolivar,1863
Shawn O'Hara,U.S. Senate,,Democrat,Calhoun,658
Shawn O'Hara,U.S. Senate,,Democrat,Carroll,550
Shawn O'Hara,U.S. Senate,,Democrat,Chickasaw,1097
Shawn O'Hara,U.S. Senate,,Democrat,Choctaw,419
Shawn O'Hara,U.S. Senate,,Democrat,Claiborne,517
Shawn O'Hara,U.S. Senate,,Democrat,Clarke,731
Shawn O'Hara,U.S. Senate,,Democrat,Clay,1716
Shawn O'Hara,U.S. Senate,,Democrat,Coahoma,1392
Shawn O'Hara,U.S. Senate,,Democrat,Copiah,1791
Shawn O'Hara,U.S. Senate,,Democrat,Covington,1334
Shawn O'Hara,U.S. Senate,,Democrat,DeSoto,3125
Shawn O'Hara,U.S. Senate,,Democrat,Forrest,3161
Shawn O'Hara,U.S. Senate,,Democrat,Franklin,367
Shawn O'Hara,U.S. Senate,,Democrat,George,893
Travis Childers,U.S. House,1,Democrat,Alcorn,2861
Travis Childers,U.S. House,1,Democrat,Benton,814
Travis Childers,U.S. House,1,Democrat,Calhoun,644
Travis Childers,U.S. House,1,Democrat,Chickasaw,1011
Travis Childers,U.S. House,1,Democrat,Choctaw,534
Travis Childers,U.S. House,1,Democrat,Clay,1941
Travis Childers,U.S. House,1,Democrat,DeSoto,3340
Marshall Coleman,U.S. House,1,Democrat,Alcorn,331
Marshall Coleman,U.S. House,1,Democrat,Benton,166
Marshall Coleman,U.S. House,1,Democrat,Calhoun,1356
Marshall Coleman,U.S. House,1,Democrat,Chickasaw,668
Marshall Coleman,U.S. House,1,Democrat,Choctaw,229
Marshall Coleman,U.S. House,1,Democrat,Clay,645
Marshall Coleman,U.S. House,1,Democrat,DeSoto,1144
Steve Holland,U.S. House,1,Democrat,Alcorn,859
Steve Holland,U.S. House,1,Democrat,Benton,216
Steve Holland,U.S. House,1,Democrat,Calhoun,550
Steve Holland,U.S. House,1,Democrat,Chickasaw,1572
Steve Holland,U.S. House,1,Democrat,Choctaw,315
Steve Holland,U.S. House,1,Democrat,Clay,925
Steve Holland,U.S. House,1,Democrat,DeSoto,1532
"James ""Ken"" Hurt",U.S. House,1,Democrat,Alcorn,134
"James ""Ken"" Hurt",U.S. House,1,Democrat,Benton,98
"James ""Ken"" Hurt",U.S. House,1,Democrat,Calhoun,53
"James ""Ken"" Hurt",U.S. House,1,Democrat,Chickasaw,113
"James ""Ken"" Hurt",U.S. House,1,Democrat,Choctaw,84
"James ""Ken"" Hurt",U.S. House,1,Democrat,Clay,186
"James ""Ken"" Hurt",U.S. House,1,Democrat,DeSoto,624
Brian Neely,U.S. House,1,Democrat,Alcorn,296
Brian Neely,U.S. House,1,Democrat,Benton,105
Brian Neely,U.S. House,1,Democrat,Calhoun,79
Brian Neely,U.S. House,1,Democrat,Chickasaw,448
Brian Neely,U.S. House,1,Democrat,Choctaw,209
Brian Neely,U.S. House,1,Democrat,Clay,834
Brian Neely,U.S. House,1,Democrat,DeSoto,1501
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Attala,907
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Bolivar,751
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Carroll,603
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Claiborne,256
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Coahoma,816
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Copiah,1061
Bennie G. Thompson,U.S. House,2,Democrat,Attala,2456
Bennie G. Thompson,U.S. House,2,Democrat,Bolivar,5327
Bennie G. Thompson,U.S. House,2,Democrat,Carroll,1289
Bennie G. Thompson,U.S. House,2,Democrat,Claiborne,2478
Bennie G. Thompson,U.S. House,2,Democrat,Coahoma,3889
Bennie G. Thompson,U.S. House,2,Democrat,Copiah,4529
Randy Eads,U.S. House,3,Democrat,Adams,1977
Randy Eads,U.S. House,3,Democrat,Amite,924
Randy Eads,U.S. House,3,Democrat,Covington,1224
Randy Eads,U.S. House,3,Democrat,Franklin,492
Joel Gill,U.S. House,3,Democrat,Adams,2496
Joel Gill,U.S. House,3,Democrat,Amite,1296
Joel Gill,U.S. House,3,Democrat,Covington,1616
Joel Gill,U.S. House,3,Democrat,Franklin,756
Gene Taylor,U.S. House,4,Democrat,Clarke,2385
Gene Taylor,U.S. House,4,Democrat,Forrest,8463
Gene Taylor,U.S. House,4,Democrat,George,2134
Joseph Biden,President,,Democrat,Greene,8
Joseph Biden,President,,Democrat,Grenada,22
Joseph Biden,President,,Democrat,Hancock,13
Joseph Biden,President,,Democrat,Harrison,50
Joseph Biden,President,,Democrat,Hinds,98
Joseph Biden,President,,Democrat,Holmes,36
Joseph Biden,President,,Democrat,Humphreys,15
Joseph Biden,President,,Democrat,Issaquena,8
Joseph Biden,President,,Democrat,Itawamba,19
Joseph Biden,President,,Democrat,Jackson,48
Joseph Biden,President,,Democrat,Jasper,26
Joseph Biden,President,,Democrat,Jefferson,7
Joseph Biden,President,,Democrat,Jefferson Davis,25
Joseph Biden,President,,Democrat,Jones,34
Joseph Biden,President,,Democrat,Kemper,20
Joseph Biden,President,,Democrat,Lafayette,31
Joseph Biden,President,,Democrat,Lamar,13
Joseph Biden,President,,Democrat,Lauderdale,20
Joseph Biden,President,,Democrat,Lawrence,17
Joseph Biden,President,,Democrat,Leake,12
Hillary Rodham Clinton,President,,Democrat,Greene,1102
Hillary Rodham Clinton,President,,Democrat,Grenada,1292
Hillary Rodham Clinton,President,,Democrat,Hancock,2903
Hillary Rodham Clinton,President,,Democrat,Harrison,8240
Hillary Rodham Clinton,President,,Democrat,Hinds,9768
Hillary Rodham Clinton,President,,Democrat,Holmes,868
Hillary Rodham Clinton,President,,Democrat,Humphreys,533
Hillary Rodham Clinton,President,,Democrat,Issaquena,134
Hillary Rodham Clinton,President,,Democrat,Itawamba,2721
Hillary Rodham Clinton,President,,Democrat,Jackson,6315
Hillary Rodham Clinton,President,,Democrat,Jasper,1202
Hillary Rodham Clinton,President,,Democrat,Jefferson,288
Hillary Rodham Clinton,President,,Democrat,Jefferson Davis,811
Hillary Rodham Clinton,President,,Democrat,Jones,5525
Hillary Rodham Clinton,President,,Democrat,Kemper,458
Hillary Rodham Clinton,President,,Democrat,Lafayette,2171
Hillary Rodham Clinton,President,,Democrat,Lamar,3225
Hillary Rodham Clinton,President,,Democrat,Lauderdale,2278
Hillary Rodham Clinton,President,,Democrat,Lawrence,1042
Hillary Rodham Clinton,President,,Democrat,Leake,1175
Chris Dodd,President,,Democrat,Greene,8
Chris Dodd,President,,Democrat,Grenada,6
Chris Dodd,President,,Democrat,Hancock,2
Chris Dodd,President,,Democrat,Harrison,12
Chris Dodd,President,,Democrat,Hinds,28
Chris Dodd,President,,Democrat,Holmes,12
Chris Dodd,President,,Democrat,Humphreys,5
Chris Dodd,President,,Democrat,Issaquena,1
Chris Dodd,President,,Democrat,Itawamba,7
Chris Dodd,President,,Democrat,Jackson,18
Chris Dodd,President,,Democrat,Jasper,8
Chris Dodd,President,,Democrat,Jefferson,3
Chris Dodd,President,,Democrat,Jefferson Davis,8
Chris Dodd,President,,Democrat,Jones,24
Chris Dodd,President,,Democrat,Kemper,11
Chris Dodd,President,,Democrat,Lafayette,4
Chris Dodd,President,,Democrat,Lamar,8
Chris Dodd,President,,Democrat,Lauderdale,10
Chris Dodd,President,,Democrat,Lawrence,5
Chris Dodd,President,,Democrat,Leake,11
John Edwards,President,,Democrat,Greene,51
John Edwards,President,,Democrat,Grenada,23
John Edwards,President,,Democrat,Hancock,73
John Edwards,President,,Democrat,Harrison,90
John Edwards,President,,Democrat,Hinds,147
John Edwards,President,,Democrat,Holmes,30
John Edwards,President,,Democrat,Humphreys,21
John Edwards,President,,Democrat,Issaquena,6
John Edwards,President,,Democrat,Itawamba,110
John Edwards,President,,Democrat,Jackson,131
John Edwards,President,,Democrat,Jasper,28
John Edwards,President,,Democrat,Jefferson,9
John Edwards,President,,Democrat,Jefferson Davis,32
John Edwards,President,,Democrat,Jones,97
John Edwards,President,,Democrat,Kemper,14
John Edwards,President,,Democrat,Lafayette,31
John Edwards,President,,Democrat,Lamar,33
John Edwards,President,,Democrat,Lauderdale,30
John Edwards,President,,Democrat,Lawrence,37
John Edwards,President,,Democrat,Leake,47
Mike Gravel,President,,Democrat,Greene,2
Mike Gravel,President,,Democrat,Grenada,5
Mike Gravel,President,,Democrat,Hancock,7
Mike Gravel,President,,Democrat,Harrison,7
Mike Gravel,President,,Democrat,Hinds,22
Mike Gravel,President,,Democrat,Holmes,12
Mike Gravel,President,,Democrat,Humphreys,4
Mike Gravel,President,,Democrat,Issaquena,0
Mike Gravel,President,,Democrat,Itawamba,6
Mike Gravel,President,,Democrat,Jackson,11
Mike Gravel,President,,Democrat,Jasper,7
Mike Gravel,President,,Democrat,Jefferson,2
Mike Gravel,President,,Democrat,Jefferson Davis,8
Mike Gravel,President,,Democrat,Jones,17
Mike Gravel,President,,Democrat,Kemper,5
Mike Gravel,President,,Democrat,Lafayette,2
Mike Gravel,President,,Democrat,Lamar,4
Mike Gravel,President,,Democrat,Lauderdale,10
Mike Gravel,President,,Democrat,Lawrence,6
Mike Gravel,President,,Democrat,Leake,6
Dennis Kucinich,President,,Democrat,Greene,3
Dennis Kucinich,President,,Democrat,Grenada,8
Dennis Kucinich,President,,Democrat,Hancock,8
Dennis Kucinich,President,,Democrat,Harrison,12
Dennis Kucinich,President,,Democrat,Hinds,59
Dennis Kucinich,President,,Democrat,Holmes,13
Dennis Kucinich,President,,Democrat,Humphreys,6
Dennis Kucinich,President,,Democrat,Issaquena,1
Dennis Kucinich,President,,Democrat,Itawamba,6
Dennis Kucinich,President,,Democrat,Jackson,25
Dennis Kucinich,President,,Democrat,Jasper,21
Dennis Kucinich,President,,Democrat,Jefferson,3
Dennis Kucinich,President,,Democrat,Jefferson Davis,9
Dennis Kucinich,President,,Democrat,Jones,20
Dennis Kucinich,President,,Democrat,Kemper,9
Dennis Kucinich,President,,Democrat,Lafayette,14
Dennis Kucinich,President,,Democrat,Lamar,5
Dennis Kucinich,President,,Democrat,Lauderdale,14
Dennis Kucinich,President,,Democrat,Lawrence,3
Dennis Kucinich,President,,Democrat,Leake,5
Barack Obama,President,,Democrat,Greene,674
Barack Obama,President,,Democrat,Grenada,2262
Barack Obama,President,,Democrat,Hancock,1299
Barack Obama,President,,Democrat,Harrison,10240
Barack Obama,President,,Democrat,Hinds,43758
Barack Obama,President,,Democrat,Holmes,4040
Barack Obama,President,,Democrat,Humphreys,1795
Barack Obama,President,,Democrat,Issaquena,297
Barack Obama,President,,Democrat,Itawamba,531
Barack Obama,President,,Democrat,Jackson,8146
Barack Obama,President,,Democrat,Jasper,2859
Barack Obama,President,,Democrat,Jefferson,2301
Barack Obama,President,,Democrat,Jefferson Davis,2487
Barack Obama,President,,Democrat,Jones,4645
Barack Obama,President,,Democrat,Kemper,1793
Barack Obama,President,,Democrat,Lafayette,2849
Barack Obama,President,,Democrat,Lamar,1962
Barack Obama,President,,Democrat,Lauderdale,6374
Barack Obama,President,,Democrat,Lawrence,1375
Barack Obama,President,,Democrat,Leake,2070
Bill Richardson,President,,Democrat,Greene,8
Bill Richardson,President,,Democrat,Grenada,19
Bill Richardson,President,,Democrat,Hancock,9
Bill Richardson,President,,Democrat,Harrison,33
Bill Richardson,President,,Democrat,Hinds,62
Bill Richardson,President,,Democrat,Holmes,17
Bill Richardson,President,,Democrat,Humphreys,8
Bill Richardson,President,,Democrat,Issaquena,3
Bill Richardson,President,,Democrat,Itawamba,18
Bill Richardson,President,,Democrat,Jackson,43
Bill Richardson,President,,Democrat,Jasper,12
Bill Richardson,President,,Democrat,Jefferson,3
Bill Richardson,President,,Democrat,Jefferson Davis,14
Bill Richardson,President,,Democrat,Jones,31
Bill Richardson,President,,Democrat,Kemper,3
Bill Richardson,President,,Democrat,Lafayette,13
Bill Richardson,President,,Democrat,Lamar,10
Bill Richardson,President,,Democrat,Lauderdale,28
Bill Richardson,President,,Democrat,Lawrence,8
Bill Richardson,President,,Democrat,Leake,9
Undecided,President,,Democrat,Greene,0
Undecided,President,,Democrat,Grenada,0
Undecided,President,,Democrat,Hancock,0
Undecided,President,,Democrat,Harrison,12
Undecided,President,,Democrat,Hinds,0
Undecided,President,,Democrat,Holmes,0
Undecided,President,,Democrat,Humphreys,0
Undecided,President,,Democrat,Issaquena,0
Undecided,President,,Democrat,Itawamba,0
Undecided,President,,Democrat,Jackson,19
Undecided,President,,Democrat,Jasper,0
Undecided,President,,Democrat,Jefferson,0
Undecided,President,,Democrat,Jefferson Davis,0
Undecided,President,,Democrat,Jones,0
Undecided,President,,Democrat,Kemper,0
Undecided,President,,Democrat,Lafayette,0
Undecided,President,,Democrat,Lamar,0
Undecided,President,,Democrat,Lauderdale,0
Undecided,President,,Democrat,Lawrence,0
Undecided,President,,Democrat,Leake,0
Erik Fleming,U.S. Senate,,Democrat,Greene,922
Erik Fleming,U.S. Senate,,Democrat,Grenada,1917
Erik Fleming,U.S. Senate,,Democrat,Hancock,1752
Erik Fleming,U.S. Senate,,Democrat,Harrison,9072
Erik Fleming,U.S. Senate,,Democrat,Hinds,39383
Erik Fleming,U.S. Senate,,Democrat,Holmes,2930
Erik Fleming,U.S. Senate,,Democrat,Humphreys,1192
Erik Fleming,U.S. Senate,,Democrat,Issaquena,256
Erik Fleming,U.S. Senate,,Democrat,Itawamba,1867
Erik Fleming,U.S. Senate,,Democrat,Jackson,6286
Erik Fleming,U.S. Senate,,Democrat,Jasper,1855
Erik Fleming,U.S. Senate,,Democrat,Jefferson,1744
Erik Fleming,U.S. Senate,,Democrat,Jefferson Davis,1712
Erik Fleming,U.S. Senate,,Democrat,Jones,4923
Erik Fleming,U.S. Senate,,Democrat,Kemper,1072
Erik Fleming,U.S. Senate,,Democrat,Lafayette,2698
Erik Fleming,U.S. Senate,,Democrat,Lamar,2670
Erik Fleming,U.S. Senate,,Democrat,Lauderdale,4199
Erik Fleming,U.S. Senate,,Democrat,Lawrence,1393
Erik Fleming,U.S. Senate,,Democrat,Leake,2062
Shawn O'Hara,U.S. Senate,,Democrat,Greene,651
Shawn O'Hara,U.S. Senate,,Democrat,Grenada,1075
Shawn O'Hara,U.S. Senate,,Democrat,Hancock,1664
Shawn O'Hara,U.S. Senate,,Democrat,Harrison,6842
Shawn O'Hara,U.S. Senate,,Democrat,Hinds,8919
Shawn O'Hara,U.S. Senate,,Democrat,Holmes,1182
Shawn O'Hara,U.S. Senate,,Democrat,Humphreys,720
Shawn O'Hara,U.S. Senate,,Democrat,Issaquena,93
Shawn O'Hara,U.S. Senate,,Democrat,Itawamba,1009
Shawn O'Hara,U.S. Senate,,Democrat,Jackson,5614
Shawn O'Hara,U.S. Senate,,Democrat,Jasper,1782
Shawn O'Hara,U.S. Senate,,Democrat,Jefferson,612
Shawn O'Hara,U.S. Senate,,Democrat,Jefferson Davis,1140
Shawn O'Hara,U.S. Senate,,Democrat,Jones,3881
Shawn O'Hara,U.S. Senate,,Democrat,Kemper,811
Shawn O'Hara,U.S. Senate,,Democrat,Lafayette,1275
Shawn O'Hara,U.S. Senate,,Democrat,Lamar,1566
Shawn O'Hara,U.S. Senate,,Democrat,Lauderdale,2407
Shawn O'Hara,U.S. Senate,,Democrat,Lawrence,767
Shawn O'Hara,U.S. Senate,,Democrat,Leake,929
Travis Childers,U.S. House,1,Democrat,Grenada,1120
Travis Childers,U.S. House,1,Democrat,Itawamba,987
Travis Childers,U.S. House,1,Democrat,Lafayette,1311
Marshall Coleman,U.S. House,1,Democrat,Grenada,424
Marshall Coleman,U.S. House,1,Democrat,Itawamba,134
Marshall Coleman,U.S. House,1,Democrat,Lafayette,851
Steve Holland,U.S. House,1,Democrat,Grenada,905
Steve Holland,U.S. House,1,Democrat,Itawamba,1990
Steve Holland,U.S. House,1,Democrat,Lafayette,1147
"James ""Ken"" Hurt",U.S. House,1,Democrat,Grenada,159
"James ""Ken"" Hurt",U.S. House,1,Democrat,Itawamba,50
"James ""Ken"" Hurt",U.S. House,1,Democrat,Lafayette,239
Brian Neely,U.S. House,1,Democrat,Grenada,605
Brian Neely,U.S. House,1,Democrat,Itawamba,195
Brian Neely,U.S. House,1,Democrat,Lafayette,693
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Hinds,5247
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Holmes,471
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Humphreys,301
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Issaquena,99
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Jefferson,158
"Dorothy ""Dot"" Benford",U.S. House,2,Democrat,Leake,383
Bennie G. Thompson,U.S. House,2,Democrat,Hinds,42613
Bennie G. Thompson,U.S. House,2,Democrat,Holmes,4375
Bennie G. Thompson,U.S. House,2,Democrat,Humphreys,1955
Bennie G. Thompson,U.S. House,2,Democrat,Issaquena,323
Bennie G. Thompson,U.S. House,2,Democrat,Jefferson,2402
Bennie G. Thompson,U.S. House,2,Democrat,Leake,1450
Randy Eads,U.S. House,3,Democrat,Hinds,1612
Randy Eads,U.S. House,3,Democrat,Jasper,592
Randy Eads,U.S. House,3,Democrat,Jefferson Davis,1029
Randy Eads,U.S. House,3,Democrat,Jones,205
Randy Eads,U.S. House,3,Democrat,Kemper,1064
Randy Eads,U.S. House,3,Democrat,Lauderdale,4077
Randy Eads,U.S. House,3,Democrat,Lawrence,820
Randy Eads,U.S. House,3,Democrat,Leake,532
Joel Gill,U.S. House,3,Democrat,Hinds,2002
Joel Gill,U.S. House,3,Democrat,Jasper,661
Joel Gill,U.S. House,3,Democrat,Jefferson Davis,1728
Joel Gill,U.S. House,3,Democrat,Jones,196
Joel Gill,U.S. House,3,Democrat,Kemper,804
Joel Gill,U.S. House,3,Democrat,Lauderdale,2472
