candidate,office,district,county,precinct,votes,winner
Sollie B. Norwood,State Senate,28,Hinds,58,72,
Antonio Porter,State Senate,28,Hinds,58,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,58,19,
Kathy L. Sykes,State Senate,28,Hinds,58,17,
Tommy L. Wallace II,State Senate,28,Hinds,58,22,
Cassandra Welchlin,State Senate,28,Hinds,58,36,
Cindy Ayers-Elliott,State Senate,28,Hinds,59,7,
Tamarra Grace Butler,State Senate,28,Hinds,59,60,
Marshand Crisler,State Senate,28,Hinds,59,35,
Sollie B. Norwood,State Senate,28,Hinds,59,73,
Antonio Porter,State Senate,28,Hinds,59,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,59,6,
Kathy L. Sykes,State Senate,28,Hinds,59,6,
Tommy L. Wallace II,State Senate,28,Hinds,59,43,
Cassandra Welchlin,State Senate,28,Hinds,59,12,
Cindy Ayers-Elliott,State Senate,28,Hinds,63,3,
Tamarra Grace Butler,State Senate,28,Hinds,63,70,
Marshand Crisler,State Senate,28,Hinds,63,13,
Sollie B. Norwood,State Senate,28,Hinds,63,24,
Antonio Porter,State Senate,28,Hinds,63,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,63,3,
Kathy L. Sykes,State Senate,28,Hinds,63,3,
Tommy L. Wallace II,State Senate,28,Hinds,63,7,
Cassandra Welchlin,State Senate,28,Hinds,63,2,
Cindy Ayers-Elliott,State Senate,28,Hinds,64,2,
Tamarra Grace Butler,State Senate,28,Hinds,64,98,
Marshand Crisler,State Senate,28,Hinds,64,4,
Sollie B. Norwood,State Senate,28,Hinds,64,16,
Antonio Porter,State Senate,28,Hinds,64,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,64,3,
Kathy L. Sykes,State Senate,28,Hinds,64,0,
Tommy L. Wallace II,State Senate,28,Hinds,64,3,
Cassandra Welchlin,State Senate,28,Hinds,64,2,
Cindy Ayers-Elliott,State Senate,28,Hinds,67,0,
Tamarra Grace Butler,State Senate,28,Hinds,67,3,
Marshand Crisler,State Senate,28,Hinds,67,22,
Sollie B. Norwood,State Senate,28,Hinds,67,13,
Antonio Porter,State Senate,28,Hinds,67,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,67,7,
Kathy L. Sykes,State Senate,28,Hinds,67,1,
Tommy L. Wallace II,State Senate,28,Hinds,67,7,
Cassandra Welchlin,State Senate,28,Hinds,67,3,
Cindy Ayers-Elliott,State Senate,28,Hinds,68,11,
Tamarra Grace Butler,State Senate,28,Hinds,68,40,
Marshand Crisler,State Senate,28,Hinds,68,108,
Sollie B. Norwood,State Senate,28,Hinds,68,54,
Antonio Porter,State Senate,28,Hinds,68,3,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,68,20,
Kathy L. Sykes,State Senate,28,Hinds,68,10,
Tommy L. Wallace II,State Senate,28,Hinds,68,13,
Cassandra Welchlin,State Senate,28,Hinds,68,19,
Cindy Ayers-Elliott,State Senate,28,Hinds,69,0,
Tamarra Grace Butler,State Senate,28,Hinds,69,12,
Marshand Crisler,State Senate,28,Hinds,69,26,
Sollie B. Norwood,State Senate,28,Hinds,69,20,
Antonio Porter,State Senate,28,Hinds,69,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,69,2,
Kathy L. Sykes,State Senate,28,Hinds,69,0,
Tommy L. Wallace II,State Senate,28,Hinds,69,8,
Cassandra Welchlin,State Senate,28,Hinds,69,4,
Cindy Ayers-Elliott,State Senate,28,Hinds,70,2,
Tamarra Grace Butler,State Senate,28,Hinds,70,3,
Marshand Crisler,State Senate,28,Hinds,70,11,
Sollie B. Norwood,State Senate,28,Hinds,70,9,
Antonio Porter,State Senate,28,Hinds,70,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,70,1,
Kathy L. Sykes,State Senate,28,Hinds,70,2,
Tommy L. Wallace II,State Senate,28,Hinds,70,1,
Cassandra Welchlin,State Senate,28,Hinds,70,5,
Cindy Ayers-Elliott,State Senate,28,Hinds,71,5,
Tamarra Grace Butler,State Senate,28,Hinds,71,21,
Marshand Crisler,State Senate,28,Hinds,71,40,
Sollie B. Norwood,State Senate,28,Hinds,71,20,
Antonio Porter,State Senate,28,Hinds,71,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,71,5,
Kathy L. Sykes,State Senate,28,Hinds,71,3,
Tommy L. Wallace II,State Senate,28,Hinds,71,2,
Cassandra Welchlin,State Senate,28,Hinds,71,17,
Cindy Ayers-Elliott,State Senate,28,Hinds,72,2,
Tamarra Grace Butler,State Senate,28,Hinds,72,12,
Marshand Crisler,State Senate,28,Hinds,72,20,
Sollie B. Norwood,State Senate,28,Hinds,72,13,
Antonio Porter,State Senate,28,Hinds,72,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,72,2,
Kathy L. Sykes,State Senate,28,Hinds,72,2,
Tommy L. Wallace II,State Senate,28,Hinds,72,5,
Cassandra Welchlin,State Senate,28,Hinds,72,4,
Cindy Ayers-Elliott,State Senate,28,Hinds,73,6,
Tamarra Grace Butler,State Senate,28,Hinds,73,8,
Marshand Crisler,State Senate,28,Hinds,73,19,
Sollie B. Norwood,State Senate,28,Hinds,73,8,
Antonio Porter,State Senate,28,Hinds,73,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,73,2,
Kathy L. Sykes,State Senate,28,Hinds,73,4,
Tommy L. Wallace II,State Senate,28,Hinds,73,3,
Cassandra Welchlin,State Senate,28,Hinds,73,6,
Cindy Ayers-Elliott,State Senate,28,Hinds,74,1,
Tamarra Grace Butler,State Senate,28,Hinds,74,17,
Marshand Crisler,State Senate,28,Hinds,74,29,
Sollie B. Norwood,State Senate,28,Hinds,74,9,
Antonio Porter,State Senate,28,Hinds,74,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,74,0,
Kathy L. Sykes,State Senate,28,Hinds,74,2,
Tommy L. Wallace II,State Senate,28,Hinds,74,5,
Cassandra Welchlin,State Senate,28,Hinds,74,2,
Cindy Ayers-Elliott,State Senate,28,Hinds,75,1,
Tamarra Grace Butler,State Senate,28,Hinds,75,15,
Marshand Crisler,State Senate,28,Hinds,75,18,
Sollie B. Norwood,State Senate,28,Hinds,75,6,
Antonio Porter,State Senate,28,Hinds,75,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,75,3,
Kathy L. Sykes,State Senate,28,Hinds,75,2,
Tommy L. Wallace II,State Senate,28,Hinds,75,8,
Cassandra Welchlin,State Senate,28,Hinds,75,3,
Cindy Ayers-Elliott,State Senate,28,Hinds,76,5,
Tamarra Grace Butler,State Senate,28,Hinds,76,14,
Marshand Crisler,State Senate,28,Hinds,76,28,
Sollie B. Norwood,State Senate,28,Hinds,76,23,
Antonio Porter,State Senate,28,Hinds,76,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,76,1,
Kathy L. Sykes,State Senate,28,Hinds,76,0,
Tommy L. Wallace II,State Senate,28,Hinds,76,2,
Cassandra Welchlin,State Senate,28,Hinds,76,3,
Cindy Ayers-Elliott,State Senate,28,Hinds,77,2,
Tamarra Grace Butler,State Senate,28,Hinds,77,4,
Marshand Crisler,State Senate,28,Hinds,77,31,
Sollie B. Norwood,State Senate,28,Hinds,77,7,
Antonio Porter,State Senate,28,Hinds,77,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,77,0,
Kathy L. Sykes,State Senate,28,Hinds,77,4,
Tommy L. Wallace II,State Senate,28,Hinds,77,5,
Cassandra Welchlin,State Senate,28,Hinds,77,5,
Cindy Ayers-Elliott,State Senate,28,Hinds,87,6,
Tamarra Grace Butler,State Senate,28,Hinds,87,20,
Marshand Crisler,State Senate,28,Hinds,87,21,
Sollie B. Norwood,State Senate,28,Hinds,87,49,
Antonio Porter,State Senate,28,Hinds,87,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,87,4,
Kathy L. Sykes,State Senate,28,Hinds,87,4,
Tommy L. Wallace II,State Senate,28,Hinds,87,8,
Cassandra Welchlin,State Senate,28,Hinds,87,5,
Cindy Ayers-Elliott,State Senate,28,Hinds,88,19,
Tamarra Grace Butler,State Senate,28,Hinds,88,36,
Marshand Crisler,State Senate,28,Hinds,88,83,
Sollie B. Norwood,State Senate,28,Hinds,88,54,
Antonio Porter,State Senate,28,Hinds,88,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,88,6,
Kathy L. Sykes,State Senate,28,Hinds,88,6,
Tommy L. Wallace II,State Senate,28,Hinds,88,16,
Cassandra Welchlin,State Senate,28,Hinds,88,12,
Cindy Ayers-Elliott,State Senate,28,Hinds,89,4,
Tamarra Grace Butler,State Senate,28,Hinds,89,5,
Marshand Crisler,State Senate,28,Hinds,89,16,
Sollie B. Norwood,State Senate,28,Hinds,89,6,
Antonio Porter,State Senate,28,Hinds,89,2,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,89,5,
Kathy L. Sykes,State Senate,28,Hinds,89,3,
Tommy L. Wallace II,State Senate,28,Hinds,89,3,
Cassandra Welchlin,State Senate,28,Hinds,89,7,
Cindy Ayers-Elliott,State Senate,28,Hinds,90,1,
Tamarra Grace Butler,State Senate,28,Hinds,90,7,
Marshand Crisler,State Senate,28,Hinds,90,28,
Sollie B. Norwood,State Senate,28,Hinds,90,16,
Antonio Porter,State Senate,28,Hinds,90,1,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,90,5,
Kathy L. Sykes,State Senate,28,Hinds,90,4,
Tommy L. Wallace II,State Senate,28,Hinds,90,1,
Cassandra Welchlin,State Senate,28,Hinds,90,7,
Cindy Ayers-Elliott,State Senate,28,Hinds,93,2,
Tamarra Grace Butler,State Senate,28,Hinds,93,4,
Marshand Crisler,State Senate,28,Hinds,93,13,
Sollie B. Norwood,State Senate,28,Hinds,93,10,
Antonio Porter,State Senate,28,Hinds,93,0,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,93,2,
Kathy L. Sykes,State Senate,28,Hinds,93,1,
Tommy L. Wallace II,State Senate,28,Hinds,93,0,
Cassandra Welchlin,State Senate,28,Hinds,93,3,
Cindy Ayers-Elliott,State Senate,28,Hinds,,119,
Tamarra Grace Butler,State Senate,28,Hinds,,652,
Marshand Crisler,State Senate,28,Hinds,,775,1
Sollie B. Norwood,State Senate,28,Hinds,,675,1
Antonio Porter,State Senate,28,Hinds,,15,
"James ""Jimmy"" Stewart",State Senate,28,Hinds,,162,
Kathy L. Sykes,State Senate,28,Hinds,,136,
Tommy L. Wallace II,State Senate,28,Hinds,,204,
Cassandra Welchlin,State Senate,28,Hinds,,284,
