candidate,office,district,party,county,votes
Chris McDaniel,U.S. Senate,,R,George,2416
Thad Cochran,U.S. Senate,,R,Greene,389
Chris McDaniel,U.S. Senate,,R,Greene,1117
Thad Cochran,U.S. Senate,,R,Grenada,1254
Chris McDaniel,U.S. Senate,,R,Grenada,1270
Thad Cochran,U.S. Senate,,R,Hancock,3103
Chris McDaniel,U.S. Senate,,R,Hancock,3314
Thad Cochran,U.S. Senate,,R,Harrison,14308
Chris McDaniel,U.S. Senate,,R,Harrison,10449
Thad Cochran,U.S. Senate,,R,Hinds,18211
Chris McDaniel,U.S. Senate,,R,Hinds,7150
Thad Cochran,U.S. Senate,,R,Holmes,774
Chris McDaniel,U.S. Senate,,R,Holmes,314
Thad Cochran,U.S. Senate,,R,Humphreys,813
Chris McDaniel,U.S. Senate,,R,Humphreys,214
Thad Cochran,U.S. Senate,,R,Issaquena,127
Chris McDaniel,U.S. Senate,,R,Issaquena,50
Thad Cochran,U.S. Senate,,R,Itawamba,1536
Chris McDaniel,U.S. Senate,,R,Itawamba,1636
Thad Cochran,U.S. Senate,,R,Jackson,10459
Chris McDaniel,U.S. Senate,,R,Jackson,10184
Thad Cochran,U.S. Senate,,R,Jasper,856
Chris McDaniel,U.S. Senate,,R,Jasper,1932
Thad Cochran,U.S. Senate,,R,Jefferson,322
Chris McDaniel,U.S. Senate,,R,Jefferson,111
Thad Cochran,U.S. Senate,,R,Jefferson Davis,547
Chris McDaniel,U.S. Senate,,R,Jefferson Davis,763
Thad Cochran,U.S. Senate,,R,Jones,2767
Chris McDaniel,U.S. Senate,,R,Jones,12673
Thad Cochran,U.S. Senate,,R,Kemper,486
Chris McDaniel,U.S. Senate,,R,Kemper,429
Thad Cochran,U.S. Senate,,R,Lafayette,3926
Chris McDaniel,U.S. Senate,,R,Lafayette,1936
Thad Cochran,U.S. Senate,,R,Lamar,4471
Chris McDaniel,U.S. Senate,,R,Lamar,6451
Thad Cochran,U.S. Senate,,R,Lauderdale,6204
Chris McDaniel,U.S. Senate,,R,Lauderdale,4790
Thad Cochran,U.S. Senate,,R,Lawrence,907
Chris McDaniel,U.S. Senate,,R,Lawrence,943
Thad Cochran,U.S. Senate,,R,Leake,1059
Chris McDaniel,U.S. Senate,,R,Leake,981
Thad Cochran,U.S. Senate,,R,Lee,6422
Chris McDaniel,U.S. Senate,,R,Lee,4715
Thad Cochran,U.S. Senate,,R,Leflore,1718
Chris McDaniel,U.S. Senate,,R,Leflore,455
Thad Cochran,U.S. Senate,,R,Lincoln,3021
Chris McDaniel,U.S. Senate,,R,Lincoln,2186
Thad Cochran,U.S. Senate,,R,Lowndes,3985
Chris McDaniel,U.S. Senate,,R,Lowndes,2674
Thad Cochran,U.S. Senate,,R,Madison,12491
Chris McDaniel,U.S. Senate,,R,Madison,6834
Thad Cochran,U.S. Senate,,R,Marion,1347
Chris McDaniel,U.S. Senate,,R,Marion,2750
Thad Cochran,U.S. Senate,,R,Marshall,1029
Chris McDaniel,U.S. Senate,,R,Marshall,1943
Thad Cochran,U.S. Senate,,R,Monroe,2264
Chris McDaniel,U.S. Senate,,R,Monroe,1923
Thad Cochran,U.S. Senate,,R,Montgomery,670
Chris McDaniel,U.S. Senate,,R,Montgomery,616
Thad Cochran,U.S. Senate,,R,Neshoba,1918
Chris McDaniel,U.S. Senate,,R,Neshoba,1618
Thad Cochran,U.S. Senate,,R,Newton,1466
Chris McDaniel,U.S. Senate,,R,Newton,1588
Thad Cochran,U.S. Senate,,R,Noxubee,401
Chris McDaniel,U.S. Senate,,R,Noxubee,302
Thad Cochran,U.S. Senate,,R,Oktibbeha,3744
Chris McDaniel,U.S. Senate,,R,Oktibbeha,1533
Thad Cochran,U.S. Senate,,R,Panola,1346
Chris McDaniel,U.S. Senate,,R,Panola,1730
Thad Cochran,U.S. Senate,,R,Pearl River,2136
Chris McDaniel,U.S. Senate,,R,Pearl River,5758
Thad Cochran,U.S. Senate,,R,Perry,670
Chris McDaniel,U.S. Senate,,R,Perry,1391
Thad Cochran,U.S. Senate,,R,Pike,2360
Chris McDaniel,U.S. Senate,,R,Pike,2061
Thad Cochran,U.S. Senate,,R,Pontotoc,2220
Chris McDaniel,U.S. Senate,,R,Pontotoc,1910
Thad Cochran,U.S. Senate,,R,Prentiss,1152
Chris McDaniel,U.S. Senate,,R,Prentiss,944
Thad Cochran,U.S. Senate,,R,Quitman,329
Chris McDaniel,U.S. Senate,,R,Quitman,175
Thad Cochran,U.S. Senate,,R,Rankin,14903
Chris McDaniel,U.S. Senate,,R,Rankin,13374
Thad Cochran,U.S. Senate,,R,Scott,1332
Chris McDaniel,U.S. Senate,,R,Scott,1410
Thad Cochran,U.S. Senate,,R,Sharkey,571
Chris McDaniel,U.S. Senate,,R,Sharkey,118
Thad Cochran,U.S. Senate,,R,Simpson,2038
Chris McDaniel,U.S. Senate,,R,Simpson,1752
Thad Cochran,U.S. Senate,,R,Smith,957
Chris McDaniel,U.S. Senate,,R,Smith,2095
Thad Cochran,U.S. Senate,,R,Stone,1317
Chris McDaniel,U.S. Senate,,R,Stone,1578
Thad Cochran,U.S. Senate,,R,Sunflower,1187
Chris McDaniel,U.S. Senate,,R,Sunflower,428
Thad Cochran,U.S. Senate,,R,Tallahatchie,595
Chris McDaniel,U.S. Senate,,R,Tallahatchie,332
Thad Cochran,U.S. Senate,,R,Tate,1188
Chris McDaniel,U.S. Senate,,R,Tate,2261
Thad Cochran,U.S. Senate,,R,Tippah,1243
Chris McDaniel,U.S. Senate,,R,Tippah,1518
Thad Cochran,U.S. Senate,,R,Tishomingo,1042
Chris McDaniel,U.S. Senate,,R,Tishomingo,1101
Thad Cochran,U.S. Senate,,R,Tunica,367
Chris McDaniel,U.S. Senate,,R,Tunica,129
Thad Cochran,U.S. Senate,,R,Union,2043
Chris McDaniel,U.S. Senate,,R,Union,1618
Thad Cochran,U.S. Senate,,R,Walthall,833
Chris McDaniel,U.S. Senate,,R,Walthall,945
Thad Cochran,U.S. Senate,,R,Warren,3309
Chris McDaniel,U.S. Senate,,R,Warren,2318
Thad Cochran,U.S. Senate,,R,Washington,2354
Chris McDaniel,U.S. Senate,,R,Washington,854
Thad Cochran,U.S. Senate,,R,Wayne,766
Chris McDaniel,U.S. Senate,,R,Wayne,2426
Thad Cochran,U.S. Senate,,R,Webster,875
Chris McDaniel,U.S. Senate,,R,Webster,925
Thad Cochran,U.S. Senate,,R,Wilkinson,212
Chris McDaniel,U.S. Senate,,R,Wilkinson,298
Thad Cochran,U.S. Senate,,R,Winston,1264
Chris McDaniel,U.S. Senate,,R,Winston,1015
Thad Cochran,U.S. Senate,,R,Yalobusha,723
Chris McDaniel,U.S. Senate,,R,Yalobusha,662
Thad Cochran,U.S. Senate,,R,Yazoo,1726
Chris McDaniel,U.S. Senate,,R,Yazoo,1101
Thad Cochran,U.S. Senate,,R,TOTAL,194972
Chris McDaniel,U.S. Senate,,R,TOTAL,187249
