candidate,office,district,party,county,precinct,votes,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Pinecrest,31,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Pinecrest,0,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Pinecrest,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Pinecrest,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Pinecrest,14,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Pinecrest,13,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Rienzi,54,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Rienzi,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Rienzi,3,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Rienzi,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Rienzi,38,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Rienzi,15,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Shady Grove,45,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Shady Grove,1,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Shady Grove,2,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Shady Grove,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Shady Grove,22,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Shady Grove,15,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,South Corinth,88,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,South Corinth,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,South Corinth,2,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,South Corinth,3,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,South Corinth,75,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,South Corinth,12,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Union Center,33,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Union Center,0,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Union Center,2,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Union Center,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Union Center,21,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Union Center,8,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,Wenasoga,41,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,Wenasoga,2,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,Wenasoga,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,Wenasoga,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,Wenasoga,26,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,Wenasoga,15,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,West Corinth,21,
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,West Corinth,3,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,West Corinth,1,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,West Corinth,0,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,West Corinth,14,
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,West Corinth,7,
Travis W. Childers,U.S. Senate,,Democrat,Alcorn,,685,TRUE
William Bond Compton Jr.,U.S. Senate,,Democrat,Alcorn,,24,
Bill Marcy,U.S. Senate,,Democrat,Alcorn,,23,
Jonathan Rawl,U.S. Senate,,Democrat,Alcorn,,6,
Ron E. Dickey,U.S. House,1,Democrat,Alcorn,,410,TRUE
Rex N. Weathers,U.S. House,1,Democrat,Alcorn,,229,
