candidate,office,district,party,county,precinct,votes,winner,page
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,329 - Center Hill,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,331 - Collinsville,92,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,331 - Collinsville,614,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,331 - Collinsville,13,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,331 - Collinsville,629,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,331 - Collinsville,65,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,331 - Collinsville,9,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,331 - Collinsville,10,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,343 - Martin,30,,3
Thad Cochran,U.S. Senate,,Republican,Lauderdale,343 - Martin,369,,3
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,343 - Martin,6,,3
Gregg Harper,U.S. House,3,Republican,Lauderdale,343 - Martin,380,,3
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,343 - Martin,14,,3
Roger Gerrard,U.S. House,3,Independent,Lauderdale,343 - Martin,10,,3
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,343 - Martin,1,,3
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,361 - Suqualena,137,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,361 - Suqualena,620,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,361 - Suqualena,13,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,361 - Suqualena,642,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,361 - Suqualena,102,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,361 - Suqualena,20,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,361 - Suqualena,4,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,407 - Seven,143,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,407 - Seven,113,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,407 - Seven,2,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,407 - Seven,111,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,407 - Seven,136,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,407 - Seven,5,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,407 - Seven,1,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,408 - Eight,185,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,408 - Eight,120,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,408 - Eight,1,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,408 - Eight,119,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,408 - Eight,177,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,408 - Eight,3,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,408 - Eight,3,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,409 - Nine,87,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,409 - Nine,36,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,409 - Nine,1,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,409 - Nine,27,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,409 - Nine,84,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,409 - Nine,3,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,409 - Nine,3,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,410 - Ten,55,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,410 - Ten,42,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,410 - Ten,1,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,410 - Ten,37,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,410 - Ten,51,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,410 - Ten,1,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,410 - Ten,4,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,411 - Eleven,92,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,411 - Eleven,22,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,411 - Eleven,1,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,411 - Eleven,25,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,411 - Eleven,78,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,411 - Eleven,2,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,411 - Eleven,3,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,412 - Twelve,353,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,412 - Twelve,58,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,412 - Twelve,2,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,412 - Twelve,52,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,412 - Twelve,332,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,412 - Twelve,2,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,412 - Twelve,6,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,420 - Twenty,127,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,420 - Twenty,100,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,420 - Twenty,0,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,420 - Twenty,95,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,420 - Twenty,124,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,420 - Twenty,1,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,420 - Twenty,0,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,450 - Pickard,54,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,450 - Pickard,167,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,450 - Pickard,6,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,450 - Pickard,174,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,450 - Pickard,45,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,450 - Pickard,8,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,450 - Pickard,2,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,517 - Seventeen,57,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,517 - Seventeen,208,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,517 - Seventeen,6,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,517 - Seventeen,227,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,517 - Seventeen,48,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,517 - Seventeen,4,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,517 - Seventeen,0,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,525 - Alamucha,27,,4
Thad Cochran,U.S. Senate,,Republican,Lauderdale,525 - Alamucha,67,,4
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,525 - Alamucha,1,,4
Gregg Harper,U.S. House,3,Republican,Lauderdale,525 - Alamucha,74,,4
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,525 - Alamucha,18,,4
Roger Gerrard,U.S. House,3,Independent,Lauderdale,525 - Alamucha,1,,4
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,525 - Alamucha,0,,4
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,528 - Causeyville,17,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,528 - Causeyville,171,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,528 - Causeyville,6,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,528 - Causeyville,177,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,528 - Causeyville,12,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,528 - Causeyville,6,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,528 - Causeyville,0,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,530 - Clarkdale,33,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,530 - Clarkdale,452,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,530 - Clarkdale,14,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,530 - Clarkdale,473,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,530 - Clarkdale,18,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,530 - Clarkdale,8,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,530 - Clarkdale,2,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,544 - Meehan,52,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,544 - Meehan,165,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,544 - Meehan,3,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,544 - Meehan,184,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,544 - Meehan,37,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,544 - Meehan,3,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,544 - Meehan,0,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,549 - Odom,64,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,549 - Odom,113,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,549 - Odom,2,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,549 - Odom,123,,5
Douglas MacArthur (Doug) Magee,U.S. House,3,Democrat,Lauderdale,549 - Odom,48,,5
Roger Gerrard,U.S. House,3,Independent,Lauderdale,549 - Odom,2,,5
Barbara Dale Washer,U.S. House,3,Reform,Lauderdale,549 - Odom,1,,5
Travis W. Childers,U.S. Senate,,Democrat,Lauderdale,560 - South Nellieburg,27,,5
Thad Cochran,U.S. Senate,,Republican,Lauderdale,560 - South Nellieburg,164,,5
Shawn O'Hara,U.S. Senate,,Reform,Lauderdale,560 - South Nellieburg,11,,5
Gregg Harper,U.S. House,3,Republican,Lauderdale,560 - South Nellieburg,173,,5
