candidate,office,district,party,county,precinct,votes,winner,
Tate Reeves,Lieutenant Governor,,R,Carroll,Carrollton,4,,
Billy Hewes,Lieutenant Governor,,R,Carroll,East Vaiden,9,,
Tate Reeves,Lieutenant Governor,,R,Carroll,East Vaiden,5,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Fire Tower,1,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Fire Tower,5,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Gravel Hill,5,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Gravel Hill,18,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Rays Shop,11,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Rays Shop,7,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Salem,5,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Salem,2,,
Billy Hewes,Lieutenant Governor,,R,Carroll,West Carroll,10,,
Tate Reeves,Lieutenant Governor,,R,Carroll,West Carroll,14,,
Billy Hewes,Lieutenant Governor,,R,Carroll,West Vaiden,3,,
Tate Reeves,Lieutenant Governor,,R,Carroll,West Vaiden,3,,
Billy Hewes,Lieutenant Governor,,R,Carroll,McCarley,1,,
Tate Reeves,Lieutenant Governor,,R,Carroll,McCarley,5,,
Billy Hewes,Lieutenant Governor,,R,Carroll,North Carrollton,2,,
Tate Reeves,Lieutenant Governor,,R,Carroll,North Carrollton,1,,
Billy Hewes,Lieutenant Governor,,R,Carroll,Jefferson,1,,
Tate Reeves,Lieutenant Governor,,R,Carroll,Jefferson,1,,
Billy Hewes,Lieutenant Governor,,R,Carroll,TOTAL,57,,
Tate Reeves,Lieutenant Governor,,R,Carroll,TOTAL,27,,
Ricky Dombrowski,Secretary of State,,R,Carroll,430 School,1,,
Delbert Hosemann,Secretary of State,,R,Carroll,430 School,4,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Black Hawk,2,,
Delbert Hosemann,Secretary of State,,R,Carroll,Black Hawk,5,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Calvary,0,,
Delbert Hosemann,Secretary of State,,R,Carroll,Calvary,0,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Carrollton,1,,
Delbert Hosemann,Secretary of State,,R,Carroll,Carrollton,7,,
Ricky Dombrowski,Secretary of State,,R,Carroll,East Vaiden,1,,
Delbert Hosemann,Secretary of State,,R,Carroll,East Vaiden,13,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Fire Tower,1,,
Delbert Hosemann,Secretary of State,,R,Carroll,Fire Tower,4,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Gravel Hill,5,,
Delbert Hosemann,Secretary of State,,R,Carroll,Gravel Hill,17,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Rays Shop,5,,
Delbert Hosemann,Secretary of State,,R,Carroll,Rays Shop,12,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Salem,0,,
Delbert Hosemann,Secretary of State,,R,Carroll,Salem,5,,
Ricky Dombrowski,Secretary of State,,R,Carroll,West Carroll,6,,
Delbert Hosemann,Secretary of State,,R,Carroll,West Carroll,18,,
Ricky Dombrowski,Secretary of State,,R,Carroll,West Vaiden,0,,
Delbert Hosemann,Secretary of State,,R,Carroll,West Vaiden,6,,
Ricky Dombrowski,Secretary of State,,R,Carroll,McCarley,3,,
Delbert Hosemann,Secretary of State,,R,Carroll,McCarley,3,,
Ricky Dombrowski,Secretary of State,,R,Carroll,North Carrollton,1,,
Delbert Hosemann,Secretary of State,,R,Carroll,North Carrollton,2,,
Ricky Dombrowski,Secretary of State,,R,Carroll,Jefferson,0,,
Delbert Hosemann,Secretary of State,,R,Carroll,Jefferson,2,,
Ricky Dombrowski,Secretary of State,,R,Carroll,TOTAL,26,,
Delbert Hosemann,Secretary of State,,R,Carroll,TOTAL,98,,
Steve Simpson,Attorney General,,R,Carroll,430 School,4,,
Steve Simpson,Attorney General,,R,Carroll,Black Hawk,6,,
Steve Simpson,Attorney General,,R,Carroll,Calvary,0,,
Steve Simpson,Attorney General,,R,Carroll,Carrollton,8,,
Steve Simpson,Attorney General,,R,Carroll,East Vaiden,12,,
Steve Simpson,Attorney General,,R,Carroll,Fire Tower,4,,
Steve Simpson,Attorney General,,R,Carroll,Gravel Hill,19,,
Steve Simpson,Attorney General,,R,Carroll,Rays Shop,18,,
Steve Simpson,Attorney General,,R,Carroll,Salem,5,,
Steve Simpson,Attorney General,,R,Carroll,West Carroll,23,,
Steve Simpson,Attorney General,,R,Carroll,West Vaiden,6,,
Steve Simpson,Attorney General,,R,Carroll,McCarley,6,,
Steve Simpson,Attorney General,,R,Carroll,North Carrollton,3,,
Steve Simpson,Attorney General,,R,Carroll,Jefferson,2,,
Steve Simpson,Attorney General,,R,Carroll,TOTAL,116,,
Stacey E. Pickering,State Auditor,,R,Carroll,430 School,4,,
Stacey E. Pickering,State Auditor,,R,Carroll,Black Hawk,6,,
Stacey E. Pickering,State Auditor,,R,Carroll,Calvary,0,,
Stacey E. Pickering,State Auditor,,R,Carroll,Carrollton,8,,
Stacey E. Pickering,State Auditor,,R,Carroll,East Vaiden,12,,
Stacey E. Pickering,State Auditor,,R,Carroll,Fire Tower,6,,
Stacey E. Pickering,State Auditor,,R,Carroll,Gravel Hill,19,,
Stacey E. Pickering,State Auditor,,R,Carroll,Rays Shop,17,,
Stacey E. Pickering,State Auditor,,R,Carroll,Salem,5,,
Stacey E. Pickering,State Auditor,,R,Carroll,West Carroll,24,,
Stacey E. Pickering,State Auditor,,R,Carroll,West Vaiden,6,,
Stacey E. Pickering,State Auditor,,R,Carroll,McCarley,6,,
Stacey E. Pickering,State Auditor,,R,Carroll,North Carrollton,3,,
Stacey E. Pickering,State Auditor,,R,Carroll,Jefferson,1,,
Stacey E. Pickering,State Auditor,,R,Carroll,TOTAL,117,,
Lynn Fitch,State Treasurer,,R,Carroll,430 School,4,,
Lucien Smith,State Treasurer,,R,Carroll,430 School,0,,
Lee Yancey,State Treasurer,,R,Carroll,430 School,1,,
Lynn Fitch,State Treasurer,,R,Carroll,Black Hawk,6,,
Lucien Smith,State Treasurer,,R,Carroll,Black Hawk,0,,
Lee Yancey,State Treasurer,,R,Carroll,Black Hawk,1,,
Lynn Fitch,State Treasurer,,R,Carroll,Calvary,0,,
Lucien Smith,State Treasurer,,R,Carroll,Calvary,0,,
Lee Yancey,State Treasurer,,R,Carroll,Calvary,0,,
Lynn Fitch,State Treasurer,,R,Carroll,Carrollton,2,,
Lucien Smith,State Treasurer,,R,Carroll,Carrollton,3,,
Lee Yancey,State Treasurer,,R,Carroll,Carrollton,3,,
Lynn Fitch,State Treasurer,,R,Carroll,East Vaiden,4,,
Lucien Smith,State Treasurer,,R,Carroll,East Vaiden,4,,
Lee Yancey,State Treasurer,,R,Carroll,East Vaiden,5,,
Lynn Fitch,State Treasurer,,R,Carroll,Fire Tower,3,,
Lucien Smith,State Treasurer,,R,Carroll,Fire Tower,2,,
Lee Yancey,State Treasurer,,R,Carroll,Fire Tower,0,,
Lynn Fitch,State Treasurer,,R,Carroll,Gravel Hill,5,,
Lucien Smith,State Treasurer,,R,Carroll,Gravel Hill,13,,
Lee Yancey,State Treasurer,,R,Carroll,Gravel Hill,4,,
Lynn Fitch,State Treasurer,,R,Carroll,Rays Shop,5,,
Lucien Smith,State Treasurer,,R,Carroll,Rays Shop,9,,
Lee Yancey,State Treasurer,,R,Carroll,Rays Shop,4,,
Lynn Fitch,State Treasurer,,R,Carroll,Salem,2,,
Lucien Smith,State Treasurer,,R,Carroll,Salem,3,,
Lee Yancey,State Treasurer,,R,Carroll,Salem,0,,
Lynn Fitch,State Treasurer,,R,Carroll,West Carroll,10,,
Lucien Smith,State Treasurer,,R,Carroll,West Carroll,11,,
Lee Yancey,State Treasurer,,R,Carroll,West Carroll,3,,
Lynn Fitch,State Treasurer,,R,Carroll,West Vaiden,2,,
Lucien Smith,State Treasurer,,R,Carroll,West Vaiden,2,,
Lee Yancey,State Treasurer,,R,Carroll,West Vaiden,2,,
Lynn Fitch,State Treasurer,,R,Carroll,McCarley,3,,
Lucien Smith,State Treasurer,,R,Carroll,McCarley,2,,
Lee Yancey,State Treasurer,,R,Carroll,McCarley,1,,
Lynn Fitch,State Treasurer,,R,Carroll,North Carrollton,1,,
Lucien Smith,State Treasurer,,R,Carroll,North Carrollton,2,,
Lee Yancey,State Treasurer,,R,Carroll,North Carrollton,0,,
Lynn Fitch,State Treasurer,,R,Carroll,Jefferson,1,,
Lucien Smith,State Treasurer,,R,Carroll,Jefferson,0,,
Lee Yancey,State Treasurer,,R,Carroll,Jefferson,1,,
Lynn Fitch,State Treasurer,,R,Carroll,TOTAL,48,,
Lucien Smith,State Treasurer,,R,Carroll,TOTAL,51,,
Lee Yancey,State Treasurer,,R,Carroll,TOTAL,25,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,430 School,2,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,430 School,0,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,430 School,3,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Black Hawk,1,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Black Hawk,5,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Black Hawk,1,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Calvary,0,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Calvary,0,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Calvary,0,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Carrollton,6,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Carrollton,2,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Carrollton,1,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,East Vaiden,5,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,East Vaiden,6,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,East Vaiden,3,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Fire Tower,2,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Fire Tower,4,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Fire Tower,0,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Gravel Hill,9,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Gravel Hill,9,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Gravel Hill,4,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Rays Shop,6,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Rays Shop,9,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Rays Shop,3,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Salem,1,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Salem,4,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Salem,0,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,West Carroll,14,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,West Carroll,9,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,West Carroll,1,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,West Vaiden,3,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,West Vaiden,3,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,West Vaiden,0,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,McCarley,1,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,McCarley,4,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,McCarley,1,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,North Carrollton,2,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,North Carrollton,0,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,North Carrollton,1,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,Jefferson,2,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,Jefferson,0,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,Jefferson,0,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Carroll,TOTAL,54,,
Max Phillips,Commissioner of Agriculture & Commerce,,R,Carroll,TOTAL,55,,
Dannie Reed,Commissioner of Agriculture & Commerce,,R,Carroll,TOTAL,18,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,430 School,4,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Black Hawk,7,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Calvary,0,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Carrollton,8,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,East Vaiden,12,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Fire Tower,5,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Gravel Hill,19,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Rays Shop,17,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Salem,5,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,West Carroll,24,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,West Vaiden,6,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,McCarley,6,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,North Carrollton,3,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,Jefferson,2,,
Mike Chaney,Commissioner of Insurance,,R,Carroll,TOTAL,118,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,430 School,4,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Black Hawk,6,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Calvary,0,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Carrollton,8,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,East Vaiden,11,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Fire Tower,5,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Gravel Hill,19,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Rays Shop,17,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Salem,5,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,West Carroll,24,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,West Vaiden,6,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,McCarley,6,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,North Carrollton,3,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,Jefferson,2,,
Lydia Graves Chassaniol,State Senate,14,R,Carroll,TOTAL,116,,
Bobby B. Howell,State House,46,R,Carroll,430 School,0,,
Bobby B. Howell,State House,46,R,Carroll,Black Hawk,7,,
Bobby B. Howell,State House,46,R,Carroll,Calvary,0,,
Bobby B. Howell,State House,46,R,Carroll,Carrollton,7,,
Bobby B. Howell,State House,46,R,Carroll,East Vaiden,x,,
Bobby B. Howell,State House,46,R,Carroll,Fire Tower,x,,
Bobby B. Howell,State House,46,R,Carroll,Gravel Hill,19,,
Bobby B. Howell,State House,46,R,Carroll,Rays Shop,17,,
Bobby B. Howell,State House,46,R,Carroll,Salem,x,,
Bobby B. Howell,State House,46,R,Carroll,West Carroll,24,,
Bobby B. Howell,State House,46,R,Carroll,West Vaiden,x,,
Bobby B. Howell,State House,46,R,Carroll,McCarley,x,,
Bobby B. Howell,State House,46,R,Carroll,North Carrollton,2,,
Bobby B. Howell,State House,46,R,Carroll,Jefferson,2,,
Bobby B. Howell,State House,46,R,Carroll,TOTAL,78,,
"William Bond Compton, Jr.",Governor,,D,Carroll,430 School,25,,
Johnny L. DuPree,Governor,,D,Carroll,430 School,103,,
Bill Luckett,Governor,,D,Carroll,430 School,118,,
Guy Dale Shaw,Governor,,D,Carroll,430 School,18,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Black Hawk,19,,
Johnny L. DuPree,Governor,,D,Carroll,Black Hawk,35,,
Bill Luckett,Governor,,D,Carroll,Black Hawk,80,,
Guy Dale Shaw,Governor,,D,Carroll,Black Hawk,28,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Calvary,8,,
Johnny L. DuPree,Governor,,D,Carroll,Calvary,8,,
Bill Luckett,Governor,,D,Carroll,Calvary,42,,
Guy Dale Shaw,Governor,,D,Carroll,Calvary,12,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Carrollton,16,,
Johnny L. DuPree,Governor,,D,Carroll,Carrollton,29,,
Bill Luckett,Governor,,D,Carroll,Carrollton,104,,
Guy Dale Shaw,Governor,,D,Carroll,Carrollton,27,,
"William Bond Compton, Jr.",Governor,,D,Carroll,East Vaiden,57,,
Johnny L. DuPree,Governor,,D,Carroll,East Vaiden,177,,
Bill Luckett,Governor,,D,Carroll,East Vaiden,206,,
Guy Dale Shaw,Governor,,D,Carroll,East Vaiden,44,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Fire Tower,41,,
Johnny L. DuPree,Governor,,D,Carroll,Fire Tower,173,,
Bill Luckett,Governor,,D,Carroll,Fire Tower,151,,
Guy Dale Shaw,Governor,,D,Carroll,Fire Tower,39,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Gravel Hill,38,,
Johnny L. DuPree,Governor,,D,Carroll,Gravel Hill,55,,
Bill Luckett,Governor,,D,Carroll,Gravel Hill,186,,
Guy Dale Shaw,Governor,,D,Carroll,Gravel Hill,45,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Rays Shop,56,,
Johnny L. DuPree,Governor,,D,Carroll,Rays Shop,91,,
Bill Luckett,Governor,,D,Carroll,Rays Shop,320,,
Guy Dale Shaw,Governor,,D,Carroll,Rays Shop,96,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Salem,15,,
Johnny L. DuPree,Governor,,D,Carroll,Salem,78,,
Bill Luckett,Governor,,D,Carroll,Salem,35,,
Guy Dale Shaw,Governor,,D,Carroll,Salem,14,,
"William Bond Compton, Jr.",Governor,,D,Carroll,West Carroll,28,,
Johnny L. DuPree,Governor,,D,Carroll,West Carroll,50,,
Bill Luckett,Governor,,D,Carroll,West Carroll,161,,
Guy Dale Shaw,Governor,,D,Carroll,West Carroll,43,,
"William Bond Compton, Jr.",Governor,,D,Carroll,West Vaiden,41,,
Johnny L. DuPree,Governor,,D,Carroll,West Vaiden,119,,
Bill Luckett,Governor,,D,Carroll,West Vaiden,144,,
Guy Dale Shaw,Governor,,D,Carroll,West Vaiden,22,,
"William Bond Compton, Jr.",Governor,,D,Carroll,McCarley,26,,
Johnny L. DuPree,Governor,,D,Carroll,McCarley,100,,
Bill Luckett,Governor,,D,Carroll,McCarley,111,,
Guy Dale Shaw,Governor,,D,Carroll,McCarley,32,,
"William Bond Compton, Jr.",Governor,,D,Carroll,North Carrollton,50,,
Johnny L. DuPree,Governor,,D,Carroll,North Carrollton,179,,
Bill Luckett,Governor,,D,Carroll,North Carrollton,224,,
Guy Dale Shaw,Governor,,D,Carroll,North Carrollton,40,,
"William Bond Compton, Jr.",Governor,,D,Carroll,Jefferson,15,,
Johnny L. DuPree,Governor,,D,Carroll,Jefferson,27,,
Bill Luckett,Governor,,D,Carroll,Jefferson,50,,
Guy Dale Shaw,Governor,,D,Carroll,Jefferson,19,,
"William Bond Compton, Jr.",Governor,,D,Carroll,TOTAL,435,,
Johnny L. DuPree,Governor,,D,Carroll,TOTAL,1224,,
Bill Luckett,Governor,,D,Carroll,TOTAL,1932,,
Guy Dale Shaw,Governor,,D,Carroll,TOTAL,479,,
Jim Hood,Attorney General,,D,Carroll,430 School,235,,
Jim Hood,Attorney General,,D,Carroll,Black Hawk,154,,
Jim Hood,Attorney General,,D,Carroll,Calvary,64,,
Jim Hood,Attorney General,,D,Carroll,Carrollton,177,,
Jim Hood,Attorney General,,D,Carroll,East Vaiden,443,,
Jim Hood,Attorney General,,D,Carroll,Fire Tower,367,,
Jim Hood,Attorney General,,D,Carroll,Gravel Hill,316,,
Jim Hood,Attorney General,,D,Carroll,Rays Shop,536,,
Jim Hood,Attorney General,,D,Carroll,Salem,108,,
Jim Hood,Attorney General,,D,Carroll,West Carroll,273,,
Jim Hood,Attorney General,,D,Carroll,West Vaiden,297,,
Jim Hood,Attorney General,,D,Carroll,McCarley,251,,
Jim Hood,Attorney General,,D,Carroll,North Carrollton,447,,
Jim Hood,Attorney General,,D,Carroll,Jefferson,105,,
Jim Hood,Attorney General,,D,Carroll,TOTAL,3773,,
Connie Moran,State Treasurer,,D,Carroll,430 School,203,,
Connie Moran,State Treasurer,,D,Carroll,Black Hawk,138,,
Connie Moran,State Treasurer,,D,Carroll,Calvary,57,,
Connie Moran,State Treasurer,,D,Carroll,Carrollton,157,,
Connie Moran,State Treasurer,,D,Carroll,East Vaiden,414,,
Connie Moran,State Treasurer,,D,Carroll,Fire Tower,337,,
Connie Moran,State Treasurer,,D,Carroll,Gravel Hill,280,,
Connie Moran,State Treasurer,,D,Carroll,Rays Shop,490,,
Connie Moran,State Treasurer,,D,Carroll,Salem,99,,
Connie Moran,State Treasurer,,D,Carroll,West Carroll,247,,
Connie Moran,State Treasurer,,D,Carroll,West Vaiden,280,,
Connie Moran,State Treasurer,,D,Carroll,McCarley,236,,
Connie Moran,State Treasurer,,D,Carroll,North Carrollton,407,,
Connie Moran,State Treasurer,,D,Carroll,Jefferson,101,,
Connie Moran,State Treasurer,,D,Carroll,TOTAL,3446,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,430 School,215,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Black Hawk,141,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Calvary,60,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Carrollton,161,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,East Vaiden,419,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Fire Tower,340,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Gravel Hill,284,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Rays Shop,496,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,Salem,100,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,West Carroll,246,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Carroll,West Vaiden,281,,
