county,precinct,office,district,candidate,party,votes,winner
Jasper,Moss First,Commissioner of Insurance,,Louis Fondren,D,3,
Jasper,Moss First,Commissioner of Insurance,,Mike Chaney,R,32,
Jasper,Moss First,Commissioner of Insurance,,Barbara Dale Washer,Reform,1,
Jasper,Moss Second,Commissioner of Insurance,,Louis Fondren,D,124,
Jasper,Moss Second,Commissioner of Insurance,,Mike Chaney,R,401,
Jasper,Moss Second,Commissioner of Insurance,,Barbara Dale Washer,Reform,11,
Jasper,Palestine,Commissioner of Insurance,,Louis Fondren,D,42,
Jasper,Palestine,Commissioner of Insurance,,Mike Chaney,R,13,
Jasper,Palestine,Commissioner of Insurance,,Barbara Dale Washer,Reform,2,
Jasper,Paulding,Commissioner of Insurance,,Louis Fondren,D,393,
Jasper,Paulding,Commissioner of Insurance,,Mike Chaney,R,173,
Jasper,Paulding,Commissioner of Insurance,,Barbara Dale Washer,Reform,29,
Jasper,Fellowship,Commissioner of Insurance,,Louis Fondren,D,15,
Jasper,Fellowship,Commissioner of Insurance,,Mike Chaney,R,58,
Jasper,Fellowship,Commissioner of Insurance,,Barbara Dale Washer,Reform,0,
Jasper,Midway,Commissioner of Insurance,,Louis Fondren,D,131,
Jasper,Midway,Commissioner of Insurance,,Mike Chaney,R,84,
Jasper,Midway,Commissioner of Insurance,,Barbara Dale Washer,Reform,8,
Jasper,Rose Hill,Commissioner of Insurance,,Louis Fondren,D,142,
Jasper,Rose Hill,Commissioner of Insurance,,Mike Chaney,R,164,
Jasper,Rose Hill,Commissioner of Insurance,,Barbara Dale Washer,Reform,13,
Jasper,Vossburg,Commissioner of Insurance,,Louis Fondren,D,206,
Jasper,Vossburg,Commissioner of Insurance,,Mike Chaney,R,53,
Jasper,Vossburg,Commissioner of Insurance,,Barbara Dale Washer,Reform,5,
Jasper,Bay Springs Beat 3,Commissioner of Insurance,,Louis Fondren,D,259,
Jasper,Bay Springs Beat 3,Commissioner of Insurance,,Mike Chaney,R,299,
Jasper,Bay Springs Beat 3,Commissioner of Insurance,,Barbara Dale Washer,Reform,7,
Jasper,Louin,Commissioner of Insurance,,Louis Fondren,D,211,
