candidate,office,district,party,county,precinct,votes,winner,
Tracella Lou O'Hara Hill,Lieutenant Governor,,Reform,Copiah,TOTAL,2082,,
Delbert Hosemann,Secretary of State,,R,Copiah,Beauregard,447,,
Delbert Hosemann,Secretary of State,,R,Copiah,Centerpoint,495,,
Delbert Hosemann,Secretary of State,,R,Copiah,Carpenter,122,,
Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs East,1139,,
Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs North,219,,
Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs South,721,,
Delbert Hosemann,Secretary of State,,R,Copiah,Crystal Springs West,519,,
Delbert Hosemann,Secretary of State,,R,Copiah,Dentville,134,,
Delbert Hosemann,Secretary of State,,R,Copiah,Georgetown North,139,,
Delbert Hosemann,Secretary of State,,R,Copiah,Georgetown South,235,,
Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst East,390,,
Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst North,132,,
Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst South,237,,
Delbert Hosemann,Secretary of State,,R,Copiah,Hazlehurst West,636,,
Delbert Hosemann,Secretary of State,,R,Copiah,Martinsville,190,,
Delbert Hosemann,Secretary of State,,R,Copiah,Shady Grove,276,,
Delbert Hosemann,Secretary of State,,R,Copiah,Stronghope Union,272,,
Delbert Hosemann,Secretary of State,,R,Copiah,Wesson,428,,
Delbert Hosemann,Secretary of State,,R,Copiah,Gallman,921,,
Delbert Hosemann,Secretary of State,,R,Copiah,TOTAL,7652,,
Jim Hood,Attorney General,,D,Copiah,Beauregard,311,,
Steve Simpson,Attorney General,,R,Copiah,Beauregard,178,,
Jim Hood,Attorney General,,D,Copiah,Centerpoint,429,,
Steve Simpson,Attorney General,,R,Copiah,Centerpoint,180,,
Jim Hood,Attorney General,,D,Copiah,Carpenter,132,,
Steve Simpson,Attorney General,,R,Copiah,Carpenter,30,,
Jim Hood,Attorney General,,D,Copiah,Crystal Springs East,805,,
Steve Simpson,Attorney General,,R,Copiah,Crystal Springs East,498,,
Jim Hood,Attorney General,,D,Copiah,Crystal Springs North,228,,
Steve Simpson,Attorney General,,R,Copiah,Crystal Springs North,53,,
Jim Hood,Attorney General,,D,Copiah,Crystal Springs South,754,,
Steve Simpson,Attorney General,,R,Copiah,Crystal Springs South,179,,
Jim Hood,Attorney General,,D,Copiah,Crystal Springs West,413,,
Steve Simpson,Attorney General,,R,Copiah,Crystal Springs West,211,,
Jim Hood,Attorney General,,D,Copiah,Dentville,97,,
Steve Simpson,Attorney General,,R,Copiah,Dentville,50,,
Jim Hood,Attorney General,,D,Copiah,Georgetown North,152,,
Steve Simpson,Attorney General,,R,Copiah,Georgetown North,36,,
Jim Hood,Attorney General,,D,Copiah,Georgetown South,181,,
Steve Simpson,Attorney General,,R,Copiah,Georgetown South,96,,
Jim Hood,Attorney General,,D,Copiah,Hazlehurst East,611,,
Steve Simpson,Attorney General,,R,Copiah,Hazlehurst East,32,,
Jim Hood,Attorney General,,D,Copiah,Hazlehurst North,141,,
Steve Simpson,Attorney General,,R,Copiah,Hazlehurst North,33,,
Jim Hood,Attorney General,,D,Copiah,Hazlehurst South,263,,
Steve Simpson,Attorney General,,R,Copiah,Hazlehurst South,58,,
Jim Hood,Attorney General,,D,Copiah,Hazlehurst West,820,,
Steve Simpson,Attorney General,,R,Copiah,Hazlehurst West,111,,
Jim Hood,Attorney General,,D,Copiah,Martinsville,216,,
Steve Simpson,Attorney General,,R,Copiah,Martinsville,48,,
Jim Hood,Attorney General,,D,Copiah,Shady Grove,174,,
Steve Simpson,Attorney General,,R,Copiah,Shady Grove,127,,
Jim Hood,Attorney General,,D,Copiah,Stronghope Union,140,,
Steve Simpson,Attorney General,,R,Copiah,Stronghope Union,144,,
Jim Hood,Attorney General,,D,Copiah,Wesson,274,,
Steve Simpson,Attorney General,,R,Copiah,Wesson,184,,
Jim Hood,Attorney General,,D,Copiah,Gallman,685,,
Steve Simpson,Attorney General,,R,Copiah,Gallman,437,,
Jim Hood,Attorney General,,D,Copiah,TOTAL,6826,,
Steve Simpson,Attorney General,,R,Copiah,TOTAL,2685,,
Stacey E. Pickering,State Auditor,,R,Copiah,Beauregard,417,,
Ashley Norwood,State Auditor,,Reform,Copiah,Beauregard,61,,
Stacey E. Pickering,State Auditor,,R,Copiah,Centerpoint,411,,
Ashley Norwood,State Auditor,,Reform,Copiah,Centerpoint,122,,
Stacey E. Pickering,State Auditor,,R,Copiah,Carpenter,83,,
Ashley Norwood,State Auditor,,Reform,Copiah,Carpenter,50,,
Stacey E. Pickering,State Auditor,,R,Copiah,Crystal Springs East,994,,
Ashley Norwood,State Auditor,,Reform,Copiah,Crystal Springs East,218,,
Stacey E. Pickering,State Auditor,,R,Copiah,Crystal Springs North,135,,
Ashley Norwood,State Auditor,,Reform,Copiah,Crystal Springs North,109,,
Stacey E. Pickering,State Auditor,,R,Copiah,Crystal Springs South,492,,
Ashley Norwood,State Auditor,,Reform,Copiah,Crystal Springs South,325,,
Stacey E. Pickering,State Auditor,,R,Copiah,Crystal Springs West,429,,
Ashley Norwood,State Auditor,,Reform,Copiah,Crystal Springs West,142,,
Stacey E. Pickering,State Auditor,,R,Copiah,Dentville,120,,
Ashley Norwood,State Auditor,,Reform,Copiah,Dentville,20,,
Stacey E. Pickering,State Auditor,,R,Copiah,Georgetown North,97,,
Ashley Norwood,State Auditor,,Reform,Copiah,Georgetown North,66,,
Stacey E. Pickering,State Auditor,,R,Copiah,Georgetown South,205,,
Ashley Norwood,State Auditor,,Reform,Copiah,Georgetown South,51,,
Stacey E. Pickering,State Auditor,,R,Copiah,Hazlehurst East,184,,
Ashley Norwood,State Auditor,,Reform,Copiah,Hazlehurst East,316,,
Stacey E. Pickering,State Auditor,,R,Copiah,Hazlehurst North,95,,
Ashley Norwood,State Auditor,,Reform,Copiah,Hazlehurst North,53,,
Stacey E. Pickering,State Auditor,,R,Copiah,Hazlehurst South,161,,
Ashley Norwood,State Auditor,,Reform,Copiah,Hazlehurst South,106,,
Stacey E. Pickering,State Auditor,,R,Copiah,Hazlehurst West,419,,
Ashley Norwood,State Auditor,,Reform,Copiah,Hazlehurst West,358,,
Stacey E. Pickering,State Auditor,,R,Copiah,Martinsville,136,,
Ashley Norwood,State Auditor,,Reform,Copiah,Martinsville,86,,
Stacey E. Pickering,State Auditor,,R,Copiah,Shady Grove,263,,
Ashley Norwood,State Auditor,,Reform,Copiah,Shady Grove,24,,
Stacey E. Pickering,State Auditor,,R,Copiah,Stronghope Union,266,,
Ashley Norwood,State Auditor,,Reform,Copiah,Stronghope Union,15,,
Stacey E. Pickering,State Auditor,,R,Copiah,Wesson,397,,
Ashley Norwood,State Auditor,,Reform,Copiah,Wesson,51,,
Stacey E. Pickering,State Auditor,,R,Copiah,Gallman,741,,
Ashley Norwood,State Auditor,,Reform,Copiah,Gallman,268,,
Stacey E. Pickering,State Auditor,,R,Copiah,TOTAL,6045,,
Ashley Norwood,State Auditor,,Reform,Copiah,TOTAL,2441,,
Lynn Fitch,State Treasurer,,R,Copiah,Beauregard,396,,
Connie Moran,State Treasurer,,D,Copiah,Beauregard,76,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Beauregard,16,,
Lynn Fitch,State Treasurer,,R,Copiah,Centerpoint,376,,
Connie Moran,State Treasurer,,D,Copiah,Centerpoint,212,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Centerpoint,15,,
Lynn Fitch,State Treasurer,,R,Copiah,Carpenter,65,,
Connie Moran,State Treasurer,,D,Copiah,Carpenter,89,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Carpenter,6,,
Lynn Fitch,State Treasurer,,R,Copiah,Crystal Springs East,884,,
Connie Moran,State Treasurer,,D,Copiah,Crystal Springs East,375,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Crystal Springs East,33,,
Lynn Fitch,State Treasurer,,R,Copiah,Crystal Springs North,100,,
Connie Moran,State Treasurer,,D,Copiah,Crystal Springs North,168,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Crystal Springs North,12,,
Lynn Fitch,State Treasurer,,R,Copiah,Crystal Springs South,387,,
Connie Moran,State Treasurer,,D,Copiah,Crystal Springs South,520,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Crystal Springs South,26,,
Lynn Fitch,State Treasurer,,R,Copiah,Crystal Springs West,388,,
Connie Moran,State Treasurer,,D,Copiah,Crystal Springs West,212,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Crystal Springs West,19,,
Lynn Fitch,State Treasurer,,R,Copiah,Dentville,119,,
Connie Moran,State Treasurer,,D,Copiah,Dentville,21,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Dentville,4,,
Lynn Fitch,State Treasurer,,R,Copiah,Georgetown North,67,,
Connie Moran,State Treasurer,,D,Copiah,Georgetown North,107,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Georgetown North,8,,
Lynn Fitch,State Treasurer,,R,Copiah,Georgetown South,183,,
Connie Moran,State Treasurer,,D,Copiah,Georgetown South,83,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Georgetown South,11,,
Lynn Fitch,State Treasurer,,R,Copiah,Hazlehurst East,91,,
Connie Moran,State Treasurer,,D,Copiah,Hazlehurst East,526,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Hazlehurst East,25,,
Lynn Fitch,State Treasurer,,R,Copiah,Hazlehurst North,76,,
Connie Moran,State Treasurer,,D,Copiah,Hazlehurst North,93,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Hazlehurst North,3,,
Lynn Fitch,State Treasurer,,R,Copiah,Hazlehurst South,115,,
Connie Moran,State Treasurer,,D,Copiah,Hazlehurst South,198,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Hazlehurst South,7,,
Lynn Fitch,State Treasurer,,R,Copiah,Hazlehurst West,268,,
Connie Moran,State Treasurer,,D,Copiah,Hazlehurst West,610,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Hazlehurst West,32,,
Lynn Fitch,State Treasurer,,R,Copiah,Martinsville,107,,
Connie Moran,State Treasurer,,D,Copiah,Martinsville,142,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Martinsville,7,,
Lynn Fitch,State Treasurer,,R,Copiah,Shady Grove,232,,
Connie Moran,State Treasurer,,D,Copiah,Shady Grove,68,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Shady Grove,2,,
Lynn Fitch,State Treasurer,,R,Copiah,Stronghope Union,250,,
Connie Moran,State Treasurer,,D,Copiah,Stronghope Union,26,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Stronghope Union,10,,
Lynn Fitch,State Treasurer,,R,Copiah,Wesson,372,,
Connie Moran,State Treasurer,,D,Copiah,Wesson,78,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Wesson,9,,
Lynn Fitch,State Treasurer,,R,Copiah,Gallman,686,,
Connie Moran,State Treasurer,,D,Copiah,Gallman,396,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,Gallman,23,,
Lynn Fitch,State Treasurer,,R,Copiah,TOTAL,5162,,
Connie Moran,State Treasurer,,D,Copiah,TOTAL,4000,,
Shawn O'Hara,State Treasurer,,Reform,Copiah,TOTAL,268,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Beauregard,89,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Beauregard,397,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Beauregard,4,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Centerpoint,230,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Centerpoint,356,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Centerpoint,11,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Carpenter,97,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Carpenter,54,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Carpenter,7,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Crystal Springs East,456,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Crystal Springs East,812,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Crystal Springs East,24,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Crystal Springs North,172,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Crystal Springs North,99,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Crystal Springs North,5,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Crystal Springs South,555,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Crystal Springs South,348,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Crystal Springs South,23,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Crystal Springs West,231,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Crystal Springs West,383,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Crystal Springs West,5,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Dentville,37,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Dentville,109,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Dentville,0,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Georgetown North,115,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Georgetown North,56,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Georgetown North,8,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Georgetown South,88,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Georgetown South,180,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Georgetown South,5,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Hazlehurst East,537,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Hazlehurst East,80,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Hazlehurst East,14,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Hazlehurst North,95,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Hazlehurst North,71,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Hazlehurst North,2,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Hazlehurst South,196,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Hazlehurst South,116,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Hazlehurst South,7,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Hazlehurst West,619,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Hazlehurst West,262,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Hazlehurst West,22,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Martinsville,150,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Martinsville,109,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Martinsville,3,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Shady Grove,84,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Shady Grove,214,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Shady Grove,3,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Stronghope Union,31,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Stronghope Union,249,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Stronghope Union,5,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Wesson,58,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Wesson,389,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Wesson,11,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,Gallman,431,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,Gallman,653,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,Gallman,21,,
Joel Gill,Commissioner of Agriculture & Commerce,,D,Copiah,TOTAL,4271,,
Cindy Hyde-Smith,Commissioner of Agriculture & Commerce,,R,Copiah,TOTAL,4937,,
Cathy L. Toole,Commissioner of Agriculture & Commerce,,Reform,Copiah,TOTAL,180,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Beauregard,396,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Beauregard,76,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Beauregard,16,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Centerpoint,380,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Centerpoint,194,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Centerpoint,18,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Carpenter,63,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Carpenter,88,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Carpenter,6,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Crystal Springs East,908,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Crystal Springs East,346,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Crystal Springs East,31,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Crystal Springs North,97,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Crystal Springs North,172,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Crystal Springs North,9,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Crystal Springs South,372,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Crystal Springs South,525,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Crystal Springs South,29,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Crystal Springs West,400,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Crystal Springs West,209,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Crystal Springs West,11,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Dentville,117,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Dentville,21,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Dentville,6,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Georgetown North,73,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Georgetown North,103,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Georgetown North,6,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Georgetown South,192,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Georgetown South,76,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Georgetown South,7,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Hazlehurst East,83,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Hazlehurst East,531,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Hazlehurst East,24,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Hazlehurst North,77,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Hazlehurst North,87,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Hazlehurst North,5,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Hazlehurst South,117,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Hazlehurst South,188,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Hazlehurst South,7,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Hazlehurst West,282,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Hazlehurst West,591,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Hazlehurst West,31,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Martinsville,115,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Martinsville,138,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Martinsville,6,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Shady Grove,246,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Shady Grove,53,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Shady Grove,3,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Stronghope Union,251,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Stronghope Union,21,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Stronghope Union,11,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Wesson,379,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Wesson,55,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Wesson,23,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,Gallman,688,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,Gallman,390,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,Gallman,23,,
Mike Chaney,Commissioner of Insurance,,R,Copiah,TOTAL,5236,,
Louis Fondren,Commissioner of Insurance,,D,Copiah,TOTAL,3864,,
Barbara Dale Washer,Commissioner of Insurance,,Reform,Copiah,TOTAL,272,,
Perry E. Lee,State Senate,35,R,Copiah,Beauregard,X,,
Perry E. Lee,State Senate,35,R,Copiah,Centerpoint,X,,
