candidate,office,district,party,county,votes
Jason Vitosky,US House,4,D,Claiborne,
Barack Obama,US President,,D,Clarke,907
"Albert N. Gore, Jr. ",U.S. Senate,,D,Clarke,556
Will Oatis,U.S. Senate,,D,Clarke,149
Roger Weiner,U.S. Senate,,D,Clarke,131
Brad Morris,US House,1,D,Clarke,
Heather McTeer,US House,2,D,Clarke,
Bennie G. Thompson,US House,2,D,Clarke,
Crystal Biggs,US House,3,D,Clarke,578
Michael Herrington,US House,4,D,Clarke,147
Jason Vitosky,US House,4,D,Clarke,51
Barack Obama,US President,,D,Clay,1469
"Albert N. Gore, Jr. ",U.S. Senate,,D,Clay,1097
Will Oatis,U.S. Senate,,D,Clay,95
Roger Weiner,U.S. Senate,,D,Clay,205
Brad Morris,US House,1,D,Clay,1293
Heather McTeer,US House,2,D,Clay,
Bennie G. Thompson,US House,2,D,Clay,
Crystal Biggs,US House,3,D,Clay,
Michael Herrington,US House,4,D,Clay,
Jason Vitosky,US House,4,D,Clay,
Barack Obama,US President,,D,Coahoma,2599
"Albert N. Gore, Jr. ",U.S. Senate,,D,Coahoma,556
Will Oatis,U.S. Senate,,D,Coahoma,152
Roger Weiner,U.S. Senate,,D,Coahoma,2191
Brad Morris,US House,1,D,Coahoma,
Heather McTeer,US House,2,D,Coahoma,837
Bennie G. Thompson,US House,2,D,Coahoma,2364
Crystal Biggs,US House,3,D,Coahoma,
Michael Herrington,US House,4,D,Coahoma,
Jason Vitosky,US House,4,D,Coahoma,
Barack Obama,US President,,D,Copiah,2460
"Albert N. Gore, Jr. ",U.S. Senate,,D,Copiah,1289
Will Oatis,U.S. Senate,,D,Copiah,431
Roger Weiner,U.S. Senate,,D,Copiah,426
Brad Morris,US House,1,D,Copiah,268
Heather McTeer,US House,2,D,Copiah,2335
Bennie G. Thompson,US House,2,D,Copiah,
Crystal Biggs,US House,3,D,Copiah,
Michael Herrington,US House,4,D,Copiah,
Jason Vitosky,US House,4,D,Copiah,
Barack Obama,US President,,D,Covington,574
"Albert N. Gore, Jr. ",U.S. Senate,,D,Covington,221
Will Oatis,U.S. Senate,,D,Covington,241
Roger Weiner,U.S. Senate,,D,Covington,79
Brad Morris,US House,1,D,Covington,465
Heather McTeer,US House,2,D,Covington,
Bennie G. Thompson,US House,2,D,Covington,
Crystal Biggs,US House,3,D,Covington,
Michael Herrington,US House,4,D,Covington,
Jason Vitosky,US House,4,D,Covington,
Barack Obama,US President,,D,Desoto,1318
"Albert N. Gore, Jr. ",U.S. Senate,,D,Desoto,939
Will Oatis,U.S. Senate,,D,Desoto,113
Roger Weiner,U.S. Senate,,D,Desoto,294
Brad Morris,US House,1,D,Desoto,1295
Heather McTeer,US House,2,D,Desoto,
Bennie G. Thompson,US House,2,D,Desoto,
Crystal Biggs,US House,3,D,Desoto,
Michael Herrington,US House,4,D,Desoto,
Jason Vitosky,US House,4,D,Desoto,
Barack Obama,US President,,D,Forrest,1198
"Albert N. Gore, Jr. ",U.S. Senate,,D,Forrest,601
Will Oatis,U.S. Senate,,D,Forrest,327
Roger Weiner,U.S. Senate,,D,Forrest,188
Brad Morris,US House,1,D,Forrest,
Heather McTeer,US House,2,D,Forrest,
Bennie G. Thompson,US House,2,D,Forrest,
Crystal Biggs,US House,3,D,Forrest,
Michael Herrington,US House,4,D,Forrest,956
Jason Vitosky,US House,4,D,Forrest,108
Barack Obama,US President,,D,Franklin,409
"Albert N. Gore, Jr. ",U.S. Senate,,D,Franklin,225
Will Oatis,U.S. Senate,,D,Franklin,36
Roger Weiner,U.S. Senate,,D,Franklin,99
Brad Morris,US House,1,D,Franklin,
Heather McTeer,US House,2,D,Franklin,
Bennie G. Thompson,US House,2,D,Franklin,
Crystal Biggs,US House,3,D,Franklin,346
Michael Herrington,US House,4,D,Franklin,
Jason Vitosky,US House,4,D,Franklin,
Barack Obama,US President,,D,George,199
"Albert N. Gore, Jr. ",U.S. Senate,,D,George,127
Will Oatis,U.S. Senate,,D,George,33
Roger Weiner,U.S. Senate,,D,George,58
Brad Morris,US House,1,D,George,
Heather McTeer,US House,2,D,George,
Bennie G. Thompson,US House,2,D,George,
Crystal Biggs,US House,3,D,George,
Michael Herrington,US House,4,D,George,178
Jason Vitosky,US House,4,D,George,37
Barack Obama,US President,,D,Greene,142
"Albert N. Gore, Jr. ",U.S. Senate,,D,Greene,78
Will Oatis,U.S. Senate,,D,Greene,34
Roger Weiner,U.S. Senate,,D,Greene,37
Brad Morris,US House,1,D,Greene,
Heather McTeer,US House,2,D,Greene,
Bennie G. Thompson,US House,2,D,Greene,
Crystal Biggs,US House,3,D,Greene,
Michael Herrington,US House,4,D,Greene,119
Jason Vitosky,US House,4,D,Greene,25
Barack Obama,US President,,D,Grenada,2087
"Albert N. Gore, Jr. ",U.S. Senate,,D,Grenada,1335
Will Oatis,U.S. Senate,,D,Grenada,141
Roger Weiner,U.S. Senate,,D,Grenada,390
Brad Morris,US House,1,D,Grenada,
Heather McTeer,US House,2,D,Grenada,235
Bennie G. Thompson,US House,2,D,Grenada,1934
Crystal Biggs,US House,3,D,Grenada,
Michael Herrington,US House,4,D,Grenada,
Jason Vitosky,US House,4,D,Grenada,
Barack Obama,US President,,D,Hancock,432
"Albert N. Gore, Jr. ",U.S. Senate,,D,Hancock,173
Will Oatis,U.S. Senate,,D,Hancock,169
Roger Weiner,U.S. Senate,,D,Hancock,130
Brad Morris,US House,1,D,Hancock,
Heather McTeer,US House,2,D,Hancock,
Bennie G. Thompson,US House,2,D,Hancock,
Crystal Biggs,US House,3,D,Hancock,
Michael Herrington,US House,4,D,Hancock,361
Jason Vitosky,US House,4,D,Hancock,96
Barack Obama,US President,,D,Harrison,2506
"Albert N. Gore, Jr. ",U.S. Senate,,D,Harrison,853
Will Oatis,U.S. Senate,,D,Harrison,1214
Roger Weiner,U.S. Senate,,D,Harrison,493
Brad Morris,US House,1,D,Harrison,
Heather McTeer,US House,2,D,Harrison,
Bennie G. Thompson,US House,2,D,Harrison,
Crystal Biggs,US House,3,D,Harrison,
Michael Herrington,US House,4,D,Harrison,1887
Jason Vitosky,US House,4,D,Harrison,625
Barack Obama,US President,,D,Hinds,4241
"Albert N. Gore, Jr. ",U.S. Senate,,D,Hinds,2085
Will Oatis,U.S. Senate,,D,Hinds,664
Roger Weiner,U.S. Senate,,D,Hinds,839
Brad Morris,US House,1,D,Hinds,
Heather McTeer,US House,2,D,Hinds,515
Bennie G. Thompson,US House,2,D,Hinds,3534
Crystal Biggs,US House,3,D,Hinds,258
Michael Herrington,US House,4,D,Hinds,
Jason Vitosky,US House,4,D,Hinds,
Barack Obama,US President,,D,Holmes,3201
"Albert N. Gore, Jr. ",U.S. Senate,,D,Holmes,1688
Will Oatis,U.S. Senate,,D,Holmes,302
Roger Weiner,U.S. Senate,,D,Holmes,581
Brad Morris,US House,1,D,Holmes,
Heather McTeer,US House,2,D,Holmes,328
Bennie G. Thompson,US House,2,D,Holmes,2941
Crystal Biggs,US House,3,D,Holmes,
Michael Herrington,US House,4,D,Holmes,
Jason Vitosky,US House,4,D,Holmes,
Barack Obama,US President,,D,Humphreys,1526
"Albert N. Gore, Jr. ",U.S. Senate,,D,Humphreys,595
Will Oatis,U.S. Senate,,D,Humphreys,384
Roger Weiner,U.S. Senate,,D,Humphreys,305
Brad Morris,US House,1,D,Humphreys,
Heather McTeer,US House,2,D,Humphreys,296
Bennie G. Thompson,US House,2,D,Humphreys,1305
Crystal Biggs,US House,3,D,Humphreys,
Michael Herrington,US House,4,D,Humphreys,
Jason Vitosky,US House,4,D,Humphreys,
Barack Obama,US President,,D,Issaquena,232
"Albert N. Gore, Jr. ",U.S. Senate,,D,Issaquena,107
Will Oatis,U.S. Senate,,D,Issaquena,16
Roger Weiner,U.S. Senate,,D,Issaquena,79
Brad Morris,US House,1,D,Issaquena,
Heather McTeer,US House,2,D,Issaquena,27
Bennie G. Thompson,US House,2,D,Issaquena,232
Crystal Biggs,US House,3,D,Issaquena,
Michael Herrington,US House,4,D,Issaquena,
Jason Vitosky,US House,4,D,Issaquena,
Barack Obama,US President,,D,Itawamba,141
"Albert N. Gore, Jr. ",U.S. Senate,,D,Itawamba,124
Will Oatis,U.S. Senate,,D,Itawamba,14
Roger Weiner,U.S. Senate,,D,Itawamba,38
Brad Morris,US House,1,D,Itawamba,163
Heather McTeer,US House,2,D,Itawamba,
Bennie G. Thompson,US House,2,D,Itawamba,
Crystal Biggs,US House,3,D,Itawamba,
Michael Herrington,US House,4,D,Itawamba,
Jason Vitosky,US House,4,D,Itawamba,
Barack Obama,US President,,D,Jackson,2078
"Albert N. Gore, Jr. ",U.S. Senate,,D,Jackson,722
Will Oatis,U.S. Senate,,D,Jackson,1049
Roger Weiner,U.S. Senate,,D,Jackson,317
Brad Morris,US House,1,D,Jackson,
Heather McTeer,US House,2,D,Jackson,
Bennie G. Thompson,US House,2,D,Jackson,
Crystal Biggs,US House,3,D,Jackson,
Michael Herrington,US House,4,D,Jackson,1678
Jason Vitosky,US House,4,D,Jackson,301
Barack Obama,US President,,D,Jasper,980
"Albert N. Gore, Jr. ",U.S. Senate,,D,Jasper,500
Will Oatis,U.S. Senate,,D,Jasper,251
Roger Weiner,U.S. Senate,,D,Jasper,161
Brad Morris,US House,1,D,Jasper,
Heather McTeer,US House,2,D,Jasper,
Bennie G. Thompson,US House,2,D,Jasper,
Crystal Biggs,US House,3,D,Jasper,825
Michael Herrington,US House,4,D,Jasper,
Jason Vitosky,US House,4,D,Jasper,
Barack Obama,US President,,D,Jefferson,1504
"Albert N. Gore, Jr. ",U.S. Senate,,D,Jefferson,727
Will Oatis,U.S. Senate,,D,Jefferson,258
Roger Weiner,U.S. Senate,,D,Jefferson,284
Brad Morris,US House,1,D,Jefferson,
Heather McTeer,US House,2,D,Jefferson,115
Bennie G. Thompson,US House,2,D,Jefferson,1421
Crystal Biggs,US House,3,D,Jefferson,
Michael Herrington,US House,4,D,Jefferson,
Jason Vitosky,US House,4,D,Jefferson,
Barack Obama,US President,,D,Jefferson Davis,1180
"Albert N. Gore, Jr. ",U.S. Senate,,D,Jefferson Davis,172
Will Oatis,U.S. Senate,,D,Jefferson Davis,887
Roger Weiner,U.S. Senate,,D,Jefferson Davis,101
Brad Morris,US House,1,D,Jefferson Davis,
Heather McTeer,US House,2,D,Jefferson Davis,
Bennie G. Thompson,US House,2,D,Jefferson Davis,
Crystal Biggs,US House,3,D,Jefferson Davis,
Michael Herrington,US House,4,D,Jefferson Davis,
Jason Vitosky,US House,4,D,Jefferson Davis,
Barack Obama,US President,,D,Jones,1218
"Albert N. Gore, Jr. ",U.S. Senate,,D,Jones,658
Will Oatis,U.S. Senate,,D,Jones,274
Roger Weiner,U.S. Senate,,D,Jones,224
Brad Morris,US House,1,D,Jones,
Heather McTeer,US House,2,D,Jones,
Bennie G. Thompson,US House,2,D,Jones,
Crystal Biggs,US House,3,D,Jones,
Michael Herrington,US House,4,D,Jones,1003
Jason Vitosky,US House,4,D,Jones,97
Barack Obama,US President,,D,Kemper,519
"Albert N. Gore, Jr. ",U.S. Senate,,D,Kemper,273
Will Oatis,U.S. Senate,,D,Kemper,61
Roger Weiner,U.S. Senate,,D,Kemper,110
Brad Morris,US House,1,D,Kemper,
Heather McTeer,US House,2,D,Kemper,
Bennie G. Thompson,US House,2,D,Kemper,
Crystal Biggs,US House,3,D,Kemper,382
Michael Herrington,US House,4,D,Kemper,
Jason Vitosky,US House,4,D,Kemper,
Barack Obama,US President,,D,Lafayette,810
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lafayette,416
Will Oatis,U.S. Senate,,D,Lafayette,205
Roger Weiner,U.S. Senate,,D,Lafayette,152
Brad Morris,US House,1,D,Lafayette,716
Heather McTeer,US House,2,D,Lafayette,
Bennie G. Thompson,US House,2,D,Lafayette,
Crystal Biggs,US House,3,D,Lafayette,
Michael Herrington,US House,4,D,Lafayette,
Jason Vitosky,US House,4,D,Lafayette,
Barack Obama,US President,,D,Lamar,449
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lamar,224
Will Oatis,U.S. Senate,,D,Lamar,127
Roger Weiner,U.S. Senate,,D,Lamar,102
Brad Morris,US House,1,D,Lamar,
Heather McTeer,US House,2,D,Lamar,
Bennie G. Thompson,US House,2,D,Lamar,
Crystal Biggs,US House,3,D,Lamar,
Michael Herrington,US House,4,D,Lamar,392
Jason Vitosky,US House,4,D,Lamar,52
Barack Obama,US President,,D,Lauderdale,1748
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lauderdale,1025
Will Oatis,U.S. Senate,,D,Lauderdale,250
Roger Weiner,U.S. Senate,,D,Lauderdale,269
Brad Morris,US House,1,D,Lauderdale,
Heather McTeer,US House,2,D,Lauderdale,
Bennie G. Thompson,US House,2,D,Lauderdale,
Crystal Biggs,US House,3,D,Lauderdale,1383
Michael Herrington,US House,4,D,Lauderdale,
Jason Vitosky,US House,4,D,Lauderdale,
Barack Obama,US President,,D,Lawrence,671
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lawrence,191
Will Oatis,U.S. Senate,,D,Lawrence,391
Roger Weiner,U.S. Senate,,D,Lawrence,80
Brad Morris,US House,1,D,Lawrence,
Heather McTeer,US House,2,D,Lawrence,
Bennie G. Thompson,US House,2,D,Lawrence,
Crystal Biggs,US House,3,D,Lawrence,564
Michael Herrington,US House,4,D,Lawrence,
Jason Vitosky,US House,4,D,Lawrence,
Barack Obama,US President,,D,Leake,1304
"Albert N. Gore, Jr. ",U.S. Senate,,D,Leake,893
Will Oatis,U.S. Senate,,D,Leake,94
Roger Weiner,U.S. Senate,,D,Leake,215
Brad Morris,US House,1,D,Leake,
Heather McTeer,US House,2,D,Leake,105
Bennie G. Thompson,US House,2,D,Leake,1247
Crystal Biggs,US House,3,D,Leake,
Michael Herrington,US House,4,D,Leake,
Jason Vitosky,US House,4,D,Leake,
Barack Obama,US President,,D,Lee,1294
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lee,823
Will Oatis,U.S. Senate,,D,Lee,151
Roger Weiner,U.S. Senate,,D,Lee,323
Brad Morris,US House,1,D,Lee,1212
Heather McTeer,US House,2,D,Lee,
Bennie G. Thompson,US House,2,D,Lee,
Crystal Biggs,US House,3,D,Lee,
Michael Herrington,US House,4,D,Lee,
Jason Vitosky,US House,4,D,Lee,
Barack Obama,US President,,D,Leflore,2560
"Albert N. Gore, Jr. ",U.S. Senate,,D,Leflore,1004
Will Oatis,U.S. Senate,,D,Leflore,180
Roger Weiner,U.S. Senate,,D,Leflore,530
Brad Morris,US House,1,D,Leflore,
Heather McTeer,US House,2,D,Leflore,385
Bennie G. Thompson,US House,2,D,Leflore,2252
Crystal Biggs,US House,3,D,Leflore,
Michael Herrington,US House,4,D,Leflore,
Jason Vitosky,US House,4,D,Leflore,
Barack Obama,US President,,D,Lincoln,798
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lincoln,432
Will Oatis,U.S. Senate,,D,Lincoln,146
Roger Weiner,U.S. Senate,,D,Lincoln,198
Brad Morris,US House,1,D,Lincoln,
Heather McTeer,US House,2,D,Lincoln,
Bennie G. Thompson,US House,2,D,Lincoln,
Crystal Biggs,US House,3,D,Lincoln,726
Michael Herrington,US House,4,D,Lincoln,
Jason Vitosky,US House,4,D,Lincoln,
Barack Obama,US President,,D,Lowndes,1211
"Albert N. Gore, Jr. ",U.S. Senate,,D,Lowndes,740
Will Oatis,U.S. Senate,,D,Lowndes,118
Roger Weiner,U.S. Senate,,D,Lowndes,211
Brad Morris,US House,1,D,Lowndes,989
Heather McTeer,US House,2,D,Lowndes,
Bennie G. Thompson,US House,2,D,Lowndes,
Crystal Biggs,US House,3,D,Lowndes,
Michael Herrington,US House,4,D,Lowndes,
Jason Vitosky,US House,4,D,Lowndes,
Barack Obama,US President,,D,Madison-2nd & 3rd cd,4265
"Albert N. Gore, Jr. ",U.S. Senate,,D,Madison-2nd & 3rd cd,1884
Will Oatis,U.S. Senate,,D,Madison-2nd & 3rd cd,497
Roger Weiner,U.S. Senate,,D,Madison-2nd & 3rd cd,844
Brad Morris,US House,1,D,Madison-2nd & 3rd cd,
Heather McTeer,US House,2,D,Madison-2nd & 3rd cd,210
Bennie G. Thompson,US House,2,D,Madison-2nd & 3rd cd,2924
Crystal Biggs,US House,3,D,Madison-2nd & 3rd cd,984
Michael Herrington,US House,4,D,Madison-2nd & 3rd cd,
Jason Vitosky,US House,4,D,Madison-2nd & 3rd cd,
Barack Obama,US President,,D,Marion,1007
"Albert N. Gore, Jr. ",U.S. Senate,,D,Marion,577
Will Oatis,U.S. Senate,,D,Marion,302
Roger Weiner,U.S. Senate,,D,Marion,108
Brad Morris,US House,1,D,Marion,
Heather McTeer,US House,2,D,Marion,
Bennie G. Thompson,US House,2,D,Marion,
Crystal Biggs,US House,3,D,Marion,
Michael Herrington,US House,4,D,Marion,872
Jason Vitosky,US House,4,D,Marion,85
Barack Obama,US President,,D,Marshall,1332
"Albert N. Gore, Jr. ",U.S. Senate,,D,Marshall,941
Will Oatis,U.S. Senate,,D,Marshall,93
Roger Weiner,U.S. Senate,,D,Marshall,220
Brad Morris,US House,1,D,Marshall,1099
Heather McTeer,US House,2,D,Marshall,
Bennie G. Thompson,US House,2,D,Marshall,
Crystal Biggs,US House,3,D,Marshall,
Michael Herrington,US House,4,D,Marshall,
Jason Vitosky,US House,4,D,Marshall,
Barack Obama,US President,,D,Monroe,815
"Albert N. Gore, Jr. ",U.S. Senate,,D,Monroe,515
Will Oatis,U.S. Senate,,D,Monroe,91
Roger Weiner,U.S. Senate,,D,Monroe,179
Brad Morris,US House,1,D,Monroe,738
Heather McTeer,US House,2,D,Monroe,
Bennie G. Thompson,US House,2,D,Monroe,
Crystal Biggs,US House,3,D,Monroe,
Michael Herrington,US House,4,D,Monroe,
Jason Vitosky,US House,4,D,Monroe,
Barack Obama,US President,,D,Newton,633
"Albert N. Gore, Jr. ",U.S. Senate,,D,Newton,399
Will Oatis,U.S. Senate,,D,Newton,50
Roger Weiner,U.S. Senate,,D,Newton,155
Brad Morris,US House,1,D,Newton,
Heather McTeer,US House,2,D,Newton,
Bennie G. Thompson,US House,2,D,Newton,
Crystal Biggs,US House,3,D,Newton,571
Michael Herrington,US House,4,D,Newton,
Jason Vitosky,US House,4,D,Newton,
Barack Obama,US President,,D,Unofficial-as of 3/20/12 - Neshoba,566
"Albert N. Gore, Jr. ",U.S. Senate,,D,Unofficial-as of 3/20/12 - Neshoba,343
Will Oatis,U.S. Senate,,D,Unofficial-as of 3/20/12 - Neshoba,73
Roger Weiner,U.S. Senate,,D,Unofficial-as of 3/20/12 - Neshoba,135
Brad Morris,US House,1,D,Unofficial-as of 3/20/12 - Neshoba,
Heather McTeer,US House,2,D,Unofficial-as of 3/20/12 - Neshoba,
Bennie G. Thompson,US House,2,D,Unofficial-as of 3/20/12 - Neshoba,
Crystal Biggs,US House,3,D,Unofficial-as of 3/20/12 - Neshoba,536
Michael Herrington,US House,4,D,Unofficial-as of 3/20/12 - Neshoba,
Jason Vitosky,US House,4,D,Unofficial-as of 3/20/12 - Neshoba,
Barack Obama,US President,,D,Montgomery,1143
"Albert N. Gore, Jr. ",U.S. Senate,,D,Montgomery,586
Will Oatis,U.S. Senate,,D,Montgomery,146
Roger Weiner,U.S. Senate,,D,Montgomery,223
Brad Morris,US House,1,D,Montgomery,
Heather McTeer,US House,2,D,Montgomery,93
Bennie G. Thompson,US House,2,D,Montgomery,1086
Crystal Biggs,US House,3,D,Montgomery,
Michael Herrington,US House,4,D,Montgomery,
Jason Vitosky,US House,4,D,Montgomery,
Barack Obama,US President,,D,Noxubee,402
"Albert N. Gore, Jr. ",U.S. Senate,,D,Noxubee,219
Will Oatis,U.S. Senate,,D,Noxubee,26
Roger Weiner,U.S. Senate,,D,Noxubee,83
Brad Morris,US House,1,D,Noxubee,
Heather McTeer,US House,2,D,Noxubee,
Bennie G. Thompson,US House,2,D,Noxubee,
Crystal Biggs,US House,3,D,Noxubee,268
Michael Herrington,US House,4,D,Noxubee,
Jason Vitosky,US House,4,D,Noxubee,
Barack Obama,US President,,D,Okibbeha 1st and 3rd CD,1205
"Albert N. Gore, Jr. ",U.S. Senate,,D,Okibbeha 1st and 3rd CD,886
Will Oatis,U.S. Senate,,D,Okibbeha 1st and 3rd CD,75
Roger Weiner,U.S. Senate,,D,Okibbeha 1st and 3rd CD,196
Brad Morris,US House,1,D,Okibbeha 1st and 3rd CD,105
Heather McTeer,US House,2,D,Okibbeha 1st and 3rd CD,
Bennie G. Thompson,US House,2,D,Okibbeha 1st and 3rd CD,
Crystal Biggs,US House,3,D,Okibbeha 1st and 3rd CD,868
Michael Herrington,US House,4,D,Okibbeha 1st and 3rd CD,
Jason Vitosky,US House,4,D,Okibbeha 1st and 3rd CD,
Barack Obama,US President,,D,Panola,2593
"Albert N. Gore, Jr. ",U.S. Senate,,D,Panola,1312
Will Oatis,U.S. Senate,,D,Panola,371
Roger Weiner,U.S. Senate,,D,Panola,572
Brad Morris,US House,1,D,Panola,
Heather McTeer,US House,2,D,Panola,271
Bennie G. Thompson,US House,2,D,Panola,2421
Crystal Biggs,US House,3,D,Panola,
Michael Herrington,US House,4,D,Panola,
Jason Vitosky,US House,4,D,Panola,
Barack Obama,US President,,D,Pearl River,581
"Albert N. Gore, Jr. ",U.S. Senate,,D,Pearl River,254
Will Oatis,U.S. Senate,,D,Pearl River,205
Roger Weiner,U.S. Senate,,D,Pearl River,87
Brad Morris,US House,1,D,Pearl River,
Heather McTeer,US House,2,D,Pearl River,
Bennie G. Thompson,US House,2,D,Pearl River,
Crystal Biggs,US House,3,D,Pearl River,
Michael Herrington,US House,4,D,Pearl River,418
Jason Vitosky,US House,4,D,Pearl River,82
Barack Obama,US President,,D,Perry,203
"Albert N. Gore, Jr. ",U.S. Senate,,D,Perry,105
Will Oatis,U.S. Senate,,D,Perry,34
Roger Weiner,U.S. Senate,,D,Perry,56
Brad Morris,US House,1,D,Perry,
Heather McTeer,US House,2,D,Perry,
Bennie G. Thompson,US House,2,D,Perry,
Crystal Biggs,US House,3,D,Perry,
Michael Herrington,US House,4,D,Perry,167
Jason Vitosky,US House,4,D,Perry,25
Barack Obama,US President,,D,Pike,1155
"Albert N. Gore, Jr. ",U.S. Senate,,D,Pike,672
Will Oatis,U.S. Senate,,D,Pike,142
Roger Weiner,U.S. Senate,,D,Pike,246
Brad Morris,US House,1,D,Pike,
Heather McTeer,US House,2,D,Pike,
Bennie G. Thompson,US House,2,D,Pike,
Crystal Biggs,US House,3,D,Pike,977
