candidate,office,district,party,county,precinct,votes,
Gary Johnson,President,,Libertarian,Madison,Trace Ridge Baptist Church,16,
Jill Stein,President,,Green,Madison,Trace Ridge Baptist Church,2,
Barbara Dale Washer,President,,Reform,Madison,Trace Ridge Baptist Church,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Trace Ridge Baptist Church,737,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Trace Ridge Baptist Church,1790,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Trace Ridge Baptist Church,15,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Trace Ridge Baptist Church,20,
Gregg Harper,U.S. House,3,Republican,Madison,Trace Ridge Baptist Church,2003,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Trace Ridge Baptist Church,399,
Barack Obama,President,,Democrat,Madison,First Presbyterian Madison,282,
Mitt Romney,President,,Republican,Madison,First Presbyterian Madison,1345,
Virgil Goode,President,,Constitution,Madison,First Presbyterian Madison,2,
Gary Johnson,President,,Libertarian,Madison,First Presbyterian Madison,12,
Jill Stein,President,,Green,Madison,First Presbyterian Madison,2,
Barbara Dale Washer,President,,Reform,Madison,First Presbyterian Madison,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,First Presbyterian Madison,253,
Roger F. Wicker,U.S. Senate,,Republican,Madison,First Presbyterian Madison,1358,
Thomas Cramer,U.S. Senate,,Constitution,Madison,First Presbyterian Madison,6,
Shawn O'Hara,U.S. Senate,,Reform,Madison,First Presbyterian Madison,6,
Gregg Harper,U.S. House,3,Republican,Madison,First Presbyterian Madison,1429,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,First Presbyterian Madison,124,
Barack Obama,President,,Democrat,Madison,Madison Community Center,290,
Mitt Romney,President,,Republican,Madison,Madison Community Center,1768,
Virgil Goode,President,,Constitution,Madison,Madison Community Center,1,
Gary Johnson,President,,Libertarian,Madison,Madison Community Center,10,
Jill Stein,President,,Green,Madison,Madison Community Center,2,
Barbara Dale Washer,President,,Reform,Madison,Madison Community Center,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Madison Community Center,236,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Madison Community Center,1783,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Madison Community Center,13,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Madison Community Center,9,
Gregg Harper,U.S. House,3,Republican,Madison,Madison Community Center,1859,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Madison Community Center,128,
Barack Obama,President,,Democrat,Madison,Victory Christian Comm. Church,323,
Mitt Romney,President,,Republican,Madison,Victory Christian Comm. Church,1110,
Virgil Goode,President,,Constitution,Madison,Victory Christian Comm. Church,3,
Gary Johnson,President,,Libertarian,Madison,Victory Christian Comm. Church,7,
Jill Stein,President,,Green,Madison,Victory Christian Comm. Church,3,
Barbara Dale Washer,President,,Reform,Madison,Victory Christian Comm. Church,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Victory Christian Comm. Church,292,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Victory Christian Comm. Church,1120,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Victory Christian Comm. Church,15,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Victory Christian Comm. Church,14,
Gregg Harper,U.S. House,3,Republican,Madison,Victory Christian Comm. Church,1221,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Victory Christian Comm. Church,143,
Barack Obama,President,,Democrat,Madison,Ridgeland 1st Methodist Church,698,
Mitt Romney,President,,Republican,Madison,Ridgeland 1st Methodist Church,1199,
Virgil Goode,President,,Constitution,Madison,Ridgeland 1st Methodist Church,3,
Gary Johnson,President,,Libertarian,Madison,Ridgeland 1st Methodist Church,8,
Jill Stein,President,,Green,Madison,Ridgeland 1st Methodist Church,1,
Barbara Dale Washer,President,,Reform,Madison,Ridgeland 1st Methodist Church,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Ridgeland 1st Methodist Church,610,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Ridgeland 1st Methodist Church,1214,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Ridgeland 1st Methodist Church,20,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Ridgeland 1st Methodist Church,17,
Gregg Harper,U.S. House,3,Republican,Madison,Ridgeland 1st Methodist Church,1395,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Ridgeland 1st Methodist Church,298,
Barack Obama,President,,Democrat,Madison,Twin Lakes Baptist Church,474,
Mitt Romney,President,,Republican,Madison,Twin Lakes Baptist Church,610,
Virgil Goode,President,,Constitution,Madison,Twin Lakes Baptist Church,2,
Gary Johnson,President,,Libertarian,Madison,Twin Lakes Baptist Church,3,
Jill Stein,President,,Green,Madison,Twin Lakes Baptist Church,4,
Barbara Dale Washer,President,,Reform,Madison,Twin Lakes Baptist Church,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Twin Lakes Baptist Church,425,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Twin Lakes Baptist Church,627,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Twin Lakes Baptist Church,14,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Twin Lakes Baptist Church,9,
Gregg Harper,U.S. House,3,Republican,Madison,Twin Lakes Baptist Church,747,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Twin Lakes Baptist Church,185,
Barack Obama,President,,Democrat,Madison,Colonial Heights,610,
Mitt Romney,President,,Republican,Madison,Colonial Heights,609,
Virgil Goode,President,,Constitution,Madison,Colonial Heights,7,
Gary Johnson,President,,Libertarian,Madison,Colonial Heights,14,
Jill Stein,President,,Green,Madison,Colonial Heights,2,
Barbara Dale Washer,President,,Reform,Madison,Colonial Heights,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Colonial Heights,536,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Colonial Heights,635,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Colonial Heights,16,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Colonial Heights,15,
Gregg Harper,U.S. House,3,Republican,Madison,Colonial Heights,772,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Colonial Heights,291,
Barack Obama,President,,Democrat,Madison,Tougaloo,511,
Mitt Romney,President,,Republican,Madison,Tougaloo,3,
Virgil Goode,President,,Constitution,Madison,Tougaloo,0,
Gary Johnson,President,,Libertarian,Madison,Tougaloo,0,
Jill Stein,President,,Green,Madison,Tougaloo,0,
Barbara Dale Washer,President,,Reform,Madison,Tougaloo,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Tougaloo,477,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Tougaloo,13,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Tougaloo,4,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Tougaloo,6,
Bill Marcy,U.S. House,2,Republican,Madison,Tougaloo,1,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Tougaloo,499,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Tougaloo,4,
Lajena Williams,U.S. House,2,Reform,Madison,Tougaloo,1,
Barack Obama,President,,Democrat,Madison,Highland Colony Baptist,610,
Mitt Romney,President,,Republican,Madison,Highland Colony Baptist,2070,
Virgil Goode,President,,Constitution,Madison,Highland Colony Baptist,1,
Gary Johnson,President,,Libertarian,Madison,Highland Colony Baptist,16,
Jill Stein,President,,Green,Madison,Highland Colony Baptist,0,
Barbara Dale Washer,President,,Reform,Madison,Highland Colony Baptist,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Highland Colony Baptist,520,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Highland Colony Baptist,2100,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Highland Colony Baptist,19,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Highland Colony Baptist,9,
Gregg Harper,U.S. House,3,Republican,Madison,Highland Colony Baptist,2285,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Highland Colony Baptist,229,
Barack Obama,President,,Democrat,Madison,Parkway,828,
Mitt Romney,President,,Republican,Madison,Parkway,3050,
Virgil Goode,President,,Constitution,Madison,Parkway,3,
Gary Johnson,President,,Libertarian,Madison,Parkway,11,
Jill Stein,President,,Green,Madison,Parkway,3,
Barbara Dale Washer,President,,Reform,Madison,Parkway,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Parkway,710,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Parkway,3082,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Parkway,20,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Parkway,22,
Gregg Harper,U.S. House,3,Republican,Madison,Parkway,3337,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Parkway,304,
Barack Obama,President,,Democrat,Madison,Whisper Lake,282,
Mitt Romney,President,,Republican,Madison,Whisper Lake,1164,
Virgil Goode,President,,Constitution,Madison,Whisper Lake,0,
Gary Johnson,President,,Libertarian,Madison,Whisper Lake,13,
Jill Stein,President,,Green,Madison,Whisper Lake,0,
Barbara Dale Washer,President,,Reform,Madison,Whisper Lake,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Whisper Lake,235,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Whisper Lake,1182,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Whisper Lake,13,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Whisper Lake,11,
Gregg Harper,U.S. House,3,Republican,Madison,Whisper Lake,1265,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Whisper Lake,110,
Barack Obama,President,,Democrat,Madison,Greater Mt. Levi Full Gospel,773,
Mitt Romney,President,,Republican,Madison,Greater Mt. Levi Full Gospel,9,
Virgil Goode,President,,Constitution,Madison,Greater Mt. Levi Full Gospel,0,
Gary Johnson,President,,Libertarian,Madison,Greater Mt. Levi Full Gospel,0,
Jill Stein,President,,Green,Madison,Greater Mt. Levi Full Gospel,0,
Barbara Dale Washer,President,,Reform,Madison,Greater Mt. Levi Full Gospel,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Greater Mt. Levi Full Gospel,684,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Greater Mt. Levi Full Gospel,24,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Greater Mt. Levi Full Gospel,2,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Greater Mt. Levi Full Gospel,2,
Bill Marcy,U.S. House,2,Republican,Madison,Greater Mt. Levi Full Gospel,12,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Greater Mt. Levi Full Gospel,726,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Greater Mt. Levi Full Gospel,20,
Lajena Williams,U.S. House,2,Reform,Madison,Greater Mt. Levi Full Gospel,0,
Barack Obama,President,,Democrat,Madison,Canton Precinct 7,273,
Mitt Romney,President,,Republican,Madison,Canton Precinct 7,9,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 7,0,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 7,0,
Jill Stein,President,,Green,Madison,Canton Precinct 7,0,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 7,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 7,223,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 7,20,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 7,2,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 7,1,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 7,12,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 7,248,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 7,14,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 7,1,
Barack Obama,President,,Democrat,Madison,Bear Creek,784,
Mitt Romney,President,,Republican,Madison,Bear Creek,647,
Virgil Goode,President,,Constitution,Madison,Bear Creek,1,
Gary Johnson,President,,Libertarian,Madison,Bear Creek,4,
Jill Stein,President,,Green,Madison,Bear Creek,0,
Barbara Dale Washer,President,,Reform,Madison,Bear Creek,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Bear Creek,710,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Bear Creek,665,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Bear Creek,13,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Bear Creek,11,
Gregg Harper,U.S. House,3,Republican,Madison,Bear Creek,836,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Bear Creek,333,
Barack Obama,President,,Democrat,Madison,Gluckstadt,446,
Mitt Romney,President,,Republican,Madison,Gluckstadt,2020,
Virgil Goode,President,,Constitution,Madison,Gluckstadt,4,
Gary Johnson,President,,Libertarian,Madison,Gluckstadt,7,
Jill Stein,President,,Green,Madison,Gluckstadt,3,
Barbara Dale Washer,President,,Reform,Madison,Gluckstadt,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Gluckstadt,404,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Gluckstadt,2028,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Gluckstadt,20,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Gluckstadt,11,
Gregg Harper,U.S. House,3,Republican,Madison,Gluckstadt,2139,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Gluckstadt,205,
Barack Obama,President,,Democrat,Madison,Fearns Chapel Freewill Baptist,464,
Mitt Romney,President,,Republican,Madison,Fearns Chapel Freewill Baptist,747,
Virgil Goode,President,,Constitution,Madison,Fearns Chapel Freewill Baptist,0,
Gary Johnson,President,,Libertarian,Madison,Fearns Chapel Freewill Baptist,3,
Jill Stein,President,,Green,Madison,Fearns Chapel Freewill Baptist,1,
Barbara Dale Washer,President,,Reform,Madison,Fearns Chapel Freewill Baptist,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Fearns Chapel Freewill Baptist,400,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Fearns Chapel Freewill Baptist,752,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Fearns Chapel Freewill Baptist,11,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Fearns Chapel Freewill Baptist,8,
Gregg Harper,U.S. House,3,Republican,Madison,Fearns Chapel Freewill Baptist,833,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Fearns Chapel Freewill Baptist,186,
Barack Obama,President,,Democrat,Madison,Smith-School,24,
Mitt Romney,President,,Republican,Madison,Smith-School,264,
Virgil Goode,President,,Constitution,Madison,Smith-School,0,
Gary Johnson,President,,Libertarian,Madison,Smith-School,1,
Jill Stein,President,,Green,Madison,Smith-School,0,
Barbara Dale Washer,President,,Reform,Madison,Smith-School,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Smith-School,20,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Smith-School,264,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Smith-School,1,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Smith-School,2,
Gregg Harper,U.S. House,3,Republican,Madison,Smith-School,269,
"John ""Luke"" Pannell",U.S. House,3,Reform,Madison,Smith-School,14,
Barack Obama,President,,Democrat,Madison,Magnolia Heights,779,
Mitt Romney,President,,Republican,Madison,Magnolia Heights,200,
Virgil Goode,President,,Constitution,Madison,Magnolia Heights,1,
Gary Johnson,President,,Libertarian,Madison,Magnolia Heights,1,
Jill Stein,President,,Green,Madison,Magnolia Heights,1,
Barbara Dale Washer,President,,Reform,Madison,Magnolia Heights,2,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Magnolia Heights,659,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Magnolia Heights,221,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Magnolia Heights,11,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Magnolia Heights,9,
Bill Marcy,U.S. House,2,Republican,Madison,Magnolia Heights,198,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Magnolia Heights,746,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Magnolia Heights,13,
Lajena Williams,U.S. House,2,Reform,Madison,Magnolia Heights,3,
Barack Obama,President,,Democrat,Madison,Virlilia,66,
Mitt Romney,President,,Republican,Madison,Virlilia,178,
Virgil Goode,President,,Constitution,Madison,Virlilia,1,
Gary Johnson,President,,Libertarian,Madison,Virlilia,1,
Jill Stein,President,,Green,Madison,Virlilia,0,
Barbara Dale Washer,President,,Reform,Madison,Virlilia,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Virlilia,60,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Virlilia,174,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Virlilia,4,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Virlilia,1,
Bill Marcy,U.S. House,2,Republican,Madison,Virlilia,153,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Virlilia,83,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Virlilia,7,
Lajena Williams,U.S. House,2,Reform,Madison,Virlilia,0,
Barack Obama,President,,Democrat,Madison,Canton Precinct 5,1022,
Mitt Romney,President,,Republican,Madison,Canton Precinct 5,2,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 5,0,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 5,2,
Jill Stein,President,,Green,Madison,Canton Precinct 5,0,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 5,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 5,876,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 5,24,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 5,9,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 5,6,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 5,8,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 5,937,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 5,43,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Precinct 5,3,
Barack Obama,President,,Democrat,Madison,Canton Fire Station #4,286,
Mitt Romney,President,,Republican,Madison,Canton Fire Station #4,89,
Virgil Goode,President,,Constitution,Madison,Canton Fire Station #4,0,
Gary Johnson,President,,Libertarian,Madison,Canton Fire Station #4,0,
Jill Stein,President,,Green,Madison,Canton Fire Station #4,0,
Barbara Dale Washer,President,,Reform,Madison,Canton Fire Station #4,1,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Fire Station #4,254,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Fire Station #4,94,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Fire Station #4,5,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Fire Station #4,2,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Fire Station #4,78,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Fire Station #4,279,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Fire Station #4,7,
Lajena Williams,U.S. House,2,Reform,Madison,Canton Fire Station #4,0,
Barack Obama,President,,Democrat,Madison,Mad. Co. Baptist Family Life Ct,831,
Mitt Romney,President,,Republican,Madison,Mad. Co. Baptist Family Life Ct,4,
Virgil Goode,President,,Constitution,Madison,Mad. Co. Baptist Family Life Ct,0,
Gary Johnson,President,,Libertarian,Madison,Mad. Co. Baptist Family Life Ct,2,
Jill Stein,President,,Green,Madison,Mad. Co. Baptist Family Life Ct,0,
Barbara Dale Washer,President,,Reform,Madison,Mad. Co. Baptist Family Life Ct,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Mad. Co. Baptist Family Life Ct,702,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Mad. Co. Baptist Family Life Ct,21,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Mad. Co. Baptist Family Life Ct,15,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Mad. Co. Baptist Family Life Ct,2,
Bill Marcy,U.S. House,2,Republican,Madison,Mad. Co. Baptist Family Life Ct,9,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Mad. Co. Baptist Family Life Ct,774,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Mad. Co. Baptist Family Life Ct,31,
Lajena Williams,U.S. House,2,Reform,Madison,Mad. Co. Baptist Family Life Ct,2,
Barack Obama,President,,Democrat,Madison,Canton Precinct 3,121,
Mitt Romney,President,,Republican,Madison,Canton Precinct 3,144,
Virgil Goode,President,,Constitution,Madison,Canton Precinct 3,1,
Gary Johnson,President,,Libertarian,Madison,Canton Precinct 3,0,
Jill Stein,President,,Green,Madison,Canton Precinct 3,2,
Barbara Dale Washer,President,,Reform,Madison,Canton Precinct 3,0,
Albert N. Gore Jr.,U.S. Senate,,Democrat,Madison,Canton Precinct 3,115,
Roger F. Wicker,U.S. Senate,,Republican,Madison,Canton Precinct 3,141,
Thomas Cramer,U.S. Senate,,Constitution,Madison,Canton Precinct 3,3,
Shawn O'Hara,U.S. Senate,,Reform,Madison,Canton Precinct 3,2,
Bill Marcy,U.S. House,2,Republican,Madison,Canton Precinct 3,122,
Bennie G. Thompson,U.S. House,2,Democrat,Madison,Canton Precinct 3,123,
Cobby Mondale Williams,U.S. House,2,Independent,Madison,Canton Precinct 3,13,
