candidate,office,district,party,county,votes
Steven Palazzo,US House,4,REP,Pearl River,2297
E. Brian Rose,US House,4,REP,Pearl River,690
Richard Warren Boyanton,US Senate,,REP,Perry,195
Trent Kelly,US House,1,REP,Perry,703
Steven Palazzo,US House,4,REP,Perry,700
E. Brian Rose,US House,4,REP,Perry,203
Richard Warren Boyanton,US Senate,,REP,Pike,320
Roger F. Wicker,US Senate,,REP,Pike,1878
Sally Doty,US House,3,REP,Pike,451
Morgan Dunn,US House,3,REP,Pike,77
Michael Guest,US House,3,REP,Pike,510
Whit Hughes,US House,3,REP,Pike,599
Perry Parker,US House,3,REP,Pike,572
"K. ""Bitzi"" Tate",US House,3,REP,Pike,17
Richard Warren Boyanton,US Senate,,REP,Pontotoc,425
Roger F. Wicker,US Senate,,REP,Pontotoc,1467
Trent Kelly,US House,1,REP,Pontotoc,1796
Richard Warren Boyanton,US Senate,,REP,Prentiss,116
Roger F. Wicker,US Senate,,REP,Prentiss,830
Trent Kelly,US House,1,REP,Prentiss,896
Richard Warren Boyanton,US Senate,,REP,Quitman,9
Roger F. Wicker,US Senate,,REP,Quitman,119
Richard Warren Boyanton,US Senate,,REP,Rankin,2687
Roger F. Wicker,US Senate,,REP,Rankin,14341
Sally Doty,US House,3,REP,Rankin,606
Morgan Dunn,US House,3,REP,Rankin,306
Michael Guest,US House,3,REP,Rankin,12868
Whit Hughes,US House,3,REP,Rankin,2174
Perry Parker,US House,3,REP,Rankin,1245
"K. ""Bitzi"" Tate",US House,3,REP,Rankin,66
Richard Warren Boyanton,US Senate,,REP,Scott,168
Roger F. Wicker,US Senate,,REP,Scott,1520
Sally Doty,US House,3,REP,Scott,56
Morgan Dunn,US House,3,REP,Scott,57
Michael Guest,US House,3,REP,Scott,959
Whit Hughes,US House,3,REP,Scott,340
Perry Parker,US House,3,REP,Scott,289
"K. ""Bitzi"" Tate",US House,3,REP,Scott,8
Richard Warren Boyanton,US Senate,,REP,Sharkey,7
Roger F. Wicker,US Senate,,REP,Sharkey,121
Richard Warren Boyanton,US Senate,,REP,Simpson,405
Roger F. Wicker,US Senate,,REP,Simpson,2213
Sally Doty,US House,3,REP,Simpson,186
Morgan Dunn,US House,3,REP,Simpson,416
Michael Guest,US House,3,REP,Simpson,1222
Whit Hughes,US House,3,REP,Simpson,367
Perry Parker,US House,3,REP,Simpson,457
"K. ""Bitzi"" Tate",US House,3,REP,Simpson,9
Richard Warren Boyanton,US Senate,,REP,Smith,385
Roger F. Wicker,US Senate,,REP,Smith,1306
Sally Doty,US House,3,REP,Smith,92
Morgan Dunn,US House,3,REP,Smith,126
Michael Guest,US House,3,REP,Smith,687
Whit Hughes,US House,3,REP,Smith,204
Perry Parker,US House,3,REP,Smith,586
"K. ""Bitzi"" Tate",US House,3,REP,Smith,12
Richard Warren Boyanton,US Senate,,REP,Stone,251
Roger F. Wicker,US Senate,,REP,Stone,1032
Steven Palazzo,US House,4,REP,Stone,880
E. Brian Rose,US House,4,REP,Stone,404
Richard Warren Boyanton,US Senate,,REP,Sunflower,26
Roger F. Wicker,US Senate,,REP,Sunflower,454
Richard Warren Boyanton,US Senate,,REP,Tallahatchie,38
Roger F. Wicker,US Senate,,REP,Tallahatchie,347
Richard Warren Boyanton,US Senate,,REP,Tate,307
Roger F. Wicker,US Senate,,REP,Tate,1053
Trent Kelly,US House,1,REP,Tate,1246
Richard Warren Boyanton,US Senate,,REP,Tippah,149
Roger F. Wicker,US Senate,,REP,Tippah,1017
Trent Kelly,US House,1,REP,Tippah,1101
Richard Warren Boyanton,US Senate,,REP,Tishomingo,166
Roger F. Wicker,US Senate,,REP,Tishomingo,773
Trent Kelly,US House,1,REP,Tishomingo,901
Richard Warren Boyanton,US Senate,,REP,Tunica,9
Roger F. Wicker,US Senate,,REP,Tunica,70
Richard Warren Boyanton,US Senate,,REP,Union,222
Roger F. Wicker,US Senate,,REP,Union,1318
Trent Kelly,US House,1,REP,Union,1470
Richard Warren Boyanton,US Senate,,REP,Walthall,131
Roger F. Wicker,US Senate,,REP,Walthall,766
Sally Doty,US House,3,REP,Walthall,185
Morgan Dunn,US House,3,REP,Walthall,47
Michael Guest,US House,3,REP,Walthall,281
Whit Hughes,US House,3,REP,Walthall,104
Perry Parker,US House,3,REP,Walthall,286
"K. ""Bitzi"" Tate",US House,3,REP,Walthall,7
Richard Warren Boyanton,US Senate,,REP,Warren,205
Roger F. Wicker,US Senate,,REP,Warren,1967
Richard Warren Boyanton,US Senate,,REP,Washington,34
Roger F. Wicker,US Senate,,REP,Washington,537
Richard Warren Boyanton,US Senate,,REP,Wayne,224
Roger F. Wicker,US Senate,,REP,Wayne,1065
Steven Palazzo,US House,4,REP,Wayne,1102
E. Brian Rose,US House,4,REP,Wayne,206
Richard Warren Boyanton,US Senate,,REP,Webster,141
Roger F. Wicker,US Senate,,REP,Webster,436
Trent Kelly,US House,1,REP,Webster,822
Richard Warren Boyanton,US Senate,,REP,Wilkinson,54
Roger F. Wicker,US Senate,,REP,Wilkinson,254
Sally Doty,US House,3,REP,Wilkinson,67
Morgan Dunn,US House,3,REP,Wilkinson,38
Michael Guest,US House,3,REP,Wilkinson,56
Whit Hughes,US House,3,REP,Wilkinson,66
Perry Parker,US House,3,REP,Wilkinson,80
"K. ""Bitzi"" Tate",US House,3,REP,Wilkinson,4
Richard Warren Boyanton,US Senate,,REP,Winston,106
Roger F. Wicker,US Senate,,REP,Winston,918
Trent Kelly,US House,1,REP,Winston,1003
Richard Warren Boyanton,US Senate,,REP,Yalobusha,76
Roger F. Wicker,US Senate,,REP,Yalobusha,570
Richard Warren Boyanton,US Senate,,REP,Yazoo,105
Roger F. Wicker,US Senate,,REP,Yazoo,827
Richard Warren Boyanton,US Senate,,REP,TOTAL,27052
Roger F. Wicker,US Senate,,REP,TOTAL,130118
Trent Kelly,US House,1,REP,TOTAL,30151
Sally Doty,US House,3,REP,TOTAL,6608
Morgan Dunn,US House,3,REP,TOTAL,3820
Michael Guest,US House,3,REP,TOTAL,29157
Whit Hughes,US House,3,REP,TOTAL,14464
Perry Parker,US House,3,REP,TOTAL,10562
"K. ""Bitzi"" Tate",US House,3,REP,TOTAL,416
Steven Palazzo,US House,4,REP,TOTAL,30270
E. Brian Rose,US House,4,REP,TOTAL,12664
