page,candidate,office,district,party,county,precinct,votes,
4,Chris McDaniel,US Senate Special,,,Lincoln,Old Brook,36,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Old Brook,97,
4,Micheal Guest,US House,3,Republican ,Lincoln,Old Brook,583,
4,Matthew Holland,US House,3,Reform,Lincoln,Old Brook,5,
4,David Baria,US Senate ,,Democrat ,Lincoln,Old Red Star,55,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Old Red Star,341,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Old Red Star,1,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Old Red Star,0,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Old Red Star,2,
4,Mike Espy,US Senate Special,,,Lincoln,Old Red Star,61,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Old Red Star,323,
4,Chris McDaniel,US Senate Special,,,Lincoln,Old Red Star,32,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Old Red Star,65,
4,Micheal Guest,US House,3,Republican ,Lincoln,Old Red Star,343,
4,Matthew Holland,US House,3,Reform,Lincoln,Old Red Star,7,
4,David Baria,US Senate ,,Democrat ,Lincoln,Pearlhaven,222,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Pearlhaven,56,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Pearlhaven,3,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Pearlhaven,3,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Pearlhaven,5,
4,Mike Espy,US Senate Special,,,Lincoln,Pearlhaven,248,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Pearlhaven,44,
4,Chris McDaniel,US Senate Special,,,Lincoln,Pearlhaven,6,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Pearlhaven,241,
4,Micheal Guest,US House,3,Republican ,Lincoln,Pearlhaven,53,
4,Matthew Holland,US House,3,Reform,Lincoln,Pearlhaven,6,
4,David Baria,US Senate ,,Democrat ,Lincoln,Ruth,12,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Ruth,352,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Ruth,8,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Ruth,1,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Ruth,2,
4,Mike Espy,US Senate Special,,,Lincoln,Ruth,16,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Ruth,298,
4,Chris McDaniel,US Senate Special,,,Lincoln,Ruth,75,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Ruth,19,
4,Micheal Guest,US House,3,Republican ,Lincoln,Ruth,363,
4,Matthew Holland,US House,3,Reform,Lincoln,Ruth,5,
4,David Baria,US Senate ,,Democrat ,Lincoln,Vaughn,65,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,Vaughn,226,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,Vaughn,1,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,Vaughn,1,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,Vaughn,2,
4,Mike Espy,US Senate Special,,,Lincoln,Vaughn,75,
4,Cindy Hyde-Smith,US Senate Special,,,Lincoln,Vaughn,204,
4,Chris McDaniel,US Senate Special,,,Lincoln,Vaughn,28,
4,Michael Ted Evans,US House,3,Democrat ,Lincoln,Vaughn,73,
4,Micheal Guest,US House,3,Republican ,Lincoln,Vaughn,221,
4,Matthew Holland,US House,3,Reform,Lincoln,Vaughn,2,
4,David Baria,US Senate ,,Democrat ,Lincoln,West Lincoln,32,
4,Roger F. Wicker,US Senate ,,Republican ,Lincoln,West Lincoln,488,
4,Danny Bedwell,US Senate ,,Libertarian,Lincoln,West Lincoln,12,
4,Shawn O'Hara,US Senate ,,Reform,Lincoln,West Lincoln,0,
4,Tobey Bernard Bartee,US Senate Special,,,Lincoln,West Lincoln,1,
