candidate,office,district,party,county,votes
John A. Eaves ,Governor,,Dem,Greene,1618
Haley Barbour ,Governor,,Rep,Grenada,3750
John A. Eaves ,Governor,,Dem,Grenada,2873
Haley Barbour ,Governor,,Rep,Hancock,7261
John A. Eaves ,Governor,,Dem,Hancock,2828
Haley Barbour ,Governor,,Rep,Harrison,23978
John A. Eaves ,Governor,,Dem,Harrison,9604
Haley Barbour ,Governor,,Rep,Hinds,26746
John A. Eaves ,Governor,,Dem,Hinds,34074
Haley Barbour ,Governor,,Rep,Holmes,1574
John A. Eaves ,Governor,,Dem,Holmes,3868
Haley Barbour ,Governor,,Rep,Humphreys,1436
John A. Eaves ,Governor,,Dem,Humphreys,2436
Haley Barbour ,Governor,,Rep,Issaquena,364
John A. Eaves ,Governor,,Dem,Issaquena,432
Haley Barbour ,Governor,,Rep,Itawamba,3826
John A. Eaves ,Governor,,Dem,Itawamba,3439
Haley Barbour ,Governor,,Rep,Jackson,22188
John A. Eaves ,Governor,,Dem,Jackson,9715
Haley Barbour ,Governor,,Rep,Jasper,2164
John A. Eaves ,Governor,,Dem,Jasper,3225
Haley Barbour ,Governor,,Rep,Jefferson,597
John A. Eaves ,Governor,,Dem,Jefferson,2372
Haley Barbour ,Governor,,Rep,Jefferson Davis,2425
John A. Eaves ,Governor,,Dem,Jefferson Davis,3501
Haley Barbour ,Governor,,Rep,Jones,11928
John A. Eaves ,Governor,,Dem,Jones,7807
Haley Barbour ,Governor,,Rep,Kemper,1578
John A. Eaves ,Governor,,Dem,Kemper,2195
Haley Barbour ,Governor,,Rep,Lafayette,5621
John A. Eaves ,Governor,,Dem,Lafayette,2694
Haley Barbour ,Governor,,Rep,Lamar,9915
John A. Eaves ,Governor,,Dem,Lamar,3399
Haley Barbour ,Governor,,Rep,Lauderdale,11858
John A. Eaves ,Governor,,Dem,Lauderdale,6331
Haley Barbour ,Governor,,Rep,Lawrence,2276
John A. Eaves ,Governor,,Dem,Lawrence,1850
Haley Barbour ,Governor,,Rep,Leake,3216
John A. Eaves ,Governor,,Dem,Leake,2608
Haley Barbour ,Governor,,Rep,Lee,12191
John A. Eaves ,Governor,,Dem,Lee,8389
Haley Barbour ,Governor,,Rep,Leflore,3458
John A. Eaves ,Governor,,Dem,Leflore,4165
Haley Barbour ,Governor,,Rep,Lincoln,5673
John A. Eaves ,Governor,,Dem,Lincoln,3858
Haley Barbour ,Governor,,Rep,Lowndes,9900
John A. Eaves ,Governor,,Dem,Lowndes,5901
Haley Barbour ,Governor,,Rep,Madison,18207
John A. Eaves ,Governor,,Dem,Madison,8254
Haley Barbour ,Governor,,Rep,Marion,5446
John A. Eaves ,Governor,,Dem,Marion,3720
Haley Barbour ,Governor,,Rep,Marshall,3570
John A. Eaves ,Governor,,Dem,Marshall,3587
Haley Barbour ,Governor,,Rep,Monroe,5884
John A. Eaves ,Governor,,Dem,Monroe,5121
Haley Barbour ,Governor,,Rep,Montgomery,2289
John A. Eaves ,Governor,,Dem,Montgomery,2111
Haley Barbour ,Governor,,Rep,Neshoba,4825
John A. Eaves ,Governor,,Dem,Neshoba,2720
Haley Barbour ,Governor,,Rep,Newton,3924
John A. Eaves ,Governor,,Dem,Newton,2247
Haley Barbour ,Governor,,Rep,Noxubee,1180
John A. Eaves ,Governor,,Dem,Noxubee,2269
Haley Barbour ,Governor,,Rep,Oktibbeha,6223
John A. Eaves ,Governor,,Dem,Oktibbeha,4373
Haley Barbour ,Governor,,Rep,Panola,4588
John A. Eaves ,Governor,,Dem,Panola,3509
Haley Barbour ,Governor,,Rep,Pearl River,9011
John A. Eaves ,Governor,,Dem,Pearl River,4070
Haley Barbour ,Governor,,Rep,Perry,1881
John A. Eaves ,Governor,,Dem,Perry,1665
Haley Barbour ,Governor,,Rep,Pike,5594
John A. Eaves ,Governor,,Dem,Pike,5380
Haley Barbour ,Governor,,Rep,Pontotoc,4676
John A. Eaves ,Governor,,Dem,Pontotoc,3841
Haley Barbour ,Governor,,Rep,Prentiss,3379
John A. Eaves ,Governor,,Dem,Prentiss,3662
Haley Barbour ,Governor,,Rep,Quitman,1021
John A. Eaves ,Governor,,Dem,Quitman,1331
Haley Barbour ,Governor,,Rep,Rankin,27928
John A. Eaves ,Governor,,Dem,Rankin,7609
Haley Barbour ,Governor,,Rep,Scott,4019
John A. Eaves ,Governor,,Dem,Scott,3052
Haley Barbour ,Governor,,Rep,Sharkey,828
John A. Eaves ,Governor,,Dem,Sharkey,1254
Haley Barbour ,Governor,,Rep,Simpson,5158
John A. Eaves ,Governor,,Dem,Simpson,3469
Haley Barbour ,Governor,,Rep,Smith,3640
John A. Eaves ,Governor,,Dem,Smith,2251
Haley Barbour ,Governor,,Rep,Stone,2765
John A. Eaves ,Governor,,Dem,Stone,1948
Haley Barbour ,Governor,,Rep,Sunflower,2448
John A. Eaves ,Governor,,Dem,Sunflower,3890
Haley Barbour ,Governor,,Rep,Tallahatchie,1976
John A. Eaves ,Governor,,Dem,Tallahatchie,2766
Haley Barbour ,Governor,,Rep,Tate,4508
John A. Eaves ,Governor,,Dem,Tate,2167
Haley Barbour ,Governor,,Rep,Tippah,4034
John A. Eaves ,Governor,,Dem,Tippah,2916
Haley Barbour ,Governor,,Rep,Tishomingo,3484
John A. Eaves ,Governor,,Dem,Tishomingo,3034
Haley Barbour ,Governor,,Rep,Tunica,1237
John A. Eaves ,Governor,,Dem,Tunica,1311
Haley Barbour ,Governor,,Rep,Union,3990
John A. Eaves ,Governor,,Dem,Union,3136
Haley Barbour ,Governor,,Rep,Walthall,2378
John A. Eaves ,Governor,,Dem,Walthall,1941
Haley Barbour ,Governor,,Rep,Warren,7894
John A. Eaves ,Governor,,Dem,Warren,5305
Haley Barbour ,Governor,,Rep,Washington,4020
John A. Eaves ,Governor,,Dem,Washington,5289
Haley Barbour ,Governor,,Rep,Wayne,3440
John A. Eaves ,Governor,,Dem,Wayne,3754
Haley Barbour ,Governor,,Rep,Webster,2601
John A. Eaves ,Governor,,Dem,Webster,1417
Haley Barbour ,Governor,,Rep,Wilkinson,1169
John A. Eaves ,Governor,,Dem,Wilkinson,1586
Haley Barbour ,Governor,,Rep,Winston,3678
John A. Eaves ,Governor,,Dem,Winston,3779
Haley Barbour ,Governor,,Rep,Yalobusha,2024
John A. Eaves ,Governor,,Dem,Yalobusha,1621
Haley Barbour ,Governor,,Rep,Yazoo,4459
John A. Eaves ,Governor,,Dem,Yazoo,3359
Haley Barbour ,Governor,,Rep,,430807
John A. Eaves ,Governor,,Dem,,313232
Phil Bryant ,Lieutenant Governor,,Rep,Adams,4156
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Adams,3937
Phil Bryant ,Lieutenant Governor,,Rep,Alcorn,4913
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Alcorn,3981
Phil Bryant ,Lieutenant Governor,,Rep,Amite,2725
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Amite,2135
Phil Bryant ,Lieutenant Governor,,Rep,Attala,3316
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Attala,2110
Phil Bryant ,Lieutenant Governor,,Rep,Benton,974
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Benton,1243
Phil Bryant ,Lieutenant Governor,,Rep,Bolivar,3600
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Bolivar,4599
Phil Bryant ,Lieutenant Governor,,Rep,Calhoun,2830
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Calhoun,2336
Phil Bryant ,Lieutenant Governor,,Rep,Carroll,2650
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Carroll,1350
Phil Bryant ,Lieutenant Governor,,Rep,Chickasaw,2350
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Chickasaw,3026
Phil Bryant ,Lieutenant Governor,,Rep,Choctaw,1864
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Choctaw,1091
Phil Bryant ,Lieutenant Governor,,Rep,Claiborne,951
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Claiborne,2341
Phil Bryant ,Lieutenant Governor,,Rep,Clarke,3614
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Clarke,1966
Phil Bryant ,Lieutenant Governor,,Rep,Clay,3433
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Clay,4012
Phil Bryant ,Lieutenant Governor,,Rep,Coahoma,2134
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Coahoma,2567
Phil Bryant ,Lieutenant Governor,,Rep,Copiah,4109
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Copiah,3620
Phil Bryant ,Lieutenant Governor,,Rep,Covington,3924
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Covington,3077
Phil Bryant ,Lieutenant Governor,,Rep,Desoto,14011
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Desoto,4488
Phil Bryant ,Lieutenant Governor,,Rep,Forrest,10246
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Forrest,5832
Phil Bryant ,Lieutenant Governor,,Rep,Franklin,1548
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Franklin,1057
Phil Bryant ,Lieutenant Governor,,Rep,George,3245
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,George,1945
Phil Bryant ,Lieutenant Governor,,Rep,Greene,2049
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Greene,1411
Phil Bryant ,Lieutenant Governor,,Rep,Grenada,3630
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Grenada,2885
Phil Bryant ,Lieutenant Governor,,Rep,Hancock,6305
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Hancock,3610
Phil Bryant ,Lieutenant Governor,,Rep,Harrison,21855
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Harrison,11463
Phil Bryant ,Lieutenant Governor,,Rep,Hinds,27665
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Hinds,32904
Phil Bryant ,Lieutenant Governor,,Rep,Holmes,1684
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Holmes,3620
Phil Bryant ,Lieutenant Governor,,Rep,Humphreys,1470
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Humphreys,2296
Phil Bryant ,Lieutenant Governor,,Rep,Issaquena,347
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Issaquena,408
Phil Bryant ,Lieutenant Governor,,Rep,Itawamba,3307
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Itawamba,3965
Phil Bryant ,Lieutenant Governor,,Rep,Jackson,21790
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Jackson,9864
Phil Bryant ,Lieutenant Governor,,Rep,Jasper,2417
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Jasper,2971
Phil Bryant ,Lieutenant Governor,,Rep,Jefferson,680
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Jefferson,2252
Phil Bryant ,Lieutenant Governor,,Rep,Jefferson Davis,2610
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Jefferson Davis,3250
Phil Bryant ,Lieutenant Governor,,Rep,Jones,12782
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Jones,6909
Phil Bryant ,Lieutenant Governor,,Rep,Kemper,1791
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Kemper,1890
Phil Bryant ,Lieutenant Governor,,Rep,Lafayette,5211
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lafayette,3171
Phil Bryant ,Lieutenant Governor,,Rep,Lamar,10297
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lamar,2993
Phil Bryant ,Lieutenant Governor,,Rep,Lauderdale,12803
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lauderdale,5247
Phil Bryant ,Lieutenant Governor,,Rep,Lawrence,2409
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lawrence,1680
Phil Bryant ,Lieutenant Governor,,Rep,Leake,3504
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Leake,2293
Phil Bryant ,Lieutenant Governor,,Rep,Lee,10830
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lee,9880
Phil Bryant ,Lieutenant Governor,,Rep,Leflore,3429
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Leflore,4029
Phil Bryant ,Lieutenant Governor,,Rep,Lincoln,6000
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lincoln,3501
Phil Bryant ,Lieutenant Governor,,Rep,Lowndes,9401
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Lowndes,6265
Phil Bryant ,Lieutenant Governor,,Rep,Madison,18201
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Madison,8197
Phil Bryant ,Lieutenant Governor,,Rep,Marion,5863
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Marion,3233
Phil Bryant ,Lieutenant Governor,,Rep,Marshall,3192
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Marshall,3810
Phil Bryant ,Lieutenant Governor,,Rep,Monroe,5759
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Monroe,5191
Phil Bryant ,Lieutenant Governor,,Rep,Montgomery,2392
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Montgomery,1939
Phil Bryant ,Lieutenant Governor,,Rep,Neshoba,5312
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Neshoba,2170
Phil Bryant ,Lieutenant Governor,,Rep,Newton,4176
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Newton,1953
Phil Bryant ,Lieutenant Governor,,Rep,Noxubee,1246
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Noxubee,2133
Phil Bryant ,Lieutenant Governor,,Rep,Oktibbeha,5973
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Oktibbeha,4584
Phil Bryant ,Lieutenant Governor,,Rep,Panola,4218
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Panola,3670
Phil Bryant ,Lieutenant Governor,,Rep,Pearl River,8995
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Pearl River,3862
Phil Bryant ,Lieutenant Governor,,Rep,Perry,2147
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Perry,1355
Phil Bryant ,Lieutenant Governor,,Rep,Pike,5809
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Pike,5093
Phil Bryant ,Lieutenant Governor,,Rep,Pontotoc,4644
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Pontotoc,3826
Phil Bryant ,Lieutenant Governor,,Rep,Prentiss,3221
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Prentiss,3761
Phil Bryant ,Lieutenant Governor,,Rep,Quitman,1038
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Quitman,1214
Phil Bryant ,Lieutenant Governor,,Rep,Rankin,28447
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Rankin,7080
Phil Bryant ,Lieutenant Governor,,Rep,Scott,4173
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Scott,2856
Phil Bryant ,Lieutenant Governor,,Rep,Sharkey,811
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Sharkey,1207
Phil Bryant ,Lieutenant Governor,,Rep,Simpson,5400
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Simpson,3186
Phil Bryant ,Lieutenant Governor,,Rep,Smith,3911
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Smith,1976
Phil Bryant ,Lieutenant Governor,,Rep,Stone,2914
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Stone,1734
Phil Bryant ,Lieutenant Governor,,Rep,Sunflower,2607
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Sunflower,3641
Phil Bryant ,Lieutenant Governor,,Rep,Tallahatchie,1831
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Tallahatchie,2779
Phil Bryant ,Lieutenant Governor,,Rep,Tate,4131
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Tate,2374
Phil Bryant ,Lieutenant Governor,,Rep,Tippah,3763
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Tippah,3050
Phil Bryant ,Lieutenant Governor,,Rep,Tishomingo,3276
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Tishomingo,3195
Phil Bryant ,Lieutenant Governor,,Rep,Tunica,1026
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Tunica,1387
Phil Bryant ,Lieutenant Governor,,Rep,Union,3906
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Union,3187
Phil Bryant ,Lieutenant Governor,,Rep,Walthall,2538
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Walthall,1728
Phil Bryant ,Lieutenant Governor,,Rep,Warren,7877
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Warren,5207
Phil Bryant ,Lieutenant Governor,,Rep,Washington,4015
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Washington,5150
Phil Bryant ,Lieutenant Governor,,Rep,Wayne,3695
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Wayne,3412
Phil Bryant ,Lieutenant Governor,,Rep,Webster,2648
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Webster,1337
Phil Bryant ,Lieutenant Governor,,Rep,Wilkinson,1068
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Wilkinson,1560
Phil Bryant ,Lieutenant Governor,,Rep,Winston,4282
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Winston,3102
Phil Bryant ,Lieutenant Governor,,Rep,Yalobusha,1926
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Yalobusha,1696
Phil Bryant ,Lieutenant Governor,,Rep,Yazoo,4457
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,Yazoo,3104
Phil Bryant ,Lieutenant Governor,,Rep,,431747
"Jamie Franks, Jr. ",Lieutenant Governor,,Dem,,305409
Delbert Hosemann ,Secretary of State,,Rep,Adams,4130
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Adams,3872
Delbert Hosemann ,Secretary of State,,Rep,Alcorn,4659
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Alcorn,3947
Delbert Hosemann ,Secretary of State,,Rep,Amite,2277
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Amite,2524
Delbert Hosemann ,Secretary of State,,Rep,Attala,3264
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Attala,2111
Delbert Hosemann ,Secretary of State,,Rep,Benton,813
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Benton,1348
Delbert Hosemann ,Secretary of State,,Rep,Bolivar,2983
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Bolivar,5019
Delbert Hosemann ,Secretary of State,,Rep,Calhoun,2812
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Calhoun,2306
Delbert Hosemann ,Secretary of State,,Rep,Carroll,2352
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Carroll,1592
Delbert Hosemann ,Secretary of State,,Rep,Chickasaw,2586
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Chickasaw,2754
Delbert Hosemann ,Secretary of State,,Rep,Choctaw,1799
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Choctaw,1126
Delbert Hosemann ,Secretary of State,,Rep,Claiborne,859
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Claiborne,2411
Delbert Hosemann ,Secretary of State,,Rep,Clarke,3160
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Clarke,2354
Delbert Hosemann ,Secretary of State,,Rep,Clay,2988
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Clay,4417
Delbert Hosemann ,Secretary of State,,Rep,Coahoma,1772
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Coahoma,2826
Delbert Hosemann ,Secretary of State,,Rep,Copiah,3926
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Copiah,3790
Delbert Hosemann ,Secretary of State,,Rep,Covington,3635
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Covington,3330
Delbert Hosemann ,Secretary of State,,Rep,Desoto,13841
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Desoto,4385
Delbert Hosemann ,Secretary of State,,Rep,Forrest,10894
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Forrest,5107
Delbert Hosemann ,Secretary of State,,Rep,Franklin,1536
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Franklin,1064
Delbert Hosemann ,Secretary of State,,Rep,George,2713
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,George,2409
Delbert Hosemann ,Secretary of State,,Rep,Greene,1843
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Greene,1563
Delbert Hosemann ,Secretary of State,,Rep,Grenada,3224
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Grenada,3175
Delbert Hosemann ,Secretary of State,,Rep,Hancock,6041
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Hancock,3722
Delbert Hosemann ,Secretary of State,,Rep,Harrison,23945
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Harrison,9185
Delbert Hosemann ,Secretary of State,,Rep,Hinds,27212
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Hinds,33113
Delbert Hosemann ,Secretary of State,,Rep,Holmes,1437
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Holmes,3824
Delbert Hosemann ,Secretary of State,,Rep,Humphreys,1335
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Humphreys,2388
Delbert Hosemann ,Secretary of State,,Rep,Issaquena,305
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Issaquena,435
Delbert Hosemann ,Secretary of State,,Rep,Itawamba,4374
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Itawamba,2811
Delbert Hosemann ,Secretary of State,,Rep,Jackson,22279
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Jackson,9110
Delbert Hosemann ,Secretary of State,,Rep,Jasper,2164
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Jasper,3188
Delbert Hosemann ,Secretary of State,,Rep,Jefferson,551
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Jefferson,2368
Delbert Hosemann ,Secretary of State,,Rep,Jefferson Davis,2502
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Jefferson Davis,3314
Delbert Hosemann ,Secretary of State,,Rep,Jones,13175
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Jones,6436
Delbert Hosemann ,Secretary of State,,Rep,Kemper,1395
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Kemper,2303
Delbert Hosemann ,Secretary of State,,Rep,Lafayette,4776
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lafayette,3490
Delbert Hosemann ,Secretary of State,,Rep,Lamar,10668
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lamar,2551
Delbert Hosemann ,Secretary of State,,Rep,Lauderdale,11976
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lauderdale,5891
Delbert Hosemann ,Secretary of State,,Rep,Lawrence,2378
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lawrence,1700
Delbert Hosemann ,Secretary of State,,Rep,Leake,3421
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Leake,2328
Delbert Hosemann ,Secretary of State,,Rep,Lee,13371
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lee,6840
Delbert Hosemann ,Secretary of State,,Rep,Leflore,3229
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Leflore,4123
Delbert Hosemann ,Secretary of State,,Rep,Lincoln,6141
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lincoln,3306
Delbert Hosemann ,Secretary of State,,Rep,Lowndes,9475
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Lowndes,6149
Delbert Hosemann ,Secretary of State,,Rep,Madison,18224
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Madison,8082
Delbert Hosemann ,Secretary of State,,Rep,Marion,5515
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Marion,3509
Delbert Hosemann ,Secretary of State,,Rep,Marshall,2625
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Marshall,4175
Delbert Hosemann ,Secretary of State,,Rep,Monroe,6313
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Monroe,4551
Delbert Hosemann ,Secretary of State,,Rep,Montgomery,2140
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Montgomery,2137
Delbert Hosemann ,Secretary of State,,Rep,Neshoba,4584
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Neshoba,2826
Delbert Hosemann ,Secretary of State,,Rep,Newton,3825
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Newton,2259
Delbert Hosemann ,Secretary of State,,Rep,Noxubee,1097
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Noxubee,2254
Delbert Hosemann ,Secretary of State,,Rep,Oktibbeha,5821
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Oktibbeha,4668
Delbert Hosemann ,Secretary of State,,Rep,Panola,3437
"Robert H. ""Rob"" Smith ",Secretary of State,,Dem,Panola,4246
Delbert Hosemann ,Secretary of State,,Rep,Pearl River,8324
