county,office,district,candidate,party,precinct,votes
Holmes,Governor,,David R. Singletary,Independent,1 Ancona,2
Holmes,State House,47,Bryant Clark,Democrat,1 Ancona,X
Holmes,State House,48,Jason White,Republican,1 Ancona,X
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,1 Ancona,50
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,1 Ancona,288
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,1 Ancona,38
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,1 Ancona,298
Holmes,State Auditor,,Shad White,Republican,1 Ancona,174
Holmes,State House,34,Kevin Horan,Democrat,1 Ancona,322
Holmes,Secretary of State,,Johny DuPree,Republican,1 Ancona,307
Holmes,Secretary of State,,Michael Watson,Democrat,1 Ancona,31
Holmes,State Senate,21,Barbara Blackmon,Democrat,1 Ancona,X
Holmes,State Senate,24,David Jordan,Democrat,1 Ancona,320
Holmes,State Treasurer,,Addie Lee Green,Democrat,1 Ancona,305
Holmes,State Treasurer,,David McRae,Republican,1 Ancona,39
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,1 Ancona,323
Holmes,Supervisor,2,James H Young,Democrat,1 Ancona,X
Holmes,Supervisor,3,Debra Mabry,Democrat,1 Ancona,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,1 Ancona,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,1 Ancona,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,1 Ancona,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,1 Ancona,X
Holmes,Supervisor,5,David Cross,Independent,1 Ancona,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,1 Durant St Anderson,X
Holmes,Constable,2,Willie Anderson,Democrat,1 Durant St Anderson,2
Holmes,Constable,2,Robert F Kirklin Sr,Independent,1 Durant St Anderson,4
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,1 Durant St Anderson,6
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,1 Durant St Anderson,7
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,1 Durant St Anderson,7
Holmes,Sheriff,,Willie E march,Democrat,1 Durant St Anderson,1
Holmes,Sheriff,,Mickey P Chisolm,Independent,1 Durant St Anderson,3
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,1 Durant St Anderson,3
Holmes,Tax Collector,,Linda Rollins,Democrat,1 Durant St Anderson,7
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,1 Durant St Anderson,7
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,1 Durant St Anderson,X
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,1 Durant St Anderson,7
Holmes,Bond Referendum,,For,,1 Durant St Anderson,4
Holmes,Bond Referendum,,Against,,1 Durant St Anderson,2
Holmes,Bond Referendum,,Over Vote,,1 Durant St Anderson,0
Holmes,Bond Referendum,,Under Vote,,1 Durant St Anderson,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,1 Durant St Anderson,2
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,1 Durant St Anderson,4
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,1 Durant St Anderson,5
Holmes,Attorney General,,Lynn Fitch,Republican,1 Durant St Anderson,2
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,1 Durant St Anderson,5
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,1 Durant St Anderson,2
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,1 Durant St Anderson,4
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,1 Durant St Anderson,2
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,1 Durant St Anderson,7
Holmes,Governor,,Jim Hood,Democrat,1 Durant St Anderson,5
Holmes,Governor,,Tate Reeves,Repubilcan,1 Durant St Anderson,2
Holmes,Governor,,Bob Hickingbottom,Constitution,1 Durant St Anderson,0
Holmes,Governor,,David R. Singletary,Independent,1 Durant St Anderson,0
Holmes,State House,47,Bryant Clark,Democrat,1 Durant St Anderson,164
Holmes,State House,48,Jason White,Republican,1 Durant St Anderson,3
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,1 Durant St Anderson,3
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,1 Durant St Anderson,4
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,1 Durant St Anderson,2
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,1 Durant St Anderson,5
Holmes,State Auditor,,Shad White,Republican,1 Durant St Anderson,4
Holmes,State House,34,Kevin Horan,Democrat,1 Durant St Anderson,X
Holmes,Secretary of State,,Johny DuPree,Republican,1 Durant St Anderson,4
Holmes,Secretary of State,,Michael Watson,Democrat,1 Durant St Anderson,3
Holmes,State Senate,21,Barbara Blackmon,Democrat,1 Durant St Anderson,X
Holmes,State Senate,24,David Jordan,Democrat,1 Durant St Anderson,7
Holmes,State Treasurer,,Addie Lee Green,Democrat,1 Durant St Anderson,3
Holmes,State Treasurer,,David McRae,Republican,1 Durant St Anderson,4
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,1 Durant St Anderson,
Holmes,Supervisor,2,James H Young,Democrat,1 Durant St Anderson,X
Holmes,Supervisor,3,Debra Mabry,Democrat,1 Durant St Anderson,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,1 Durant St Anderson,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,1 Durant St Anderson,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,1 Durant St Anderson,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,1 Durant St Anderson,X
Holmes,Supervisor,5,David Cross,Independent,1 Durant St Anderson,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,Beat 1 Lexington,48
Holmes,Constable,2,Willie Anderson,Democrat,Beat 1 Lexington,414
Holmes,Constable,2,Robert F Kirklin Sr,Independent,Beat 1 Lexington,170
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,Beat 1 Lexington,591
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,Beat 1 Lexington,590
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,Beat 1 Lexington,578
Holmes,Sheriff,,Willie E march,Democrat,Beat 1 Lexington,392
Holmes,Sheriff,,Mickey P Chisolm,Independent,Beat 1 Lexington,32
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,Beat 1 Lexington,241
Holmes,Tax Collector,,Linda Rollins,Democrat,Beat 1 Lexington,612
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,Beat 1 Lexington,596
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,Beat 1 Lexington,48
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,Beat 1 Lexington,528
Holmes,Bond Referendum,,For,,Beat 1 Lexington,351
Holmes,Bond Referendum,,Against,,Beat 1 Lexington,235
Holmes,Bond Referendum,,Over Vote,,Beat 1 Lexington,0
Holmes,Bond Referendum,,Under Vote,,Beat 1 Lexington,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,Beat 1 Lexington,90
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,Beat 1 Lexington,552
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,Beat 1 Lexington,564
Holmes,Attorney General,,Lynn Fitch,Republican,Beat 1 Lexington,95
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Beat 1 Lexington,525
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Beat 1 Lexington,107
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,Beat 1 Lexington,528
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,Beat 1 Lexington,109
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,Beat 1 Lexington,574
Holmes,Governor,,Jim Hood,Democrat,Beat 1 Lexington,581
Holmes,Governor,,Tate Reeves,Repubilcan,Beat 1 Lexington,82
Holmes,Governor,,Bob Hickingbottom,Constitution,Beat 1 Lexington,2
Holmes,Governor,,David R. Singletary,Independent,Beat 1 Lexington,4
Holmes,State House,47,Bryant Clark,Democrat,Beat 1 Lexington,597
Holmes,State House,48,Jason White,Republican,Beat 1 Lexington,X
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,Beat 1 Lexington,141
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,Beat 1 Lexington,486
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,Beat 1 Lexington,114
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,Beat 1 Lexington,521
Holmes,State Auditor,,Shad White,Republican,Beat 1 Lexington,324
Holmes,State House,34,Kevin Horan,Democrat,Beat 1 Lexington,X
Holmes,Secretary of State,,Johny DuPree,Republican,Beat 1 Lexington,528
Holmes,Secretary of State,,Michael Watson,Democrat,Beat 1 Lexington,106
Holmes,State Senate,21,Barbara Blackmon,Democrat,Beat 1 Lexington,X
Holmes,State Senate,24,David Jordan,Democrat,Beat 1 Lexington,587
Holmes,State Treasurer,,Addie Lee Green,Democrat,Beat 1 Lexington,520
Holmes,State Treasurer,,David McRae,Republican,Beat 1 Lexington,116
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,Beat 1 Lexington,6
Holmes,Supervisor,2,James H Young,Democrat,Beat 1 Lexington,X
Holmes,Supervisor,3,Debra Mabry,Democrat,Beat 1 Lexington,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,Beat 1 Lexington,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,Beat 1 Lexington,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,Beat 1 Lexington,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,Beat 1 Lexington,X
Holmes,Supervisor,5,David Cross,Independent,Beat 1 Lexington,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,Beat 2 Durant,X
Holmes,Constable,2,Willie Anderson,Democrat,Beat 2 Durant,5
Holmes,Constable,2,Robert F Kirklin Sr,Independent,Beat 2 Durant,7
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,Beat 2 Durant,10
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,Beat 2 Durant,11
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,Beat 2 Durant,12
Holmes,Sheriff,,Willie E march,Democrat,Beat 2 Durant,3
Holmes,Sheriff,,Mickey P Chisolm,Independent,Beat 2 Durant,3
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,Beat 2 Durant,7
Holmes,Tax Collector,,Linda Rollins,Democrat,Beat 2 Durant,11
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,Beat 2 Durant,11
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,Beat 2 Durant,X
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,Beat 2 Durant,12
Holmes,Bond Referendum,,For,,Beat 2 Durant,3
Holmes,Bond Referendum,,Against,,Beat 2 Durant,10
Holmes,Bond Referendum,,Over Vote,,Beat 2 Durant,0
Holmes,Bond Referendum,,Under Vote,,Beat 2 Durant,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,Beat 2 Durant,8
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,Beat 2 Durant,5
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,Beat 2 Durant,5
Holmes,Attorney General,,Lynn Fitch,Republican,Beat 2 Durant,8
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Beat 2 Durant,6
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Beat 2 Durant,7
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,Beat 2 Durant,5
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,Beat 2 Durant,8
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,Beat 2 Durant,11
Holmes,Governor,,Jim Hood,Democrat,Beat 2 Durant,5
Holmes,Governor,,Tate Reeves,Repubilcan,Beat 2 Durant,8
Holmes,Governor,,Bob Hickingbottom,Constitution,Beat 2 Durant,0
Holmes,Governor,,David R. Singletary,Independent,Beat 2 Durant,0
Holmes,State House,47,Bryant Clark,Democrat,Beat 2 Durant,11
Holmes,State House,48,Jason White,Republican,Beat 2 Durant,12
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,Beat 2 Durant,8
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,Beat 2 Durant,5
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,Beat 2 Durant,8
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,Beat 2 Durant,5
Holmes,State Auditor,,Shad White,Republican,Beat 2 Durant,11
Holmes,State House,34,Kevin Horan,Democrat,Beat 2 Durant,X
Holmes,Secretary of State,,Johny DuPree,Republican,Beat 2 Durant,5
Holmes,Secretary of State,,Michael Watson,Democrat,Beat 2 Durant,8
Holmes,State Senate,21,Barbara Blackmon,Democrat,Beat 2 Durant,294
Holmes,State Senate,24,David Jordan,Democrat,Beat 2 Durant,11
Holmes,State Treasurer,,Addie Lee Green,Democrat,Beat 2 Durant,5
Holmes,State Treasurer,,David McRae,Republican,Beat 2 Durant,8
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,Beat 2 Durant,578
Holmes,Supervisor,2,James H Young,Democrat,Beat 2 Durant,12
Holmes,Supervisor,3,Debra Mabry,Democrat,Beat 2 Durant,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,Beat 2 Durant,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,Beat 2 Durant,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,Beat 2 Durant,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,Beat 2 Durant,X
Holmes,Supervisor,5,David Cross,Independent,Beat 2 Durant,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,Beat 2 Sub Durant,X
Holmes,Constable,2,Willie Anderson,Democrat,Beat 2 Sub Durant,254
Holmes,Constable,2,Robert F Kirklin Sr,Independent,Beat 2 Sub Durant,51
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,Beat 2 Sub Durant,295
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,Beat 2 Sub Durant,298
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,Beat 2 Sub Durant,295
Holmes,Sheriff,,Willie E march,Democrat,Beat 2 Sub Durant,217
Holmes,Sheriff,,Mickey P Chisolm,Independent,Beat 2 Sub Durant,27
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,Beat 2 Sub Durant,63
Holmes,Tax Collector,,Linda Rollins,Democrat,Beat 2 Sub Durant,302
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,Beat 2 Sub Durant,301
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,Beat 2 Sub Durant,X
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,Beat 2 Sub Durant,296
Holmes,Bond Referendum,,For,,Beat 2 Sub Durant,148
Holmes,Bond Referendum,,Against,,Beat 2 Sub Durant,136
Holmes,Bond Referendum,,Over Vote,,Beat 2 Sub Durant,0
Holmes,Bond Referendum,,Under Vote,,Beat 2 Sub Durant,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,Beat 2 Sub Durant,40
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,Beat 2 Sub Durant,263
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,Beat 2 Sub Durant,266
Holmes,Attorney General,,Lynn Fitch,Republican,Beat 2 Sub Durant,39
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Beat 2 Sub Durant,256
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Beat 2 Sub Durant,45
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,Beat 2 Sub Durant,259
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,Beat 2 Sub Durant,45
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,Beat 2 Sub Durant,294
Holmes,Governor,,Jim Hood,Democrat,Beat 2 Sub Durant,272
Holmes,Governor,,Tate Reeves,Repubilcan,Beat 2 Sub Durant,38
Holmes,Governor,,Bob Hickingbottom,Constitution,Beat 2 Sub Durant,0
Holmes,Governor,,David R. Singletary,Independent,Beat 2 Sub Durant,0
Holmes,State House,47,Bryant Clark,Democrat,Beat 2 Sub Durant,298
Holmes,State House,48,Jason White,Republican,Beat 2 Sub Durant,X
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,Beat 2 Sub Durant,58
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,Beat 2 Sub Durant,242
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,Beat 2 Sub Durant,53
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,Beat 2 Sub Durant,249
Holmes,State Auditor,,Shad White,Republican,Beat 2 Sub Durant,166
Holmes,State House,34,Kevin Horan,Democrat,Beat 2 Sub Durant,X
Holmes,Secretary of State,,Johny DuPree,Republican,Beat 2 Sub Durant,253
Holmes,Secretary of State,,Michael Watson,Democrat,Beat 2 Sub Durant,45
Holmes,State Senate,21,Barbara Blackmon,Democrat,Beat 2 Sub Durant,293
Holmes,State Senate,24,David Jordan,Democrat,Beat 2 Sub Durant,0
Holmes,State Treasurer,,Addie Lee Green,Democrat,Beat 2 Sub Durant,253
Holmes,State Treasurer,,David McRae,Republican,Beat 2 Sub Durant,46
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,Beat 2 Sub Durant,X
Holmes,Supervisor,2,James H Young,Democrat,Beat 2 Sub Durant,299
Holmes,Supervisor,3,Debra Mabry,Democrat,Beat 2 Sub Durant,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,Beat 2 Sub Durant,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,Beat 2 Sub Durant,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,Beat 2 Sub Durant,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,Beat 2 Sub Durant,X
Holmes,Supervisor,5,David Cross,Independent,Beat 2 Sub Durant,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,Beat 2 West,X
Holmes,Constable,2,Willie Anderson,Democrat,Beat 2 West,223
Holmes,Constable,2,Robert F Kirklin Sr,Independent,Beat 2 West,67
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,Beat 2 West,215
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,Beat 2 West,219
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,Beat 2 West,214
Holmes,Sheriff,,Willie E march,Democrat,Beat 2 West,159
Holmes,Sheriff,,Mickey P Chisolm,Independent,Beat 2 West,50
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,Beat 2 West,96
Holmes,Tax Collector,,Linda Rollins,Democrat,Beat 2 West,226
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,Beat 2 West,217
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,Beat 2 West,X
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,Beat 2 West,215
Holmes,Bond Referendum,,For,,Beat 2 West,95
Holmes,Bond Referendum,,Against,,Beat 2 West,179
Holmes,Bond Referendum,,Over Vote,,Beat 2 West,0
Holmes,Bond Referendum,,Under Vote,,Beat 2 West,0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,Beat 2 West,99
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,Beat 2 West,206
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,Beat 2 West,199
Holmes,Attorney General,,Lynn Fitch,Republican,Beat 2 West,108
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Beat 2 West,196
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Beat 2 West,100
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,Beat 2 West,182
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,Beat 2 West,117
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,Beat 2 West,229
Holmes,Governor,,Jim Hood,Democrat,Beat 2 West,212
Holmes,Governor,,Tate Reeves,Repubilcan,Beat 2 West,94
Holmes,Governor,,Bob Hickingbottom,Constitution,Beat 2 West,0
Holmes,Governor,,David R. Singletary,Independent,Beat 2 West,2
Holmes,State House,47,Bryant Clark,Democrat,Beat 2 West,X
Holmes,State House,48,Jason White,Republican,Beat 2 West,175
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,Beat 2 West,125
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,Beat 2 West,174
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,Beat 2 West,103
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,Beat 2 West,194
Holmes,State Auditor,,Shad White,Republican,Beat 2 West,170
Holmes,State House,34,Kevin Horan,Democrat,Beat 2 West,X
Holmes,Secretary of State,,Johny DuPree,Republican,Beat 2 West,202
Holmes,Secretary of State,,Michael Watson,Democrat,Beat 2 West,98
Holmes,State Senate,21,Barbara Blackmon,Democrat,Beat 2 West,226
Holmes,State Senate,24,David Jordan,Democrat,Beat 2 West,X
Holmes,State Treasurer,,Addie Lee Green,Democrat,Beat 2 West,198
Holmes,State Treasurer,,David McRae,Republican,Beat 2 West,103
Holmes,Supervisor,1,Leonard 'Hamp' Hampton,Democrat,Beat 2 West,X
Holmes,Supervisor,2,James H Young,Democrat,Beat 2 West,226
Holmes,Supervisor,3,Debra Mabry,Democrat,Beat 2 West,X
Holmes,Supervisor,3,Edward 'Ed' Lewis,Independent,Beat 2 West,X
Holmes,Supervisor,4,Leroy Johnson,Democrat,Beat 2 West,X
Holmes,Supervisor,4,Zachary 'Zack' Killebrew,Independent,Beat 2 West,X
Holmes,Supervisor,5,Alphonso 'Big Money' Greer,Democrat,Beat 2 West,X
Holmes,Supervisor,5,David Cross,Independent,Beat 2 West,X
Holmes,Constable,1,Sharkey Ford Sr,Democrat,Beat 3 Coxburg (A-Z),92
Holmes,Constable,2,Willie Anderson,Democrat,Beat 3 Coxburg (A-Z),X
Holmes,Constable,2,Robert F Kirklin Sr,Independent,Beat 3 Coxburg (A-Z),X
Holmes,Circuit Clerk,,Earlin Wright-Hart,Democrat,Beat 3 Coxburg (A-Z),94
Holmes,Coroner,,Dexter 'Skip' Howard,Democrat,Beat 3 Coxburg (A-Z),94
Holmes,Prosecuting Attorney,,Charles 'Chuck' Edwards,Democrat,Beat 3 Coxburg (A-Z),101
Holmes,Sheriff,,Willie E march,Democrat,Beat 3 Coxburg (A-Z),22
Holmes,Sheriff,,Mickey P Chisolm,Independent,Beat 3 Coxburg (A-Z),56
Holmes,Sheriff,,Joseph 'Joey' Head,Independent,Beat 3 Coxburg (A-Z),41
Holmes,Tax Collector,,Linda Rollins,Democrat,Beat 3 Coxburg (A-Z),99
Holmes,Chancery Clerk,,Charlie Luckett,Democrat,Beat 3 Coxburg (A-Z),96
Holmes,Justice Court Judge,1,Shirley Neal,Democrat,Beat 3 Coxburg (A-Z),90
Holmes,Justice Court Judge,2,Marcus Fisher,Democrat,Beat 3 Coxburg (A-Z),X
Holmes,Bond Referendum,,For,,Beat 3 Coxburg (A-Z),26
Holmes,Bond Referendum,,Against,,Beat 3 Coxburg (A-Z),88
Holmes,Bond Referendum,,Over Vote,,Beat 3 Coxburg (A-Z),0
Holmes,Bond Referendum,,Under Vote,,Beat 3 Coxburg (A-Z),0
Holmes,Transportation Commissioner - Central District,,Butch Lee,Republican,Beat 3 Coxburg (A-Z),90
Holmes,Transportation Commissioner - Central District,,Willie E Simmons,Democrat,Beat 3 Coxburg (A-Z),32
Holmes,Attorney General,,Jennifer Riley Collins,Democrat,Beat 3 Coxburg (A-Z),32
Holmes,Attorney General,,Lynn Fitch,Republican,Beat 3 Coxburg (A-Z),92
Holmes,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Beat 3 Coxburg (A-Z),30
Holmes,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Beat 3 Coxburg (A-Z),92
Holmes,Commissioner of Insurance,,Robert E Amos,Democrat,Beat 3 Coxburg (A-Z),25
Holmes,Commissioner of Insurance,,Mike Cheney,Republican,Beat 3 Coxburg (A-Z),97
Holmes,District Attorney,21,Akillie Malone Oliver,Democrat,Beat 3 Coxburg (A-Z),83
Holmes,Governor,,Jim Hood,Democrat,Beat 3 Coxburg (A-Z),48
Holmes,Governor,,Tate Reeves,Repubilcan,Beat 3 Coxburg (A-Z),74
Holmes,Governor,,Bob Hickingbottom,Constitution,Beat 3 Coxburg (A-Z),1
Holmes,Governor,,David R. Singletary,Independent,Beat 3 Coxburg (A-Z),0
Holmes,State House,47,Bryant Clark,Democrat,Beat 3 Coxburg (A-Z),94
Holmes,State House,48,Jason White,Republican,Beat 3 Coxburg (A-Z),X
Holmes,Lieutenant Governor,,Delbert Hoseman,Republican,Beat 3 Coxburg (A-Z),92
Holmes,Lieutenant Governor,,Jay Hugues,Democrat,Beat 3 Coxburg (A-Z),31
Holmes,Public Service Commissioner - Central District,,Brent Bailey,Republican,Beat 3 Coxburg (A-Z),97
Holmes,Public Service Commissioner - Central District,,DeKeither A stamps,Democrat,Beat 3 Coxburg (A-Z),24
Holmes,State Auditor,,Shad White,Republican,Beat 3 Coxburg (A-Z),109
