county,office,district,candidate,party,precinct,votes
Smith,Governor,,Bob Hickingbottom,Constitution,Burns,2
Smith,Governor,,David R. Singletary,Independent,Burns,1
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Burns,160
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Burns,54
Smith,Secretary of State,,Johny DuPree,Republican,Burns,57
Smith,Secretary of State,,Michael Watson,Democrat,Burns,150
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Burns,59
Smith,Attorney General,,Lynn Fitch,Republican,Burns,152
Smith,State Auditor,,Shad White,Republican,Burns,175
Smith,State Treasurer,,Ardle Lee Green,Democrat,Burns,49
Smith,State Treasurer,,David McRae,Republican,Burns,164
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Burns,50
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Burns,160
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Burns,51
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Burns,160
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Burns,150
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Burns,55
Smith,Transportation Commissioner,Southern,Tom King,Republican,Burns,179
Smith,District Attorney,13,Matt Sullivan,Democrat,Burns,177
Smith,State Senate,41,Joey Fillingane,Republican,Burns,174
Smith,State House,79,Mark K Tullos,Republican,Burns,188
Smith,Chancery Clerk,,Cindy Austin,Democrat,Burns,188
Smith,Circuit Clerk,,Earnest W Burton,Republican,Burns,97
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Burns,118
Smith,Coroner,,Billy Allen,Democrat,Burns,92
Smith,Coroner,,Sammy Houston,Republican,Burns,122
Smith,Sheriff,,Joel Houston,Republic.an,Burns,151
Smith,Sheriff,,Marty Peterson,Democrat,Burns,64
Smith,Surveyor,,Landry Adcock,Republican,Burns,176
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Burns,118
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Burns,98
Smith,Supervisor,1,Jerry Fields,Republican,Burns,
Smith,Supervisor,1,Sammy Hancock,Democrat,Burns,
Smith,Supervisor,1,Mike Bavido,Independent,Burns,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Burns,
Smith,Supervisor,1,Donny Lowery,Independent,Burns,
Smith,Supervisor,2,Eddie McMullan,Republican,Burns,
Smith,Supervisor,2,Dwight D Norris,Democrat,Burns,
Smith,Supervisor,2,Mike Ford,Independent,Burns,
Smith,Supervisor,3,Benjie Ford,Independent,Burns,
Smith,Supervisor,4,Danny Avender,Democrat,Burns,
Smith,Supervisor,4,Bob J Miles,Republican,Burns,
Smith,Supervisor,5,Robert Hallman,Republican,Burns,97
Smith,Supervisor,5,Howard Hammons,Democrat,Burns,117
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Burns,101
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Burns,109
Smith,Justice Court Judge,2,Larry Allen,Republican,Burns,
Smith,Justice Court Judge,2,Hulon West,Democrat,Burns,
Smith,Constable,1,Joe Robert Blakeney,Republican,Burns,130
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Burns,78
Smith,Constable,2,Brad Boykin,Democrat,Burns,
Smith,Constable,2,Bobby Easterling,Republican,Burns,
Smith,Constable,2,William Logan Pruitt,Independent,Burns,
Smith,Governor,,Jim Hood,Democrat,Cedar Grove,51
Smith,Governor,,Tate Reeves,Repubilcan,Cedar Grove,77
Smith,Governor,,Bob Hickingbottom,Constitution,Cedar Grove,1
Smith,Governor,,David R. Singletary,Independent,Cedar Grove,1
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Cedar Grove,88
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Cedar Grove,42
Smith,Secretary of State,,Johny DuPree,Republican,Cedar Grove,49
Smith,Secretary of State,,Michael Watson,Democrat,Cedar Grove,77
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Cedar Grove,47
Smith,Attorney General,,Lynn Fitch,Republican,Cedar Grove,82
Smith,State Auditor,,Shad White,Republican,Cedar Grove,98
Smith,State Treasurer,,Ardle Lee Green,Democrat,Cedar Grove,40
Smith,State Treasurer,,David McRae,Republican,Cedar Grove,88
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Cedar Grove,44
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Cedar Grove,84
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Cedar Grove,42
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Cedar Grove,85
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Cedar Grove,79
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Cedar Grove,47
Smith,Transportation Commissioner,Southern,Tom King,Republican,Cedar Grove,101
Smith,District Attorney,13,Matt Sullivan,Democrat,Cedar Grove,107
Smith,State Senate,41,Joey Fillingane,Republican,Cedar Grove,103
Smith,State House,79,Mark K Tullos,Republican,Cedar Grove,104
Smith,Chancery Clerk,,Cindy Austin,Democrat,Cedar Grove,110
Smith,Circuit Clerk,,Earnest W Burton,Republican,Cedar Grove,58
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Cedar Grove,72
Smith,Coroner,,Billy Allen,Democrat,Cedar Grove,46
Smith,Coroner,,Sammy Houston,Republican,Cedar Grove,82
Smith,Sheriff,,Joel Houston,Republic.an,Cedar Grove,84
Smith,Sheriff,,Marty Peterson,Democrat,Cedar Grove,45
Smith,Surveyor,,Landry Adcock,Republican,Cedar Grove,99
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Cedar Grove,63
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Cedar Grove,66
Smith,Supervisor,1,Jerry Fields,Republican,Cedar Grove,
Smith,Supervisor,1,Sammy Hancock,Democrat,Cedar Grove,
Smith,Supervisor,1,Mike Bavido,Independent,Cedar Grove,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Cedar Grove,
Smith,Supervisor,1,Donny Lowery,Independent,Cedar Grove,
Smith,Supervisor,2,Eddie McMullan,Republican,Cedar Grove,45
Smith,Supervisor,2,Dwight D Norris,Democrat,Cedar Grove,64
Smith,Supervisor,2,Mike Ford,Independent,Cedar Grove,16
Smith,Supervisor,3,Benjie Ford,Independent,Cedar Grove,
Smith,Supervisor,4,Danny Avender,Democrat,Cedar Grove,
Smith,Supervisor,4,Bob J Miles,Republican,Cedar Grove,
Smith,Supervisor,5,Robert Hallman,Republican,Cedar Grove,
Smith,Supervisor,5,Howard Hammons,Democrat,Cedar Grove,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Cedar Grove,82
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Cedar Grove,45
Smith,Justice Court Judge,2,Larry Allen,Republican,Cedar Grove,
Smith,Justice Court Judge,2,Hulon West,Democrat,Cedar Grove,
Smith,Constable,1,Joe Robert Blakeney,Republican,Cedar Grove,66
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Cedar Grove,63
Smith,Constable,2,Brad Boykin,Democrat,Cedar Grove,
Smith,Constable,2,Bobby Easterling,Republican,Cedar Grove,
Smith,Constable,2,William Logan Pruitt,Independent,Cedar Grove,
Smith,Governor,,Jim Hood,Democrat,Center Ridge,53
Smith,Governor,,Tate Reeves,Repubilcan,Center Ridge,276
Smith,Governor,,Bob Hickingbottom,Constitution,Center Ridge,3
Smith,Governor,,David R. Singletary,Independent,Center Ridge,6
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Center Ridge,306
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Center Ridge,30
Smith,Secretary of State,,Johny DuPree,Republican,Center Ridge,41
Smith,Secretary of State,,Michael Watson,Democrat,Center Ridge,295
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Center Ridge,30
Smith,Attorney General,,Lynn Fitch,Republican,Center Ridge,308
Smith,State Auditor,,Shad White,Republican,Center Ridge,318
Smith,State Treasurer,,Ardle Lee Green,Democrat,Center Ridge,23
Smith,State Treasurer,,David McRae,Republican,Center Ridge,315
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Center Ridge,19
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Center Ridge,316
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Center Ridge,23
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Center Ridge,313
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Center Ridge,292
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Center Ridge,37
Smith,Transportation Commissioner,Southern,Tom King,Republican,Center Ridge,322
Smith,District Attorney,13,Matt Sullivan,Democrat,Center Ridge,301
Smith,State Senate,41,Joey Fillingane,Republican,Center Ridge,322
Smith,State House,79,Mark K Tullos,Republican,Center Ridge,316
Smith,Chancery Clerk,,Cindy Austin,Democrat,Center Ridge,300
Smith,Circuit Clerk,,Earnest W Burton,Republican,Center Ridge,187
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Center Ridge,152
Smith,Coroner,,Billy Allen,Democrat,Center Ridge,55
Smith,Coroner,,Sammy Houston,Republican,Center Ridge,281
Smith,Sheriff,,Joel Houston,Republic.an,Center Ridge,259
Smith,Sheriff,,Marty Peterson,Democrat,Center Ridge,79
Smith,Surveyor,,Landry Adcock,Republican,Center Ridge,315
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Center Ridge,99
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Center Ridge,239
Smith,Supervisor,1,Jerry Fields,Republican,Center Ridge,161
Smith,Supervisor,1,Sammy Hancock,Democrat,Center Ridge,12
Smith,Supervisor,1,Mike Bavido,Independent,Center Ridge,19
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Center Ridge,91
Smith,Supervisor,1,Donny Lowery,Independent,Center Ridge,55
Smith,Supervisor,2,Eddie McMullan,Republican,Center Ridge,
Smith,Supervisor,2,Dwight D Norris,Democrat,Center Ridge,
Smith,Supervisor,2,Mike Ford,Independent,Center Ridge,
Smith,Supervisor,3,Benjie Ford,Independent,Center Ridge,
Smith,Supervisor,4,Danny Avender,Democrat,Center Ridge,
Smith,Supervisor,4,Bob J Miles,Republican,Center Ridge,
Smith,Supervisor,5,Robert Hallman,Republican,Center Ridge,
Smith,Supervisor,5,Howard Hammons,Democrat,Center Ridge,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Center Ridge,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Center Ridge,
Smith,Justice Court Judge,2,Larry Allen,Republican,Center Ridge,158
Smith,Justice Court Judge,2,Hulon West,Democrat,Center Ridge,179
Smith,Constable,1,Joe Robert Blakeney,Republican,Center Ridge,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Center Ridge,
Smith,Constable,2,Brad Boykin,Democrat,Center Ridge,71
Smith,Constable,2,Bobby Easterling,Republican,Center Ridge,213
Smith,Constable,2,William Logan Pruitt,Independent,Center Ridge,51
Smith,Governor,,Jim Hood,Democrat,Clear Springs-Pineville,40
Smith,Governor,,Tate Reeves,Repubilcan,Clear Springs-Pineville,178
Smith,Governor,,Bob Hickingbottom,Constitution,Clear Springs-Pineville,0
Smith,Governor,,David R. Singletary,Independent,Clear Springs-Pineville,0
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Clear Springs-Pineville,190
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Clear Springs-Pineville,28
Smith,Secretary of State,,Johny DuPree,Republican,Clear Springs-Pineville,27
Smith,Secretary of State,,Michael Watson,Democrat,Clear Springs-Pineville,186
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Clear Springs-Pineville,21
Smith,Attorney General,,Lynn Fitch,Republican,Clear Springs-Pineville,195
Smith,State Auditor,,Shad White,Republican,Clear Springs-Pineville,203
Smith,State Treasurer,,Ardle Lee Green,Democrat,Clear Springs-Pineville,10
Smith,State Treasurer,,David McRae,Republican,Clear Springs-Pineville,203
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Clear Springs-Pineville,11
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Clear Springs-Pineville,204
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Clear Springs-Pineville,12
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Clear Springs-Pineville,202
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Clear Springs-Pineville,181
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Clear Springs-Pineville,27
Smith,Transportation Commissioner,Southern,Tom King,Republican,Clear Springs-Pineville,204
Smith,District Attorney,13,Matt Sullivan,Democrat,Clear Springs-Pineville,183
Smith,State Senate,41,Joey Fillingane,Republican,Clear Springs-Pineville,205
Smith,State House,79,Mark K Tullos,Republican,Clear Springs-Pineville,209
Smith,Chancery Clerk,,Cindy Austin,Democrat,Clear Springs-Pineville,193
Smith,Circuit Clerk,,Earnest W Burton,Republican,Clear Springs-Pineville,105
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Clear Springs-Pineville,111
Smith,Coroner,,Billy Allen,Democrat,Clear Springs-Pineville,26
Smith,Coroner,,Sammy Houston,Republican,Clear Springs-Pineville,191
Smith,Sheriff,,Joel Houston,Republic.an,Clear Springs-Pineville,175
Smith,Sheriff,,Marty Peterson,Democrat,Clear Springs-Pineville,42
Smith,Surveyor,,Landry Adcock,Republican,Clear Springs-Pineville,205
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Clear Springs-Pineville,75
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Clear Springs-Pineville,143
Smith,Supervisor,1,Jerry Fields,Republican,Clear Springs-Pineville,
Smith,Supervisor,1,Sammy Hancock,Democrat,Clear Springs-Pineville,
Smith,Supervisor,1,Mike Bavido,Independent,Clear Springs-Pineville,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Clear Springs-Pineville,
Smith,Supervisor,1,Donny Lowery,Independent,Clear Springs-Pineville,
Smith,Supervisor,2,Eddie McMullan,Republican,Clear Springs-Pineville,
Smith,Supervisor,2,Dwight D Norris,Democrat,Clear Springs-Pineville,
Smith,Supervisor,2,Mike Ford,Independent,Clear Springs-Pineville,
Smith,Supervisor,3,Benjie Ford,Independent,Clear Springs-Pineville,
Smith,Supervisor,4,Danny Avender,Democrat,Clear Springs-Pineville,
Smith,Supervisor,4,Bob J Miles,Republican,Clear Springs-Pineville,
Smith,Supervisor,5,Robert Hallman,Republican,Clear Springs-Pineville,79
Smith,Supervisor,5,Howard Hammons,Democrat,Clear Springs-Pineville,139
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Clear Springs-Pineville,104
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Clear Springs-Pineville,112
Smith,Justice Court Judge,2,Larry Allen,Republican,Clear Springs-Pineville,
Smith,Justice Court Judge,2,Hulon West,Democrat,Clear Springs-Pineville,
Smith,Constable,1,Joe Robert Blakeney,Republican,Clear Springs-Pineville,146
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Clear Springs-Pineville,68
Smith,Constable,2,Brad Boykin,Democrat,Clear Springs-Pineville,
Smith,Constable,2,Bobby Easterling,Republican,Clear Springs-Pineville,
Smith,Constable,2,William Logan Pruitt,Independent,Clear Springs-Pineville,
Smith,Governor,,Jim Hood,Democrat,Lorena-Sophia,73
Smith,Governor,,Tate Reeves,Repubilcan,Lorena-Sophia,200
Smith,Governor,,Bob Hickingbottom,Constitution,Lorena-Sophia,1
Smith,Governor,,David R. Singletary,Independent,Lorena-Sophia,0
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Lorena-Sophia,222
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Lorena-Sophia,48
Smith,Secretary of State,,Johny DuPree,Republican,Lorena-Sophia,54
Smith,Secretary of State,,Michael Watson,Democrat,Lorena-Sophia,215
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Lorena-Sophia,54
Smith,Attorney General,,Lynn Fitch,Republican,Lorena-Sophia,217
Smith,State Auditor,,Shad White,Republican,Lorena-Sophia,241
Smith,State Treasurer,,Ardle Lee Green,Democrat,Lorena-Sophia,43
Smith,State Treasurer,,David McRae,Republican,Lorena-Sophia,223
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Lorena-Sophia,41
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Lorena-Sophia,229
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Lorena-Sophia,46
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Lorena-Sophia,224
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Lorena-Sophia,211
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Lorena-Sophia,54
Smith,Transportation Commissioner,Southern,Tom King,Republican,Lorena-Sophia,243
Smith,District Attorney,13,Matt Sullivan,Democrat,Lorena-Sophia,219
Smith,State Senate,41,Joey Fillingane,Republican,Lorena-Sophia,246
Smith,State House,79,Mark K Tullos,Republican,Lorena-Sophia,257
Smith,Chancery Clerk,,Cindy Austin,Democrat,Lorena-Sophia,232
Smith,Circuit Clerk,,Earnest W Burton,Republican,Lorena-Sophia,126
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Lorena-Sophia,149
Smith,Coroner,,Billy Allen,Democrat,Lorena-Sophia,80
Smith,Coroner,,Sammy Houston,Republican,Lorena-Sophia,195
Smith,Sheriff,,Joel Houston,Republic.an,Lorena-Sophia,185
Smith,Sheriff,,Marty Peterson,Democrat,Lorena-Sophia,90
Smith,Surveyor,,Landry Adcock,Republican,Lorena-Sophia,244
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Lorena-Sophia,131
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Lorena-Sophia,142
Smith,Supervisor,1,Jerry Fields,Republican,Lorena-Sophia,
Smith,Supervisor,1,Sammy Hancock,Democrat,Lorena-Sophia,
Smith,Supervisor,1,Mike Bavido,Independent,Lorena-Sophia,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Lorena-Sophia,
Smith,Supervisor,1,Donny Lowery,Independent,Lorena-Sophia,
Smith,Supervisor,2,Eddie McMullan,Republican,Lorena-Sophia,
Smith,Supervisor,2,Dwight D Norris,Democrat,Lorena-Sophia,
Smith,Supervisor,2,Mike Ford,Independent,Lorena-Sophia,
Smith,Supervisor,3,Benjie Ford,Independent,Lorena-Sophia,
Smith,Supervisor,4,Danny Avender,Democrat,Lorena-Sophia,
Smith,Supervisor,4,Bob J Miles,Republican,Lorena-Sophia,
Smith,Supervisor,5,Robert Hallman,Republican,Lorena-Sophia,122
Smith,Supervisor,5,Howard Hammons,Democrat,Lorena-Sophia,152
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Lorena-Sophia,150
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Lorena-Sophia,122
Smith,Justice Court Judge,2,Larry Allen,Republican,Lorena-Sophia,
Smith,Justice Court Judge,2,Hulon West,Democrat,Lorena-Sophia,
Smith,Constable,1,Joe Robert Blakeney,Republican,Lorena-Sophia,178
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Lorena-Sophia,91
Smith,Constable,2,Brad Boykin,Democrat,Lorena-Sophia,
Smith,Constable,2,Bobby Easterling,Republican,Lorena-Sophia,
Smith,Constable,2,William Logan Pruitt,Independent,Lorena-Sophia,
Smith,Governor,,Jim Hood,Democrat,Mize,82
Smith,Governor,,Tate Reeves,Repubilcan,Mize,374
Smith,Governor,,Bob Hickingbottom,Constitution,Mize,0
Smith,Governor,,David R. Singletary,Independent,Mize,19
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Mize,416
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Mize,57
Smith,Secretary of State,,Johny DuPree,Republican,Mize,53
Smith,Secretary of State,,Michael Watson,Democrat,Mize,414
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Mize,39
Smith,Attorney General,,Lynn Fitch,Republican,Mize,434
Smith,State Auditor,,Shad White,Republican,Mize,444
Smith,State Treasurer,,Ardle Lee Green,Democrat,Mize,31
Smith,State Treasurer,,David McRae,Republican,Mize,438
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Mize,34
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Mize,435
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Mize,31
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Mize,442
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Mize,398
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Mize,66
Smith,Transportation Commissioner,Southern,Tom King,Republican,Mize,443
Smith,District Attorney,13,Matt Sullivan,Democrat,Mize,410
Smith,State Senate,41,Joey Fillingane,Republican,Mize,445
Smith,State House,79,Mark K Tullos,Republican,Mize,455
Smith,Chancery Clerk,,Cindy Austin,Democrat,Mize,408
Smith,Circuit Clerk,,Earnest W Burton,Republican,Mize,286
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Mize,189
Smith,Coroner,,Billy Allen,Democrat,Mize,129
Smith,Coroner,,Sammy Houston,Republican,Mize,342
Smith,Sheriff,,Joel Houston,Republic.an,Mize,301
Smith,Sheriff,,Marty Peterson,Democrat,Mize,174
Smith,Surveyor,,Landry Adcock,Republican,Mize,438
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Mize,192
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Mize,286
Smith,Supervisor,1,Jerry Fields,Republican,Mize,213
Smith,Supervisor,1,Sammy Hancock,Democrat,Mize,20
Smith,Supervisor,1,Mike Bavido,Independent,Mize,69
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Mize,45
Smith,Supervisor,1,Donny Lowery,Independent,Mize,129
Smith,Supervisor,2,Eddie McMullan,Republican,Mize,
Smith,Supervisor,2,Dwight D Norris,Democrat,Mize,
Smith,Supervisor,2,Mike Ford,Independent,Mize,
Smith,Supervisor,3,Benjie Ford,Independent,Mize,
Smith,Supervisor,4,Danny Avender,Democrat,Mize,
Smith,Supervisor,4,Bob J Miles,Republican,Mize,
Smith,Supervisor,5,Robert Hallman,Republican,Mize,
Smith,Supervisor,5,Howard Hammons,Democrat,Mize,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Mize,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Mize,
Smith,Justice Court Judge,2,Larry Allen,Republican,Mize,264
Smith,Justice Court Judge,2,Hulon West,Democrat,Mize,207
Smith,Constable,1,Joe Robert Blakeney,Republican,Mize,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Mize,
Smith,Constable,2,Brad Boykin,Democrat,Mize,60
Smith,Constable,2,Bobby Easterling,Republican,Mize,285
Smith,Constable,2,William Logan Pruitt,Independent,Mize,129
Smith,Governor,,Jim Hood,Democrat,North Raleigh,278
Smith,Governor,,Tate Reeves,Repubilcan,North Raleigh,266
Smith,Governor,,Bob Hickingbottom,Constitution,North Raleigh,2
Smith,Governor,,David R. Singletary,Independent,North Raleigh,4
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,North Raleigh,330
Smith,Lieutenant Governor,,Jay Hugues,Democrat,North Raleigh,198
Smith,Secretary of State,,Johny DuPree,Republican,North Raleigh,224
Smith,Secretary of State,,Michael Watson,Democrat,North Raleigh,301
Smith,Attorney General,,Jennifer Riley Collins,Democrat,North Raleigh,194
Smith,Attorney General,,Lynn Fitch,Republican,North Raleigh,346
Smith,State Auditor,,Shad White,Republican,North Raleigh,428
