candidate,office,district,party,county,precinct,votes
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Pachuta,58
Jelf Tate,State Senate,33,R,Clarke,Pachuta,115
Omeria Scott,State House,80,D,Clarke,Pachuta,175
Stephen A 'Steve' Horne,State House,81,R,Clarke,Pachuta,X
Troy Smith,State House,84,R,Clarke,Pachuta,X
Roy May,State House,84,IND,Clarke,Pachuta,X
Jim Hood,Governor,,D,Clarke,Rolling Creek,21
Tate Reeves,Governor,,R,Clarke,Rolling Creek,151
Bob Hickingbottom,Governor,,C,Clarke,Rolling Creek,0
David R Singletary,Governor,,IND,Clarke,Rolling Creek,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Rolling Creek,153
Jay Hughes,Lieutenant Governor,,D,Clarke,Rolling Creek,15
Johnny DuPree,Secretary of State,,D,Clarke,Rolling Creek,16
Michael Watson,Secretary of State,,R,Clarke,Rolling Creek,151
Jennifer Riley Collins,Attorney General,,D,Clarke,Rolling Creek,17
Lynn Fitch,Attorney General,,R,Clarke,Rolling Creek,155
Shad White,State Auditor,,R,Clarke,Rolling Creek,156
Addie Lee Green,State Treasurer,,D,Clarke,Rolling Creek,13
David McRae,State Treasurer,,R,Clarke,Rolling Creek,156
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Rolling Creek,19
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Rolling Creek,149
Jelf Tate,State Senate,33,R,Clarke,Rolling Creek,163
Omeria Scott,State House,80,D,Clarke,Rolling Creek,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Rolling Creek,X
Troy Smith,State House,84,R,Clarke,Rolling Creek,145
Roy May,State House,84,IND,Clarke,Rolling Creek,28
Jim Hood,Governor,,D,Clarke,Shubuta,351
Tate Reeves,Governor,,R,Clarke,Shubuta,70
Bob Hickingbottom,Governor,,C,Clarke,Shubuta,5
David R Singletary,Governor,,IND,Clarke,Shubuta,4
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Shubuta,87
Jay Hughes,Lieutenant Governor,,D,Clarke,Shubuta,327
Johnny DuPree,Secretary of State,,D,Clarke,Shubuta,344
Michael Watson,Secretary of State,,R,Clarke,Shubuta,75
Jennifer Riley Collins,Attorney General,,D,Clarke,Shubuta,344
Lynn Fitch,Attorney General,,R,Clarke,Shubuta,79
Shad White,State Auditor,,R,Clarke,Shubuta,278
Addie Lee Green,State Treasurer,,D,Clarke,Shubuta,333
David McRae,State Treasurer,,R,Clarke,Shubuta,89
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Shubuta,338
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Shubuta,79
Jelf Tate,State Senate,33,R,Clarke,Shubuta,277
Omeria Scott,State House,80,D,Clarke,Shubuta,397
Stephen A 'Steve' Horne,State House,81,R,Clarke,Shubuta,X
Troy Smith,State House,84,R,Clarke,Shubuta,X
Roy May,State House,84,IND,Clarke,Shubuta,X
Jim Hood,Governor,,D,Clarke,Snell,8
Tate Reeves,Governor,,R,Clarke,Snell,111
Bob Hickingbottom,Governor,,C,Clarke,Snell,0
David R Singletary,Governor,,IND,Clarke,Snell,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Snell,115
Jay Hughes,Lieutenant Governor,,D,Clarke,Snell,4
Johnny DuPree,Secretary of State,,D,Clarke,Snell,2
Michael Watson,Secretary of State,,R,Clarke,Snell,116
Jennifer Riley Collins,Attorney General,,D,Clarke,Snell,6
Lynn Fitch,Attorney General,,R,Clarke,Snell,114
Shad White,State Auditor,,R,Clarke,Snell,113
Addie Lee Green,State Treasurer,,D,Clarke,Snell,3
David McRae,State Treasurer,,R,Clarke,Snell,116
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Snell,5
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Snell,113
Jelf Tate,State Senate,33,R,Clarke,Snell,113
Omeria Scott,State House,80,D,Clarke,Snell,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Snell,114
Troy Smith,State House,84,R,Clarke,Snell,X
Roy May,State House,84,IND,Clarke,Snell,X
Jim Hood,Governor,,D,Clarke,Souinlovie,40
Tate Reeves,Governor,,R,Clarke,Souinlovie,126
Bob Hickingbottom,Governor,,C,Clarke,Souinlovie,1
David R Singletary,Governor,,IND,Clarke,Souinlovie,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Souinlovie,138
Jay Hughes,Lieutenant Governor,,D,Clarke,Souinlovie,31
Johnny DuPree,Secretary of State,,D,Clarke,Souinlovie,27
Michael Watson,Secretary of State,,R,Clarke,Souinlovie,143
Jennifer Riley Collins,Attorney General,,D,Clarke,Souinlovie,28
Lynn Fitch,Attorney General,,R,Clarke,Souinlovie,139
Shad White,State Auditor,,R,Clarke,Souinlovie,156
Addie Lee Green,State Treasurer,,D,Clarke,Souinlovie,25
David McRae,State Treasurer,,R,Clarke,Souinlovie,142
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Souinlovie,26
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Souinlovie,140
Jelf Tate,State Senate,33,R,Clarke,Souinlovie,156
Omeria Scott,State House,80,D,Clarke,Souinlovie,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Souinlovie,X
Troy Smith,State House,84,R,Clarke,Souinlovie,140
Roy May,State House,84,IND,Clarke,Souinlovie,28
Jim Hood,Governor,,D,Clarke,South Quitman,348
Tate Reeves,Governor,,R,Clarke,South Quitman,192
Bob Hickingbottom,Governor,,C,Clarke,South Quitman,0
David R Singletary,Governor,,IND,Clarke,South Quitman,10
Delbert Hosemann,Lieutenant Governor,,R,Clarke,South Quitman,234
Jay Hughes,Lieutenant Governor,,D,Clarke,South Quitman,304
Johnny DuPree,Secretary of State,,D,Clarke,South Quitman,328
Michael Watson,Secretary of State,,R,Clarke,South Quitman,216
Jennifer Riley Collins,Attorney General,,D,Clarke,South Quitman,333
Lynn Fitch,Attorney General,,R,Clarke,South Quitman,216
Shad White,State Auditor,,R,Clarke,South Quitman,373
Addie Lee Green,State Treasurer,,D,Clarke,South Quitman,329
David McRae,State Treasurer,,R,Clarke,South Quitman,216
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,South Quitman,323
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,South Quitman,216
Jelf Tate,State Senate,33,R,Clarke,South Quitman,370
Omeria Scott,State House,80,D,Clarke,South Quitman,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,South Quitman,X
Troy Smith,State House,84,R,Clarke,South Quitman,271
Roy May,State House,84,IND,Clarke,South Quitman,240
Jim Hood,Governor,,D,Clarke,Springs,50
Tate Reeves,Governor,,R,Clarke,Springs,44
Bob Hickingbottom,Governor,,C,Clarke,Springs,0
David R Singletary,Governor,,IND,Clarke,Springs,1
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Springs,46
Jay Hughes,Lieutenant Governor,,D,Clarke,Springs,47
Johnny DuPree,Secretary of State,,D,Clarke,Springs,46
Michael Watson,Secretary of State,,R,Clarke,Springs,45
Jennifer Riley Collins,Attorney General,,D,Clarke,Springs,47
Lynn Fitch,Attorney General,,R,Clarke,Springs,48
Shad White,State Auditor,,R,Clarke,Springs,73
Addie Lee Green,State Treasurer,,D,Clarke,Springs,45
David McRae,State Treasurer,,R,Clarke,Springs,19
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Clarke,Springs,48
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Clarke,Springs,46
Jelf Tate,State Senate,33,R,Clarke,Springs,71
Omeria Scott,State House,80,D,Clarke,Springs,X
Stephen A 'Steve' Horne,State House,81,R,Clarke,Springs,X
Troy Smith,State House,84,R,Clarke,Springs,55
Roy May,State House,84,IND,Clarke,Springs,32
Jim Hood,Governor,,D,Clarke,Stonewall Dist. 3,78
Tate Reeves,Governor,,R,Clarke,Stonewall Dist. 3,253
Bob Hickingbottom,Governor,,C,Clarke,Stonewall Dist. 3,2
David R Singletary,Governor,,IND,Clarke,Stonewall Dist. 3,5
Delbert Hosemann,Lieutenant Governor,,R,Clarke,Stonewall Dist. 3,267
Jay Hughes,Lieutenant Governor,,D,Clarke,Stonewall Dist. 3,66
Johnny DuPree,Secretary of State,,D,Clarke,Stonewall Dist. 3,64
Michael Watson,Secretary of State,,R,Clarke,Stonewall Dist. 3,265
Jennifer Riley Collins,Attorney General,,D,Clarke,Stonewall Dist. 3,66
Lynn Fitch,Attorney General,,R,Clarke,Stonewall Dist. 3,270
Shad White,State Auditor,,R,Clarke,Stonewall Dist. 3,299
