candidate,office,district,party,county,precinct,votes
Michael Brown,Governor,,D,Wilkinson,Longmire 5020,32
William Bond Compton Jr.,Governor,,D,Wilkinson,Longmire 5020,4
Jim Hood,Governor,,D,Wilkinson,Longmire 5020,123
Robert J. Ray,Governor,,D,Wilkinson,Longmire 5020,7
Robert Shuler Smith,Governor,,D,Wilkinson,Longmire 5020,33
Gregory Wash,Governor,,D,Wilkinson,Longmire 5020,6
Velesha P Williams,Governor,,D,Wilkinson,Longmire 5020,12
Albert Wilson,Governor,,D,Wilkinson,Longmire 5020,3
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Longmire 5020,166
Johnny DuPree,Secretary of State,,D,Wilkinson,Longmire 5020,151
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Longmire 5020,45
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Longmire 5020,160
Addie Lee Green,State Treasurer,,D,Wilkinson,Longmire 5020,161
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Longmire 5020,157
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Longmire 5020,156
Kelvin E Butler,State Senate,38,D,Wilkinson,Longmire 5020,84
Tammy Witherspoon,State Senate,38,D,Wilkinson,Longmire 5020,122
Aisha A Sanders,State House,96,D,Wilkinson,Longmire 5020,171
Robert Foster,Governor,,R,Wilkinson,Woodville 5th 5010,0
Tate Reeves,Governor,,R,Wilkinson,Woodville 5th 5010,0
Bill Waller Jr.,Governor,,R,Wilkinson,Woodville 5th 5010,1
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Woodville 5th 5010,0
Shane Quick,Lieutenant Governor,,R,Wilkinson,Woodville 5th 5010,0
Sam Britton,Secretary of State,,R,Wilkinson,Woodville 5th 5010,0
Michael Watson,Secretary of State,,R,Wilkinson,Woodville 5th 5010,0
Mark Baker,Attorney General,,R,Wilkinson,Woodville 5th 5010,0
Lynn Fitch,Attorney General,,R,Wilkinson,Woodville 5th 5010,0
Andy Taggart,Attorney General,,R,Wilkinson,Woodville 5th 5010,1
Shad White,State Auditor,,R,Wilkinson,Woodville 5th 5010,0
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Woodville 5th 5010,0
David McRae,State Treasurer,,R,Wilkinson,Woodville 5th 5010,1
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Woodville 5th 5010,0
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Woodville 5th 5010,1
Michael Brown,Governor,,D,Wilkinson,Woodville 5th 5010,84
William Bond Compton Jr.,Governor,,D,Wilkinson,Woodville 5th 5010,12
Jim Hood,Governor,,D,Wilkinson,Woodville 5th 5010,169
Robert J. Ray,Governor,,D,Wilkinson,Woodville 5th 5010,14
