candidate,office,district,party,county,precinct,votes
Rufus E Straughter,State House,51,D,Yazoo,Fugates,
Kevin Ford,State House,54,R,Yazoo,Fugates,181
Stephanie McKenzie Foster,State House,63,D,Yazoo,Fugates,
Jim Hood,Governor,,D,Yazoo,Holly Bluff,50
Tate Reeves,Governor,,R,Yazoo,Holly Bluff,65
Bob Hickingbottom,Governor,,C,Yazoo,Holly Bluff,1
David R Singletary,Governor,,IND,Yazoo,Holly Bluff,2
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Holly Bluff,76
Jay Hughes,Lieutenant Governor,,D,Yazoo,Holly Bluff,37
Johnny DuPree,Secretary of State,,D,Yazoo,Holly Bluff,43
Michael Watson,Secretary of State,,R,Yazoo,Holly Bluff,67
Jennifer Riley Collins,Attorney General,,D,Yazoo,Holly Bluff,48
Lynn Fitch,Attorney General,,R,Yazoo,Holly Bluff,70
Shad White,State Auditor,,R,Yazoo,Holly Bluff,71
Addie Lee Green,State Treasurer,,D,Yazoo,Holly Bluff,43
David McRae,State Treasurer,,R,Yazoo,Holly Bluff,70
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Holly Bluff,44
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Holly Bluff,68
Barbara Blackmon,State Senate,21,D,Yazoo,Holly Bluff,
Hayes Dent,State Senate,22,R,Yazoo,Holly Bluff,74
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Holly Bluff,45
Briggs Hopson,State Senate,23,R,Yazoo,Holly Bluff,
Kenneth Walker,State House,27,D,Yazoo,Holly Bluff,
Bryant Clark,State House,47,D,Yazoo,Holly Bluff,
Rufus E Straughter,State House,51,D,Yazoo,Holly Bluff,61
Kevin Ford,State House,54,R,Yazoo,Holly Bluff,21
Stephanie McKenzie Foster,State House,63,D,Yazoo,Holly Bluff,
Jim Hood,Governor,,D,Yazoo,Jonestown,258
Tate Reeves,Governor,,R,Yazoo,Jonestown,8
Bob Hickingbottom,Governor,,C,Yazoo,Jonestown,1
David R Singletary,Governor,,IND,Yazoo,Jonestown,2
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Jonestown,36
Jay Hughes,Lieutenant Governor,,D,Yazoo,Jonestown,221
Johnny DuPree,Secretary of State,,D,Yazoo,Jonestown,233
Michael Watson,Secretary of State,,R,Yazoo,Jonestown,19
Jennifer Riley Collins,Attorney General,,D,Yazoo,Jonestown,253
Lynn Fitch,Attorney General,,R,Yazoo,Jonestown,10
Shad White,State Auditor,,R,Yazoo,Jonestown,118
Addie Lee Green,State Treasurer,,D,Yazoo,Jonestown,231
David McRae,State Treasurer,,R,Yazoo,Jonestown,20
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Jonestown,241
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Jonestown,10
Barbara Blackmon,State Senate,21,D,Yazoo,Jonestown,
Hayes Dent,State Senate,22,R,Yazoo,Jonestown,13
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Jonestown,249
Briggs Hopson,State Senate,23,R,Yazoo,Jonestown,
Kenneth Walker,State House,27,D,Yazoo,Jonestown,
Bryant Clark,State House,47,D,Yazoo,Jonestown,
Rufus E Straughter,State House,51,D,Yazoo,Jonestown,254
Kevin Ford,State House,54,R,Yazoo,Jonestown,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Jonestown,
Jim Hood,Governor,,D,Yazoo,Little Yazoo,107
Tate Reeves,Governor,,R,Yazoo,Little Yazoo,419
Bob Hickingbottom,Governor,,C,Yazoo,Little Yazoo,0
David R Singletary,Governor,,IND,Yazoo,Little Yazoo,4
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Little Yazoo,435
Jay Hughes,Lieutenant Governor,,D,Yazoo,Little Yazoo,82
Johnny DuPree,Secretary of State,,D,Yazoo,Little Yazoo,80
Michael Watson,Secretary of State,,R,Yazoo,Little Yazoo,435
